Nome: GOIANIA
Codigo Estacao: A002
Latitude: -16.64277777
Longitude: -49.22027777
Altitude: 727.3
Situacao: Operante
Data Inicial: 2001-05-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-05-28;null;null;null;27,8;null;null;null;null;null;null;
2001-05-29;null;933,8;16,9;null;null;null;82,3;null;null;,4;
2001-05-30;null;934,7;17,2;null;22,9;null;74;38;6,7;1,6;
2001-05-31;0;934,2;15,4;30,7;22,8;16;68,1;32;7,2;1,7;
2001-06-01;0;933,8;13,5;30,5;22,1;14,9;64,5;24;7,4;1,7;
2001-06-02;0;934,5;13,3;30,1;21,3;13,9;65,2;27;7,4;1,5;
2001-06-03;0;935;15,3;28,8;21,6;14,8;69,5;44;9,9;2,2;
2001-06-04;0;936,3;16,8;29,5;null;17,7;71,9;44;8,8;2,3;
2001-06-05;null;935,2;15,2;28,9;22,5;16,8;65,9;39;8,1;2,4;
2001-06-06;0;934,9;13,5;30,1;21,5;13,9;65,3;29;5,7;,6;
2001-06-07;0;934,7;13,6;30;20,6;13,2;68,7;31;5,5;,9;
2001-06-08;0;935,4;13,3;29,4;20,8;13,2;66,5;33;7,5;1,7;
2001-06-09;0;935,8;13,1;29,7;22,1;15,9;59,4;31;6,3;1,4;
2001-06-10;0;936,9;12;28,5;20,8;13,1;61,8;26;6,4;1,7;
