Nome: MORRINHOS
Codigo Estacao: A003
Latitude: -17.745066
Longitude: -49.101698
Altitude: 751.09
Situacao: Operante
Data Inicial: 2001-05-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-05-24;null;null;null;19,2;null;null;null;null;null;null;
2001-05-25;null;null;null;null;null;null;null;null;null;null;
2001-05-26;null;null;null;null;null;null;null;null;null;null;
2001-05-27;null;null;null;null;null;null;null;null;null;null;
2001-05-28;null;null;null;null;null;null;null;null;null;null;
2001-05-29;null;null;null;null;null;null;null;null;null;null;
2001-05-30;null;932,5;16,6;null;22,1;null;74,3;39;6;null;
2001-05-31;0;931,9;15,1;29,6;21,9;15,5;69,8;34;8,1;1,3;
2001-06-01;0;931,5;13,9;29,9;20,9;13,7;69,6;25;6,7;1;
2001-06-02;0;932,2;14,6;28;20,7;14,5;71;36;7,1;1,2;
2001-06-03;0;932,8;15,1;27,6;20,2;13,5;74,5;47;8,9;2;
2001-06-04;0;934,2;16,7;27,9;null;17,4;75,7;50;8,1;2,1;
2001-06-05;null;932,9;15,3;27,6;22;16,8;67,4;42;9,3;2,7;
2001-06-06;0;932,4;13,7;29;20,5;13;68,8;34;6,8;1,2;
2001-06-07;0;932,2;13,8;29,4;20,2;13;70,6;33;7,9;1,1;
2001-06-08;0;933,1;13,2;28,3;20;12,3;69,2;34;8,8;1,4;
2001-06-09;0;933,7;13,5;27,5;19,8;13,3;70,5;39;8;1,4;
2001-06-10;0;934,6;12,4;27,3;19,3;12,2;69,3;31;7,1;1,1;
2001-06-11;0;933,5;11,5;26,9;18,3;11,2;68,7;34;8,5;1,7;
2001-06-12;0;933,4;12,6;26;18,4;12;70,9;44;10,1;2,1;
2001-06-13;2;933,1;14,4;26,3;20,2;15,1;71,5;42;10,1;2,3;
2001-06-14;0;931,7;12,8;27,8;19,2;12,2;70,8;35;6,9;1,1;
2001-06-15;0;930,7;12,3;28,5;19,5;12,8;68,2;29;9,6;1,4;
2001-06-16;0;930,7;12,1;28,4;19,8;13,8;66;24;7,3;1;
2001-06-17;0;930,5;11,5;29,4;19,7;11,7;64,5;27;8,5;1,3;
2001-06-18;0;932,4;14,4;22,2;17,6;14,8;82,3;64;9,6;2,6;
2001-06-19;0;932,9;13,7;22,8;16;12,6;87,5;61;4,4;1,5;
2001-06-20;0;934,5;12,5;15,8;14,4;12,4;89;78;7,9;3;
2001-06-21;0;935,3;10,2;21,2;14,1;10,6;78,8;52;7,2;2,4;
