Nome: NIQUELANDIA
Codigo Estacao: A004
Latitude: -14.46944443
Longitude: -48.48583333
Altitude: 663.53
Situacao: Desativada
Data Inicial: 2001-05-30
Data Final: 2018-06-20
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-05-30;null;null;null;null;null;null;null;null;null;null;
2001-05-31;null;null;null;null;null;null;null;null;null;null;
2001-06-01;null;null;null;null;null;null;null;11;7,1;null;
2001-06-02;1,6;939,7;14;31,1;24,5;19,5;53,5;30;11,8;2,6;
2001-06-03;0;940,3;15,2;29,7;24,4;19,9;57,1;40;13;2,8;
2001-06-04;0;941,6;16;30,2;null;19;63,1;38;12,6;2,6;
2001-06-05;null;941;14,3;30;24,1;18,9;56,4;31;9,9;2,8;
2001-06-06;0;940,6;13,8;30,6;23,8;16,9;55,3;32;8,4;2,4;
2001-06-07;0;940,3;14,5;31,5;24,8;19,7;55,1;31;8,1;2;
2001-06-08;0;940,7;12,9;30,7;null;18,1;53;28;8;2;
2001-06-09;0;941,3;13;29,8;24,1;20;51,6;32;12,5;3,3;
2001-06-10;0;942,1;11;30,8;23,3;16,2;48,5;22;8,5;2,1;
2001-06-11;0;940,9;12,3;29,8;23,1;17;52,1;31;10,4;2,6;
2001-06-12;0;940,7;13,1;28,6;22,9;17,6;55,1;36;12,6;3,9;
2001-06-13;0;941;13,1;28,9;22,5;17,1;56,8;35;11,2;2,7;
2001-06-14;0;939,9;11,6;30;22,8;17,3;51,9;23;10;2,7;
2001-06-15;0;939,1;11,1;30,3;22,9;15,7;49,8;23;10,1;2,2;
2001-06-16;0;939,1;11,4;30,5;23,4;17,2;48,5;26;9,5;1,7;
2001-06-17;0;939;11,8;30,9;24,3;18,2;48,5;24;7,4;1,7;
2001-06-18;0;939,2;11,7;30,7;23,5;15,6;49,8;29;7,6;1,5;
2001-06-19;0;939,5;12,3;31,3;23,8;17,5;51,7;25;6,7;1,6;
2001-06-20;0;940,6;11,2;30,8;23,3;16,6;49,2;25;7,8;1,9;
2001-06-21;0;941,5;13,5;30,2;21,5;14,2;64,3;29;6,1;1,9;
2001-06-22;0;942;13,2;30,3;22,9;15,7;58;31;9;1,9;
2001-06-23;0;941,4;13,5;30;23,9;18,2;53,5;32;10,3;2,8;
2001-06-24;0;941,4;14,5;30,4;25;19,7;53,1;33;9,1;2,4;
2001-06-25;0;942,6;12,8;29,4;23,7;18,7;52,4;30;11,7;3,2;
2001-06-26;0;943,5;11,3;30,6;23,2;17,4;50;25;9,3;2,3;
2001-06-27;0;942,4;12,1;30,2;22,7;16,3;53,3;30;5,2;1,5;
2001-06-28;0;941,2;11,7;30,1;22,7;15,3;53;28;7;1,7;
2001-06-29;0;941;10,3;30,7;23,3;16,4;46,8;23;7,9;1,9;
