Nome: PORANGATU
Codigo Estacao: A005
Latitude: -13.30944444
Longitude: -49.11749999
Altitude: 365
Situacao: Operante
Data Inicial: 2001-06-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-06-03;null;null;null;null;null;null;null;null;null;null;
2001-06-04;null;null;null;null;null;null;null;51;2,8;null;
2001-06-05;null;968,8;16,2;33,1;26,3;null;56,4;31;6,7;2;
2001-06-06;,4;968,9;15,4;33;26,3;19,5;53,9;28;6,6;1,9;
2001-06-07;0;968,6;16,6;33,2;26,6;21;56,3;30;5,8;1,2;
2001-06-08;0;968,8;14,5;33,6;26,8;20,1;50,1;24;6,8;1,5;
2001-06-09;0;969,5;14,2;32,1;25,9;20;51,1;29;8,5;1,8;
2001-06-10;0;970,4;12,9;32,9;25,7;19,3;48;23;7,2;1,4;
2001-06-11;0;969,1;13,6;32;25,2;18;50,7;30;7,5;1,6;
2001-06-12;0;968,8;14;31,6;25,6;20,5;51;30;9,7;2,1;
2001-06-13;0;969,3;14,5;30,9;24,9;18;54,8;32;9,1;1,9;
2001-06-14;0;968,2;13,8;32,7;25;18;53,5;26;6,2;1,3;
2001-06-15;0;967,4;13,5;32,6;25,2;17;51,8;27;6,6;1,3;
2001-06-16;0;967,4;14,2;33;25,5;16,8;52,5;28;6,9;1,4;
2001-06-17;0;967,3;14,1;33,4;26,2;18,2;50,4;25;8,8;1,3;
2001-06-18;0;967,5;14;33,2;26,2;19,9;49,2;28;6,4;1,2;
2001-06-19;0;967,8;15,2;33,2;26;18;54,1;28;6,1;1,6;
2001-06-20;0;969,1;14,5;33,4;25,5;17,7;55;24;5;1,5;
