Nome: FACULDADE DA TERRA DE BRASILIA
Codigo Estacao: A008
Latitude: -15.907513
Longitude: -48.119977
Altitude: 1144.2
Situacao: Desativada
Data Inicial: 2003-06-12
Data Final: 2013-02-19
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-06-12;null;null;null;null;null;null;null;null;null;null;
2003-06-13;null;null;null;null;null;null;null;32;4,9;null;
2003-06-14;null;890,1;9,9;27;20,9;16,8;51,5;29;9,3;3;
2003-06-15;null;null;null;null;null;null;null;52;2,7;null;
2003-06-16;null;null;null;null;null;null;null;23;8,1;null;
2003-06-17;null;890,2;9,3;26,7;19,7;14,7;54;27;8,9;2,9;
2003-06-18;0;890,5;10,1;27;20,2;15,8;55,1;28;8,9;3,1;
2003-06-19;0;891;9,3;27;20,5;15,6;50,7;29;7;2,6;
2003-06-20;0;890,5;6,4;26,4;20,3;15,5;42,1;24;6,7;2,7;
2003-06-21;0;890,6;5,9;27,2;20,4;15,6;40,9;19;8,8;2,6;
2003-06-22;0;889,9;5,6;25,7;19,1;13,1;42,9;24;6,6;1,8;
2003-06-23;0;890;5,3;27,6;20;15;40;20;10,3;3,1;
2003-06-24;0;892,1;6,6;26,3;20,1;15,7;42,8;25;7,5;3;
2003-06-25;0;892;8,9;25,3;18,8;13,1;53,8;34;12,8;3,6;
2003-06-26;0;890,9;10,4;26,8;20,1;15,3;55,6;32;9,3;3;
2003-06-27;0;890,5;8,3;27,3;20,6;16;47,9;21;7,8;3,2;
2003-06-28;0;891,4;6,5;25,8;19,4;14,9;44,5;25;9;3,7;
