Nome: PARANA
Codigo Estacao: A010
Latitude: -12.615
Longitude: -47.87194443
Altitude: 284.96
Situacao: Operante
Data Inicial: 2005-03-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2005-03-03;null;null;null;28,7;null;null;null;42;3;null;
2005-03-04;null;979,4;23,2;28,7;24,9;22,8;90,7;72;10,3;1,7;
2005-03-05;15,4;981,3;23;30,3;25,1;22,9;89,2;64;5,7;1,7;
2005-03-06;1,4;979,4;22,9;31,6;26,3;22,4;82,5;59;5,8;1,5;
2005-03-07;,6;979,6;22,5;27,6;24,6;23,6;88,2;73;8,2;1,8;
2005-03-08;,2;979,9;22,4;29,8;24,7;22,3;87,7;64;9;1,5;
2005-03-09;4,8;978;22,4;33,3;26,1;22,4;82,5;47;9,6;1,6;
2005-03-10;46,6;978,9;22,5;30,8;24,8;21,1;87,8;63;7,9;1,4;
2005-03-11;0;979,8;23;29,8;25,2;22,5;88,1;67;11,8;1,5;
2005-03-12;,4;978,5;22,8;33,6;27,1;22,7;79,2;51;8,1;1,5;
2005-03-13;6;978,3;23,6;27,3;25,2;24,1;91,3;80;5,8;1,7;
2005-03-14;5,8;977,5;23;29,6;25,1;23,4;88,1;67;7,2;2,2;
2005-03-15;34,6;978;22,5;27,8;24,4;22,2;89,8;70;6,5;1,3;
2005-03-16;0;979,3;22,8;32,7;26;22,4;83,9;51;5,6;1,2;
2005-03-17;0;979,2;22,3;30,9;25,3;21,7;84,3;56;5,8;1,3;
2005-03-18;1,2;979,8;22,5;26,1;23,8;23,3;92,3;81;7,3;1,7;
2005-03-19;4,2;979,1;21,9;32,5;25,5;21,7;82,4;43;5,3;1;
2005-03-20;0;979,2;22,4;33,1;26;22,1;82;47;8,1;1,2;
2005-03-21;2,2;980;22,6;30,7;24,3;22,6;90,7;60;8,6;1,1;
2005-03-22;8,8;980,3;22,4;32,6;26;22,7;82,8;46;14;1,4;
2005-03-23;30,2;981;22,9;33,1;26,9;22,4;80,7;50;5,6;1,4;
2005-03-24;41,4;980,6;22,8;33;26,6;20,7;81,8;52;14,3;1,7;
2005-03-25;34,2;979,6;22,6;30,7;25,4;21,7;85,5;56;6,5;1,3;
2005-03-26;10,6;978,6;22,8;30,3;25,2;22,4;87,5;54;7,6;1,3;
2005-03-27;,4;978,6;22,7;31,1;24,6;22,5;89,6;60;13,3;1,1;
2005-03-28;1,2;978;22,8;33,1;26,2;21,8;83,4;47;10,8;1,2;
2005-03-29;31,4;979,1;22,8;29,3;24,5;22,6;90,3;66;10,8;1,6;
2005-03-30;,8;979,4;23;31,3;25,7;22,9;85,8;57;10,8;1,2;
2005-03-31;1;979,5;22,7;30,9;25,6;22,7;85;57;12,2;1,6;
2005-04-01;5,6;980,2;22,6;30,4;24,1;22,9;91,8;61;11,9;1,3;
2005-04-02;18;980,4;22,6;32,9;26;21,1;83,2;52;11,3;1,5;
2005-04-03;,4;980,3;22,8;32,8;27,2;22,4;79,1;50;8,1;1,6;
2005-04-04;13,6;980,6;23,3;33;26,8;22,8;82,8;50;6,9;1,6;
2005-04-05;0;979,9;23,2;33,1;27,6;23,1;79,2;52;6,2;1,5;
2005-04-06;,4;980,6;22,5;33,3;27,7;22,9;76;45;8,6;1,8;
2005-04-07;0;979,8;22,3;33,3;27,3;21,9;76,7;48;7,5;1,7;
2005-04-08;0;979,8;22,2;33,3;27,4;22,1;75,5;46;7,7;1,6;
2005-04-09;0;979;21,8;33;27;21,7;76;43;6,6;1,4;
2005-04-10;0;978,9;20,4;32,7;26,3;21;72,6;43;7,3;2,2;
2005-04-11;0;978,5;20,3;33,3;26,3;20,4;72,8;41;8,9;2;
2005-04-12;0;979,3;21,7;32,9;27;21,4;74,9;47;7,5;1,7;
2005-04-13;0;979,4;21,4;34,1;27,3;21,1;73,4;41;8,7;1,9;
2005-04-14;0;978,8;21,2;33,4;26,9;20,5;74;42;8,1;1,7;
2005-04-15;0;979;21,1;33,9;27,1;21,4;73;44;6,8;1,7;
2005-04-16;0;979,2;21,4;33,9;27,1;21,3;74,3;42;8;1,5;
2005-04-17;0;979,4;22,5;33,8;27,3;23,5;77;50;5,9;1,3;
2005-04-18;0;978,4;23;31,4;26,5;23,5;82,3;57;5,1;1,2;
2005-04-19;0;978,2;22,4;32,6;27,1;22,5;77,5;50;7,4;1,6;
2005-04-20;0;979,8;22,5;28,4;25,2;23,2;85,5;63;4,3;1,2;
2005-04-21;0;979,1;22,1;33,9;27,1;22,2;77;44;5;1,2;
2005-04-22;0;978;22;34,6;27,5;21,9;75,3;40;5,6;1,2;
2005-04-23;0;978,5;22,6;32,7;27,1;23,4;78,4;52;4,7;1,5;
