Nome: ARAGARCAS
Codigo Estacao: A013
Latitude: -15.90277777
Longitude: -52.24527777
Altitude: 327.35
Situacao: Operante
Data Inicial: 2007-07-12
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-12;null;null;null;null;null;null;null;null;null;null;
2007-07-13;null;977,1;13,1;33,8;24,6;null;54,6;24;7,2;1,5;
2007-07-14;4;976,9;13,5;33,8;24,4;16,1;56,8;22;6;,9;
2007-07-15;0;976;13,5;34,9;24,8;16,2;55,8;23;4,2;1;
2007-07-16;0;974,6;13,5;34,9;25,4;17,5;54;21;6,9;1,6;
2007-07-17;0;974,5;12,7;35,3;25,5;16,3;51,5;19;9,1;1,3;
2007-07-18;0;976,8;16,1;27,5;21;17,8;74,3;37;9,3;1,3;
2007-07-19;2,4;976,2;15,5;31,1;22,1;15,5;72,1;31;5;1,1;
2007-07-20;0;976;13,1;34,3;22,7;13,2;62,2;22;4,6;,9;
2007-07-21;0;975,3;13,1;36,1;25,3;16,3;54,9;18;8,6;1,4;
2007-07-22;0;973,6;15,1;35,7;28,6;18,9;46,1;26;10;1,9;
2007-07-23;0;974;17,1;34,8;27,8;22,6;54,5;31;9,8;1,5;
2007-07-24;0;974,5;18,4;33,8;26,6;21;63,2;34;6,7;1;
2007-07-25;0;976,9;17,8;28,1;23,1;21,7;72,7;56;9,7;2,1;
2007-07-26;0;981,1;6,9;25,7;19,8;15,5;48,5;20;9,2;1,8;
2007-07-27;0;979,4;7,6;31,8;21,1;12,3;46,2;21;5;1,1;
2007-07-28;0;979,1;12,5;33,9;24,1;15;51,7;27;5,2;1;
2007-07-29;0;978,9;14,1;32,8;25,4;18,3;51,1;32;8,6;1,6;
2007-07-30;0;978,1;14,6;33,7;26,2;20,4;52;26;7,3;1,4;
2007-07-31;0;977,2;13,3;33,4;24,7;16,2;54,8;24;8,6;1,4;
2007-08-01;0;977,4;9,8;33;25,1;17,2;43,4;17;7,5;1,5;
2007-08-02;0;978,8;8,3;33;22,9;13,3;46,6;15;7,4;1,2;
2007-08-03;0;978,5;8,7;33,5;22,7;12,1;48,1;16;6,1;1,1;
2007-08-04;0;978,6;9,6;34,5;23,2;13,4;50;16;7,8;1;
2007-08-05;0;977,6;10,4;35,2;24,7;15,7;46,7;16;6,4;1,6;
2007-08-06;0;976;10,1;35,1;24,6;15,2;47,2;14;10,1;1,6;
2007-08-07;0;976,7;10;35,5;25,2;15,5;44,9;16;7,1;1;
2007-08-08;0;976;9,8;35,1;24,8;14,5;46,2;15;9,8;1,5;
2007-08-09;0;976,5;9,6;35,2;25,4;14,8;42,5;16;9,9;1,7;
2007-08-10;0;977,7;9,6;34,9;25,8;15,5;40,5;17;7,3;1,4;
2007-08-11;0;978,8;9,4;34,2;25,8;17,9;40,5;16;10,2;1,6;
2007-08-12;0;978;9,4;34;25,7;17,5;39,8;17;10,6;1,6;
2007-08-13;0;977,4;11,4;34,9;25,6;16,2;46,3;21;8,9;1,5;
2007-08-14;0;977,2;7,9;34,1;26,6;19,4;34,1;15;10,2;2,2;
2007-08-15;0;977,7;8,1;33,3;25,3;17,5;36,4;19;11,1;2;
2007-08-16;0;978,5;8;33,3;24,7;16,3;39,1;16;8,7;1,5;
2007-08-17;,4;977,6;8,5;33,3;25,7;18,7;35,8;19;8,8;1,4;
2007-08-18;0;976,5;9,6;33,9;24,5;15,5;45,1;16;6,8;1;
2007-08-19;0;976,8;9,2;34,7;24,3;14,1;44,9;15;7,1;,9;
2007-08-20;0;977,4;9,4;35,6;25,8;17,3;41;13;7,1;1,5;
2007-08-21;0;977,6;9,3;35,8;26,1;17;40,6;13;8;1,5;
2007-08-22;0;976,4;8;36,6;26,4;16,6;38;12;8,2;1,3;
2007-08-23;0;974,8;7,9;35,5;26;15,7;36,8;13;7,7;1,2;
2007-08-24;0;974,1;8,5;35,6;25,7;16,3;40,1;14;7,7;1,3;
2007-08-25;0;973,3;8,7;36,4;25,7;15,4;41,7;13;7,8;1,1;
2007-08-26;0;973,2;9,5;36,9;27;16,4;37,5;16;7,6;1,3;
2007-08-27;0;974,2;14,5;35,9;28,2;21,6;45,5;23;6,3;1,5;
2007-08-28;0;975,8;14,2;34,5;25,5;17,5;52,8;27;6,3;1,5;
2007-08-29;0;976,2;13,4;37,3;28,1;20,1;45,3;17;7,9;1,3;
2007-08-30;0;977;11,3;36,5;28,9;22,4;37,8;15;9,3;1,8;
2007-08-31;0;978,4;6,5;34,4;27,2;18,5;29;13;9,8;1,8;
2007-09-01;0;978,1;8,1;35,4;25,5;16;38,5;14;6,3;1;
2007-09-02;0;977,7;8,4;36,1;25,8;15,9;40,4;13;6,4;1,2;
2007-09-03;0;977,5;7,4;36,5;26,8;16,4;35,3;13;8,9;1,4;
2007-09-04;0;977,8;5,8;35,7;27,6;17,8;28;13;9,4;2;
2007-09-05;0;978,5;7,9;35,3;28,8;21,8;28,8;15;9,3;1,9;
2007-09-06;0;979,1;7,9;35,4;27,9;21,1;30,7;14;9,5;1,7;
2007-09-07;0;978;8,6;36,4;27;16,6;36,7;14;8,7;1,3;
2007-09-08;0;976,4;8,9;36,4;27;16,5;38;13;9,8;1,4;
2007-09-09;0;975,5;8,9;36,9;27,2;16,9;37;14;9,3;1,1;
2007-09-10;0;974,9;6,4;37,2;28,3;18,9;28,3;12;8;1,3;
2007-09-11;0;974,6;6,7;38,2;28;17;30,5;11;6,6;1;
2007-09-12;0;974,4;8;38,3;28,9;18,8;30,5;13;7,1;1,3;
2007-09-13;0;973,5;9,5;37,6;29,8;21,8;30,5;16;9,1;1,8;
2007-09-14;0;973,8;10;37,3;29,7;22;31,9;17;8,8;1,9;
2007-09-15;0;973,9;11,2;38,2;30,4;23,4;33,8;16;7;1,3;
2007-09-16;0;973,4;11,1;39,2;30,2;21,4;35,6;13;7,7;1,2;
2007-09-17;0;972,7;11,1;39,9;30,2;21,4;35,3;13;7,5;1,3;
2007-09-18;0;972,3;10,6;40,2;30,5;21,3;33,5;12;7,4;1,2;
2007-09-19;0;974,2;14,7;36,2;30,1;23,8;39,9;23;10;1,5;
2007-09-20;0;973,8;15,9;38,2;30,9;23,3;44;20;6,3;1,3;
2007-09-21;0;973;14,2;39;30,4;22;41,8;17;5,4;1,4;
2007-09-22;0;973,3;10,9;39,3;30,3;20,6;37,1;11;8;1,4;
2007-09-23;0;972,5;10;39,8;29,6;18,6;33,9;14;6;,9;
2007-09-24;0;974,4;14,6;35;29,3;24,1;41,5;23;10,6;2,3;
2007-09-25;0;975,9;13,1;35,6;27,2;20;45,5;23;7;1,1;
2007-09-26;0;974,7;13,9;37,6;29,3;21,1;41;25;10,2;2;
