Nome: ITAPACI
Codigo Estacao: A015
Latitude: -14.97972221
Longitude: -49.53944444
Altitude: 551
Situacao: Operante
Data Inicial: 2007-02-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-02-02;null;null;null;28,3;null;null;null;59;5,1;null;
2007-02-03;null;null;null;null;null;null;90,1;79;6,8;null;
2007-02-04;56;949,4;21,8;26,9;23,2;21,8;92,2;74;9,8;1,7;
2007-02-05;21,6;949,9;21,2;24,1;22,6;21,6;92,2;84;7,7;1,8;
2007-02-06;6,2;949,9;21,8;26,2;22,8;21,6;94,5;83;9,3;1,3;
2007-02-07;35,8;950,2;21,6;26,8;23,2;21,5;91,1;74;7,2;1,4;
2007-02-08;2,4;950,5;21,5;30,1;24,4;20,9;84,9;58;9,2;1,5;
2007-02-09;3,4;952,7;21,5;28,5;23,9;21,4;87,8;60;5,6;,9;
2007-02-10;1,8;952,6;19,7;33,1;25,7;19,5;74;31;6,3;1;
2007-02-11;0;951;20,1;33,2;25,6;19,8;74,4;35;11,1;1,3;
2007-02-12;0;949,9;21,1;30,7;24,6;20,6;82,3;52;9,1;1,5;
2007-02-13;13,8;949;20,7;27,2;23,2;20,5;86;68;8,4;1,6;
2007-02-14;7,4;947,4;21,2;27,2;22,9;20,9;89,9;72;9,6;2,2;
2007-02-15;8,8;947,3;21,7;28,9;23,5;21,3;90,2;64;9,1;1,4;
2007-02-16;5,8;947,8;21,5;30,3;24,7;21,4;83,6;55;6;1,2;
2007-02-17;0;948,5;21,7;28,5;23,6;22,1;89,8;63;8,3;1;
2007-02-18;14,2;948,2;21,3;30,8;24,3;20,7;84,8;52;8,8;1,2;
2007-02-19;8,6;947,5;21,1;28,7;22,7;20,9;91,3;61;8,4;1,3;
2007-02-20;7,2;947,8;21;27,4;22,8;20;90;66;8,7;1,2;
2007-02-21;11,6;949;21;29;23,3;20,2;87,5;57;12,7;2;
2007-02-22;3,8;952;21,2;31,9;24;20,4;86,5;47;15,5;1,5;
2007-02-23;12,8;953,4;21,5;30,6;24,1;21;86,4;58;10,9;1,4;
2007-02-24;,4;952,8;19;31,8;25;18,5;73,7;38;10,6;,9;
2007-02-25;0;951,5;20,5;31,7;25,3;20,8;77,2;45;7,1;1,1;
2007-02-26;0;950,2;20,7;32,6;25;20,2;79,5;43;11,3;1;
2007-02-27;,2;951,2;20,9;29,9;23,7;20,5;85,3;58;10,3;1,1;
2007-02-28;2,8;951,1;21,2;30;23,1;20,6;90,3;55;12,7;1;
2007-03-01;9,8;949,9;20;31,8;25,3;20,6;76,1;40;8,2;1,5;
2007-03-02;0;950,3;19,1;32,6;25,8;20,6;70,8;37;10,1;1,2;
2007-03-03;0;950,8;19,1;31,9;24,4;18,2;74,4;45;9,4;1,5;
2007-03-04;,2;950,8;18,6;32,9;25,2;18,7;71,2;36;8,7;1,4;
2007-03-05;0;951,3;17,3;32,8;24,9;17,4;68,2;28;6,8;1;
2007-03-06;0;952,1;18,9;31,9;25,1;19,4;71,7;41;8,8;1,2;
2007-03-07;0;953,1;19,3;33,1;24,6;19;75,1;40;16,8;1,3;
2007-03-08;0;951,7;19;32,5;24,9;19,3;73;40;9,8;1,4;
2007-03-09;0;950,5;19;32,1;24,7;18,6;74;42;7,6;1,2;
2007-03-10;0;949,9;19,2;33,2;25,8;19,9;71,3;33;6,8;,9;
2007-03-11;0;949,8;18,7;33,2;26,2;20,8;67,6;34;7,2;1,4;
2007-03-12;0;950,9;20;32,4;25,9;20,7;72,6;36;9,1;1,4;
2007-03-13;0;951,5;19,8;33,9;25,4;20,7;74,4;37;12,2;1,8;
2007-03-14;7,8;950,7;19,9;32,1;25;20,7;76,7;40;8;1,3;
2007-03-15;3,4;950,6;21,5;29,1;23,8;21,3;87,3;64;9,1;1,2;
2007-03-16;20,8;951,4;20,8;30,9;24,5;20,5;82;50;8,1;1,4;
2007-03-17;,8;950,9;21,5;30,7;24,5;21,6;84,6;54;11,4;1,2;
2007-03-18;4,6;950,5;21,2;32,5;24,8;21,1;82,5;44;14,3;1,2;
2007-03-19;8,6;952,1;20,6;29,7;22,7;20,2;89,1;54;8,1;1,6;
2007-03-20;1,8;951,6;20,5;31,3;24,5;19,6;80,8;51;7,4;1,2;
2007-03-21;0;949,9;20,5;32;24,4;19,8;80,9;45;8,1;1,1;
2007-03-22;0;949,9;20;33,3;25,1;20;76;38;10,9;1,5;
2007-03-23;0;950,8;19,8;33,1;25,1;20;75;43;10,7;1,4;
2007-03-24;0;951,2;18,9;33,3;25,7;19,2;70,4;37;8,7;1,4;
