Nome: PEIXE
Codigo Estacao: A018
Latitude: -12.01527777
Longitude: -48.54444444
Altitude: 250.87
Situacao: Pane
Data Inicial: 2006-11-30
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-30;null;null;null;null;null;null;null;null;null;null;
2006-12-01;null;null;null;null;null;null;null;null;null;null;
2006-12-02;null;null;null;null;null;null;null;null;null;null;
2006-12-03;null;null;null;null;null;null;null;null;null;null;
2006-12-04;null;null;null;34,9;null;null;54,1;32;7,5;null;
2006-12-05;0;981,2;20,4;35,4;28,1;21,7;67;34;6,3;1,2;
2006-12-06;0;980,6;20,6;36,2;28,4;21,6;67,5;32;4,9;,7;
2006-12-07;0;980;22,4;29,9;25,9;23,5;81,4;62;6,2;1,4;
2006-12-08;20,6;981,8;21,6;26,5;23;21,6;91,8;77;11,5;1,6;
2006-12-09;10;981,7;21,3;32,9;25,7;20,5;79;49;6,8;1,4;
2006-12-10;,4;981;21,4;33,9;27,2;22,4;72,5;46;8,1;1,9;
2006-12-11;9,4;982,3;22,7;28,1;24,9;22,7;87,9;69;11;1,5;
2006-12-12;1,6;982,2;23,1;30,3;25,4;23,3;87,7;62;8;1,1;
2006-12-13;59,4;983;22,3;26,2;23,6;21,5;92,3;78;7,5;,9;
2006-12-14;1,8;982,3;22,1;31,9;25,8;22,6;81,9;51;11,7;,9;
2006-12-15;10,8;982,2;22,7;31,6;25,5;22,4;85,5;59;8,7;1,8;
2006-12-16;13,4;982,7;22,4;32,1;26,1;21;81,5;52;9,4;1,5;
2006-12-17;0;null;null;32,6;null;23,3;89,2;51;11,4;null;
2006-12-18;null;982,7;22;29;24,6;21,7;86,4;63;14,7;1,9;
2006-12-19;10;983,3;21,9;28,3;24,4;22;86,5;68;5,3;1;
2006-12-20;6;983,4;21,8;31,9;25,5;20,8;81,8;55;10,1;2;
2006-12-21;0;982,8;22,8;34,3;28,2;23;75,5;42;8,1;1,4;
2006-12-22;,6;982,7;23;35,2;28,8;24,5;73,7;38;5,7;1,3;
2006-12-23;,2;null;null;35;null;22,5;78,5;36;4,8;null;
2006-12-24;null;982,1;22,4;35,7;28,3;22,3;73,4;40;5,6;1;
2006-12-25;null;null;null;null;null;null;null;82;1,7;null;
2006-12-26;null;null;null;null;null;null;73,3;49;7;null;
2006-12-27;,2;983,5;22,8;33,3;26,5;23,1;81,6;49;11,9;1,4;
2006-12-28;24,4;984,1;22,3;34,3;26,4;21,8;80;46;10,3;1,4;
2006-12-29;0;984;21,4;33,2;26;20,7;77,7;48;12,4;1,3;
2006-12-30;0;983,7;23,1;30,8;26;23,4;84,7;61;9,9;1,5;
2006-12-31;27,2;983,6;23,5;29,8;25;23;91,5;69;8,3;1;
2007-01-01;9,6;983,2;23,2;32,3;25,8;23;86,7;57;8,9;1,1;
2007-01-02;0;983,1;22,9;34,5;27,1;22,3;80,2;44;5,8;1;
2007-01-03;0;982,2;22,8;33,9;27;23,5;79,4;50;12,5;1,4;
2007-01-04;11,2;982,8;21,4;25,7;23;21,4;90,8;78;11,3;2;
2007-01-05;28,6;981,5;22,4;32,4;25;22,1;86,8;56;14;1,1;
2007-01-06;12,4;981,7;22,2;32,6;24,6;22;87,8;52;14,2;1,1;
2007-01-07;19;983,5;22,1;28,9;24,4;22,2;87,4;67;6,6;1,7;
2007-01-08;,2;981,6;22,6;33,9;27,3;21,7;77,7;42;5,8;1,2;
2007-01-09;0;980,6;23,1;35,7;28,4;23,3;75,7;39;7,7;1,2;
2007-01-10;0;982;21,9;29,5;24,3;22,2;87;64;16,4;1,7;
2007-01-11;1;982,1;21,6;33,3;26;20,4;79,2;49;5,4;1,1;
2007-01-12;0;980,6;22,7;33,9;26,9;23;79,7;49;11,6;1,5;
2007-01-13;0;979,7;22,1;33;26,4;22,6;78,8;50;9,7;1,6;
2007-01-14;,2;981,1;22,8;28,8;25,3;23,3;86,5;68;9,4;1,6;
2007-01-15;9,4;981,6;22,8;31,6;26,2;22,4;82,9;56;6,9;1,1;
2007-01-16;0;981;23;34;27,1;24,1;80;48;10,8;1,8;
2007-01-17;19,4;980,7;22,5;34,8;27,5;22,3;77,3;41;6,9;1,2;
2007-01-18;0;981;22,7;35,5;28,6;23,2;73,5;38;5,6;1;
2007-01-19;0;981,1;23,3;34,9;28,5;23,3;75,9;41;9;1,3;
2007-01-20;0;981,8;22,5;35,2;27,3;22,3;77,9;39;9,8;1,2;
2007-01-21;0;983,1;22,3;35,6;27,1;22,7;77,8;39;9,5;1,2;
2007-01-22;1,6;981,7;22,9;35,1;26,3;22,1;83,7;35;12,1;1;
2007-01-23;1,8;981,3;22,6;30;25,9;22,3;83,5;59;10,8;1,5;
2007-01-24;0;981,5;22,2;35,2;27,1;22,3;77,7;40;11,4;1,5;
2007-01-25;3,2;982;23;28,5;25,4;23,1;86,9;72;6,5;1,5;
2007-01-26;0;981,8;22,7;33,9;26,1;23,1;83;51;9,4;1,5;
2007-01-27;0;983,2;23,1;31,7;26,1;23,7;84,3;58;10,7;1,9;
2007-01-28;,2;982,8;23;32,6;27,3;24;78,9;46;10,1;1,2;
2007-01-29;,2;983,6;23,2;31,6;25,3;23,8;88,7;60;10,5;1,3;
2007-01-30;40,4;983,7;23,1;31,9;26,7;22,5;82,2;53;6;1,3;
2007-01-31;43,8;982,3;22,5;32;26,1;22,6;82,6;52;9,1;1,2;
2007-02-01;0;982,7;22,8;32,1;25,4;23,5;86,8;51;13,1;1,5;
2007-02-02;68,6;983,6;22,6;32;25,3;22,3;86,1;53;6,8;1,1;
2007-02-03;9,6;983,2;22,8;29,3;24,4;23,1;91,1;65;11,1;1,3;
2007-02-04;25,2;983,1;22,7;29,7;24,8;22,7;88,9;62;7,2;,9;
2007-02-05;11,2;983,4;22,8;28,1;24,3;22,2;91,9;76;6,8;1,6;
2007-02-06;16,4;982,7;23,1;28,3;25,1;23,5;89,1;71;5;1;
2007-02-07;15,8;983;22,5;30,1;24,3;21,9;90,2;61;9,3;1,1;
2007-02-08;25,8;983;22,4;30,4;24,8;23;87,7;63;7,7;,9;
2007-02-09;,8;984,2;22;33,2;26,3;21,2;80,2;47;7,5;,9;
2007-02-10;0;984,3;22,8;34,7;27,1;22,8;79,6;39;8,8;,9;
2007-02-11;,2;983,5;22,7;32,1;26,2;22,9;82,5;51;8,5;1,5;
2007-02-12;0;982,4;22,1;32;25,9;21,6;81,4;51;7,2;1,5;
2007-02-13;1,6;981,7;22,8;30,1;24,4;22,9;91,2;66;12,3;,8;
2007-02-14;19,8;981,5;22,2;25,5;23,4;22;93;83;7,1;1,8;
2007-02-15;11,2;980,8;22,5;28,3;24,3;22,3;89,9;71;8,8;2;
2007-02-16;,6;981,3;22,2;29,1;24,1;22;89,7;66;8,6;1,7;
2007-02-17;,2;980,9;22,7;29,5;24,7;22,4;89,4;69;9,4;,9;
2007-02-18;6,8;980,6;22,7;29,9;24,1;22,6;92,2;72;12,9;1,4;
2007-02-19;54,4;979,8;22,7;29,2;23,9;22;93,1;68;7,5;,9;
2007-02-20;1,8;980,1;22,3;25,6;23,6;21,7;92,3;78;8,1;1;
2007-02-21;22,8;981,6;22,4;28,1;24,2;21,4;90;69;9,8;2,1;
2007-02-22;3;984,3;22,6;28,1;24,6;22,9;89,7;68;6,7;1,1;
2007-02-23;16,8;985,7;21,9;29,6;24,3;20,7;87,4;64;8,7;1,3;
2007-02-24;0;984,4;21,8;32,4;26,1;21,5;79,3;46;6,4;1;
2007-02-25;,4;983,4;22;33,2;27;22,7;76,5;44;9,7;1,5;
2007-02-26;0;982,2;21,9;33,5;27,1;22,7;76;42;9,3;1,4;
2007-02-27;0;983,1;22,2;30,5;25,2;21,8;84,5;57;8,7;1,5;
2007-02-28;3,8;982,6;22,1;32,5;26,2;22,1;80;48;7,6;1,6;
2007-03-01;,2;981,3;22,1;33,3;27,1;23,2;76,5;44;8,4;1,5;
2007-03-02;0;981,6;21;33,2;27,7;23,5;69,2;43;9,7;1,9;
2007-03-03;0;981,8;21,2;32,9;27,2;22,6;71,7;46;8,7;1,7;
2007-03-04;0;982,1;20,6;32,6;26,7;20,3;71,5;44;8,4;1,9;
2007-03-05;0;982,5;19,6;33,6;27,4;21,5;65,2;35;7,7;1,8;
2007-03-06;0;983,6;20,2;33,9;26,8;21,7;69,5;41;14,8;2,1;
2007-03-07;0;984,8;21,3;31,3;26,1;21,8;75,8;55;6,9;1,7;
2007-03-08;0;983;20;34,1;27,2;21;67,5;36;7,3;1,8;
2007-03-09;0;982,3;22,5;30,5;25,5;23,5;83,4;61;6,6;1,3;
2007-03-10;,2;981,7;22,4;32,2;26,6;22,9;79,6;52;9,6;1,4;
2007-03-11;1;982,1;22;31;25,5;22,3;82,3;55;8,9;1,5;
2007-03-12;0;983,4;21,5;31,9;24,6;21,7;84,5;51;8,6;1,6;
2007-03-13;8,8;983,6;21,4;32,3;25,4;21,7;81,1;42;8,7;1,2;
2007-03-14;3;982,3;22,6;31,8;25,9;23,1;83,7;56;8,9;1,1;
2007-03-15;59,6;982,8;22,5;28,4;24,3;22,2;89,9;71;7,1;1,5;
2007-03-16;7,6;983,8;21,9;30,8;25,2;21,8;83,5;52;6,3;,9;
2007-03-17;1,2;982,8;22,2;33,5;26,4;22,5;80;46;7,8;,7;
2007-03-18;0;982,2;22,2;34,3;27;22,4;77,5;43;4,6;,8;
2007-03-19;7;984,3;21,6;30,6;25;21,2;82,6;51;13,5;1,3;
2007-03-20;0;983,1;21,9;33,3;26,6;22,9;77,8;45;7,6;1,1;
2007-03-21;0;981,4;22,6;33,6;25,6;22,2;84,9;48;11,5;1,1;
2007-03-22;5,2;981,9;22,4;32,9;25,7;22,2;83,5;51;5,6;,9;
2007-03-23;18,2;982,5;21,8;33;24,8;20,7;84,8;52;17,3;1;
2007-03-24;12;982,5;21,4;33,9;26,5;21,4;77,3;38;7,5;1,2;
2007-03-25;0;981,7;21,3;34,2;27,3;22,3;72,9;41;7,7;1,4;
2007-03-26;0;980,8;21,3;34,3;27,7;22,3;71,1;41;9,1;1,6;
2007-03-27;0;981,3;21,1;34,8;27,6;21,5;71;38;6,3;1;
2007-03-28;0;982;21,3;35;27,9;21,7;70,9;33;7,2;1,3;
2007-03-29;0;981,1;20,9;34,4;27,8;21,7;69,8;38;6,9;1,1;
2007-03-30;0;980,8;18,8;34;27;20,9;65,8;31;6,8;1,3;
2007-03-31;0;980,8;19;34,7;26,4;20,1;68,5;31;6,1;1,2;
2007-04-01;0;981,1;19,3;35,3;26,9;20,1;68,5;30;5;,9;
2007-04-02;0;980,7;20,9;36,5;27,9;22,2;70,3;32;9,4;,8;
2007-04-03;,4;981,2;22,5;32,1;26,5;23,4;79,7;48;4,4;,5;
2007-04-04;0;981,1;23;32,4;26,6;23,2;82,3;52;4,1;,2;
2007-04-05;0;981,8;22,3;33,6;27,2;23,5;76,9;48;6,8;,6;
2007-04-06;0;982,2;21,7;35,3;27,2;22,2;75,3;36;4,2;,4;
2007-04-07;0;982;20,7;36,7;28,3;21,9;68,6;28;5,2;,6;
2007-04-08;0;982,3;22,2;34,4;26,5;22,1;78,8;46;11,7;1,1;
2007-04-09;0;982,8;22,2;30,5;25,8;23,2;81,3;61;10,7;1,6;
2007-04-10;2,8;982;22,2;32,9;26,5;22,3;79,1;48;6;1,2;
2007-04-11;,6;983,3;22,9;29,1;25,1;23,1;87,5;68;7,8;,7;
2007-04-12;2;984,8;22,2;32,3;25,9;22,2;81,1;51;7;1,1;
2007-04-13;0;984,3;21,3;33,6;26,8;22,2;75,3;40;4,9;,6;
2007-04-14;0;983,4;21,6;32,9;26,5;21,7;76,5;46;6,7;,6;
2007-04-15;0;983,6;21,5;34,3;27,8;22,9;71,9;39;7,4;1,1;
2007-04-16;0;983,2;20,9;34;27,8;23;69,5;38;6,3;1,1;
2007-04-17;0;981,7;21;34,2;26,9;22,5;72,7;41;7,1;1,4;
2007-04-18;,2;982,7;19,4;32,5;25,1;19,8;73,1;42;11,4;1,4;
2007-04-19;0;982,5;21,4;31,6;25,6;22;79;52;5,5;1,4;
2007-04-20;0;983,4;22,2;29,6;25,5;23;82,6;60;5,1;1,3;
2007-04-21;,2;983,1;21,6;33,4;26,7;22,7;76,2;44;8,1;1,2;
2007-04-22;0;982,8;21,5;33,6;27;23,2;73,8;46;5,8;1;
2007-04-23;0;983,2;21,1;34,9;27;21,3;73,4;39;5,7;,5;
2007-04-24;0;982,5;22;34,6;26,9;22,4;76,6;39;8,1;,4;
2007-04-25;3,4;982,4;22;33,3;25,6;22,3;82,3;47;16,2;,9;
2007-04-26;13,2;981,5;22,3;32,8;26,3;22,3;80,5;47;5;,8;
2007-04-27;0;982;21,8;34,5;26,7;21,9;77,3;40;8,7;1;
2007-04-28;0;983,5;22;33,7;25,8;21,5;81,2;47;9,4;,5;
2007-04-29;4,8;984,1;21,6;32,9;26,7;22,7;76,6;45;8,6;1,4;
2007-04-30;0;983,3;21;33,8;26,8;21,6;74,6;39;6,1;1;
2007-05-01;0;982,2;20,8;35,2;27,2;21,5;71,9;35;5;,9;
2007-05-02;0;982,2;21,2;34,3;27,8;23;70,7;40;7,6;1,2;
2007-05-03;0;982,6;21,4;34,3;27,2;22;73,5;40;5,3;,8;
2007-05-04;0;982,4;19;33,9;26,6;22,1;67,5;31;9,5;1,1;
2007-05-05;0;982,3;16,5;32,8;26,1;20,6;58,6;34;9;1,8;
2007-05-06;0;981,7;18;34,3;25,7;19,1;66,2;33;8,6;1,4;
2007-05-07;0;981,5;19,3;34,6;26,5;20,8;68,8;34;8,2;1,3;
2007-05-08;0;982;19,4;35;26,9;20,8;68,5;31;6;,8;
2007-05-09;0;982,7;18,7;35,9;27,1;20;65,5;28;6,3;1;
2007-05-10;0;982,4;18,9;35,5;27,4;20,5;63,9;31;7,9;1,4;
2007-05-11;0;985,4;19;32,8;26,8;22,4;64,8;39;11,3;2;
2007-05-12;0;987,3;17,4;32,6;25,9;19,9;62,3;36;8,2;1,5;
2007-05-13;0;986,4;17;33,4;null;20,2;62,8;31;7,2;1,4;
2007-05-14;null;985;17,3;33,9;25,7;19,3;64,9;30;6,2;,7;
2007-05-15;0;984;17,6;35,1;26;19,3;65,3;28;7,6;,9;
2007-05-16;0;982,6;16,9;35,1;26;18,5;63,5;27;8,2;,9;
2007-05-17;0;983,1;17,6;34,4;26;18,2;65;31;7;1,1;
2007-05-18;0;983,3;18,2;34,9;26,5;20,5;64,3;31;6,7;,9;
2007-05-19;0;983,1;17,8;34,5;26,3;19,7;64,9;29;5,8;,7;
2007-05-20;0;982,7;17,4;34,8;25,8;18,5;65,8;27;6,9;,9;
2007-05-21;0;982,4;17,1;34,1;25,9;18,9;64,6;28;7,2;,8;
2007-05-22;0;981,9;17,9;34,2;25,2;18,6;68,6;30;5,5;,3;
2007-05-23;0;981,4;17,5;34,8;25,6;18,1;66,7;29;4,1;,3;
2007-05-24;0;982,8;19,8;34,3;26,7;20,5;68,5;38;6,7;,9;
2007-05-25;0;983,3;19,1;33,5;26,2;19,3;67,3;40;5,3;1,1;
2007-05-26;0;982,5;19,4;34;26,9;20,1;66,4;37;5,3;,9;
2007-05-27;0;983,2;20,5;34,3;27,8;22,5;66,8;40;5,1;,7;
2007-05-28;0;983,1;21,5;33,8;27,1;23,2;73,6;44;8,3;,5;
2007-05-29;0;983,6;21,5;33,4;26,9;22,5;75;41;5,2;,5;
2007-05-30;0;983,8;20,4;34,8;27,1;21,3;70,4;37;6,9;1,1;
2007-05-31;0;983,8;19,4;33,9;27,3;21,9;65,7;37;11,1;1,5;
2007-06-01;0;984,8;19;33,6;26,5;20,9;66,5;36;8,5;1,3;
2007-06-02;0;985,2;16,8;34;26,4;21,1;60;28;5,6;,5;
2007-06-03;0;985,2;14,8;34,9;24,8;17,2;62,5;17;4,4;,5;
2007-06-04;0;985,1;15,3;33,9;24,4;16,5;62,4;28;6,5;,8;
