Nome: GURUPI
Codigo Estacao: A019
Latitude: -11.74499999
Longitude: -49.05166666
Altitude: 274
Situacao: Operante
Data Inicial: 2006-12-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-12-19;null;null;null;null;null;null;null;null;null;null;
2006-12-20;null;null;null;null;null;null;null;null;null;null;
2006-12-21;null;null;null;null;null;null;null;null;null;null;
2006-12-22;null;null;null;null;null;null;null;null;null;null;
2006-12-23;null;null;null;null;null;null;null;null;null;null;
2006-12-24;null;null;null;null;null;null;null;null;null;null;
2006-12-25;null;null;null;null;null;null;null;null;null;null;
2006-12-26;null;null;null;null;null;null;null;null;null;null;
2006-12-27;null;null;null;null;null;null;null;null;null;null;
2006-12-28;null;null;null;null;null;null;null;null;null;null;
2006-12-29;null;null;null;null;null;null;null;null;null;null;
2006-12-30;null;null;null;null;null;null;null;null;null;null;
2006-12-31;null;null;null;null;null;null;null;null;null;null;
2007-01-01;null;null;null;null;null;null;null;null;null;null;
2007-01-02;null;null;null;null;null;null;null;null;null;null;
2007-01-03;null;null;null;null;null;null;null;null;null;null;
2007-01-04;null;null;null;null;null;null;null;null;null;null;
2007-01-05;null;null;null;null;null;null;null;null;null;null;
2007-01-06;null;null;null;null;null;null;null;null;null;null;
2007-01-07;null;null;null;null;null;null;null;null;null;null;
2007-01-08;null;null;null;null;null;null;null;null;null;null;
2007-01-09;null;null;null;null;null;null;null;null;null;null;
2007-01-10;null;null;null;null;null;null;null;null;null;null;
2007-01-11;null;null;null;null;null;null;null;null;null;null;
2007-01-12;null;null;null;null;null;null;null;null;null;null;
2007-01-13;null;null;null;null;null;null;null;null;null;null;
2007-01-14;null;null;null;null;null;null;null;null;null;null;
2007-01-15;null;null;null;null;null;null;null;null;null;null;
2007-01-16;null;null;null;null;null;null;null;null;null;null;
2007-01-17;null;null;null;null;null;null;null;null;null;null;
2007-01-18;null;null;null;null;null;null;null;null;null;null;
2007-01-19;null;null;null;null;null;null;null;null;null;null;
2007-01-20;null;null;null;null;null;null;64,5;49;10,8;null;
2007-01-21;4,2;980,1;21,9;33,8;25,4;21,4;82,4;48;17,7;1,3;
2007-01-22;14,4;978,7;22,1;33,9;25,9;21,2;81,4;47;10,8;1,1;
2007-01-23;0;978,3;22,5;29,8;24,5;21,5;88,9;67;10,9;1;
2007-01-24;3,4;978,5;22;34,4;26,7;21,7;78,1;40;13,5;1,4;
2007-01-25;,2;978,8;22,9;30,8;26,2;23,5;82,6;60;10,7;1,4;
2007-01-26;8,4;978,9;22,6;33,3;26;22,5;83,8;47;13,2;1,5;
2007-01-27;6,2;980,2;22,5;30,5;25,7;22,5;83,1;60;8,1;2,3;
2007-01-28;0;979,7;22,9;33,6;26,8;23;81,3;46;8,3;1,2;
2007-01-29;,2;980,6;22,9;29,5;25,3;23,6;87,2;66;10,7;2,1;
2007-01-30;36,2;980,8;22,2;32,2;26,5;22,9;78,9;51;6,7;1,8;
2007-01-31;12,6;979,2;22,3;32,4;26,2;22,2;80,9;48;10,3;1,1;
2007-02-01;0;979,6;22,8;29,7;25;23,1;87,8;68;8,2;1,8;
2007-02-02;18,4;980,5;22,4;30,8;25,4;22,4;84,8;58;8,5;1,5;
2007-02-03;19;980,2;22,4;29;23,7;22,4;92,3;67;8,9;1,5;
2007-02-04;34,8;980;22,3;29;24,1;22,2;90,3;66;9,4;1,1;
2007-02-05;4,4;980,3;22,5;28,9;24,8;22,5;88,1;66;10,8;1,9;
2007-02-06;14,6;979,7;22,9;26,9;24,2;23,2;92,7;78;5,6;1,3;
2007-02-07;10,2;979,9;22,5;30,6;24,1;22,4;91,5;54;11,3;1,1;
2007-02-08;32,2;980,1;22,5;28,9;24;22,6;91,8;66;9,6;1,2;
2007-02-09;15,2;981,2;22,5;30,7;25;21,5;86,9;60;13,5;,8;
2007-02-10;5;981,3;22,4;34,2;27,2;21,7;78;42;5,4;1;
2007-02-11;0;980,8;22,3;30,5;25,2;21,7;84,9;58;12,9;1,7;
2007-02-12;9,2;979,4;21,8;31,4;25,1;21;82,8;53;9;1,8;
2007-02-13;2,6;978,6;22,9;30,2;24,7;22,7;90,7;64;12,8;1,3;
2007-02-14;13,8;978,4;22,1;25;23,4;22,2;92,7;82;8,4;1,9;
2007-02-15;6,8;977,8;22,1;27,3;23,9;22,4;89,9;72;9,9;2,8;
2007-02-16;,8;978,2;22;28,1;23,9;22;89,4;68;9,5;2,2;
2007-02-17;6,2;977,9;22,1;29,9;24,3;20,5;88,3;62;9,1;1,3;
2007-02-18;9,4;977,8;22,6;29,9;24,4;22,9;90;64;9,1;1,5;
2007-02-19;6,6;976,8;22,4;26,6;23,7;22,7;92,8;81;7,7;1,6;
