Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-01;null;null;null;null;null;null;null;null;null;null;
2007-06-02;null;null;null;null;null;null;44,3;29;5,3;null;
2007-06-03;0;940,4;13,6;31;22,9;14,8;59,2;30;7,5;1,3;
2007-06-04;0;940,9;16;29,3;23,6;20,2;63,9;40;9,6;2,1;
2007-06-05;0;940,6;14,8;30,4;23,2;17,5;61,3;36;4,5;,9;
2007-06-06;0;940,5;13,2;31,4;23,9;17,8;54,3;28;5,6;1,1;
2007-06-07;0;940;13,4;31,7;24,3;18,6;52,1;29;9,1;,9;
2007-06-08;0;940,1;11;31,3;23,9;16,7;47,8;21;8,4;1,3;
2007-06-09;0;940,4;10,3;29,9;22,5;16,6;48;25;9,2;1,6;
2007-06-10;null;940,7;8,9;29,3;null;14,7;43,5;22;7,9;1,5;
2007-06-11;null;940,2;9;30,6;null;16,6;41,5;21;7,2;1,2;
2007-06-12;null;940,4;10,2;30,2;null;16,1;45,6;25;7,4;1,3;
2007-06-13;null;939,5;12,1;30,9;null;17,6;48,3;27;7,5;1,6;
2007-06-14;null;939;13,3;31,4;null;17,1;49;31;5,4;1,1;
2007-06-15;null;939,8;11,6;31,5;null;17,6;45,4;20;7,3;1,3;
2007-06-16;null;941;8,7;30,9;null;18,1;38,6;21;13;1,8;
2007-06-17;null;940,7;9,6;31,3;null;15,8;39,3;23;11,9;1,2;
2007-06-18;null;941,4;11,6;31,5;null;16,7;43,7;25;9,1;1,5;
2007-06-19;null;941,7;10,6;29,6;null;18,5;43,2;24;9,6;1,7;
2007-06-20;null;942,2;11;29,5;null;17,1;47,2;26;7,2;1,5;
2007-06-21;null;942,5;11,1;29,9;null;15,3;48,2;26;8,5;1,6;
2007-06-22;null;941,5;12,2;28,8;null;17,1;49,2;32;8,3;1,4;
2007-06-23;null;940,3;11;28,2;null;15,2;49;31;8,1;1,3;
2007-06-24;null;941,5;11,2;28,9;null;14,9;49,2;27;8,3;1,2;
2007-06-25;null;null;null;29;null;16,2;44,9;29;10,8;null;
2007-06-26;null;null;null;28,8;null;17,5;52,2;40;8,4;null;
2007-06-27;null;null;null;29,1;null;16,3;47,7;29;8,2;null;
2007-06-28;null;941,5;10,5;30,3;null;15,7;44,8;24;5,6;1,4;
2007-06-29;null;942,6;10,4;30,2;null;18;42,7;24;7,4;1,3;
2007-06-30;null;null;null;30,2;null;15,4;41,3;24;5,9;null;
2007-07-01;null;null;null;30,8;null;15,6;38,2;21;9,7;null;
2007-07-02;null;943,8;8,8;29,8;null;17,3;38,5;22;8,4;1,7;
2007-07-03;null;null;null;29,6;null;14,6;36,4;22;6,9;null;
2007-07-04;null;942,3;10,9;29,5;null;17,5;44,7;29;7,2;1,4;
2007-07-05;null;null;null;30,1;null;18;43,8;25;8,4;null;
2007-07-06;null;942;12,3;29,9;null;17,8;49,4;29;9,7;2,1;
2007-07-07;null;940,5;9,4;29,5;null;18,1;42,8;23;8,1;1,7;
2007-07-08;null;null;null;30,1;null;17,9;39,9;24;5,8;null;
2007-07-09;null;null;null;31,4;null;17,3;39,6;23;7,5;null;
2007-07-10;null;939,6;10;31,3;null;17,6;41,5;23;7,2;1,3;
2007-07-11;null;939,4;10,7;31;null;16,5;42,6;26;6,9;1,4;
2007-07-12;null;null;null;31,1;null;18,8;37;23;9,9;null;
2007-07-13;null;null;null;30,2;null;18,9;36,8;24;7,3;null;
2007-07-14;null;null;null;30,3;null;17,7;37,4;24;6,9;null;
2007-07-15;null;939,1;10;31,2;null;17,2;39,4;25;5,4;1,6;
2007-07-16;null;null;null;31,9;null;17,5;37,6;22;5,7;null;
2007-07-17;null;null;null;31,9;null;17,6;35,5;22;7,3;null;
2007-07-18;null;null;null;32,6;null;17,8;39,4;18;11,8;null;
2007-07-19;null;null;null;32,4;null;16,6;42,2;22;10,1;null;
2007-07-20;null;null;null;32,7;null;18,9;41,8;26;6,5;null;
2007-07-21;null;939;13,3;32,5;null;20,5;44,7;28;8;1,8;
2007-07-22;null;null;null;32,6;null;19,7;38,1;25;9,1;null;
2007-07-23;null;937,7;11,6;32,5;null;17,9;40,9;26;10,8;1,7;
2007-07-24;null;937,9;12,7;32,6;null;20,6;42,4;26;8,1;1,5;
2007-07-25;null;null;null;32;null;19,3;49,2;26;13,8;null;
2007-07-26;null;null;null;null;null;null;50,6;36;7,1;null;
2007-07-27;null;null;null;32,3;null;19;37,9;25;7,2;null;
2007-07-28;null;null;null;31,2;null;20,2;45,1;31;9,1;null;
2007-07-29;null;null;null;31,1;null;19;46;28;11;null;
2007-07-30;null;null;null;30,5;null;18,8;42,1;25;9;null;
2007-07-31;null;940,9;9,1;30,2;null;17,4;40,2;22;9,3;2,5;
2007-08-01;null;null;null;29,5;null;15,5;31,2;15;10,1;null;
2007-08-02;null;942;5,1;29,3;null;15,9;31,7;19;9,5;1,8;
2007-08-03;null;941,7;6,5;30;null;18;33,5;20;7,5;1,5;
2007-08-04;null;941,7;7,4;31,4;null;18;33,5;19;6,6;1,6;
2007-08-05;null;940,5;7;32,2;null;18,4;31,7;18;8,9;1,6;
2007-08-06;null;940,1;7,4;31,5;null;18,3;31,6;18;12,4;2;
2007-08-07;null;940,6;5,9;31,5;null;17,4;29,5;15;8,5;1,4;
2007-08-08;null;940;6,6;31,5;null;17,9;31,8;18;11,4;2,5;
2007-08-09;null;940,9;8,9;30,6;null;18,7;36,2;24;10,6;2,5;
2007-08-10;null;941,9;7,7;30,6;null;17,8;35,1;19;11,2;3;
2007-08-11;null;942,1;6,9;31,1;null;17,5;34,1;17;11,6;3,1;
2007-08-12;null;941,5;10;30,6;null;16,9;39,8;26;11;2,6;
2007-08-13;null;941,8;9,2;31;null;19,5;37,2;23;11,2;2,8;
2007-08-14;null;941,7;7,4;29,4;null;16,8;35,9;23;14,3;null;
2007-08-15;null;941,7;6,6;29,8;null;17,5;34;21;14,2;3,3;
2007-08-16;null;null;null;30,1;null;15,3;35,4;20;13,7;null;
2007-08-17;null;940,9;10,1;28,8;null;16,7;44,1;29;12,4;2,2;
2007-08-18;null;null;null;30,4;null;17,6;35,5;24;10,5;null;
2007-08-19;null;940,4;6,5;31,5;null;17,7;31,8;18;7,1;1,4;
2007-08-20;null;940,6;4;33,1;null;19,2;26,1;12;11,3;2;
2007-08-21;null;940,4;3;33,7;null;17,5;23,5;13;8,7;1,6;
2007-08-22;null;939,9;3,8;32,8;null;20,6;23,3;13;9,3;1,7;
2007-08-23;null;938,9;5,2;32,1;null;20,5;27;13;9,4;2,2;
2007-08-24;null;938,2;6,5;32,3;null;18,2;30,9;15;8,6;1,4;
2007-08-25;null;937,3;5,2;33,6;null;16,9;27,1;13;6,9;1,6;
2007-08-26;null;937,4;6,2;34,1;null;18,3;26,2;15;7,9;1;
2007-08-27;null;null;null;null;null;null;21,1;14;6,3;null;
2007-08-28;null;null;null;null;null;null;26,5;15;7,4;null;
2007-08-29;null;null;null;35,2;null;21,2;25,1;15;11,2;null;
2007-08-30;null;null;null;32,1;null;17,7;27,8;13;12,2;null;
2007-08-31;null;null;null;30,9;null;17,6;32,4;19;10,7;null;
2007-09-01;null;941,8;5,7;32,1;null;18,6;27,5;16;8,6;1,7;
2007-09-02;null;941,5;4,3;32,6;null;20,6;23,9;14;9,5;2,2;
2007-09-03;null;null;null;33;null;15,2;24,6;14;12,3;null;
2007-09-04;null;null;null;31,6;null;19,4;35,3;26;13,3;null;
2007-09-05;null;null;null;31,5;null;20,8;33,4;23;11,7;null;
2007-09-06;null;null;null;31,3;null;16,7;34,7;22;13,8;null;
2007-09-07;null;941,8;6,8;32,4;null;19,7;30,2;16;9,9;2,4;
2007-09-08;null;null;null;32,9;null;21,1;28,5;17;9,8;null;
2007-09-09;null;null;null;33,1;null;21,1;25,5;13;10,5;null;
2007-09-10;null;939;4,8;33,7;null;19,7;24,9;14;7,9;1,9;
2007-09-11;null;null;null;34,3;null;20,3;26,9;15;8;null;
2007-09-12;null;938,8;8,6;34,2;null;22,1;29,8;17;9,6;1,9;
2007-09-13;null;null;null;33,5;null;21,1;28,5;19;13,1;null;
2007-09-14;null;938,4;8,8;34,1;null;21,2;30,3;19;9,4;2,3;
2007-09-15;null;null;null;35,3;null;20,2;24,6;13;9,3;null;
2007-09-16;null;null;null;null;null;null;21,7;14;6,9;null;
2007-09-17;null;null;null;37,2;null;23,3;20,6;13;7,6;null;
2007-09-18;null;null;null;36,1;null;24,5;24,3;18;10,2;null;
2007-09-19;null;null;null;33,9;null;21,1;36,6;25;8,2;null;
2007-09-20;null;null;null;null;null;null;24,4;10;8,1;null;
2007-09-21;null;null;null;36,7;null;21,8;19,9;8;9,6;null;
2007-09-22;null;null;null;36,3;null;23,5;18,3;10;7,3;null;
2007-09-23;null;null;null;36,9;null;22,6;21;13;13,1;null;
2007-09-24;null;null;null;37,3;null;21,6;24,9;15;10,2;null;
2007-09-25;null;null;null;null;null;null;34,9;17;8,5;null;
2007-09-26;null;null;null;34,6;null;25,2;30,2;24;12,6;null;
2007-09-27;null;null;null;33,7;null;22,9;32,6;19;10,9;null;
2007-09-28;null;null;null;33,5;null;20,5;31;21;14,9;null;
2007-09-29;null;null;null;35,4;null;22,8;27,6;19;11;null;
2007-09-30;null;null;null;null;null;null;28,9;19;12,3;null;
2007-10-01;null;null;null;null;null;24;34,9;24;9,7;null;
2007-10-02;null;null;null;null;null;null;53,7;33;9;null;
2007-10-03;null;null;null;null;null;null;37;17;8,5;null;
2007-10-04;null;null;null;35,2;null;23,2;28,1;17;6;null;
2007-10-05;null;null;null;null;null;null;30,4;24;8,6;null;
2007-10-06;null;null;null;null;null;null;36,8;26;8,3;null;
2007-10-07;null;null;null;null;null;null;25,7;15;9,7;null;
2007-10-08;null;null;null;36,5;null;23,5;24;13;12,4;null;
2007-10-09;null;null;null;null;null;null;22;11;12,2;null;
2007-10-10;null;null;null;35,2;null;22;24,1;14;9,6;null;
2007-10-11;null;null;null;36,2;null;23,7;25,3;17;8,8;null;
2007-10-12;null;null;null;35,6;null;22,1;28,9;20;9;null;
2007-10-13;null;null;null;null;null;null;null;42;9;null;
2007-10-14;null;null;null;null;null;null;35,8;26;11,3;null;
2007-10-15;null;null;null;null;null;null;36,8;20;8,3;null;
2007-10-16;null;null;null;37,5;null;22,9;29,6;14;8,9;null;
2007-10-17;null;null;null;38;null;25,3;26,1;18;7,9;null;
2007-10-18;null;null;null;null;null;null;37,9;24;17,8;null;
2007-10-19;null;null;null;null;null;null;null;48;5,5;null;
2007-10-20;null;null;null;null;null;null;54,9;37;17,3;null;
2007-10-21;null;null;null;null;null;null;null;38;8,6;null;
2007-10-22;null;null;null;null;null;null;45,5;29;9,3;null;
2007-10-23;null;null;null;null;null;null;null;73;4,3;null;
2007-10-24;null;null;null;null;null;null;62,8;39;23,1;null;
2007-10-25;null;null;null;null;null;null;65,9;44;18,1;null;
2007-10-26;null;null;null;null;null;null;53,2;32;8,7;null;
2007-10-27;null;null;null;null;null;null;39,5;22;6,2;null;
2007-10-28;null;null;null;null;null;null;33,7;18;9,2;null;
2007-10-29;null;null;null;null;null;null;35,6;20;8,9;null;
2007-10-30;null;null;null;null;null;null;54,2;29;13,1;null;
2007-10-31;null;null;null;null;null;null;59,9;31;8,1;null;
2007-11-01;null;null;null;null;null;null;null;38;8,9;null;
2007-11-02;null;null;null;null;null;null;null;37;13;null;
2007-11-03;null;null;null;null;null;null;null;38;6,6;null;
2007-11-04;null;null;null;null;null;null;null;47;9,8;null;
2007-11-05;null;null;null;null;null;null;null;53;null;null;
2007-11-06;null;null;null;null;null;null;null;72;null;null;
2007-11-07;null;null;null;null;null;null;null;30;8;null;
2007-11-08;null;null;null;null;null;null;null;31;null;null;
2007-11-09;null;null;null;null;null;null;null;60;3,6;null;
2007-11-10;null;null;null;null;null;null;null;62;null;null;
2007-11-11;null;null;null;null;null;null;null;50;null;null;
2007-11-12;null;null;null;null;null;null;null;64;4;null;
2007-11-13;null;null;null;null;null;null;null;null;null;null;
2007-11-14;null;null;null;null;null;null;null;44;7,2;null;
2007-11-15;null;null;null;null;null;null;null;45;7,5;null;
2007-11-16;null;null;null;null;null;null;null;38;null;null;
2007-11-17;null;null;null;null;null;null;null;30;12,6;null;
2007-11-18;null;null;null;null;null;null;null;26;5,6;null;
2007-11-19;null;null;null;null;null;null;null;33;8,2;null;
2007-11-20;null;null;null;null;null;null;null;35;10,5;null;
2007-11-21;null;null;null;null;null;null;50,2;30;6,7;null;
2007-11-22;0;936;18,2;32,5;25,4;21,5;65,4;40;19,8;1,7;
2007-11-23;42;936,7;19;28;23,3;18,6;78,3;53;12,8;2;
2007-11-24;0;935,7;18,6;30,4;24,3;19;72,9;45;8,8;1,7;
2007-11-25;2,8;935,1;20;30,3;25;20,5;74,9;51;8,7;1,7;
2007-11-26;5,2;935,1;20,9;26,7;23;20,9;88,2;66;9,5;1,2;
2007-11-27;18,4;933,2;21;29;24,1;20,2;83,9;60;10,4;1,3;
2007-11-28;2,8;933,1;19,8;31,5;24,3;19,9;78,2;43;12,4;1,7;
2007-11-29;1,6;934,8;19,3;27,7;23,1;19,7;79,9;59;6,8;1,6;
2007-11-30;0;935,5;19,8;29,2;22,7;20,2;84,4;55;14,7;,9;
2007-12-01;17;936,5;20,3;26,5;22,3;20,3;89;72;5,6;,6;
2007-12-02;21,2;937,1;20,3;31,1;24,1;20,5;81;46;8,8;,9;
2007-12-03;3,2;936,9;20,8;28,6;24,3;21,3;81,7;53;7,8;,8;
2007-12-04;,8;936;20,6;29,6;23,7;21,5;83,3;56;7;1;
