Nome: CAIAPONIA
Codigo Estacao: A023
Latitude: -16.96694443
Longitude: -51.81749999
Altitude: 740.1
Situacao: Operante
Data Inicial: 2007-05-20
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-20;null;null;null;null;null;null;null;null;null;null;
2007-05-21;null;null;null;null;null;null;44;31;8,8;null;
2007-05-22;1,2;929;15,5;29,9;23,6;18;62;40;8,8;1,2;
2007-05-23;8,4;929,3;17,9;23,6;20,3;19,4;86,8;65;11,7;2,3;
2007-05-24;16,8;933,2;10,2;20,3;15,5;12,4;72,7;40;10,5;3,6;
2007-05-25;0;933,2;6,9;23,2;14,6;7,7;63,8;29;8,6;2,2;
2007-05-26;0;931,1;7,7;27,8;18,3;11,2;53,9;23;5,8;1,7;
2007-05-27;0;931,4;12,2;29,3;21,9;14,8;55,7;37;7,6;1,7;
2007-05-28;0;932;15,3;29,3;22,2;16,7;67,3;39;6,1;1,3;
2007-05-29;0;933,1;15,1;24,3;20,1;16,8;73,5;55;7,1;2,3;
2007-05-30;0;934,5;8,9;24,4;17,1;11;60,6;37;7,7;2,7;
2007-05-31;0;933,1;9,2;28,3;19,5;12;53,2;32;6,7;1,6;
2007-06-01;0;932,4;13,7;30;22,5;15,6;60;33;9,2;1,8;
2007-06-02;0;932,5;16,1;29,2;22,6;16,5;68,5;45;8,3;1,7;
2007-06-03;0;933,7;18;26,5;22;18,8;79,4;57;9,9;2,5;
2007-06-04;0;934,6;9,7;24,6;18,5;12,9;61,8;30;8,2;2;
2007-06-05;0;933,6;9,2;29,8;20,2;13,2;51,9;27;5,4;1,4;
2007-06-06;0;933,2;11,7;29,5;21,5;14;57,2;25;7,4;1,5;
2007-06-07;0;932,7;11,7;30;22,1;15,5;54,4;29;5,9;1,3;
2007-06-08;0;932,6;12;29,7;23,1;17,6;51,8;30;7,9;1,7;
2007-06-09;0;932,6;9,9;29,5;22,5;15,9;48,3;22;8,8;1,7;
2007-06-10;0;932,9;9,8;28,6;21,5;14,2;50,4;26;6,7;1,6;
2007-06-11;null;932,4;9,4;29,3;null;12,8;48,2;25;8,8;1,5;
2007-06-12;0;932,6;8,9;30,1;21,3;13,3;50;20;7,4;1,3;
2007-06-13;0;931,6;8,9;29,4;21,7;15,4;45,7;27;9,1;2,3;
2007-06-14;0;931,6;10,4;30,2;21,7;14,1;52,4;26;6,8;1,3;
2007-06-15;0;932,1;11,3;30,8;23,2;16,4;50;26;10,1;1,5;
2007-06-16;0;933,2;11,2;30,8;23,8;16,8;48,2;24;8,9;1,5;
2007-06-17;0;933;10,3;30,1;22,9;15,9;48,5;23;7,9;1,4;
2007-06-18;0;934;10,4;30,8;22,7;16,5;49,1;23;5,7;1,1;
2007-06-19;0;933,8;10,6;29,9;22,8;15,7;49;26;6,5;1,3;
2007-06-20;0;934,3;10;29,1;21,9;14,7;49,8;25;7;1,3;
2007-06-21;0;934,6;9,7;29;21,2;14,6;51,3;25;7;1,2;
2007-06-22;0;933,4;10,6;28,8;21,4;14,1;53;30;10;1,8;
2007-06-23;0;932;11,3;28,2;20,8;13,4;57,6;32;10,6;1,5;
2007-06-24;0;934;10,2;28,7;21;13,9;54,3;25;7,6;1,1;
2007-06-25;0;935;9,8;28,7;21,1;14,3;50,9;29;10,8;1,9;
2007-06-26;0;934,7;10,4;28,3;21,2;14,6;53,2;28;8,8;1,7;
2007-06-27;0;934,6;11,4;28,7;21,4;15;55,3;27;6,9;1,3;
2007-06-28;0;933,9;11,2;29,6;21,9;14,9;54;26;8,8;1,2;
2007-06-29;0;935,4;11,7;29,3;22,4;16,4;53,9;27;6,8;1,6;
2007-06-30;0;936,2;11,7;29,5;22,5;16,4;53,3;27;6,9;1,6;
2007-07-01;0;936,9;10,1;29,2;22,3;16,3;49;26;8,4;1,9;
2007-07-02;0;936,8;9,1;28,9;21,9;15,9;46,8;25;10,4;1,8;
2007-07-03;0;935,4;8;28,1;21;14,4;46,3;24;7;1,5;
2007-07-04;0;934,2;6,7;28,2;20,7;12,5;44,4;18;8,9;1,9;
2007-07-05;0;934,7;7,6;29,1;20,6;12,3;46,7;22;9,2;1,5;
2007-07-06;0;933,8;10,9;29,2;21,7;14,4;52,8;29;7,4;1,4;
2007-07-07;0;932,4;11,5;29,3;21,9;14,1;54,1;30;10,1;1,6;
2007-07-08;0;932,2;10,6;29,5;22,1;15,3;52,3;25;7,5;1,2;
2007-07-09;0;932,9;9;29,9;22,3;13,3;45,5;24;7,6;1,6;
2007-07-10;0;932;8,7;30,2;22,6;14,6;45,3;22;7,8;1,6;
2007-07-11;0;932,7;12;27,9;20,4;14,1;62,4;29;9,8;2,3;
2007-07-12;0;932,8;11,8;29,6;20,9;13,4;60,3;27;7,4;1,8;
2007-07-13;0;932,6;11;29,9;22,3;14,1;51,6;28;7,1;1,3;
2007-07-14;0;932,4;11,2;30;22,9;15,6;50,9;27;6,9;1,1;
2007-07-15;0;931,4;11,4;31,1;24;16,9;48;27;6,9;1;
2007-07-16;0;930,2;11,9;31,7;24,2;16,2;49,3;26;7;1,5;
