Nome: ALTO PARAISO DE GOIAS
Codigo Estacao: A024
Latitude: -14.13305554
Longitude: -47.52333332
Altitude: 1264.7
Situacao: Operante
Data Inicial: 2007-06-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-03;null;null;null;null;null;null;null;null;null;null;
2007-06-04;null;878,8;13,2;26,8;20,2;null;65,1;43;6,9;1,7;
2007-06-05;0;878,8;14,4;26,1;20,4;15,2;69,7;46;7,9;1,8;
2007-06-06;0;878,9;14;27;21,5;18;63,6;43;8,3;1,6;
2007-06-07;0;878,5;13,7;25,6;20,2;16,2;67,4;46;9,7;2,4;
2007-06-08;0;878,4;9,5;25,7;20,2;16,5;51,9;27;9;2,3;
2007-06-09;0;878,4;9,4;24,5;17,8;12,8;59,5;30;11,1;2,7;
2007-06-10;0;878,4;8,9;24,9;18,3;12,9;55,8;35;8,3;2,9;
2007-06-11;null;878,3;8,5;26,2;null;13,1;50,7;30;6,8;2,2;
2007-06-12;0;878,6;9,8;25,3;18;10;60,4;39;10,2;1,7;
2007-06-13;0;877,8;12;25,9;18,7;11,9;66,6;44;9,4;2,3;
2007-06-14;0;877,4;12,3;27,5;20;15,1;63,2;27;6,7;1,9;
2007-06-15;0;877,9;10,1;26,4;19,4;14,4;58,1;28;9,1;3,1;
2007-06-16;0;879;9,1;25,3;18,6;10,3;56,2;30;10,3;2,6;
2007-06-17;0;878,8;11,2;26,5;19,5;12,9;60,8;35;8,9;2,2;
2007-06-18;0;879,9;11;26,2;20,1;15,7;57,5;32;7,9;3;
2007-06-19;0;879,7;10,1;24,6;18,3;12;61,5;33;12,7;3,1;
2007-06-20;0;880,1;10,3;24,4;18,3;13,2;61,5;35;10,9;3,7;
2007-06-21;0;880,2;10,6;24,3;18,3;13;61,4;45;11,3;3,8;
2007-06-22;0;879,4;10,9;23,9;17,9;13,9;64,7;43;11,8;3,6;
2007-06-23;0;877,7;9,4;24;17,5;12,8;60,1;41;10;3;
2007-06-24;0;879,1;10,1;25,1;17,6;10,3;64,2;38;8,9;1,6;
2007-06-25;0;880;9,5;24,1;18,1;12,2;59,2;36;11,4;3,2;
2007-06-26;0;880,5;12;20,5;16,7;13,5;74,6;48;8,4;3;
2007-06-27;0;880,2;10,5;24;17,6;12,8;65,9;36;10,9;2,6;
2007-06-28;0;879,4;10,5;25;18,5;13,5;60,7;39;7,8;2,3;
2007-06-29;0;880,6;9,5;25;18,4;13,2;58,7;31;9,7;2,1;
2007-06-30;0;881,2;6,4;25,8;18,9;13,2;46,8;22;7,8;2;
2007-07-01;0;881,9;6,1;25,5;19;14,3;45;23;11,8;2,6;
2007-07-02;0;881,6;5,9;24,8;17,7;11;49;26;9,7;2;
2007-07-03;0;880,7;7,8;24,6;17,5;11,5;53,9;35;10;2,5;
2007-07-04;0;880,4;11,3;24,2;17,8;12,9;66,6;43;8,7;2,5;
2007-07-05;0;881;11,6;24,6;17,8;12;68,6;43;8;2,3;
2007-07-06;0;879,9;12,1;23,2;17,4;12,7;72,7;46;9;3,1;
2007-07-07;0;878,8;8,9;25,3;17,7;12,3;58,7;33;7,8;2,7;
2007-07-08;0;878,3;9,2;25,2;17,8;11,2;59,2;33;9,2;1,7;
2007-07-09;0;879;10,8;26,3;19,1;13,7;59,9;39;9,9;2,3;
2007-07-10;0;878,1;9,9;27,1;19,6;12,7;55,1;31;7,5;2,3;
2007-07-11;0;877,8;9,7;25,7;19,7;14,2;54,1;32;8,2;2,3;
2007-07-12;0;878,5;7,9;26,3;19,5;15,4;48,6;25;10;3,1;
2007-07-13;0;879,2;7,9;25;18,7;13,1;50,8;31;8,5;2,7;
2007-07-14;0;878,6;7,5;26;19,2;13,9;48,5;28;7,6;2,4;
2007-07-15;0;877,6;8,1;27;19,5;13,4;49,8;29;7;1,7;
2007-07-16;0;876,8;6,7;28,4;20,3;14,2;43,6;23;7,1;1,8;
2007-07-17;0;876,9;6,3;28,5;20,8;13,5;40,6;25;7,6;2,1;
2007-07-18;0;877,2;7,6;28;21,1;14,6;43,1;26;9,8;2,1;
2007-07-19;0;876,3;9,3;29,2;20,9;13,9;49,6;24;9;1,6;
2007-07-20;0;877,2;11;28,1;21,1;15,9;54,2;32;11,4;2,2;
2007-07-21;0;878,1;12,4;26,6;21,2;16,9;58,5;39;9,6;3;
2007-07-22;0;876,9;10,1;28;21;15,6;51,3;31;8,5;2,7;
2007-07-23;0;876,6;7,9;28,1;20,9;14,4;45,2;26;14,2;2,1;
2007-07-24;0;876,7;8,4;29,6;21,3;15,3;46,2;22;8,3;1,7;
2007-07-25;0;877,3;7;29,2;21,9;15,8;39,6;24;8,6;2;
2007-07-26;0;878,8;12,1;27,7;20,6;14,1;61,3;34;8,4;2,3;
2007-07-27;0;878,7;10,1;28,4;21,1;15,9;52,4;26;9;2,3;
2007-07-28;0;879,2;10,6;26,5;20,7;15,9;53;38;10,8;3,3;
2007-07-29;0;879,1;11,6;25,5;20,1;15,3;59,5;36;11,7;4,2;
2007-07-30;0;879,5;11,1;24,5;18,7;13,9;63;38;11,7;4,3;
2007-07-31;0;879,1;7,9;24;17,5;11,8;56,1;28;10,2;3,9;
2007-08-01;0;878,6;4,7;23,8;16,9;11,3;46,2;25;9,4;3,3;
2007-08-02;0;879,4;6,3;25;17,6;11,2;49,4;27;11,3;3,7;
2007-08-03;0;879,6;6,7;25,7;17,6;10,2;50,9;28;8,5;2,2;
