Nome: PARAUNA
Codigo Estacao: A027
Latitude: -16.9625
Longitude: -50.42555554
Altitude: 678.74
Situacao: Operante
Data Inicial: 2008-03-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-28;null;null;null;null;null;null;null;null;null;null;
2008-03-29;null;934,6;19,3;30,7;25,1;null;72,8;41;7,8;1,4;
2008-03-30;0;934,7;18,1;31,6;25;19,8;67,8;36;9,3;1,4;
2008-03-31;0;934,2;19,3;30,2;24,8;19,9;73,5;48;7,6;1,5;
2008-04-01;0;933,7;19,7;30,6;24,7;20,5;75;48;6,8;1,3;
2008-04-02;0;934,2;20;28,7;23,5;20,5;81,4;54;7,5;1;
2008-04-03;1,4;933,9;19,6;29;23,3;20,5;80,7;51;5,8;1,2;
2008-04-04;53,8;933,2;19,9;25,4;21,9;19,3;89,1;73;8;1,7;
2008-04-05;2,6;933,5;20,6;26,5;23;21;86,9;66;6,9;1,1;
2008-04-06;0;933,5;20,5;28,5;23,2;20,6;85,5;60;10,4;1,6;
2008-04-07;,4;934,8;20,6;27,4;22,8;21,3;88;66;8,4;1,4;
2008-04-08;32;936,1;20,7;29,2;23,6;19,8;84,8;59;9;1,1;
2008-04-09;0;936,8;20,9;30,6;24,8;20,7;80,1;55;8,2;1,4;
2008-04-10;0;935,3;20,2;30,9;25,3;20,8;75,2;47;6,4;1,2;
2008-04-11;0;933,6;19,6;32,5;25,6;20,6;71,5;39;6,6;1,5;
2008-04-12;0;933,6;19,8;32,4;25,3;21;73,2;46;9,4;2,1;
2008-04-13;3,4;934,3;20;30,9;24,6;20,1;76,8;50;7,2;1,6;
2008-04-14;0;935,5;19,6;30,7;24;20,7;77,8;47;11,4;1,8;
2008-04-15;0;936,3;18,8;29;23,1;19,1;78,8;50;7;1,1;
2008-04-16;0;937,7;20;30,3;22,9;20,2;85;52;17,3;1,9;
2008-04-17;23,4;939,1;20,3;30,1;23,1;19,4;85,3;56;7,1;1,8;
2008-04-18;,2;937,8;19,8;30,1;24,2;20;78;48;7,4;1,4;
2008-04-19;11,2;936,5;19,8;29,8;23,1;19,5;83;53;15,8;1,4;
2008-04-20;,4;936,6;19,2;28,1;22,4;18,2;83;58;8,9;1,7;
2008-04-21;,2;937,1;18,9;27,9;22,5;19,4;81;58;10,3;1,4;
2008-04-22;0;937,1;19;27,9;22,1;19,4;83,3;61;12,2;1;
2008-04-23;2,8;936,2;18,6;29,8;23,2;18,9;78,5;44;5,5;,9;
2008-04-24;0;935,7;17,6;30,8;23,6;18,2;71,8;33;4,9;,9;
2008-04-25;0;935,3;17,6;29,7;23,9;18,3;69,7;44;7,1;1,1;
2008-04-26;0;934,9;16,4;30,9;24,3;18,9;63,5;41;7;1,2;
2008-04-27;0;935,3;18,2;31,1;24,3;19,5;70,4;45;6,4;1,4;
2008-04-28;0;934,7;18,7;31,1;25,2;19,9;68,9;45;8,2;1,8;
2008-04-29;0;935,1;19,3;31,8;25,3;20,1;70,8;43;8,6;1,6;
2008-04-30;0;935,6;19,8;30;24,6;21;75,6;50;8,8;1,6;
