Nome: IPORA
Codigo Estacao: A028
Latitude: -16.42305554
Longitude: -51.14888888
Altitude: 610.41
Situacao: Pane
Data Inicial: 2013-06-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-06-23;null;null;null;null;null;null;null;null;null;null;
2013-06-24;null;null;null;null;null;null;null;null;null;null;
2013-06-25;null;null;null;null;null;null;null;null;null;null;
2013-06-26;null;null;null;null;null;null;null;null;null;null;
2013-06-27;null;null;null;null;null;null;null;null;null;null;
2013-06-28;null;null;null;31,8;23,5;16,8;66,9;null;null;null;
2013-06-29;0;null;null;31,6;23,6;16,1;61,1;null;null;null;
2013-06-30;0;null;null;31,9;23,4;15,3;60,4;null;null;null;
2013-07-01;0;null;null;31,6;23;14,4;53,3;null;null;null;
2013-07-02;0;null;null;29,5;22,6;17,7;61,1;null;null;null;
2013-07-03;0;null;null;31;22,9;15,5;58;null;null;null;
2013-07-04;0;null;null;30,1;22,9;17,8;57;null;null;null;
2013-07-05;0;null;null;30,4;22,4;15,1;59;null;null;null;
2013-07-06;0;null;null;30,1;22;15,1;61,2;null;null;null;
2013-07-07;0;null;null;30,3;22,3;15,1;59,6;null;null;null;
2013-07-08;0;null;null;29,8;21,8;13,7;52,5;null;null;null;
2013-07-09;0;null;null;30,6;21,5;12,6;47,8;null;null;null;
2013-07-10;0;null;null;30,1;22,2;15,8;51,2;null;null;null;
2013-07-11;0;null;null;28,8;21,4;16,7;52,6;null;null;null;
2013-07-12;0;null;null;28,4;20,8;13,9;53,4;null;null;null;
2013-07-13;0;null;null;30;21,4;13,3;55,6;null;null;null;
2013-07-14;0;null;null;31;21,9;13,6;55,8;null;null;null;
2013-07-15;0;null;null;31,8;22,8;13,8;51,3;null;null;null;
2013-07-16;0;null;null;31,3;24;16,5;46,2;null;null;null;
2013-07-17;0;null;null;32;22,9;14,1;49,2;null;null;null;
2013-07-18;0;null;null;32,2;23,2;14,8;55;null;null;null;
2013-07-19;0;null;null;32,7;24,3;16;57,3;null;null;null;
2013-07-20;0;null;null;31,7;24,5;17,1;57,3;null;null;null;
2013-07-21;0;null;null;33,2;25,8;19,7;45,7;null;null;null;
2013-07-22;0;null;null;32,9;25;17;52,5;null;null;null;
2013-07-23;0;null;null;26,1;18,7;14,9;69,8;null;null;null;
2013-07-24;0;null;null;25,1;16;9,7;56;null;null;null;
2013-07-25;0;null;null;24,4;15,9;9,2;51,6;null;null;null;
2013-07-26;0;null;null;28,7;19,2;12;50,9;null;null;null;
2013-07-27;0;null;null;31,3;21,7;12,8;42,8;null;null;null;
2013-07-28;0;null;null;31,4;22,1;12,6;41,7;null;null;null;
2013-07-29;0;null;null;31,3;21,7;13,7;42,3;null;null;null;
2013-07-30;0;null;null;32,6;22,5;13,7;39,1;null;null;null;
2013-07-31;0;null;null;32,6;24,3;16;37;null;null;null;
2013-08-01;0;null;null;32,5;23,1;14,4;45,1;null;null;null;
2013-08-02;0;null;null;32,3;22,9;12,6;42,6;null;null;null;
2013-08-03;0;null;null;32;22,6;13,3;39,8;null;null;null;
2013-08-04;0;null;null;32,2;22,5;12,2;41,9;null;null;null;
2013-08-05;0;null;null;32,7;23,2;13,8;39,5;null;null;null;
2013-08-06;0;null;null;32,6;23,3;13,8;42,4;null;null;null;
2013-08-07;0;null;null;32,3;23;14,6;41,4;null;null;null;
2013-08-08;0;null;null;33,1;23,6;12,8;41,5;null;null;null;
2013-08-09;0;null;null;31,9;23,7;13,6;41,5;null;null;null;
2013-08-10;0;null;null;31,9;23,7;15,7;45,8;null;null;null;
2013-08-11;0;null;null;28,9;20,1;12,9;52,8;null;null;null;
2013-08-12;0;null;null;32,4;22,9;13,9;43,6;null;null;null;
2013-08-13;0;null;null;34,1;24,8;14,4;41,4;null;null;null;
2013-08-14;0;null;null;28,2;23,6;19,3;45,3;null;null;null;
2013-08-15;0;null;null;26,2;18,8;11,9;39,8;null;null;null;
2013-08-16;0;null;null;32,4;21,9;12,6;34,1;null;null;null;
2013-08-17;0;null;null;32,3;24,7;17,7;35,2;null;null;null;
2013-08-18;0;null;null;32;24,6;16,7;33,8;null;null;null;
2013-08-19;0;null;null;31,6;24,8;18,6;42;null;null;null;
2013-08-20;0;null;null;31,2;24,3;17,6;38,2;null;null;null;
2013-08-21;0;null;null;32;23,9;16,1;36,3;null;null;null;
2013-08-22;0;null;null;32,8;24,8;15,2;37,2;null;null;null;
2013-08-23;0;null;null;33,9;25;16,5;41;null;null;null;
2013-08-24;0;null;null;35,2;26,2;18,1;40,3;null;null;null;
2013-08-25;0;null;null;34,6;26,6;18,3;39;null;null;null;
2013-08-26;0;null;null;33,7;26;21,5;42,6;null;null;null;
2013-08-27;0;null;null;27,9;20,7;14,9;44,5;null;null;null;
2013-08-28;0;null;null;28;18,6;11,4;37,8;null;null;null;
2013-08-29;0;null;null;33,6;23,1;13,9;26,8;null;null;null;
2013-08-30;0;null;null;34,7;26;19,3;36,4;null;null;null;
2013-08-31;0;null;null;32,8;26,3;22;48,1;null;null;null;
2013-09-01;0;null;null;34,2;25,8;19,1;40,3;null;null;null;
2013-09-02;0;null;null;35,2;25,7;15,9;33,7;null;null;null;
2013-09-03;0;null;null;30,8;24,5;19,2;46,9;null;null;null;
2013-09-04;0;null;null;30,3;24,2;19;56;null;null;null;
2013-09-05;0;null;null;32,4;25,1;17,6;51,5;null;null;null;
2013-09-06;0;null;null;34,1;26,8;20,4;47,7;null;null;null;
2013-09-07;0;null;null;32,3;26;20,8;48,3;null;null;null;
2013-09-08;0;null;null;33,5;26,6;19,7;46,6;null;null;null;
2013-09-09;0;null;null;34,1;26,8;20,2;33,5;null;null;null;
2013-09-10;0;null;null;33,9;26,5;17,8;30,7;null;null;null;
2013-09-11;0;null;null;34;25,9;17,5;33,5;null;null;null;
2013-09-12;0;null;null;32,4;26;18,9;31,5;null;null;null;
2013-09-13;0;null;null;33;25,5;18,6;30,1;null;null;null;
2013-09-14;0;null;null;34,4;26,6;18;31,6;null;null;null;
2013-09-15;0;null;null;36,3;26,9;17;36,1;null;null;null;
2013-09-16;0;null;null;36,4;28,1;19,1;37;null;null;null;
2013-09-17;0;null;null;36,3;27,2;22,4;48,2;null;null;null;
2013-09-18;7,2;null;null;29,1;23,2;19,8;75,9;null;null;null;
2013-09-19;0;null;null;34;26,6;20;60,3;null;null;null;
2013-09-20;0;null;null;36,6;28,9;20,5;45,2;null;null;null;
2013-09-21;0;null;null;35,5;28,7;22,8;45;null;null;null;
2013-09-22;2,6;null;null;36,3;29;22,6;46,4;null;null;null;
2013-09-23;0;null;null;34,9;28,6;21,2;43,9;null;null;null;
2013-09-24;0;null;null;30,7;25,5;21,9;61;null;null;null;
2013-09-25;0;null;null;30,7;22,5;15,8;48,5;null;null;null;
2013-09-26;0;null;null;34,4;25,2;16,6;30,8;null;null;null;
2013-09-27;0;null;null;36,8;28;20;30,8;null;null;null;
2013-09-28;0;null;null;32,9;27,1;23,6;49,4;null;null;null;
2013-09-29;0;null;null;33,6;25;20,8;66,1;null;null;null;
2013-09-30;5,2;null;null;32;24,3;19,4;71,9;null;null;null;
2013-10-01;21,8;null;null;27,6;23,4;19,3;75,4;null;null;null;
2013-10-02;0;null;null;31,8;25,5;20,6;65,2;null;null;null;
2013-10-03;0;null;null;34,2;25,9;21,1;62,7;null;null;null;
2013-10-04;0;null;null;32,2;25,1;22,5;69,5;null;null;null;
2013-10-05;1,6;null;null;27,5;22,8;19,4;77,5;null;null;null;
2013-10-06;0;null;null;31,8;25,8;20,6;57,5;null;null;null;
2013-10-07;0;null;null;32,5;27,1;22,6;41,8;null;null;null;
2013-10-08;0;null;null;32,5;25,9;19,6;60,4;null;null;null;
2013-10-09;32,6;null;null;30,7;24,2;19,9;73;null;null;null;
2013-10-10;0;null;null;32,4;26;20,3;57,9;null;null;null;
2013-10-11;0;null;null;33,7;26,5;20,8;44,8;null;null;null;
2013-10-12;0;null;null;28,1;25,3;21,9;55,4;null;null;null;
2013-10-13;0;null;null;33,5;27,2;21,7;49,8;null;null;null;
2013-10-14;0;null;null;34,7;26,3;21,4;59,2;null;null;null;
2013-10-15;7,2;null;null;34,3;27,6;20,5;52;null;null;null;
