Nome: EDEIA
Codigo Estacao: A029
Latitude: -17.33694444
Longitude: -49.91472222
Altitude: 608
Situacao: Operante
Data Inicial: 2017-08-25
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-25;null;null;null;null;null;null;null;null;null;null;
2017-08-26;null;946,3;9,3;34,4;25,9;null;37,2;20;8,1;3,3;
2017-08-27;2,2;945;7,3;34,8;26,7;19,7;31,8;14;8,9;2,2;
2017-08-28;0;944,7;3,9;35,5;27,3;19,7;24;11;8,8;2,3;
2017-08-29;0;944,9;2,3;36,2;27,6;19,5;21,1;10;9,1;2,4;
2017-08-30;0;945,6;2,7;36,2;28,2;20,8;20,5;12;8,5;2,4;
2017-08-31;0;945,9;3,8;36,5;null;18,9;22,5;13;8,5;2,4;
2017-09-01;null;947,1;4,2;36,1;28;19,4;23;13;14,6;3,4;
2017-09-02;0;949,1;8,5;33,4;26,5;20,1;33,6;19;13,4;5,1;
2017-09-03;0;949;8,9;32,4;25,2;18,5;38,5;18;10,6;4,2;
2017-09-04;null;948,3;5,7;31,7;24,6;18,2;31,3;16;10,5;4,1;
2017-09-05;0;948,1;4;32,5;24,7;16,4;28,3;14;13,1;2,6;
2017-09-06;0;946,7;3,2;33,8;25,8;17,5;24,5;15;10,3;2,9;
2017-09-07;0;945,6;4,4;35,6;null;20,1;24,1;13;8,2;2,5;
2017-09-08;0;944;4,9;35,5;27,6;20;25;13;9,7;2,5;
2017-09-09;null;943,9;4,4;35,2;null;20,4;24;15;12,8;4;
2017-09-10;0;944,2;4,4;36,1;27,4;18,9;25,2;12;9;2,6;
2017-09-11;0;945,4;7,6;36,4;28,5;20,4;28,4;16;20,6;2,2;
2017-09-12;0;946;7,9;35,4;28,2;21;29,2;15;13,2;4,4;
2017-09-13;null;946,8;5,4;34,7;27,5;19,5;25,5;12;13,9;4,2;
2017-09-14;0;946,8;8;35;28,2;22,4;29,6;16;11;3,6;
2017-09-15;0;947,2;6,8;35,6;27,8;20,5;29;11;9,9;3,2;
2017-09-16;0;946,7;5,1;35,4;27,4;20;26,4;12;15,9;4;
2017-09-17;0;946,9;5,6;33,3;26,1;18,7;27,8;18;15,5;3,2;
2017-09-18;null;947;6,5;34,6;26,9;19,6;29,5;15;10,5;2,8;
2017-09-19;0;946,5;7,3;35,7;28;20,5;28,5;16;13,4;3,5;
