Nome: MONTE ALEGRE DE GOIAS
Codigo Estacao: A032
Latitude: -13.25361111
Longitude: -46.89027777
Altitude: 552
Situacao: Operante
Data Inicial: 2007-06-06
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-06;null;null;null;null;null;null;null;null;null;null;
2007-06-07;null;null;null;null;null;null;null;null;null;null;
2007-06-08;null;null;null;null;null;null;null;null;null;null;
2007-06-09;null;null;null;null;null;null;null;null;null;null;
2007-06-10;null;null;null;null;null;null;null;null;null;null;
2007-06-11;null;null;null;null;null;null;33,5;23;7,6;null;
2007-06-12;0;952,7;10,9;31,5;24,2;16,9;44,9;26;8,9;2,4;
2007-06-13;0;951,9;13,5;31,9;25;18,7;50,5;30;7,7;2,3;
2007-06-14;0;951;13,6;33,1;26;20,3;48,5;23;7,5;2,1;
2007-06-15;0;952,1;10,5;31,5;24,6;17,7;42,7;24;8,2;2,4;
2007-06-16;0;953,2;10,7;31,8;24,6;15,7;43,7;24;7,6;2,2;
2007-06-17;0;952,7;12,9;33,2;25,9;19,9;46,3;27;8,2;2,4;
2007-06-18;0;953,8;11;31,9;26,4;20,3;38,9;25;9,6;2,7;
2007-06-19;0;954;11,2;31,5;25,2;16,8;43,3;22;11,3;2,1;
2007-06-20;0;954,7;10,9;30,8;24,5;17,8;44,8;24;11,3;2,8;
2007-06-21;0;954,9;11,9;31;23,7;15,8;49;31;11;2,7;
2007-06-22;0;954,1;12,8;29,9;24,4;19,3;49,5;31;11,5;3,1;
2007-06-23;0;952,4;10,9;30,4;22,9;16,8;48,1;26;8,1;2,1;
2007-06-24;0;953,5;12;30,5;23,8;17;49,5;27;7,5;1,9;
2007-06-25;0;954,6;10;30,4;24,1;15,4;43,7;24;11,7;2,1;
2007-06-26;0;955,2;13,9;27,7;23,8;19,4;54,8;31;9,6;2,6;
2007-06-27;0;954,7;11,7;30,3;24;19;48;27;11,3;2,2;
2007-06-28;0;953,8;11,3;30,4;23,5;17,3;48,5;27;7,2;1,7;
2007-06-29;0;955,1;10,1;31;23,8;16,6;44,9;21;7,6;1,5;
2007-06-30;0;955,7;7,7;31,9;23;14,4;40,5;16;7,7;1,6;
2007-07-01;0;956,4;7,5;30,7;22,5;13,5;40,2;21;7,9;1,9;
2007-07-02;0;956,1;6,3;31;23,6;14,9;35,5;18;8,3;1,6;
2007-07-03;0;955,6;11,3;29,6;23,1;16,1;48,7;29;8,6;2;
2007-07-04;0;955,1;12,9;30,7;24,2;19,9;50,5;30;9,2;2,6;
2007-07-05;0;955,7;13;30,7;23,7;18;52,4;31;8,9;2,6;
2007-07-06;0;954,7;13,6;30,3;23,8;19,3;54,9;31;8,9;2,3;
2007-07-07;0;953,3;9,9;31,2;23,7;15,5;42,9;26;7,2;2;
2007-07-08;0;952,5;10,7;31,8;24;18;44,9;23;9,2;2,4;
2007-07-09;0;953;12,3;31,7;25;17,3;46,8;26;9,3;2,3;
2007-07-10;0;952,1;11,4;32,6;24,7;18,7;44,9;23;7,3;2;
2007-07-11;0;951,8;10,9;32;25,3;19,2;42,9;24;8,3;2,2;
2007-07-12;0;952,7;8,5;31,6;24,7;18,1;37;21;11,5;2,7;
2007-07-13;0;953,6;9,5;30,8;23,7;18;41,9;24;7,7;2;
2007-07-14;0;953,1;8,8;31,2;23,4;15,4;41,9;21;9,5;1,6;
2007-07-15;0;951,8;9,2;32,1;23,8;15;42,5;21;7,2;1,4;
