Nome: PIRES DO RIO
Codigo Estacao: A033
Latitude: -17.30416666
Longitude: -48.28416666
Altitude: 757.27
Situacao: Operante
Data Inicial: 2007-10-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-11;null;null;null;null;null;null;null;null;null;null;
2007-10-12;null;null;null;null;null;null;null;18;3,5;null;
2007-10-13;null;926,3;13,7;32;27,1;23,1;45;26;9,2;1,7;
2007-10-14;0;926,8;16,1;35,7;26,5;21,3;56;24;8,5;1,2;
2007-10-15;,2;928,3;12,8;35,4;26,8;18,3;49;20;8,5;1,5;
2007-10-16;0;928,7;8,4;35,9;28,4;19;30,6;16;8,4;1,4;
2007-10-17;0;927;9,6;37,8;28,4;19;34,3;15;7,8;,8;
2007-10-18;0;926,1;12,6;38;28,7;20,3;41,3;17;12,3;1,8;
2007-10-19;,8;928,7;18;27,9;23,7;20,2;71,9;51;10,9;1,7;
2007-10-20;,2;927,5;16,2;34,3;26,8;19,2;56,9;27;12;1,2;
2007-10-21;0;928,4;15,5;32,9;26,6;23,1;51,7;32;11;1,9;
2007-10-22;,6;928,9;17,8;31,8;23,7;18,7;71,7;42;10,1;1,5;
2007-10-23;0;930,1;16,8;28,5;24,3;21;65;43;9,3;2;
2007-10-24;5;930;17,4;29,1;21,8;18,5;78;47;12,7;1,3;
2007-10-25;6,8;929,4;17,7;29,1;22,5;18,8;76,7;45;10,2;1,7;
2007-10-26;7,8;929,6;18;28,3;22,6;18,1;77,1;51;8,1;1,1;
2007-10-27;0;927,9;17,9;33;25,2;19,7;67,4;31;8;,8;
2007-10-28;0;926,3;16,3;36,3;27,9;20;56,3;23;6,7;,9;
2007-10-29;1,4;925,5;14,7;36,6;29,4;23,6;43,2;22;9,6;2;
2007-10-30;0;925,1;15,7;36,1;28,3;21;49,6;24;7,5;1,3;
2007-10-31;0;924,4;16;36,2;27,6;21,5;53,1;23;9,8;1,9;
2007-11-01;,4;924,7;17,1;35,1;25,8;20,4;62,5;29;13,1;1,8;
2007-11-02;30,6;926,8;19,6;28,6;23;20,3;81,8;58;8,1;1,7;
2007-11-03;16,2;926,5;19,8;31,4;23,5;20,5;81,2;47;15,4;1,3;
2007-11-04;12,2;926,4;19,8;32,2;24,5;20,3;77,5;43;9,8;1,6;
2007-11-05;17,4;926,9;19;31,1;23,5;20;78,8;42;8,7;1,6;
2007-11-06;18;929,2;19,1;22,8;21,3;20,1;87,3;74;7,8;1,6;
2007-11-07;1,2;928,6;18;30,6;24;19,9;71,9;39;6,6;,9;
2007-11-08;,6;927,2;18,9;31,3;24;21,1;75,5;38;11,9;1,3;
2007-11-09;1,6;925,7;18,9;26,6;22,1;20,2;82,5;63;9,7;1,5;
2007-11-10;4,2;925,1;18,9;29,9;23;19,9;79,9;46;12,6;1,4;
2007-11-11;,2;926,3;19,4;29,9;23,8;20,3;77,8;48;5,8;1,1;
2007-11-12;7,4;926,9;18,6;33,1;24,7;19,2;72,3;37;10,6;1,5;
2007-11-13;28,2;928,1;19;26;21,8;18,2;85;67;12,4;1,3;
2007-11-14;28,4;927,9;18,7;32;24,4;18,1;74,1;40;16,7;2;
