Nome: CATALAO
Codigo Estacao: A034
Latitude: -18.154779
Longitude: -47.927614
Altitude: 900.72
Situacao: Operante
Data Inicial: 2008-01-30
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-01-30;null;null;null;null;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;null;67;5,9;null;
2008-02-01;null;907,4;19,7;29,8;23,8;19,8;80;51;7,2;1,5;
2008-02-02;0;909;20,5;29,1;23,2;21,1;85,7;59;10,2;1,6;
2008-02-03;34,6;911,8;19,7;23,1;20,7;19,2;94,4;81;9,5;1,9;
2008-02-04;46,2;913,6;19,1;27,1;20,5;19,4;92,3;62;10,5;1,6;
2008-02-05;38,8;914,6;18,7;23,5;19,8;17,9;93,4;75;6,5;1,4;
2008-02-06;11;914,9;18,8;23,9;19,9;18,3;93,5;76;7,1;1,8;
2008-02-07;27,8;915,6;19;24,7;20,5;18,7;91,4;74;7,1;1,6;
2008-02-08;32,2;915,3;18,3;30,2;22,6;18,3;79,1;43;6,4;1,4;
2008-02-09;,2;912,8;18,8;31,6;24,1;20,1;75,3;38;5,5;1;
2008-02-10;,8;912,7;19,5;30,8;24,4;19,7;75,3;49;9,9;1,4;
2008-02-11;0;913,3;19,2;29,1;24,5;20,7;73,1;52;8,8;,9;
2008-02-12;,4;912,9;18,8;31,5;25;19,7;70,5;43;7,4;1,6;
2008-02-13;0;913;18,3;31,3;25,2;21;66,7;42;7,2;1,7;
2008-02-14;0;913;18;31,1;25;21,1;66,5;42;10,1;1,9;
2008-02-15;,6;912,8;18,4;27,6;22,5;18,8;78,8;56;11,5;2,2;
2008-02-16;,2;912;17,2;29,2;23,7;18,6;69,3;40;10,1;2,5;
2008-02-17;0;913,4;17,4;30,1;23,6;19,7;69,6;46;10,6;2,5;
2008-02-18;0;915,1;18,4;28,5;22,6;19,5;78;54;9,1;1,6;
2008-02-19;1,2;915,6;17,7;30,1;21,8;18,7;79,3;46;15,3;1,6;
2008-02-20;68,2;912,9;18,9;29,9;23;16,2;79,1;47;6,5;1,1;
2008-02-21;77,2;913,3;18,4;25,3;null;18,1;90,5;70;12,4;2,2;
2008-02-22;null;914,4;18,8;28,9;23;18,1;78,1;50;6,6;1,1;
2008-02-23;45,2;915,5;19,1;28,4;22,4;18,4;83,4;54;8,3;1;
2008-02-24;8,8;914,4;18,9;27,3;22,4;18,9;81,4;59;7,3;1,7;
2008-02-25;4,2;912,3;19,5;26,8;22,1;19,2;85,8;62;5,9;1;
2008-02-26;26,8;912,1;19,4;25,4;21,5;18,6;88,1;69;9,5;1,9;
2008-02-27;9,4;911,7;19,3;28,7;22,9;19,1;81,7;53;6;1,5;
2008-02-28;1,6;911,1;19,2;28,3;22,5;20,2;82,1;56;9,5;1,9;
2008-02-29;5,2;909,6;19,5;26,8;21,7;19,6;87,9;67;8,5;2;
2008-03-01;4;908,1;19,8;27,4;21,1;19,7;93;66;9,8;2,3;
2008-03-02;16,8;909,6;18,8;28,6;22,6;19,7;81,4;42;6,7;1,7;
2008-03-03;0;911,7;18,1;30,6;23,9;19,2;71,8;44;6,3;1,4;
2008-03-04;0;913,2;19,2;29,2;23;19,2;80,4;53;8,3;2,3;
2008-03-05;1,8;912,2;19,2;29,1;22,1;19,2;84,2;55;5,8;1,2;
2008-03-06;9,8;911,5;19,4;29,7;22,8;19,8;82,8;50;8,5;1,6;
2008-03-07;1,2;null;null;27,7;null;17,6;83,6;58;10,5;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;79,8;56;5;null;
2008-03-11;27,4;913,1;19,5;28,2;22,3;18,4;85;54;7,5;1,2;
2008-03-12;,4;913,2;19,2;28,9;22,3;19,3;83,9;53;10,7;1;
2008-03-13;18,4;913,2;19,3;28,9;22,2;19,2;84,7;54;7,7;1,4;
2008-03-14;15,6;911,7;19,4;26,1;21,1;19,4;91;67;8;1,5;
2008-03-15;13,2;911,8;19,4;27,3;21;19,2;91;61;8,3;1,6;
2008-03-16;37,2;914,8;18,5;24;20,1;18,1;91;72;7,9;1,6;
2008-03-17;2,6;915;18,6;27;20,7;18,3;88,5;63;10,7;2,1;
2008-03-18;32,8;915,1;17,6;28,2;21,9;17,3;78,9;51;10,2;3;
2008-03-19;0;914,5;16,8;28;22,5;17,6;72;47;11;2,6;
2008-03-20;0;915,1;17;28,4;23,1;18,9;70;48;10;2,6;
2008-03-21;0;914,2;17,2;28,5;22,9;18,2;72,3;48;8,7;2,3;
2008-03-22;0;914;17,6;29,1;22,2;19,5;76,5;43;10,9;2,2;
2008-03-23;27;913,5;18,6;28,3;22,6;18,9;79,2;51;6,2;1,2;
2008-03-24;0;913,8;17,9;29,9;22,7;18;75,8;44;8,5;2;
2008-03-25;0;914,1;18,1;30;23,4;18,2;74,3;42;6,1;1,8;
2008-03-26;0;913,4;17,8;28,4;22,5;17,8;76,8;49;9,2;2,1;
2008-03-27;15,8;911,7;18,3;27,5;22;18,8;80,5;56;8,4;2,3;
2008-03-28;,4;911,1;18,3;30,1;23,4;18,6;75,3;41;6,4;1,2;
2008-03-29;0;911,7;18,2;30,4;24,3;19,3;70,8;40;5,7;1,4;
2008-03-30;0;911,9;17,5;29,9;24,2;20,3;67,6;41;7,1;1,9;
2008-03-31;0;912;17;28,9;23,4;18,5;68,6;43;10;2,7;
2008-04-01;0;911,6;16,3;28,8;23;18,7;67,4;43;8,3;2,7;
2008-04-02;0;911,3;15,7;29,9;23,7;18,9;62,5;37;7,4;2,4;
2008-04-03;0;910,9;16,4;28,4;23,4;20;65,3;44;6,7;1,2;
2008-04-04;6,2;910,4;19,2;23,7;20,7;19,3;91,3;67;5,8;1,9;
2008-04-05;3,2;910,5;19,6;27,1;21,2;19,4;91,2;62;5,9;1,6;
2008-04-06;39,2;910,8;19,5;26,9;21,6;18,7;88,1;65;10,3;2,6;
2008-04-07;7,6;912,1;19,7;28,2;21,9;19,9;88;57;12,4;1,8;
2008-04-08;4,6;913,5;19,5;29,7;23,6;19,6;79;47;7,4;1,9;
2008-04-09;0;914,2;18,9;29,8;24,6;20,3;72,2;49;7,5;2,2;
2008-04-10;0;912,7;18,3;31,2;25,1;20,3;67,2;40;6,6;1,5;
2008-04-11;0;911,2;18,7;30,8;24,7;20,7;70,2;46;8,1;,9;
2008-04-12;1,8;910,9;16,8;31,6;24,4;19,4;65,3;36;6;1,2;
2008-04-13;0;911,3;17,7;31,1;24,4;19,8;67,2;39;12,9;1,4;
2008-04-14;3;912,4;18,6;29;22,1;19,9;81,5;55;12,1;2,1;
2008-04-15;22;913,2;17,7;28,2;22,1;18,1;78,5;49;5,8;1,6;
2008-04-16;0;914,7;18,4;29,2;23,2;19,2;75,9;50;8,5;2,2;
2008-04-17;0;916,1;18,8;28,8;23,2;20,4;77,2;51;8,8;1,5;
2008-04-18;7,4;915;18,3;28,6;23,1;17,9;75,9;48;9,8;1,9;
2008-04-19;0;913,8;18,2;29,1;22,5;19,4;78,1;46;8,5;2;
2008-04-20;,4;913,7;17,9;26,2;20,3;18,4;86,2;62;10,6;2,4;
2008-04-21;28,8;914,6;17,7;24,2;20;18,3;87,1;65;6,6;1,5;
2008-04-22;5,2;914,4;18,6;25,1;21,1;18,3;86;69;6,5;1,5;
2008-04-23;2,8;913,1;17,9;28,3;22,4;18,5;77,5;46;5;1,1;
2008-04-24;0;912,6;16,7;28,8;22,7;18,4;71,1;41;5,6;1,1;
2008-04-25;0;912,3;14,7;27,9;22,2;17,5;64,5;34;6,9;1,2;
2008-04-26;0;912,1;14,6;28,4;22,4;17,1;63;39;6,3;1,1;
2008-04-27;0;912,7;15,6;30;23,7;18,7;62;42;5,4;1;
2008-04-28;0;912,1;16,9;30,1;24;18,5;65,9;38;6,4;1,4;
2008-04-29;0;912,4;16,7;30,7;25;19,6;61,5;36;7,3;1,7;
2008-04-30;0;912,6;18,4;30,5;23,5;19,9;74,1;44;11,8;1,7;
2008-05-01;23,4;913,5;18,8;26,4;21,4;17,7;86,1;65;11,8;2,8;
2008-05-02;5,6;913,8;17,6;24;20,6;18,9;83,4;62;9;3,1;
2008-05-03;0;914,6;17,1;20,6;18,5;17,9;91,3;81;6,3;1,4;
2008-05-04;,2;915,5;15,2;24,4;17,9;14,2;85,5;61;5,6;1,5;
2008-05-05;,2;915,3;15,5;26,5;20;14,7;77,7;47;6,4;1,1;
2008-05-06;0;914,4;14,3;25,2;19,7;15,1;72,4;51;6,7;1,8;
2008-05-07;0;914,9;11,8;25,3;19,3;14,4;64,3;37;9;1,5;
2008-05-08;0;914,6;8,6;26;18,5;11,8;55,7;23;6,2;1,3;
2008-05-09;0;914,2;11,9;26,7;20,3;16,1;60;38;4,2;,9;
2008-05-10;0;915,3;12,5;27,5;21,7;16,7;57,3;36;4,9;,7;
2008-05-11;0;916,5;14,6;27;21,6;16,9;65,7;42;7,6;1,5;
2008-05-12;0;917,6;14,5;24,5;20,4;17,5;69,7;51;9;2,4;
2008-05-13;0;917,6;13,9;24,3;19,9;16,9;69,5;51;9;2,4;
2008-05-14;0;917,2;13,2;25,8;20,2;16,3;65,5;45;9,2;2,1;
2008-05-15;0;917,1;13,1;25,8;20,2;14,6;64,6;41;6,1;1,5;
2008-05-16;0;917;13,4;26,6;21;15,1;63,1;40;5,5;1,2;
2008-05-17;0;917,2;14,6;26,5;21;16,7;69,1;41;8,3;1,7;
