Nome: ITUMBIARA
Codigo Estacao: A035
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.17
Situacao: Pane
Data Inicial: 2007-10-31
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-10-31;null;null;null;null;null;null;null;null;null;null;
2007-11-01;null;null;null;null;null;null;null;27;17,4;null;
2007-11-02;null;953,6;18,9;36,3;27,8;22,3;61,2;30;9;2,7;
2007-11-03;0;953,3;18,5;36;28;22,6;59,2;29;11,9;2,1;
2007-11-04;16,2;954,4;20,2;31,9;24,6;21,6;78,5;42;13,9;2,5;
2007-11-05;,4;954,8;19,4;30,9;25,1;21,2;72,7;47;7,5;1,7;
2007-11-06;,2;956,4;19,7;31;25,4;22,4;72,7;43;11,2;3,6;
2007-11-07;0;956,2;18,1;32,8;26,4;22;62,6;34;8;2,7;
2007-11-08;,2;955,6;20,1;28,3;23,5;23,1;81;51;7,9;1,8;
2007-11-09;18,4;953,1;19,6;30,2;23,8;20,2;78,5;50;11;2,6;
2007-11-10;3,2;952,3;19,9;31;24,4;21,2;77;46;10,7;1,9;
2007-11-11;0;953,8;20,5;31;24,4;22,6;80;48;12,6;1,8;
2007-11-12;18,6;954,9;20,8;32;25,3;21,1;78,8;46;5,9;1,6;
2007-11-13;23,4;955,4;19,7;29;24;20,3;78;54;14,4;4,3;
2007-11-14;,6;955,4;19,7;34,2;26,3;21;70,5;34;10;3;
2007-11-15;0;956,8;20,2;32,3;24,8;21,7;78,2;40;10,9;3,4;
2007-11-16;67,2;957,4;20,7;33;25,7;20,1;76;46;9,7;1,9;
2007-11-17;0;957,5;18,8;33,4;27,5;23,2;61,5;37;13,9;4,2;
2007-11-18;0;955,9;17,3;34,6;27,8;21,8;56,6;29;12,4;4,2;
2007-11-19;0;954,2;18,6;34,6;26,8;21;62,8;33;15;1,9;
2007-11-20;1,2;954,7;19,7;34,3;25,6;21,5;72,1;35;11,9;2,1;
2007-11-21;0;956,8;19,4;33,3;26,5;21;68,3;41;10,6;1,9;
2007-11-22;0;956;19,1;34,6;null;21,4;66,4;33;13,6;2,7;
2007-11-23;null;null;null;null;null;null;null;null;null;null;
2007-11-24;null;null;null;null;null;null;null;null;null;null;
2007-11-25;null;null;null;null;null;null;null;null;null;null;
2007-11-26;null;null;null;null;null;null;null;53;7,7;null;
2007-11-27;null;951,4;21,1;33,9;25;22,4;80,4;40;15;1,9;
2007-11-28;4,4;951,7;17,9;34,4;26,2;19,5;65,8;25;7,7;1,7;
2007-11-29;0;952,3;13,5;34,7;27,1;19,6;47,5;18;8,1;1,2;
2007-11-30;0;953,5;13;34,7;27,1;18,8;46,1;15;6,9;1,4;
2007-12-01;0;954,3;18,7;34,6;26,4;21,1;64,4;34;13,2;2,2;
2007-12-02;0;955,1;18,7;35,5;28,5;22,6;59,2;23;10,8;2;
2007-12-03;12,2;955,1;20,9;32,6;26,6;21,1;72;45;12,2;1,7;
2007-12-04;18,8;955,3;20,1;29,2;22,9;20,4;85;61;19;2;
2007-12-05;30;956,4;20,9;29,2;24,3;20,2;82,4;60;7,9;2,3;
2007-12-06;,2;955,4;21,1;33,3;25,9;21,7;75,9;44;22,6;2;
2007-12-07;4,4;954,3;20,9;32,4;25,1;21,5;79,1;45;13,4;1,8;
2007-12-08;6,2;954,1;20,7;31,5;26;21,2;74,9;49;8,9;1,6;
2007-12-09;4,2;954,5;20,6;33;25,3;21,3;77,3;35;9,1;2;
2007-12-10;0;954,8;20,7;30,7;26;22,2;74,1;45;13,5;3,1;
2007-12-11;,6;957,2;20,2;27,2;23,6;21,3;81,7;65;19,6;3,3;
2007-12-12;0;955,6;20,4;31,5;25,7;20,2;74;51;6,7;1,7;
2007-12-13;,2;954,1;20,7;34,2;27,1;22;70,2;41;8,2;1,2;
2007-12-14;0;954,7;20,5;27,6;24,3;22,3;80;62;12,5;2,6;
2007-12-15;4,6;953,5;20,2;29,2;24,7;21;77,2;58;5,1;1,4;
2007-12-16;,2;952,3;20,4;32,6;26;21;73;43;6,1;1;
2007-12-17;0;952,1;19;34,4;27,4;20,6;63,2;30;9,5;1,6;
2007-12-18;0;953,3;21,2;31,7;25;22,4;80,2;55;12,7;1,6;
2007-12-19;null;952,6;21,4;30,3;null;22;81,4;57;11,2;3,7;
2007-12-20;null;null;null;24,2;null;21,3;91,8;84;8,7;null;
2007-12-21;null;null;null;null;null;null;76,5;62;14,4;null;
2007-12-22;null;955,7;20;30,1;null;20,6;74,8;50;15,1;2;
2007-12-23;6,2;955,9;19,6;29,4;24,4;19,7;75,5;55;9,7;2,7;
2007-12-24;,2;957;20;27,6;22,9;21,9;83,8;64;6,9;2,3;
2007-12-25;null;null;null;28,6;null;20,1;85,5;62;13,2;null;
2007-12-26;null;956;19,7;31,5;null;19,2;70,2;39;8,5;2,7;
2007-12-27;0;955,7;17,7;32,4;25,4;18,2;66,1;33;8,6;1,9;
2007-12-28;0;955,9;16,9;33,1;25,6;17,4;62,9;28;8,6;1,6;
2007-12-29;0;955,7;18,6;32,7;25,6;19,5;67,2;37;10,4;2,5;
2007-12-30;0;955,1;18,9;33,3;25,6;18,4;68,9;36;10,8;1,7;
2007-12-31;0;954,6;19,9;34;27;20,2;68,7;34;7,4;1,3;
2008-01-01;0;954,9;20;33,7;26,9;20,2;68,3;35;5,7;,9;
2008-01-02;0;954,8;20,3;33;27,1;22,8;67,8;40;5,1;1,3;
2008-01-03;0;957,6;19,6;33;26,1;21,3;69,9;37;9,6;1,7;
2008-01-04;0;957,8;19,2;34,3;26,5;19,9;68;30;6,4;1,1;
2008-01-05;0;956,8;19,8;34,6;27;21,5;67,9;35;8,3;1;
2008-01-06;0;955,4;20,8;32,5;25,6;22,6;76,6;47;16,8;1,8;
2008-01-07;21,2;954,9;20,1;31,3;24,3;19,9;78,8;52;9,3;1,6;
2008-01-08;0;953,5;19,8;32,6;25,4;19,6;73,7;42;9,2;2;
2008-01-09;15;953,2;19,9;30,7;22,8;20,3;84,4;52;9,2;2,7;
2008-01-10;13,4;952,7;20,8;30,9;24,6;20,8;80;53;8,8;2,3;
2008-01-11;4,8;954,5;21,1;30,5;25,4;21,9;78,3;55;9,5;2;
2008-01-12;23,2;955;21;32,2;25,3;21,2;79,3;47;13;1,6;
2008-01-13;16;955,8;20,9;29,7;24,4;21,3;81,9;55;10,5;2,3;
2008-01-14;19,4;956,1;20,6;28,8;23,8;21,1;82,8;59;11,7;2,7;
2008-01-15;,2;955,4;19,6;25,3;22,5;21,4;84,4;68;8,9;1,9;
2008-01-16;2,8;954,3;19,5;30;23,3;18,7;81,1;52;15;2,2;
2008-01-17;1,4;956;19,4;31,5;23,9;19,3;78;47;11,8;2,1;
2008-01-18;0;955,7;20,7;31,9;24,8;19,8;79,5;48;8,1;1,6;
2008-01-19;0;955,2;21,5;30,6;24,2;21,3;85,7;60;11,1;1,9;
2008-01-20;8;955,6;20,6;30,7;24,4;20,2;80,8;50;11,7;2,2;
2008-01-21;,4;955,6;20,7;25,1;22,6;21,4;89,3;79;9;1,7;
2008-01-22;12,4;955,9;20,7;27,9;23,3;21;86,1;61;9,3;1,9;
2008-01-23;14,4;956,2;20,9;27,3;23,1;21,4;87,9;69;14,2;1,5;
2008-01-24;24,8;956,7;20,9;31,6;24;20;84,2;52;10,5;2,5;
2008-01-25;29,8;956,4;21,1;30,6;24,1;21,3;84,7;54;8,9;1,8;
2008-01-26;9,2;955,6;20,8;29,4;24,5;21,2;81,2;54;7,7;1,7;
2008-01-27;5,6;955,2;21;27,3;22,9;20,8;89,5;70;10,8;1,6;
2008-01-28;null;954,9;20,9;27,2;null;21;86,8;71;7,5;2,6;
2008-01-29;null;null;null;28;null;20,5;86,6;70;13,4;null;
2008-01-30;null;950,7;21,2;28,1;null;21,7;83,9;65;11,1;3;
2008-01-31;3,2;948,9;21,6;29,4;24,3;21,1;85,2;62;8,3;1,3;
2008-02-01;null;950,2;22;31,5;null;21,3;78,3;55;9,8;1,2;
2008-02-02;,8;951,6;22,3;30,4;25,3;22,5;84;57;5;1;
2008-02-03;null;955,3;21,2;26,8;null;21,6;91,8;72;10,9;1,5;
2008-02-04;null;null;null;28,2;null;21,6;82,3;64;13,9;null;
2008-02-05;null;958,4;19,4;25;null;18,4;89,2;71;8;1,2;
2008-02-06;null;null;null;null;null;null;88,2;70;7,9;null;
2008-02-07;null;null;null;28,3;null;21;87;65;11,4;null;
2008-02-08;null;958,5;20,8;29,9;null;21;83,3;56;14,5;1,4;
2008-02-09;null;955,8;20,8;32,3;null;19,6;76,7;47;7,7;1;
2008-02-10;14;956;20,9;30;24,4;20,8;81,7;55;11,1;1,4;
2008-02-11;0;956,4;20,7;31,7;24,1;19,7;82,5;52;9,7;,9;
2008-02-12;,2;955,8;20,7;33,5;25,9;19,7;75,5;43;6,4;1;
2008-02-13;3;956,1;21,1;30,6;25,3;21,1;77,9;55;6,8;,9;
2008-02-14;0;956;21,3;31,1;25,1;21,2;80,6;53;13,6;1,7;
2008-02-15;20,4;956,2;19,9;29,1;23,1;19,6;83,1;59;14;2,1;
2008-02-16;1,4;954,8;20,5;31,4;24,9;21;78,3;48;10,2;1,8;
2008-02-17;0;956,4;20,7;30,5;24,8;20,5;79,5;54;9,8;1,3;
2008-02-18;,8;958,5;20,1;30,2;24;20,5;80,1;47;7,5;1,2;
2008-02-19;0;958,8;19,9;30,1;23,7;19,6;80,8;52;16,8;1,6;
2008-02-20;5;955,9;20,5;30,8;24,3;19,1;80,8;51;11,3;1,1;
2008-02-21;3;955,9;20,5;28,2;23,1;20,5;85,7;66;7,9;2,2;
2008-02-22;5,6;957,5;20,9;29,7;23,5;20,8;86,5;60;8,5;,9;
2008-02-23;11,2;958,6;20,7;30,3;24,1;20,5;82,5;56;7,3;1;
2008-02-24;16;957,8;20,6;28,2;23,8;20,8;83,8;61;6,6;1,1;
2008-02-25;1,8;955,4;20,8;30,6;25;21,5;79;49;6,1;1;
2008-02-26;41,6;955,2;20,9;27,7;23,5;20,9;86,1;65;11,2;1,6;
2008-02-27;null;955,1;20,9;30,2;null;19,8;82;55;9,2;1;
2008-02-28;0;953,9;21;29,6;24,3;20,3;82,3;60;9;2;
2008-02-29;23,4;952,4;21,4;28,4;24,2;21;84,9;62;11,9;1,6;
2008-03-01;3,2;950,8;21,7;27,5;23,7;22,3;89;73;8,7;2,1;
2008-03-02;null;null;null;29,7;null;20;77,3;53;5,6;null;
2008-03-03;0;954,8;20,5;32,1;25,5;20;76,1;43;9,4;1,4;
2008-03-04;1;956,3;20,7;31,2;24,9;20,2;78,7;49;9,9;2,3;
2008-03-05;0;955,2;20,7;31,1;24,3;20,2;81,9;49;6,9;1,1;
2008-03-06;0;954,7;20,3;31,5;24,6;20,7;78,8;47;12,5;1,6;
2008-03-07;0;null;null;28,9;null;20,4;82,7;60;7,4;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;89;5,2;null;
2008-03-10;null;null;null;null;null;null;67;51;7,1;null;
2008-03-11;1,8;956,1;20,5;31,1;24,4;20,7;80,3;44;12,3;,9;
2008-03-12;,2;956,5;21,2;30,5;23,6;21,4;86,9;58;8,6;,9;
2008-03-13;14;956,2;21,2;29,5;24;20,9;85,6;58;6,4;1,3;
2008-03-14;25,8;954,8;20,9;27,6;23,3;21,1;86,8;65;10,4;1,3;
2008-03-15;29,6;955,2;20,2;27,9;22,7;20,1;86,4;60;8,3;1,3;
2008-03-16;3;958,3;20,4;25,3;22,6;20,6;87,7;73;4,9;1;
2008-03-17;null;null;null;null;null;21,4;90,6;69;11,1;null;
2008-03-18;null;958,2;20,2;29,2;23,4;20,3;83,1;59;8,3;2,2;
2008-03-19;3;957,4;19,3;31,2;24,3;19,1;76,5;44;9;2;
2008-03-20;0;958,3;20;30,2;23,8;20,1;80,2;55;7,6;1,6;
2008-03-21;0;957,5;20,2;29,8;24,5;19,7;77,7;54;7,2;1,5;
2008-03-22;4,2;957,1;20,9;29;23,4;21;86,6;56;7,7;1,2;
2008-03-23;1;956,6;20,3;31,6;24,8;20,9;78,8;42;6,4;1;
2008-03-24;0;956,7;19,6;32,2;25,3;19,4;73,4;41;8,6;1,7;
2008-03-25;0;957;20,9;31,8;25,4;22,1;77,5;52;7,6;1,5;
2008-03-26;0;956,1;20,2;31,2;25,2;20,2;75,5;52;8,8;2,4;
2008-03-27;4,6;954,5;20,7;30,5;24,7;21,1;79,7;53;15,3;2,8;
2008-03-28;1,8;954;19,8;31;24,4;18,8;77,8;49;6,8;1,1;
2008-03-29;0;954,6;18,7;32,6;25,1;18,5;71,5;30;6;1;
2008-03-30;0;954,8;19,4;32,5;24,9;18,7;73,8;37;6,4;1,2;
2008-03-31;0;954,6;19,9;31,4;25;19,5;75,3;46;9,7;2,1;
2008-04-01;0;954,2;19,6;30,9;24,7;20,7;74,7;51;6,9;2,3;
2008-04-02;0;954,3;19,9;29,8;23,6;20;80,9;53;9,5;1;
2008-04-03;,4;954,3;20,4;29,3;23,1;20,5;85,6;55;7,3;,8;
2008-04-04;12,8;953,6;20,5;27,3;23,2;20,6;85,4;67;8,3;1,5;
2008-04-05;0;953,7;20,6;28,3;23,8;20,6;83,2;59;6;1,1;
2008-04-06;,2;953,7;20,9;29,9;23,5;21,1;86,2;61;13,2;1,6;
2008-04-07;14,8;955,1;21,3;26,1;22,8;20,4;91,1;78;8,1;1,2;
2008-04-08;7,2;956,4;21,9;30,1;24,8;21,7;85,2;56;8,7;1;
2008-04-09;4;956,9;22,2;31,8;26,1;21,8;80,2;52;7,2;1,7;
2008-04-10;0;955,4;21,2;32,2;25,8;20,3;78;49;5,5;1,2;
2008-04-11;0;953,7;20,9;33;25,6;19,7;77,5;44;6,9;1,4;
2008-04-12;0;953,6;20,8;32,7;24,8;20,9;79,9;46;11,6;1,7;
2008-04-13;2,8;954,2;20,6;31,4;24,2;20,7;80,9;56;7,2;1,5;
2008-04-14;0;955,5;20,5;31,6;23,8;20,9;83,1;45;17,3;1,6;
2008-04-15;1,8;956,7;19,6;29,5;23,5;19,8;80,5;52;7,4;1,2;
2008-04-16;0;957,9;20;31,5;24,4;18,8;78,4;46;7,5;1,3;
2008-04-17;43,6;959,7;21;30,7;24,1;20,5;84,2;56;6,6;1,4;
2008-04-18;6,8;958,3;20,1;30,9;24,2;20,1;80,1;53;11,5;1,7;
2008-04-19;0;957,1;19,9;30,3;23,2;19,3;82,8;57;13;1,6;
2008-04-20;13,6;957;19,8;27,2;21,7;20,3;89,3;71;9,3;1,9;
