Nome: CRISTALINA
Codigo Estacao: A036
Latitude: -16.78499999
Longitude: -47.61305555
Altitude: 1211.08
Situacao: Operante
Data Inicial: 2007-12-13
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-12-13;null;null;null;null;null;null;null;null;null;null;
2007-12-14;null;null;null;null;null;null;null;null;null;null;
2007-12-15;null;null;null;null;null;null;null;null;null;null;
2007-12-16;null;null;null;null;null;null;null;62;6,5;null;
2007-12-17;null;877,5;17,8;27,1;22,2;18,2;77,4;55;8,5;2,5;
2007-12-18;0;878,5;17,7;25,4;21,3;19,6;80,3;56;10,1;3;
2007-12-19;13;878,2;18;24,8;20,7;18,1;85,3;63;12,9;3,9;
2007-12-20;1,6;878;17,5;25,6;19,9;17,8;86,6;59;12,4;4,3;
2007-12-21;20,6;879,3;17,5;20,2;18,8;17,3;92,4;85;12,4;3,4;
2007-12-22;11,6;880,7;16,7;22,6;18,6;17,5;89,1;73;7,9;2,2;
2007-12-23;101,2;880,6;16,5;22,8;18,3;15,9;90,2;69;9,7;2,1;
2007-12-24;33;881,5;17,4;23,5;19,3;17,7;89,5;62;6,9;1,7;
2007-12-25;16,6;880,7;16,1;25,4;20,5;16,7;77,7;46;10,1;2,9;
2007-12-26;0;881;15,1;25,8;20,6;17,3;71,8;42;11,2;4;
2007-12-27;0;880,7;12,3;26,4;21,3;16,5;58,7;28;11,7;3,7;
2007-12-28;0;881;12,3;28,1;21,8;17,5;55,7;33;11,8;2;
2007-12-29;,2;881;14,4;27,6;22,5;18,1;61,9;35;10,3;2,9;
2007-12-30;0;880,4;15;27,7;23,4;19,8;59,8;41;10;2,6;
2007-12-31;0;880,1;12,5;28,9;24,2;20,5;50,1;26;9,2;2,5;
2008-01-01;0;880;12,3;29,7;24,5;20,6;48;29;6;1,7;
2008-01-02;0;880,2;14;28,9;24,3;19,5;53,6;40;9,2;3;
2008-01-03;0;882,4;13,4;27,8;23,1;19,1;55;39;10,3;2,8;
2008-01-04;0;882,9;12,3;28,5;23,2;18,8;51,3;34;9,6;2,8;
2008-01-05;0;881,9;11,4;31,6;25;20,9;43,3;29;7,3;1,9;
2008-01-06;0;880,5;16,7;28,5;22,7;18,1;69,4;45;14,6;3,3;
2008-01-07;0;879,6;15,4;28,7;22,4;17,1;66,8;43;13,5;4,6;
2008-01-08;8,6;879;17;26,2;20,4;16,9;81,4;57;10,2;3,3;
2008-01-09;,8;878,3;16;27,6;20;16,8;79,4;47;10,1;3,2;
2008-01-10;0;878,2;16;26,8;21,1;16,7;75,1;46;9,4;3,1;
2008-01-11;0;879,6;17,2;28,1;21,4;18,2;78,3;47;13,8;2,8;
2008-01-12;5,8;880,2;17,1;26,4;21,5;18,5;76,9;53;11,5;2,1;
2008-01-13;0;880,4;17,4;25,2;20,2;18,5;84,8;60;8,6;2,3;
2008-01-14;44,8;880,4;16,3;24,6;20,5;16,5;78,2;53;11;3,7;
2008-01-15;0;879,4;15,7;21,9;19,5;16,3;79,2;64;11,3;3,2;
2008-01-16;0;879;15,8;26;20,7;16,7;75,1;50;10,3;2,9;
2008-01-17;49,6;880,6;15,6;25;19,9;15,6;77,9;49;13,8;2,9;
2008-01-18;,4;880,8;16,7;27,4;21,8;18,1;74,1;47;7,2;1,7;
2008-01-19;0;880,4;17,6;26,3;21,7;19,1;78,4;57;10,2;3,6;
2008-01-20;,6;880,1;17,7;28;22,5;17,9;75,7;50;8,2;3,3;
2008-01-21;14,2;880,4;16,5;24,5;19,7;16,9;82,6;61;12;3,4;
2008-01-22;5,6;880,6;16,9;26;20,3;17,1;81,6;57;10,6;2,6;
2008-01-23;9,2;880,8;17,1;23,7;19,9;17,7;84,1;64;8,8;2,2;
2008-01-24;39;881,3;18,1;24,3;19,8;17,4;90,4;69;8,8;2,3;
2008-01-25;,4;880,9;18,3;24,9;20,2;18,2;89,4;67;9,2;2;
2008-01-26;6,6;880,3;17,5;22,4;19,1;17,5;91,2;75;8,5;2,3;
2008-01-27;17,6;880;17,1;23;18,7;16,9;91;67;8,4;2,2;
2008-01-28;13;879,9;17;23,9;19,4;17,1;86,5;62;11,3;3;
2008-01-29;6,2;878,8;17,6;21,5;19,2;18;90,9;75;10,7;3,3;
2008-01-30;3,8;876,3;17,7;21,1;18,8;17,9;93,6;86;11,9;4,4;
2008-01-31;7,6;874,4;18,2;24,4;19,8;17,5;91;67;11,7;4,4;
2008-02-01;3,2;875,6;18,7;26,1;21,2;18,2;86,8;61;10,3;3,3;
2008-02-02;1,6;877,1;18,9;26,2;21,5;18,8;86;61;11,4;2,5;
2008-02-03;3,6;879,6;18,3;22,8;19,6;18,2;92,1;76;11,9;3,4;
