Nome: DIANOPOLIS
Codigo Estacao: A038
Latitude: -11.59444444
Longitude: -46.84722221
Altitude: 727.87
Situacao: Operante
Data Inicial: 2008-08-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-08-29;null;null;null;null;null;null;null;null;null;null;
2008-08-30;null;null;null;null;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;null;null;null;null;
2008-09-01;null;null;null;null;null;null;29,5;23;13,3;null;
2008-09-02;0;931,1;7,7;32;26;20,7;33,2;17;14;5,8;
2008-09-03;0;931;10;32,6;26,2;20,3;38;25;15;4,3;
2008-09-04;0;930,9;10,5;33,7;27,3;20,7;36,5;22;11;3,6;
2008-09-05;0;930,3;9;34,4;28,9;23,1;29,9;18;9,1;3;
2008-09-06;0;931,4;7,6;34,6;28,8;22,4;27,3;16;9,4;2,9;
2008-09-07;0;932,2;4;35,9;29,4;22,9;20,6;11;10,6;3,4;
2008-09-08;0;932,2;5;35,4;28,9;22,4;22,9;13;12,8;4,4;
2008-09-09;0;932,7;9,1;34,4;28;22,3;32;19;11,8;4,2;
2008-09-10;0;933,6;9,7;33,3;26,9;20,4;35,8;16;14,5;4,7;
2008-09-11;0;933,1;7,9;33,3;26,6;20;32,1;17;13,1;4,5;
2008-09-12;0;932,4;8,3;34,2;27,1;20;33,5;14;11,2;3,8;
2008-09-13;0;931,4;5,8;35;28,2;21,9;26,6;11;10,8;3,7;
2008-09-14;0;931,3;4,2;34,7;28,4;23,1;22,8;12;12,5;4,1;
2008-09-15;0;931,3;5,5;35,1;29;22,2;23,5;14;10,7;3,5;
2008-09-16;0;931,5;4,7;35,4;28,6;21,7;23,4;12;11;3,6;
2008-09-17;0;931,3;6,4;34,6;28;22,6;26,5;12;9,3;2,6;
2008-09-18;0;930,4;6,1;34,4;28,9;23,4;24;15;9,9;2,3;
2008-09-19;0;930,6;7,5;34,8;29,7;24,6;25,5;17;11;2,7;
2008-09-20;0;931,6;11,8;33,4;27,7;23,5;38,4;25;13,9;4,8;
2008-09-21;0;932,1;13,5;33,8;27,5;22,2;44,4;25;10,4;2,7;
2008-09-22;0;931,3;13,8;34,5;28,3;22,8;43,4;24;10,5;3;
2008-09-23;0;929,4;13,4;34,9;29,4;24,5;38,7;23;9,3;2,4;
2008-09-24;,2;929,4;16,2;33,7;27,3;24,1;52,7;30;14,1;3,6;
2008-09-25;44,2;932,3;18,8;28,4;23,3;19,1;77,5;51;10,1;3,5;
2008-09-26;,2;931,7;16,9;32;26;21;61,3;31;9,1;2,1;
2008-09-27;0;930,3;15,9;32;26,2;21,8;55,2;32;10,5;3,3;
2008-09-28;0;930,9;16,4;31,9;25,2;21,5;60,6;34;8,3;2,4;
2008-09-29;0;931,4;15,4;33,2;27,5;22,6;49,5;28;11,6;3;
2008-09-30;0;932,1;15,8;34,4;27,4;22,6;51,7;28;10,2;3;
2008-10-01;12,8;930,2;16,1;34,5;27,5;20,9;53,9;24;9;3,1;
2008-10-02;0;929;12,3;34;28,2;22,9;38,3;25;9,9;2,8;
2008-10-03;0;930,1;17,4;31,9;26,3;21;61,3;35;6,3;1,9;
2008-10-04;0;930,1;12,8;35,3;28,2;22,1;43;14;7,9;1,6;
2008-10-05;0;929,6;9,7;34,4;29;23;31;21;9,2;2,6;
2008-10-06;0;930,6;7,5;36;29,4;22,7;27,4;12;9,8;3,2;
2008-10-07;0;931,9;4,7;35;29,1;23,1;22,5;11;10,8;3,7;
2008-10-08;0;931,9;9,1;32,4;27,2;22,9;33,1;22;13,7;5,1;
2008-10-09;0;931,7;11;32,5;26,8;21,4;38,3;25;12,2;4,5;
2008-10-10;0;930,5;11;33,1;27,1;21,5;37,5;24;14,9;5,2;
2008-10-11;0;930,1;11,5;33,4;27,2;21,3;39,7;22;15,9;6,4;
2008-10-12;0;930,9;10,3;33,7;27,4;21,4;37,5;17;16,2;6;
2008-10-13;0;930,8;8,7;34,2;28;21,8;31,7;15;13,1;5;
2008-10-14;0;930,1;8,6;34,2;28,4;23,1;30,7;16;13,4;4,8;
2008-10-15;0;930,8;8,2;35,1;28,6;22,8;30,3;13;12,8;4,4;
2008-10-16;0;931,5;7,7;35,6;29,4;22,7;27,3;15;9,4;3,3;
2008-10-17;0;930,7;7;35,2;29;22,1;25,3;17;9,1;2,9;
2008-10-18;0;930,3;16,2;30,8;25,3;23,8;60;26;9,9;2,4;
2008-10-19;2,2;932,8;17,9;24,9;22;19,8;78,1;62;8,6;2,6;
2008-10-20;,2;932,1;16,6;31,2;25,3;21,1;60,9;35;9,6;2,2;
2008-10-21;0;931,1;12,7;33,9;27,7;21,9;43;22;12,6;3,7;
2008-10-22;,8;931,3;14;33,4;27,8;22,1;44,5;27;11,7;2,5;
2008-10-23;,8;930,8;13,4;33,2;28,3;23,7;41,3;26;11,7;2,7;
2008-10-24;,8;930,7;11;33,6;27,9;22,7;36,6;22;12,7;3,9;
2008-10-25;0;930,8;7,6;34,4;28,2;22,4;28;18;11,2;4,1;
2008-10-26;0;930,5;8,8;35;29,1;23,7;28,9;18;8,5;2,7;
2008-10-27;0;929,6;9,6;36,7;31,2;26,3;27,3;16;8,7;2,1;
2008-10-28;0;929,1;17,4;32,1;26,9;25,3;57,3;22;9,8;3,7;
2008-10-29;0;929,1;18,4;32,8;25,4;20;68,6;37;8,7;2,8;
2008-10-30;1,2;930,9;19,1;32;24,9;20,8;71,4;41;9,2;2,3;
2008-10-31;2;929,6;16,6;35,6;27,6;20,6;56,3;24;7,8;1,9;
2008-11-01;0;928,7;15;35,7;29,6;25,3;42,4;24;8,8;2;
2008-11-02;0;931;15,2;34,8;28,1;22,1;50,8;18;10,4;1,7;
2008-11-03;0;930,9;8,1;36,4;30,1;23,9;28,2;13;10,3;1,9;
2008-11-04;0;929,7;11,4;34,9;29,8;24,6;32,8;20;9,6;2;
2008-11-05;2,8;929,6;17,8;29,6;24,4;19,4;68,2;36;13,4;2,3;
2008-11-06;3;929,6;18;32,3;25,6;20,1;65;39;8,5;2,1;
2008-11-07;0;929,6;18,4;32,1;25,4;22,3;66,1;41;11,4;3,4;
2008-11-08;,4;929,1;18,3;32,4;25,1;22;67,3;40;13;2,1;
2008-11-09;6,6;929,4;18,9;30,8;25,4;21;68,7;45;5,9;1,9;
2008-11-10;29,4;930,8;18,8;27,2;22,1;19,1;82,7;59;11,9;2,6;
2008-11-11;0;929,5;18,6;30,8;25;20,5;69,5;43;9,5;2,4;
2008-11-12;0;927,6;19;32,1;24,7;20,6;72,6;38;12,6;2,7;
2008-11-13;15,6;928,2;19,4;23,6;20,4;19,5;94,4;76;12,8;2,2;
2008-11-14;48,4;928;18,1;30,8;23,9;18,8;72,8;43;7,7;2;
2008-11-15;0;927,2;18,5;31,4;26,5;22,5;62,8;38;9,1;1,8;
2008-11-16;7;927,7;20,4;29,1;23,1;21,4;85,3;58;9,1;2,4;
