Nome: FORMOSO DO ARAGUAIA
Codigo Estacao: A039
Latitude: -11.88749999
Longitude: -49.60833333
Altitude: 215.2
Situacao: Operante
Data Inicial: 2008-04-26
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-26;null;null;null;null;null;null;null;null;null;null;
2008-04-27;null;null;null;null;null;null;null;null;null;null;
2008-04-28;null;null;null;null;null;null;69,5;52;6,7;null;
2008-04-29;0;985,6;22,8;29,1;24,6;23,3;90;68;12,5;1,4;
2008-04-30;10;985,2;22,2;32,4;26,2;21,8;81,2;46;5,3;1,2;
2008-05-01;0;984,6;22,7;30,9;26,1;22,8;82,3;58;5,3;1,2;
2008-05-02;3,6;985,1;21,8;32,5;26,7;22;77,3;46;7,3;1,5;
2008-05-03;0;986,3;21;32,6;25,9;21,6;76,7;43;6,8;1,3;
2008-05-04;0;987,3;21,4;32,1;25,7;21,5;79,5;47;6,4;1,6;
2008-05-05;0;988;21,4;32,1;25,7;21,9;78,9;49;6,5;1,5;
2008-05-06;0;987,3;21,7;31,9;25,8;20,9;80,5;49;5,6;1,2;
2008-05-07;0;986,7;21,2;33,8;26,9;21,4;74,4;40;7,4;1,1;
2008-05-08;0;986,2;20,9;34,1;26,8;20,8;73,2;42;7,7;1,8;
2008-05-09;0;986,1;16,8;33,2;25,7;19,4;62,8;27;7,7;1,9;
2008-05-10;0;987,2;16,5;32,5;24,8;17,9;64,1;31;6,6;1,6;
2008-05-11;0;988,5;19,6;32;24,5;18,6;76,7;46;7,8;1,4;
2008-05-12;0;989,3;18,7;32,1;25,7;21,6;68,1;38;10,2;1,9;
2008-05-13;0;989,2;17,7;31,7;25,1;20,2;66,3;37;10;2,3;
2008-05-14;0;989,4;18,5;31,7;25,1;19,2;69,1;41;7,9;1,9;
2008-05-15;0;989;17,9;32,5;25,7;20,2;65;37;9,6;2,2;
2008-05-16;0;988,8;18,6;32,7;26,1;19,9;66,1;38;7,3;1,7;
2008-05-17;0;988,5;19,2;33,5;26,3;20,7;68,3;38;7,7;1,9;
2008-05-18;0;988,4;19,5;32,6;26,2;21,4;68,3;42;8;2,1;
2008-05-19;0;988,6;19,2;32,9;26,6;21,2;66,6;39;8;2,1;
2008-05-20;0;988;18,4;33,2;25,5;18,6;68,5;34;7,5;1,7;
2008-05-21;0;986,8;17,8;33,3;25,6;18,5;65;34;7;1,5;
2008-05-22;0;987,6;17,1;33,7;26,2;19;60,2;29;7,5;2;
2008-05-23;0;987,4;16,6;33,9;25,8;18,4;61,3;28;6,6;1,7;
2008-05-24;0;987,5;15,8;34,2;25,2;17,2;61,2;26;6,5;1,5;
2008-05-25;0;986,2;16,8;33,2;25,6;19,5;61,3;31;5,8;1,6;
2008-05-26;0;986,9;18,5;32,7;26,4;21,7;63,5;39;6,7;1,7;
2008-05-27;0;986,5;19,2;33,9;27;20,8;66,5;35;8,1;1,8;
2008-05-28;0;986,4;19,3;34;26,9;20,8;66,5;35;7,7;1,6;
2008-05-29;0;986,8;18,3;33,9;26,4;19,6;64,8;36;8;1,8;
2008-05-30;0;988,6;17;34;26,3;19,1;61,3;29;15,2;1,7;
2008-05-31;0;989,1;17,4;34,4;26,6;19,9;61,8;30;9,1;1,9;
2008-06-01;0;989,5;16,6;33,1;25,9;20,4;59,8;32;9,3;2,2;
2008-06-02;0;989,5;15,9;32,2;25,4;18,6;58,4;32;10,2;2,4;
2008-06-03;0;989,8;15,5;31,9;25;20,8;58,1;29;11,7;2,6;
2008-06-04;0;989,3;13,7;33,3;25;17,6;54,6;23;10,6;2,3;
2008-06-05;0;989,5;15,1;33,3;25,4;18,8;56,3;28;8,1;2,1;
2008-06-06;0;989,6;15,4;34,2;25,8;19;57,8;25;11,2;2,1;
2008-06-07;0;988,7;15;33,7;25,5;17,1;55;30;10,6;2,4;
2008-06-08;0;988,5;16,6;33,5;25,7;19,7;60;34;10,2;2,2;
2008-06-09;0;989;16,9;33,1;25,6;19,2;61,3;34;9,9;2,2;
2008-06-10;0;988,7;17,2;33,4;26,2;21,1;60,8;33;8,5;2;
2008-06-11;0;988,1;14,8;33,8;26;19,5;54,4;25;8,5;2,2;
2008-06-12;0;989;13,9;33,7;25,2;17,1;55;24;8,7;1,9;
2008-06-13;0;988,8;14,5;33,5;24,7;15,9;56,8;26;10;1,8;
2008-06-14;0;987,1;14,9;33,8;25,8;18,5;55,5;27;9,6;2,1;
2008-06-15;0;988,4;13,3;33,6;25,9;18,3;48,3;26;6,2;1,8;
2008-06-16;0;989,3;14,9;33,9;25,6;17,6;55,2;28;7,9;1,9;
2008-06-17;0;987,9;14,5;34,4;25,3;17,1;56,4;23;8,6;1,6;
2008-06-18;0;987,6;14,6;33,4;26,1;19,2;52,3;29;12;2,5;
2008-06-19;0;987,6;15,4;33,4;25,8;19,5;56,1;27;10,3;2,3;
