Nome: MATEIROS
Codigo Estacao: A040
Latitude: -10.43444444
Longitude: -45.92194443
Altitude: 791
Situacao: Operante
Data Inicial: 2012-10-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-10-24;null;null;null;null;null;null;null;null;null;null;
2012-10-25;null;null;null;null;null;null;null;null;null;null;
2012-10-26;null;null;null;null;null;null;null;null;null;null;
2012-10-27;null;null;null;null;null;null;null;null;null;null;
2012-10-28;null;null;null;null;null;null;null;null;null;null;
2012-10-29;null;null;null;null;null;null;null;null;null;null;
2012-10-30;null;null;null;null;null;null;23,3;15;9,2;null;
2012-10-31;0;922,4;17,2;33,3;25,8;22,2;60,5;25;19,2;4,5;
2012-11-01;0;920,9;16,4;35,8;26;19,7;60,8;24;14,3;4,2;
2012-11-02;6,2;923,7;19,4;24,5;21,7;20,2;87,3;70;9,5;2,9;
2012-11-03;10,6;923,7;18,5;29,1;23,6;20,1;75;49;11,2;3,3;
2012-11-04;0;923,9;19,1;30,2;22,5;20,6;82,5;45;12,2;3,5;
2012-11-05;17,2;922,8;18,9;30,1;23,3;19,7;78,8;41;13,1;3,3;
2012-11-06;1,8;922,6;18,7;32;23,7;20,7;76,6;37;13,5;4,1;
2012-11-07;58,4;923,3;19,4;28,7;22,6;19,3;83,4;47;13,7;3,3;
2012-11-08;16,2;922,2;19,6;29,5;22,6;20,1;84,8;51;17,4;3,6;
2012-11-09;82,8;921,9;19,5;27,3;21,9;18,4;86,9;58;12,6;4,3;
2012-11-10;13,8;922,6;19,4;27,6;21,7;20,2;87,8;56;9,5;2,5;
2012-11-11;25,4;923,2;19,5;26;22,5;20;84;61;10;3,4;
2012-11-12;1,6;923,3;19,5;29,7;23,9;20,9;78,1;45;8,6;3,1;
2012-11-13;,2;922,6;19,6;31;23,3;21;81,5;42;10,3;2,7;
2012-11-14;5,8;922,3;19,8;27,3;21,4;20,5;90,8;69;16;3,6;
2012-11-15;48,4;922,5;19;28,7;22,1;18,8;83,6;52;15,4;2,8;
2012-11-16;24,2;923,5;19,9;27,8;22,3;20,3;86,5;57;11,7;2,7;
2012-11-17;5;924,1;19,7;28,8;22,3;20,1;85,8;55;13,8;3;
2012-11-18;53,2;925;19,6;26,1;22,1;19,2;86,9;66;13,9;3,9;
2012-11-19;13,8;924,1;18,7;30,9;24,8;18,6;71,8;39;9,5;3,6;
2012-11-20;7,4;922,8;18,5;31,8;25,3;20,5;69,1;34;8,4;2,9;
2012-11-21;29,4;922,8;19,1;31,4;24,5;19,4;74,5;38;11,4;4,1;
2012-11-22;0;923,4;19,3;30,4;23,1;20,2;80,7;45;9,7;3;
2012-11-23;6;923,5;19,2;28,9;22,8;19,6;81,5;47;9,3;3,6;
2012-11-24;,6;923,4;19,1;29,5;23,8;21,4;76,3;47;12,7;2,1;
2012-11-25;0;923,1;19,9;27,8;23,7;21,8;80,1;55;8;2,6;
2012-11-26;0;923,7;20;28;22,1;20,9;88,1;56;12,3;3,1;
2012-11-27;2,6;923,2;19,3;26,5;21,9;19,9;85,8;63;8,4;2,5;
2012-11-28;24,8;922,4;20;27,5;22,7;20,1;85,9;61;9,7;2,5;
2012-11-29;0;922,2;20,2;29,6;24,1;20,4;80,3;54;9,5;3,2;
2012-11-30;77,6;923,1;19,6;25;21,6;18,7;88,7;73;14,3;3,4;
2012-12-01;2;923,1;18,8;29,2;23,6;19,1;76,5;48;11,8;3,2;
2012-12-02;0;922,6;17,4;30,7;25,1;20,1;65,4;37;10,8;3,3;
2012-12-03;0;922,9;16,4;32,1;25,5;20,2;61,2;29;10,9;3,8;
2012-12-04;,2;925;19,3;26;22,7;20;81,8;64;9,4;2,9;
2012-12-05;31,2;924,2;19,1;26,6;22,3;18,2;83,3;60;12;3,8;
2012-12-06;,2;922,4;18,4;30,8;24,5;20,1;72,9;35;11,6;2,9;
2012-12-07;0;922,4;17,9;29,1;25,3;22,1;65,1;43;11,7;2,8;
2012-12-08;0;924,1;19,2;30,4;24;20,1;76,6;45;12;3,3;
2012-12-09;0;923,9;18,9;31,9;23,7;20,4;76,8;33;12,9;2,5;
2012-12-10;34,6;922,6;18,6;28,3;22,9;19,3;77,5;55;10,2;3,3;
2012-12-11;0;922,2;19,1;28,9;23;20,5;79,9;51;11,4;2,8;
2012-12-12;13,2;922,5;19;27,6;22,8;20,1;80,2;52;8,7;3,1;
2012-12-13;0;922,1;20,2;28;22,7;19,8;86,3;56;16,3;2;
2012-12-14;15,8;921,8;19,6;30,4;24;19,7;78,5;46;9,4;2,3;
2012-12-15;,2;922;16,8;33;25,7;20,1;62,2;27;20,8;3,1;
2012-12-16;0;922,1;13,3;33,8;27,5;22,7;47;13;8,6;3,2;
