Nome: MARIANOPOLIS DO TO
Codigo Estacao: A041
Latitude: -9.57638888
Longitude: -49.72333332
Altitude: 186.69
Situacao: Operante
Data Inicial: 2012-11-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-11-23;null;null;null;null;null;null;null;null;null;null;
2012-11-24;null;null;null;null;null;null;null;null;null;null;
2012-11-25;null;null;null;null;null;null;null;null;null;null;
2012-11-26;null;null;null;null;null;null;null;null;null;null;
2012-11-27;null;null;null;null;null;null;80,3;67;9,1;null;
2012-11-28;4,8;987,3;22,3;32,1;26,5;22,7;79,3;50;9,8;1,5;
2012-11-29;8,6;988;23,1;29,4;25,2;23,5;88,5;71;6,4;1,7;
2012-11-30;7,2;987,7;22,6;31,3;25,3;23;86;58;10,4;1,9;
2012-12-01;6,8;988,3;22,4;31,2;25;22,4;86,6;59;10,9;1,8;
2012-12-02;13,8;987,9;22,7;31,7;26,4;22,9;81,5;54;6,6;1,6;
2012-12-03;59;989,7;21,9;26,1;23,3;21,8;92;80;7,4;2,2;
2012-12-04;5,8;990,3;21,3;30,6;24,8;21,8;82,5;52;6;1;
2012-12-05;0;989,6;21,8;31,3;25,1;22;82,8;53;12,5;2;
2012-12-06;8,8;987,5;21,9;32,9;26,3;21,7;79,3;46;6,3;1,4;
2012-12-07;0;988;22,5;30,9;25,8;23,1;82,1;58;9;2,1;
2012-12-08;3;989,7;22,3;32,1;26,2;22,9;80,9;51;8,8;1,8;
