Nome: GAMA (PONTE ALTA)
Codigo Estacao: A046
Latitude: -15.93527777
Longitude: -48.13749999
Altitude: 990
Situacao: Operante
Data Inicial: 2014-09-30
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2014-09-30;null;null;null;null;null;null;null;null;null;null;
2014-10-01;null;null;null;null;null;null;null;null;null;null;
2014-10-02;null;null;null;null;null;null;null;null;null;null;
2014-10-03;null;null;null;null;null;null;null;null;null;null;
2014-10-04;null;null;null;null;null;null;null;null;null;null;
2014-10-05;null;null;null;null;null;null;null;null;null;null;
2014-10-06;null;null;null;null;null;null;null;null;null;null;
2014-10-07;null;null;null;null;null;null;null;null;null;null;
2014-10-08;null;null;null;null;null;null;null;null;null;null;
2014-10-09;null;null;null;null;null;null;null;null;null;null;
2014-10-10;null;null;null;null;null;null;null;null;null;null;
2014-10-11;null;null;null;null;null;null;null;null;null;null;
2014-10-12;null;null;null;null;null;null;null;null;null;null;
2014-10-13;null;null;null;null;null;null;null;15;10,9;null;
2014-10-14;0;905,4;6,5;34,2;27,6;19,1;27,9;15;9,6;2,5;
2014-10-15;0;905,1;3,6;35,6;28,5;21,4;21,5;12;8,5;3,3;
2014-10-16;0;904,9;3,9;34,8;28,4;23,8;22;12;12,3;4,2;
2014-10-17;0;904,5;6;34,4;28;22;25,5;18;9,8;3,1;
2014-10-18;0;903,1;7;35,6;28,8;21,7;27;13;10,4;3,5;
2014-10-19;0;903;9,6;34,9;26,7;19,9;35,3;20;10,2;2,4;
2014-10-20;0;903,5;13,2;33;25,6;17,5;48,3;28;14,1;3,2;
2014-10-21;1;903,4;16,1;32,2;24,1;19,1;63,8;32;12;2,6;
2014-10-22;2,8;904,7;15,9;29,5;23,6;19,1;63,3;41;11,5;3,4;
2014-10-23;0;905,8;15,8;28,3;22,6;19,3;66,2;41;13,3;3,1;
2014-10-24;0;903,8;14,5;31,2;23,1;16,2;61,6;31;9,7;2,7;
2014-10-25;0;903;15,6;28,9;21,8;18;69,3;38;10,5;2;
2014-10-26;,8;903,5;17,2;27;20,6;18;82,1;42;6,5;1,7;
2014-10-27;15,4;904,5;16,8;29,8;22,2;17,7;74,5;34;11,1;1,5;
2014-10-28;6,8;903,7;17,3;31,2;23,2;17,5;72,8;35;14;2,7;
2014-10-29;28,2;902,3;17,6;28;22,3;18,8;76;48;9,5;2,6;
2014-10-30;0;902,5;17,2;27,2;21,9;19,2;75,3;54;9,7;2,2;
2014-10-31;3;904,6;17,3;25,9;21,4;18,4;78,2;59;11,3;2;
2014-11-01;0;905,3;17;28,5;22,1;18,7;75,2;37;10,1;2;
2014-11-02;7,6;904,2;16,6;31,2;23,9;18,9;68,3;34;8,3;1,7;
2014-11-03;0;902,3;16,6;30,9;23;17,3;70,6;34;8,5;1,9;
2014-11-04;,4;902,5;17,7;29;22,4;18,6;76,9;46;13,6;1,7;
2014-11-05;5,8;904,3;17;30,3;22;18,7;76,3;36;20,1;2;
2014-11-06;16,4;905,6;16,4;30,3;22,9;16,8;68,8;36;14,3;2,6;
2014-11-07;1;903,6;16,5;31,4;24,3;19,8;63,8;34;10,4;2,5;
2014-11-08;22,2;903;17,3;29,5;23,1;18,7;71,8;41;11,8;2,5;
2014-11-09;0;902,1;17,7;30,3;23,1;18,7;73,5;41;7,8;1,4;
2014-11-10;37,8;902,5;18,3;26,6;22,2;19,3;79;57;8,4;2,6;
2014-11-11;0;901,7;17,4;29,7;23,6;17,5;70,1;44;9,1;1,6;
2014-11-12;0;900,6;18;29,6;21,9;18,4;80,2;44;12,9;2,1;
