Nome: PARANOA (COOPA-DF)
Codigo Estacao: A047
Latitude: -16.012222
Longitude: -47.557417
Altitude: 1043
Situacao: Operante
Data Inicial: 2017-02-06
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-02-06;null;null;null;null;null;null;null;null;null;null;
2017-02-07;null;null;null;null;null;null;null;null;null;null;
2017-02-08;null;null;null;null;null;null;null;null;null;null;
2017-02-09;null;null;null;null;null;null;null;52;9,7;null;
2017-02-10;null;896,3;19,8;24;20,7;20,2;94,6;76;7,7;1,6;
2017-02-11;68,2;896,3;19,3;25,3;20,7;18,9;91,8;74;9,9;2,6;
2017-02-12;16,4;895,8;18,9;25,8;20,5;18,7;91,2;65;11,1;3,4;
2017-02-13;null;896,2;18,5;24,6;null;18,6;90,7;68;11,8;3;
2017-02-14;5,8;899,3;16,8;27,4;21,3;16,8;77,5;48;12,4;3,5;
2017-02-15;,2;902,1;15,3;28;21,2;15,5;70;49;11,8;3,2;
2017-02-16;,8;901,8;17,7;25,8;21,1;18,5;81,4;64;8,8;2,3;
2017-02-17;0;899,9;17,8;28,3;22,3;18,2;77,4;46;7,8;1,4;
2017-02-18;null;899,3;16;29,4;null;17,7;63,6;38;9,4;2,3;
2017-02-19;0;899,9;16,5;29,7;22,9;18;69,2;38;10,3;2,6;
2017-02-20;0;899,9;16,5;28,9;22,4;17,6;70,5;48;9,5;2,6;
2017-02-21;0;899,6;16,3;27,3;21,5;16,2;73,7;53;11;3,5;
2017-02-22;0;899,4;16,6;28,2;21,8;17,3;73,8;47;10,8;2,8;
2017-02-23;3,4;899,2;16,8;29,6;22,3;17;72,7;44;9,9;2,5;
2017-02-24;0;898,4;16,4;30,6;22,2;18,2;72,5;37;13,8;2,4;
2017-02-25;44,4;897,9;17,8;28,2;21,2;16,3;82;46;null;null;
2017-02-26;22,2;898,9;18;25,7;20;17,3;88,9;58;null;null;
2017-02-27;2,2;898;18,2;26,3;20,8;17,9;85,9;55;null;null;
2017-02-28;18,6;896,9;18,3;26,4;21;18;85,8;63;null;null;
2017-03-01;,2;897,4;17,5;26,2;21,4;18,4;79,4;54;null;null;
2017-03-02;0;898,6;18,5;26,2;21,7;18,8;82,8;59;null;null;
2017-03-03;2,8;899,4;18,6;29,8;22,4;17,9;80,8;49;null;null;
2017-03-04;0;897,9;16,4;30;23,1;17,5;70;34;null;null;
2017-03-05;0;896,7;17,2;27,7;22;17,9;74,7;53;null;null;
2017-03-06;0;896,9;18,1;30,4;23,4;18,4;74,4;40;6,4;null;
2017-03-07;0;897,8;16,2;32,1;24,4;19;63,2;31;9,8;1,8;
2017-03-08;0;898;15,5;32;24,6;17,4;60;29;8,8;2;
2017-03-09;0;897,6;17,5;30,7;24;18,5;69,9;40;9;2,2;
2017-03-10;0;898,2;17,8;30,4;23,5;19,9;72,3;43;8,8;2,3;
2017-03-11;0;898,2;16,7;30,2;23,5;18,4;69;38;8,9;2,8;
2017-03-12;0;898,2;15,2;30,7;23,6;17,6;61,6;30;9,6;2,8;
2017-03-13;0;897,9;15,4;30;23,1;17,5;64,8;33;8,4;2,3;
2017-03-14;0;898;16,8;30,4;22;18,4;74,6;40;10,1;2,4;
2017-03-15;15,6;898,5;16,5;28,5;22,3;17,9;72,3;45;9,2;2,6;
2017-03-16;0;898,4;16,7;30;22;16,9;73,8;40;10,2;1,9;
2017-03-17;0;898,3;17,1;30;23,2;18;71,6;42;7,8;2,1;
2017-03-18;3,8;898,7;17,7;28,4;21,5;18,3;80,5;53;10;1,9;
2017-03-19;39,8;899,7;18,1;26,2;20,2;17,4;88,5;61;null;null;
2017-03-20;2;899,7;18,8;28,4;20,7;17,6;89,7;51;null;null;
2017-03-21;3,6;900,6;18,9;29,1;21,9;18,4;84,7;52;null;null;
2017-03-22;7,4;900,9;18,6;28,5;22,1;17,3;81,9;57;null;null;
2017-03-23;0;899,7;17,9;29,3;23,2;19;73,7;50;null;null;
2017-03-24;0;898,4;16,7;30;23,2;18,4;69,1;40;null;null;
2017-03-25;0;898;16,9;30,2;23,1;17,6;70,4;43;null;null;
2017-03-26;0;897,6;17,7;30,7;23,7;18,7;71,8;40;null;null;
2017-03-27;0;898,4;18,5;30;22,7;18,6;78,9;46;null;null;
2017-03-28;4,6;898,3;18,5;29,1;21,9;18,7;82,9;46;null;null;
2017-03-29;32;897,9;19;27,5;21,1;18,5;88,7;55;null;null;
2017-03-30;24;897,7;18,8;26,9;20,9;18,1;88,6;64;null;null;
2017-03-31;,2;898,7;17,4;29,4;22,9;18,3;74,4;39;null;null;
2017-04-01;2,8;899,1;18,2;27,6;22,1;18,6;79,8;52;null;null;
2017-04-02;1,4;898,4;17,9;25,7;21,1;18,4;83,1;62;null;null;
2017-04-03;0;898,2;18,2;28,2;21,7;18,8;81,6;54;null;null;
2017-04-04;0;898,5;18,5;26,8;21,6;18,2;83,8;61;null;null;
2017-04-05;0;899,5;18,5;29;22,6;17,7;79,5;51;null;null;
2017-04-06;0;899,9;18,6;29,8;23,3;19,1;77;47;null;null;
2017-04-07;0;898,8;18,1;29,9;23,4;19,2;75;42;null;null;
2017-04-08;0;899;16,3;29,5;22,8;18;68,4;44;null;null;
2017-04-09;0;898,8;15,1;29,3;22,2;16,3;66,3;36;null;null;
2017-04-10;0;898,8;15,2;29,2;22,2;17,1;66,4;38;null;null;
2017-04-11;0;898,9;15,2;30;23;16,2;63,7;35;null;null;
2017-04-12;0;898,7;15,8;30,8;23,5;18,7;64,5;36;null;null;
2017-04-13;0;898,7;17,5;29,8;23,7;18,3;69,8;45;null;null;
2017-04-14;0;900;17,8;29,3;22,8;18,1;74,9;48;null;null;
2017-04-15;0;900,5;16,8;28,1;22;17,5;73,8;47;null;null;
2017-04-16;0;899,7;16,2;29;22,2;17;71;42;null;null;
2017-04-17;0;898,6;15,7;30,1;23;17,2;66;36;5,8;null;
2017-04-18;,2;898,4;14,9;30,3;23,6;17;60,8;36;6;1,7;
2017-04-19;0;898,9;15,6;28,7;22,8;17,6;65;46;9,9;2,7;
2017-04-20;0;898,6;16,3;28,5;21,9;17,1;72,2;48;10,3;2,5;
2017-04-21;0;899;16,7;26,1;20,9;18,3;77,1;57;8,2;1,9;
2017-04-22;0;899,4;17,5;28,7;22,5;18,7;76,3;45;7,5;1,6;
2017-04-23;0;900;17,1;28,8;21,8;16,9;76,9;47;7,6;1,6;
2017-04-24;,6;899,7;18;28,6;21,6;17,5;81;51;8,6;1,8;
2017-04-25;4,8;898,5;18,4;28,5;22,2;17,7;80,2;52;9,3;2,3;
2017-04-26;0;898,4;18,2;28,8;22,6;18,2;77,7;50;8,7;1,7;
2017-04-27;0;899,5;18;27,9;21,7;18,3;81,3;48;9,7;1,9;
2017-04-28;0;900,4;18,7;26,3;21,3;18,4;86;65;7,9;2,2;
2017-04-29;0;900,8;18,3;28,2;22,8;19,3;78;50;9,1;2,9;
2017-04-30;0;901,7;16,5;26,8;21,5;17,4;74,7;52;10,4;3,5;
2017-05-01;0;902,4;15,7;24,3;19,3;15,8;80,5;58;9;3,4;
2017-05-02;0;901,3;15,1;25,3;19,2;14,4;78,3;52;10,6;3,4;
2017-05-03;0;901,9;15,4;25;19,2;14,7;79,7;56;8,1;2,7;
2017-05-04;0;900,6;13,6;26,4;19,8;13,7;69,2;44;9,9;2,8;
2017-05-05;0;900,2;14,7;27,5;20,1;14,6;72,9;45;8;1,8;
2017-05-06;0;899,7;14,6;29,2;21,5;15,8;66,5;37;7,1;1,2;
2017-05-07;0;898,8;15,7;27,9;21,6;16,6;70,5;44;6,7;2;
2017-05-08;0;898;15,5;27,2;21,9;17,9;68;43;7,6;1,7;
2017-05-09;,2;899;14,5;28,6;21,7;18,1;65,5;35;7,2;1,6;
2017-05-10;0;899,9;9,4;28,3;20,9;14;49,3;28;6;2;
2017-05-11;0;899,5;10,7;28,1;21,1;14,6;53,7;29;8;1,9;
2017-05-12;0;900,3;12,7;27,1;20,8;15,7;61;43;9,6;2,7;
2017-05-13;0;900,5;13,1;28,4;21,2;14,9;61,5;38;8,8;1,8;
2017-05-14;0;899,7;14;30,1;22,4;16,7;61,7;35;7,5;1,4;
2017-05-15;0;899,2;16,7;27,8;22,4;18,8;71,1;52;7,4;1,7;
2017-05-16;1,2;899,2;17,9;28,7;22;18,8;78,8;43;7,8;1,4;
2017-05-17;1,6;899,3;18;28,3;21,4;17,5;82,3;50;8,9;2;
2017-05-18;4,4;898,8;18,4;25,8;20,4;18;88,7;63;7;1,9;
2017-05-19;0;897,2;18,5;26,1;20,6;17,8;88,6;65;7,5;2;
2017-05-20;1,4;898,6;18,4;24,2;19,8;18,9;91,8;71;9,5;1,6;
2017-05-21;8,6;900,1;18,1;24,1;19,7;17;90,9;71;7,7;2,2;
2017-05-22;0;900,2;18,2;28,2;22,3;18,1;79,3;52;8,6;1,9;
2017-05-23;0;901,1;17,9;28,4;22,7;18,2;75,6;51;7,4;1,9;
2017-05-24;0;901,9;17,5;27,5;22;17,6;76,5;52;9,3;2,7;
2017-05-25;0;902,5;16;25,6;20,3;15,9;77,8;53;8,8;2,4;
2017-05-26;0;902,2;15,4;26,3;20,2;15,5;75;51;8,3;2,6;
2017-05-27;0;902,3;14,5;25,5;19,8;15,1;73;48;8;2,4;
2017-05-28;0;902,1;14,1;25,8;19,7;15,3;71,9;45;7,7;2,3;
2017-05-29;0;902,3;14,4;26;19,9;15,1;72;48;8;2,2;
2017-05-30;0;901,4;14,3;26,5;20,3;15,9;69,8;47;7,2;2;
