Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-07-29;null;null;null;null;null;null;null;null;null;null;
2016-07-30;null;null;null;null;null;null;35,5;27;12,2;null;
2016-07-31;,4;989,7;12,7;34,8;25,6;16,7;48,5;23;13,6;3,5;
2016-08-01;0;990;null;34,6;26;17;46,3;28;9,7;2,2;
2016-08-02;0;990,5;null;35,1;26,5;18,2;null;24;10,4;3;
2016-08-03;0;990;14;35,5;26,6;17,6;50,1;27;11,4;2,1;
2016-08-04;0;989,8;14,2;36,2;27;17,8;50,1;25;11,1;2,5;
2016-08-05;0;990,3;null;36,2;27,2;18,1;null;59;12,8;2,8;
2016-08-06;0;990,7;null;35,6;26,7;18,3;null;23;10;2,2;
2016-08-07;0;990,7;13,4;36,8;27,1;16,7;47,2;22;10,1;1,9;
2016-08-08;0;989,8;null;36,5;26,9;16,3;48,7;24;9,4;1,8;
2016-08-09;0;990,2;null;36,5;26,9;17,3;76,3;49;7,8;1,6;
2016-08-10;0;989,7;null;36,2;27,7;17,8;43,7;30;10,1;1,6;
2016-08-11;0;988,9;null;37;27,5;18,8;79,3;51;9,9;2;
2016-08-12;0;988,8;null;35,9;26,7;19,8;65,4;36;16,1;2,6;
2016-08-13;11,2;988,4;21,5;35,2;26,7;20,8;77,8;42;12,5;1,7;
2016-08-14;0;988,8;null;33,8;27,3;21,4;86;53;8,6;2;
2016-08-15;0;988,1;null;35,7;27,2;19,6;null;33;8,3;1,8;
2016-08-16;0;988,6;null;35,9;27,7;19,9;79,9;54;7,6;2,2;
2016-08-17;0;988,8;null;37,4;28,3;20,6;null;31;7,6;1,8;
2016-08-18;0;988,2;null;36;28,4;21,2;null;null;9,8;1,9;
2016-08-19;0;987,8;null;35,4;27,9;21,3;null;60;10,1;2,1;
2016-08-20;0;988,9;null;36;27,8;20,6;null;56;8,9;2,3;
2016-08-21;0;989,4;17,8;36,2;27,3;19,1;61,2;32;8,2;1,6;
2016-08-22;0;989,3;null;36,7;28,3;19,8;49,6;33;7,9;1,7;
2016-08-23;0;989,4;null;35,8;27,1;21,8;73,5;42;13,9;1,9;
2016-08-24;0;989,6;null;35;26,6;19,7;81,1;44;9,7;2,3;
2016-08-25;0;989;15,8;37;27,8;18,7;48,3;26;13,6;2,2;
2016-08-26;0;988,2;15,7;36,7;28;18,9;50,7;28;10,4;2,2;
2016-08-27;0;987,9;null;36,2;28,1;20,3;null;null;11,6;2,6;
2016-08-28;0;988,2;null;35,2;27,8;20,9;62,7;42;9,3;2,1;
