Nome: ARAGUACU
Codigo Estacao: A054
Latitude: -12.59222221
Longitude: -49.5286111
Altitude: 231
Situacao: Operante
Data Inicial: 2015-08-18
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-08-18;null;null;null;null;null;null;null;null;null;null;
2015-08-19;null;null;null;null;null;null;null;20;7,5;null;
2015-08-20;null;985,6;14,2;36,9;25,8;16,8;57,5;18;8,5;1,6;
2015-08-21;0;985,5;14;37,9;26,6;17,1;55,5;16;6,9;1,6;
2015-08-22;0;984;13,9;39;27,4;17,3;53,2;15;6,7;1,4;
2015-08-23;0;983,5;15,3;39,4;29;20,8;50,5;17;5,9;1,3;
2015-08-24;0;983,3;15,7;39,2;28,3;18,6;54,9;17;7,6;1,5;
2015-08-25;0;983,5;15,3;38,8;28,6;19,9;52,8;18;12;2,3;
2015-08-26;0;984,8;15,2;38,2;28,7;19,9;52;17;10,4;2,3;
2015-08-27;0;985,5;15,2;38,1;27,7;18,9;53,3;18;7,9;1,5;
2015-08-28;0;985,9;14,4;38,4;28,8;20,7;47,8;14;9,3;2,8;
2015-08-29;0;986,5;14,3;37,2;27,5;18,6;51,9;19;11,7;2,4;
2015-08-30;0;987,3;14,7;37,2;28,7;21,2;49,3;19;9,9;2,2;
2015-08-31;0;987,3;14,6;37,4;28,3;19,7;50,5;19;11,3;2;
2015-09-01;0;987,2;12,5;37,8;27,8;17,4;47,5;13;9,6;2;
2015-09-02;0;985,8;11;38,3;26,8;15,6;48;12;7,9;1,5;
2015-09-03;0;985,4;9,9;38,8;27;15,6;45,4;10;10,2;1,9;
2015-09-04;0;985,7;10,3;38,7;26,9;15,7;46,8;11;9,2;1,6;
2015-09-05;0;985;11,3;40,1;28,2;17,7;45,5;12;5,9;1,4;
2015-09-06;0;984;15,6;39,1;28,2;18,4;52,6;19;10,7;1,9;
2015-09-07;0;984;18,5;36,5;29,1;22,9;55,6;30;9;2,5;
2015-09-08;0;983,6;18,1;37,2;28,5;20,9;59,1;27;9,2;2,3;
