Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-14;null;null;null;null;null;null;null;null;null;null;
2016-11-15;null;985,5;22,2;33,4;26,5;null;79,9;48;7,6;1,5;
2016-11-16;0;986,9;22,3;31,7;26,5;22,6;79;54;7,2;1,8;
2016-11-17;2,4;987,5;22,5;33,9;26,2;22,5;82,4;47;12,5;1;
2016-11-18;29;987,9;22,8;30;null;22,7;87;63;5,3;1,2;
2016-11-19;0;986,6;22,9;33,3;26,8;21,9;81,4;54;5,2;,9;
2016-11-20;0;987,3;23,1;28,7;24,9;22,4;90,3;73;9,7;1;
2016-11-21;26,4;989,3;22,8;32,9;25,7;22,3;85,6;51;8,7;1,1;
2016-11-22;2;989,1;23,1;26,8;23,9;23,6;94,7;85;8,9;1,2;
2016-11-23;60,4;988,3;22,6;33,7;26,6;21,9;81;55;4,8;1,1;
2016-11-24;0;988,9;23,3;32,6;27;22,8;81,4;55;12,5;1,4;
2016-11-25;,8;989;23;34,5;27,7;22,6;77,4;52;6,5;1,6;
2016-11-26;0;987,9;23,4;36,5;29,5;23,7;72,6;41;6;1,3;
2016-11-27;0;988,6;22;36,4;28,7;23,1;70,5;35;5;1;
2016-11-28;0;989,2;null;36,4;null;21,5;null;null;5,2;1;
2016-11-29;0;987,6;20,6;37,9;29,1;20,7;62,6;31;6,6;1,2;
2016-11-30;0;987,1;22,1;36,9;28,2;22,8;72,2;36;8,8;1;
2016-12-01;0;990,3;22,6;30,1;25,5;22,9;84,3;68;10;1,7;
2016-12-02;20;991,8;21,8;30,8;24,4;21,2;86;61;8;1,4;
2016-12-03;,2;988,7;null;35,5;27,6;23,1;91,6;62;7;1,2;
2016-12-04;2,6;988,7;null;32,1;26,1;21,8;null;null;9,8;1,7;
2016-12-05;,2;990,1;22,2;33,8;26,6;22,4;77,8;49;11,2;1,3;
2016-12-06;12;990,3;null;34,8;27,7;23;null;null;6,1;1;
2016-12-07;10,4;989,9;null;29,5;25,1;22,6;null;62;8,9;1,6;
2016-12-08;,2;989,8;null;32,5;26,4;22,6;84,3;54;4,5;,8;
2016-12-09;0;989,1;null;33,2;26,6;21,9;null;null;4,7;,8;
2016-12-10;1;989,5;null;33,7;27;23,7;null;null;8,7;1,9;
2016-12-11;8,4;989,7;null;32,4;26;22,8;87,8;62;5,8;1,3;
2016-12-12;0;988;null;33,8;26,2;22,9;null;null;10,2;1,3;
2016-12-13;13;988,7;null;31,5;24,6;22,5;null;null;10,1;1,2;
2016-12-14;8,4;989,5;23,1;31,4;25,8;22,8;86;61;8,5;1,4;
2016-12-15;35,6;989,6;23,2;30,2;25,7;22,8;86,9;61;8,5;1,1;
2016-12-16;,2;991;22,6;29,9;25;23,2;87,1;63;6;1;
2016-12-17;,6;991,3;22;29,6;24,3;22,3;88;67;9,2;1,4;
2016-12-18;6,8;990,2;21,6;28,9;23,1;20,9;91,8;67;10,9;1,3;
2016-12-19;4,2;989,6;22,4;31,7;25,6;21,8;84,1;55;5;,8;
2016-12-20;5,6;989,2;22,2;26,2;23,6;20,6;92,1;78;8,9;1;
2016-12-21;6,4;987,6;22,2;32,2;25,5;20,6;84;53;6;1,3;
2016-12-22;2,2;989,4;22,6;28,4;24,3;22;90,3;74;5,7;1,2;
2016-12-23;0;989;null;35;27,7;23,1;87,3;50;6,4;1,4;
2016-12-24;0;987,6;null;35,3;28,5;22,9;null;46;6,2;1;
2016-12-25;0;987,1;null;34,5;27,9;22,9;null;67;5,6;,9;
2016-12-26;0;988,2;22,5;32,7;27;23,9;78,3;38;10,8;1,3;
2016-12-27;0;989,5;null;35,1;26,3;21,5;86,5;56;16,2;1,4;
2016-12-28;27,6;989;null;34,4;26,7;21,2;82,5;51;11,1;1,3;
2016-12-29;0;990,2;22,3;31,8;26,1;22,5;80,9;58;7,3;1,7;
2016-12-30;0;989,7;null;33,3;27;23,2;88,3;59;7,8;1,2;
2016-12-31;0;990,2;null;32,3;26,6;23,1;81,2;57;5,2;1,1;
2017-01-01;0;990;null;33,6;27,6;23,7;88,5;59;5,4;1,1;
2017-01-02;0;988,9;null;33,8;27,5;23,2;82,4;54;5,5;1,2;
2017-01-03;0;988,8;22,6;33,2;27;23,4;80;59;9,1;1,5;
2017-01-04;0;990;21,7;33,7;25,3;20,9;85,6;59;16,9;1,1;
2017-01-05;,6;990,2;21,4;34,9;25,9;20,6;81,8;48;11;1,7;
2017-01-06;0;989,7;null;35;27;20,4;88;55;11;1;
2017-01-07;0;989,2;null;36,2;28,5;22,6;83,9;54;8,4;1;
2017-01-08;8;988,9;23,1;30,9;26,1;23,1;84,3;57;6,8;1,3;
2017-01-09;0;989,3;null;34,4;26,9;22,4;86,1;57;6;1,3;
2017-01-10;0;988,2;null;33,5;27;22,5;85,1;55;5,7;1,3;
2017-01-11;0;989,4;22,5;32,9;25,7;22,7;86;53;13,3;1,7;
2017-01-12;,2;989,6;null;34,1;25,7;20,3;88,8;53;4,9;,9;
2017-01-13;,2;988,7;null;34;26,9;22,4;88,3;59;9,4;1,4;
2017-01-14;,4;989,4;22;32,8;25,6;21,7;85,4;55;8,3;1,4;
2017-01-15;4,2;989,2;22,5;30,8;25,3;21,6;85,4;63;7;1;
2017-01-16;1,2;989;22,7;28,8;25;22,4;87,5;70;6,3;1,1;
2017-01-17;,2;988;22,4;33,8;26,7;22,2;79,5;48;10;1,2;
2017-01-18;0;990,2;21,6;29,2;24,4;23,3;85,3;62;11,5;1,9;
2017-01-19;1,8;990,7;null;31,4;24,7;20,6;92,8;73;4,9;1;
2017-01-20;,2;990,5;22,3;35,2;25,9;21,9;82,6;44;15,2;1;
2017-01-21;1;990,7;21,9;33,5;25,1;22,1;84,6;47;11,9;1,6;
2017-01-22;14;990;22,1;32,3;25,3;21,7;83,7;53;5,9;1,4;
2017-01-23;0;990,4;22,1;32,7;24,9;21,3;86,1;56;11,5;1,3;
2017-01-24;19;992,3;22,5;31,5;24,8;22,5;88;60;7,8;1,6;
2017-01-25;3,2;992,2;22,1;31,3;24,8;21,3;86,1;60;6,6;,9;
2017-01-26;0;991,1;22,4;33,5;25,5;21,8;84,9;53;10,1;,9;
2017-01-27;0;991,9;22,5;31,8;25,5;22;84,5;57;9,2;1,2;
2017-01-28;,2;991,4;22,3;34,2;26,5;21,6;79,7;45;10,1;1,2;
2017-01-29;0;991,3;22,6;33,2;25,4;21,6;85,9;55;13,3;1,2;
2017-01-30;1,4;990,5;22,7;33,6;26,2;21,5;82,8;52;8,7;1,1;
2017-01-31;0;990,5;23,1;31,3;25,7;22,6;86,3;66;6,3;1,3;
2017-02-01;0;989,9;23,2;31,7;25,5;22,6;87,9;62;9,9;1,1;
2017-02-02;63,2;990,8;22;31,9;25,3;21,4;84;53;10,8;1,3;
2017-02-03;0;990,3;23,3;33,4;26,8;23,2;82,8;54;5,1;,9;
2017-02-04;12,2;989,8;23,3;32,3;25,6;23,4;87,7;58;7,3;1,2;
2017-02-05;3,6;989,7;23,4;32;25,9;22,4;87;61;6,5;1;
2017-02-06;3;988,8;23;33,6;27,1;22,6;80,4;51;4,6;,9;
2017-02-07;10,6;988,8;22,7;30,5;25,5;23;85,4;60;9,3;1,9;
2017-02-08;2,6;989,2;22,6;32,3;25,5;22,2;85,4;55;7,3;1,2;
2017-02-09;,8;989,7;23,3;27;24,7;23,6;91,8;78;8,9;1,5;
2017-02-10;2,2;989,4;23,1;30,7;25,2;22,8;88,6;62;7,4;1,6;
2017-02-11;1;989,4;23;26,8;24;23,2;94,2;79;7,6;1,3;
2017-02-12;49;988,1;23,2;31,2;25,1;22,7;90;63;10,9;1,5;
2017-02-13;null;null;null;null;null;22,5;94,8;88;6;null;
2017-02-14;null;990,6;22,6;29,6;24,8;22,7;88;66;9,9;1,6;
2017-02-15;25;993,6;22,5;26;23,7;22;93,7;81;8;,6;
2017-02-16;5;993,8;22,7;29,3;25,1;22,6;87,2;65;7;1,4;
2017-02-17;0;991,1;22,9;33;26,3;22,6;83,3;55;8,8;1,3;
2017-02-18;4,4;992;22,1;29,8;24,1;21,9;89,3;64;7,5;1,3;
2017-02-19;0;991,7;22,5;32,5;25,8;22,6;83,8;53;12,7;1,4;
2017-02-20;1;991,5;22,4;30,5;25,3;22,6;84,8;58;6,4;1;
2017-02-21;0;991,2;22,3;28,9;23,7;22,8;92,1;71;6;1,1;
2017-02-22;22;990,8;22,1;30,3;24,4;20,9;87,7;62;8;1,1;
2017-02-23;,2;991;22,7;32,2;25,1;22,1;87,4;56;15,1;1;
2017-02-24;7;989,9;22,5;32,2;25,9;21,3;83,1;54;5,9;1,2;
2017-02-25;,2;989,4;22,5;33,9;26,7;23,2;80,1;48;7,2;1,3;
2017-02-26;42,2;991,4;21,9;29,5;24,7;21,5;85,9;61;8,2;1,6;
2017-02-27;,2;989,6;23;32,7;26,5;22,9;82,7;52;4,5;,9;
2017-02-28;0;989,4;22,5;27,6;23,7;23,3;93,3;80;11,6;1,5;
2017-03-01;4,8;990,2;22,2;30,7;24,8;21,7;86,7;57;5,7;1,1;
2017-03-02;,2;990,5;22,6;31,8;25,8;22,2;83,9;54;5;1;
2017-03-03;0;990,5;23,2;33,4;26,8;22;82,5;50;5;,9;
2017-03-04;64,6;989,7;23,3;32;26,6;22;83,7;57;9,3;1,4;
2017-03-05;null;987,7;23,7;33,6;27,7;23,7;80,4;52;6;1,3;
2017-03-06;0;987,9;24,7;34,3;27,3;23,6;86,7;56;6;,9;
2017-03-07;15,2;989,4;23,7;33,3;26,8;22,9;84,8;53;7,2;1,2;
2017-03-08;,2;989,2;24,1;33,7;26,8;24;86,3;56;10,8;1,2;
2017-03-09;,2;989,3;23;31,4;26,3;22,1;83,2;60;7,6;1,4;
2017-03-10;,6;989,2;24;33,7;27,4;23,3;83,5;49;9,4;,8;
2017-03-11;0;989,2;23,6;32,3;26,8;22,4;84,3;59;7,8;1,4;
2017-03-12;0;989,6;23,4;33,7;26,6;23,1;84,5;50;9,7;1,1;
2017-03-13;17,4;989,9;22,4;32;25,5;21,2;83,7;59;7,4;1,2;
2017-03-14;,2;989,4;23,7;31,8;26,7;24;84,7;56;10,6;1,1;
2017-03-15;,2;990,6;22,3;29,9;25;22,1;85,4;64;9;1,4;
2017-03-16;0;990,1;22,2;33;26,9;22,9;78;46;5,4;1,2;
2017-03-17;0;990,4;22,4;26,9;23,5;22,4;93,8;80;9,1;,9;
2017-03-18;5;991,6;22,5;31,6;24,9;21,8;87,5;57;10;1;
2017-03-19;,2;991;22,8;33,1;26,6;22,5;81,7;53;6,3;1;
2017-03-20;0;991,1;23,3;35,2;26,7;22,9;84;44;12;1,2;
