Nome: CRISTALINA (FAZENDA SANTA MONICA)
Codigo Estacao: A056
Latitude: -16.39944444
Longitude: -47.62583332
Altitude: 932
Situacao: Operante
Data Inicial: 2018-01-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-01-24;null;null;null;null;null;null;null;null;null;null;
2018-01-25;null;null;null;null;null;null;null;null;null;null;
2018-01-26;null;null;null;null;null;null;null;null;null;null;
2018-01-27;null;null;null;null;null;null;null;null;null;null;
2018-01-28;null;null;null;null;null;null;null;null;null;null;
2018-01-29;null;null;null;null;null;null;82,5;57;12;null;
2018-01-30;,6;904,4;19,6;28,9;22,8;19,6;83,1;53;8,7;1,9;
2018-01-31;0;904,9;19,9;28,8;23;19,8;84,5;54;11,1;2,6;
2018-02-01;100,4;904,9;19,6;26,9;21,9;19,6;87,3;64;10,5;3,6;
2018-02-02;2,6;904,1;19,8;28;22,8;19,5;83,8;59;11,1;3;
2018-02-03;,8;902,8;19,5;26,7;21,5;20;88,9;64;9,5;2,3;
2018-02-04;15,4;903,7;17,6;21,7;18,9;17,1;92,7;78;10,9;1,7;
2018-02-05;3,8;903,6;18,1;24,6;20,1;17,7;88,3;69;11;2,1;
2018-02-06;0;904,8;17,7;26,7;21,6;18,1;79,4;54;11,1;2,9;
2018-02-07;0;906,5;18,2;27,7;21,8;16,8;81,5;54;7,4;1,8;
2018-02-08;1,2;906,7;18,7;29,7;22,7;18,2;80,4;46;11,4;2;
2018-02-09;10,4;907,4;19,8;28,8;22,6;19,6;85,2;58;13,3;1,7;
2018-02-10;30,6;908,4;19,1;26,7;21,2;18,2;88,4;62;15,6;1,6;
2018-02-11;0;908,5;19;26,5;21,9;16,3;84,4;65;8,8;1,2;
2018-02-12;9,2;907,9;17,4;29,3;23,1;18,1;72,6;43;7,3;1,5;
2018-02-13;0;908,2;15,8;29,3;22,5;15,3;68,7;38;8,1;1,9;
2018-02-14;0;909,1;16,6;29,5;23,1;17,2;68,9;42;11,5;1,7;
2018-02-15;0;910,3;16,7;27,9;22,1;15,7;72,8;46;11,8;2,1;
2018-02-16;0;910,6;17,6;28,9;22,5;17,6;75,7;48;9,4;2,2;
2018-02-17;0;908,8;17,1;29,5;22,5;16,2;73,7;43;11,6;2,2;
2018-02-18;0;907,4;17,9;29,1;21,7;17,3;80,5;47;10,1;3,2;
2018-02-19;,4;906,6;19;28,8;21,9;19;84,8;53;9,4;1,4;
2018-02-20;18;907;19,1;28,6;21,8;18,8;86,3;52;14,9;1,4;
2018-02-21;42,4;906,5;19,8;26;21,7;18,8;89,3;71;8,8;1,5;
2018-02-22;2,8;906,7;19,3;27,6;20,9;19,5;90,7;59;18,7;2,3;
2018-02-23;2,4;907,2;18,7;28,9;21,7;18,8;83,9;49;11,6;2;
2018-02-24;15;907,7;18,8;29,1;21,5;17,6;86;53;6,5;1,8;
2018-02-25;3,2;908;19,2;28,3;22;18,3;85,2;57;10,9;1,9;
2018-02-26;13,2;908,8;19;27,4;21,7;18,9;85,5;57;6,4;1,6;
2018-02-27;0;908,4;18,6;29,2;22,9;17,9;78,6;49;9;1,3;
2018-02-28;,6;907,5;18,2;31,8;23,7;17,9;75,1;37;10,8;1,8;
2018-03-01;0;909,1;17,1;31,9;23,8;17;71,7;29;8,1;1,9;
2018-03-02;0;909,7;18,5;30,5;23,1;19,6;76,5;45;10,8;1,9;
2018-03-03;1;907,7;18,8;30,9;23,8;18,9;76,3;44;5,9;1,2;
2018-03-04;0;905,8;19;31,9;24,7;18,8;72,8;41;8,7;1,7;
2018-03-05;null;null;null;null;null;null;null;38;4,5;null;
2018-03-06;null;906,3;19,3;31,8;24,2;19,9;76,5;41;8,9;2,1;
2018-03-07;0;906,5;19,7;30,7;23,4;19,4;81,2;51;10,6;1,6;
2018-03-08;32,6;906,7;19,6;29;22,4;19,4;85,8;55;12,6;2;
2018-03-09;2,4;906,9;19,9;29,1;22,6;19,9;85,8;54;10,7;1,8;
2018-03-10;2,4;906,5;20;29,4;22,8;20;85,4;55;11,4;2;
2018-03-11;2;906,6;20;26,2;21,9;20;89;67;9,3;2,8;
2018-03-12;9,2;905,7;19,8;29,9;23,3;19,6;82,4;54;8;2,5;
2018-03-13;,2;906,4;19,6;32;25,2;19,9;74,5;41;6,5;1,9;
2018-03-14;0;907,9;19,8;31,3;24,1;18,8;78,7;49;12,5;2,2;
2018-03-15;0;908,9;19,2;30,9;23,1;18,3;81;44;9,2;1,3;
2018-03-16;2,4;908,2;18,4;31,8;24,3;18,2;73,2;38;5,5;,9;
2018-03-17;,8;907,6;18,8;28,9;23,3;19,7;77,3;51;11,3;2,5;
2018-03-18;0;906,3;18,9;28,8;22,6;18,3;81,1;49;10,2;,9;
2018-03-19;25,2;906,2;18,9;30,7;24,2;18,7;74,6;44;13;2;
2018-03-20;0;906,9;18,3;31,6;23,3;17,7;76,3;38;8,4;1,8;
2018-03-21;0;907,8;18,6;31,7;24;19,4;74,8;36;8,2;2;
2018-03-22;4,6;907,4;18,9;30,6;22,7;19,1;80,3;46;9,5;1,6;
2018-03-23;,2;907,2;19,2;27,2;22;18,3;85,2;57;10,1;1,4;
2018-03-24;16,6;908;18,9;27,6;22;18,3;83,5;56;10,4;2,7;
2018-03-25;0;908,7;18,4;27,6;22,4;19;79,2;55;11,4;2,4;
2018-03-26;0;909;17,4;28,5;22,3;17,7;75,8;47;10,5;2,3;
2018-03-27;0;909,4;15,4;29,2;22,5;16,1;67;34;11,9;3,1;
2018-03-28;0;909,3;15,6;28,5;22;16;69,6;39;10,5;2,2;
2018-03-29;0;908,5;15;29;22,2;15,8;66,4;38;12,5;2,2;
2018-03-30;0;908;16,3;29,3;22,6;18;69,9;40;11,8;2;
2018-03-31;0;907,5;17,6;28,6;23;18,7;73,2;50;10,4;2,6;
2018-04-01;2,8;906,9;18,4;30;23,6;19,8;74,6;46;9,7;2;
2018-04-02;3,8;907,2;19,2;24,8;21,7;19,7;86,6;63;5,1;1,3;
2018-04-03;,2;905,7;18,7;28,6;22,7;17,3;79,9;52;7,1;1,2;
2018-04-04;0;906;19,6;28,7;22,5;20,1;84,3;54;8,5;1,5;
2018-04-05;,2;905,5;18,4;29,4;22,6;17,8;79,1;49;10,5;1,5;
2018-04-06;16,6;906,5;19;26,9;21,3;19;87,8;58;8,8;2,1;
2018-04-07;5,6;907,5;19,1;27,3;21,9;18,5;85,1;56;7,9;2;
2018-04-08;0;908,8;19,1;25,3;21,2;19,8;88,1;67;11,3;1,7;
2018-04-09;2,6;909,2;18,5;26,8;20,8;18,5;87,5;58;9;1,9;
2018-04-10;8,6;909,5;17,8;26,6;21,3;17,6;81,8;53;9,4;2,3;
2018-04-11;0;909,6;17;26,5;21,2;17;78,2;54;10,3;2,3;
2018-04-12;0;910;15,6;26,6;20,5;15,5;75,5;47;12,4;2,6;
2018-04-13;0;910,9;17,2;27;21,1;17,4;79,6;55;10,6;1,9;
2018-04-14;1,4;912,2;17,9;24,3;21;18,6;83,4;65;9,8;1,7;
2018-04-15;4,4;912,3;18;26,7;21,2;17,7;83,2;59;10,2;1,8;
2018-04-16;41,2;911,2;17,9;26;21;17,8;83,8;59;9,4;2,4;
2018-04-17;,2;911,7;17;23,1;20,2;18,2;82,3;66;11,6;2,8;
2018-04-18;0;913,4;15,9;24,1;19,4;16,3;81,1;60;10,9;2,4;
2018-04-19;0;913,1;15,9;26;19,9;15,1;79,5;55;9,7;1,9;
2018-04-20;0;911,7;16,7;26,7;20,3;15,6;81,5;53;5,8;1,4;
2018-04-21;0;909,6;15,7;28,5;21,3;15,6;73,5;40;6,5;,9;
2018-04-22;0;908,7;16,1;26,4;21,2;16,7;73,7;54;8,9;1,8;
2018-04-23;0;909,9;16,8;27,5;21,4;17,6;76,4;51;10;2;
2018-04-24;0;911;16,5;27,6;21,7;16,5;74,1;46;9,3;1,9;
2018-04-25;0;911,3;16,1;27,7;21;15,5;75,5;47;8,5;1,6;
2018-04-26;0;910,7;15,9;27,8;20,9;15,2;74,5;45;7,9;1,6;
2018-04-27;0;910,5;16,3;28,6;22,1;17,1;71,5;42;9;1,5;
2018-04-28;0;911,1;16;28,3;21,4;16,2;73,4;44;10,9;1,6;
2018-04-29;0;910,8;15,7;27,6;20,8;15,3;74,9;42;9,6;1,5;
2018-04-30;0;911,1;15,1;28;20,6;14,5;73,3;43;7,5;1,3;
2018-05-01;2,6;911,7;13,8;27,7;20,7;14,1;67,2;35;7,9;1,4;
2018-05-02;0;911,5;13,3;27,5;20,4;13,6;65,8;39;8,8;1,4;
2018-05-03;0;911;15,7;28,7;21,3;15,7;72,1;45;8,5;1,6;
2018-05-04;0;911;16;28,4;21,6;16,2;72,9;44;9,6;1,5;
2018-05-05;0;911,5;15,1;28,3;20,9;14,1;71,5;42;9,2;1,5;
2018-05-06;0;912;14,9;27,5;20,8;14,5;71,2;46;8,3;1,7;
2018-05-07;0;911,9;14,7;27,9;20,1;13,5;73,7;40;7,1;1,3;
2018-05-08;0;911,1;14,6;26,6;20,8;16,7;69,1;46;8;1,5;
2018-05-09;0;911,2;13,5;26,1;19,3;12,5;71;44;9,5;1,8;
2018-05-10;0;910,9;14,7;26;19,2;14,3;76,4;49;9,9;2,2;
2018-05-11;0;911,2;13,7;27,3;19,8;12,8;71;40;7;1,5;
2018-05-12;0;909,8;12,9;28,4;20,7;13,3;64,5;32;6,1;1,8;
2018-05-13;0;909,4;12,4;29,2;20,9;13,8;62,8;29;4,8;,9;
2018-05-14;0;909,5;13,3;27,6;20,4;12,7;66;39;8,7;1,4;
2018-05-15;0;910;14,5;27,3;20,1;14,8;72,1;40;9;1,7;
2018-05-16;0;909,8;14,4;28,3;20,3;13,7;72;35;8,5;1,1;
2018-05-17;0;909,3;14,7;28,6;20,7;12,8;71,1;40;5,8;,9;
2018-05-18;0;908,9;16,1;28,2;21,5;16,6;72,6;47;8,3;1,3;
2018-05-19;0;908,3;16,8;28,7;20,5;15,7;81,2;46;12,9;2,7;
2018-05-20;12,8;909;14,8;20,8;16,8;14,7;88,6;65;9,2;3;
2018-05-21;0;909,6;9,9;25,8;15,7;7,4;71,3;42;4,6;1,1;
2018-05-22;0;910,8;11,3;27;18,5;9,9;65,1;39;6;1,2;
2018-05-23;0;911,8;12,7;27,4;19,4;11,3;67,9;41;6,2;1,2;
2018-05-24;0;913,1;15,1;27,1;20,3;15,1;74;47;7,7;1,7;
2018-05-25;0;912,6;15,3;25;19;13,9;80,8;53;8,1;1,9;
2018-05-26;0;912;14;25,4;18,4;12,4;77,7;47;8,9;1,9;
2018-05-27;0;913;13,7;24,3;18,1;12,8;77,1;49;8,6;2,1;
2018-05-28;0;913,4;13,1;23,4;16,9;10,4;80;54;9;1,9;
2018-05-29;0;913,4;13,1;24;17,6;13;76,4;50;8,1;2,2;
2018-05-30;0;912,6;12,6;23,9;17;11,9;77,2;47;9,4;2,1;
2018-05-31;0;910,8;11,2;25,5;17,2;11,8;71;35;6,5;1,4;
2018-06-01;0;910,1;11,2;26,5;18,1;11,4;66,8;35;6,9;1,2;
2018-06-02;0;911,5;11,7;27,3;18,9;13,1;65,5;34;7,1;1,4;
2018-06-03;0;912,8;11,2;27;18,8;12,6;64,3;34;6,8;1,4;
2018-06-04;0;912,7;12,5;27,5;19,7;13;64,2;43;9,7;1,7;
2018-06-05;0;910,5;13,6;26,5;19,2;12,1;72,3;43;8,6;1,4;
2018-06-06;0;908,4;14,8;27,5;20,3;14;72,5;47;7,6;2,2;
2018-06-07;0;910,5;15,5;28,7;21,2;15,3;72,3;42;6,2;1,1;
2018-06-08;0;911,8;16,5;28,7;21,8;16,9;73,6;47;6,3;1,3;
2018-06-09;0;911,9;15,7;28,7;20,9;14,2;75;40;8,4;1,2;
2018-06-10;0;911,5;15,8;27,9;21,5;16,6;71,7;46;9,4;2,3;
2018-06-11;0;911,1;15,3;27,2;19,9;15,4;76,4;46;8,7;1,7;
2018-06-12;0;911,3;14,2;28,3;19,9;13,6;72,8;37;6,4;1;
2018-06-13;0;911,8;13,3;28,5;20,8;14,7;65,1;36;8,4;,9;
2018-06-14;0;912,2;12,5;28,7;20,4;13,6;63,6;32;7,7;1,2;
2018-06-15;0;913,2;12,3;27,7;20,1;12,1;63,7;35;7,7;1,2;
2018-06-16;0;913,9;11;26,7;18,5;11,7;65,6;31;8,2;1,7;
2018-06-17;0;914,9;10,3;25,8;17,7;10,8;64,6;33;8;1,4;
2018-06-18;0;915,4;11;25;17,3;11,1;69,5;39;8,5;1,6;
2018-06-19;0;914,8;11;25,2;17,5;10,2;68,5;37;10,1;1,6;
2018-06-20;0;914,6;13;25,2;18,9;13,7;69,9;47;12;2,5;
2018-06-21;0;null;null;null;null;10,3;82,7;59;10;null;
2018-06-22;null;912,7;11,9;27,3;19;12,7;67,1;28;10,2;1,7;
2018-06-23;0;911,4;9,9;27,8;19,3;12,6;58,1;27;9,2;2,1;
2018-06-24;0;912,1;9,2;27,4;18,9;10,1;56,4;29;10,4;1,8;
2018-06-25;0;910,9;10,2;27,4;19,3;12,1;58,6;30;10,5;1,6;
2018-06-26;0;910,6;10,2;27,7;20,3;15,6;55,2;27;9,1;1,6;
2018-06-27;0;911,4;9,5;27,5;19,6;12,4;55,5;28;8,4;1,6;
