Nome: PARQUE ESTADUAL CHANDLESS
Codigo Estacao: A102
Latitude: -9.35833333
Longitude: -69.92638888
Altitude: 184.51
Situacao: Pane
Data Inicial: 2008-08-04
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-08-04;null;null;null;null;null;null;null;null;null;null;
2008-08-05;null;null;null;null;null;null;null;null;null;null;
2008-08-06;null;null;null;null;null;null;null;null;null;null;
2008-08-07;null;null;null;null;null;null;null;null;null;null;
2008-08-08;null;null;null;null;null;null;null;null;null;null;
2008-08-09;null;null;null;null;null;null;null;null;null;null;
2008-08-10;null;null;null;null;null;null;null;null;null;null;
2008-08-11;null;null;null;null;null;null;null;null;null;null;
2008-08-12;null;null;null;null;null;null;null;null;null;null;
2008-08-13;null;null;null;null;null;null;null;null;null;null;
2008-08-14;null;null;null;null;null;null;null;null;null;null;
2008-08-15;null;null;null;null;null;null;null;null;null;null;
2008-08-16;null;null;null;null;null;null;null;null;null;null;
2008-08-17;null;null;null;null;null;null;null;null;null;null;
2008-08-18;null;null;null;null;null;null;null;null;null;null;
2008-08-19;null;null;null;null;null;null;null;null;null;null;
2008-08-20;null;null;null;null;null;null;null;null;null;null;
2008-08-21;null;null;null;null;null;null;null;null;null;null;
2008-08-22;null;null;null;null;null;null;null;null;null;null;
2008-08-23;null;null;null;null;null;null;null;null;null;null;
2008-08-24;null;null;null;null;null;null;null;null;null;null;
2008-08-25;null;null;null;null;null;null;null;null;null;null;
2008-08-26;null;null;null;null;null;null;null;null;null;null;
2008-08-27;null;null;null;null;null;null;null;null;null;null;
2008-08-28;null;null;null;null;null;null;null;null;null;null;
2008-08-29;null;null;null;null;null;null;null;null;null;null;
2008-08-30;null;null;null;null;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;null;null;null;null;
2008-09-01;null;null;null;null;null;null;null;null;null;null;
2008-09-02;null;null;null;null;null;null;null;null;null;null;
2008-09-03;null;null;null;null;null;null;null;null;null;null;
2008-09-04;null;null;null;null;null;null;null;null;null;null;
2008-09-05;null;null;null;null;null;null;null;59;5,6;null;
2008-09-06;null;991,8;22,1;30,5;24,8;22,2;85,9;61;3,7;,3;
2008-09-07;0;994,5;18,2;25,6;21,2;20,4;83,4;70;6,2;,9;
2008-09-08;0;993,9;16,3;33;21,8;14,8;75,6;39;4,2;,4;
2008-09-09;0;992,5;19,2;35,5;25,4;17,2;73,8;33;4,6;,4;
2008-09-10;0;992,9;21,1;34;25,8;20,3;78,1;40;7,9;,4;
2008-09-11;0;992,2;20,2;35,9;25,8;19,2;75,3;36;5,3;,5;
2008-09-12;0;990,7;21,2;36,2;26,1;21,1;78;37;6;,4;
2008-09-13;0;991,4;20,7;29,1;23,4;20,1;85,5;63;7;,8;
2008-09-14;1;993;18,5;30,3;22,5;17,9;81;44;6;,6;
2008-09-15;,2;992,7;18,1;32,9;24,1;18,2;74;37;6,5;,4;
2008-09-16;0;993,2;16,5;34,3;24,9;19,3;67;26;8,1;,6;
2008-09-17;0;993;16,2;35,5;24,5;17,8;67;25;7;,4;
2008-09-18;0;990,4;18,7;36;25,9;19;70,3;29;4,3;,3;
2008-09-19;0;989,2;20,2;36,9;26,6;19,9;73;31;6,1;,5;
2008-09-20;0;989,3;20,8;37,9;26,9;21;75;29;14,8;,6;
2008-09-21;8;995,4;18,4;24,4;20,3;17,8;88,6;80;7,8;,8;
2008-09-22;,2;995,7;17;29,4;21;16,3;80,3;47;6,1;,5;
2008-09-23;0;991,5;18;35,4;24,4;17;73,3;32;5,3;,3;
2008-09-24;0;989,2;19,7;37,3;27,1;19,6;69,8;29;5,1;,5;
