Nome: CRUZEIRO DO SUL
Codigo Estacao: A108
Latitude: -7.61055555
Longitude: -72.6811111
Altitude: 220
Situacao: Pane
Data Inicial: 2015-05-13
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-05-13;null;null;null;null;null;null;null;null;null;null;
2015-05-14;null;null;null;null;null;null;null;null;null;null;
2015-05-15;null;null;null;null;null;null;null;82;2,2;null;
2015-05-16;null;990;22,1;26;23,4;22,6;92,9;80;8,8;1,5;
2015-05-17;13,4;991,3;20,9;29,4;23,8;21,1;84,9;59;6;1,6;
2015-05-18;0;990,5;21;29,8;24,3;21,4;83,3;56;4,3;,9;
2015-05-19;0;989,3;21,8;32,5;25,7;21,2;81;49;4;,5;
2015-05-20;0;989;22,5;29,3;24,7;22,9;88,2;61;8,5;,7;
2015-05-21;,6;988,8;22,5;29,8;24,7;22,8;88,5;64;8;,6;
2015-05-22;,2;988,5;22,5;31,8;25,5;21,8;84,8;56;5,4;,6;
2015-05-23;2;989,4;22,4;28,9;24,6;22,8;87,8;67;8;1,1;
2015-05-24;0;987,9;22,1;31,4;25,2;22,3;84,5;55;5,6;,8;
2015-05-25;0;987,6;22,6;32,2;25,8;22,8;84,1;54;4,3;,5;
2015-05-26;6,2;988,2;22,7;30,9;25,6;22,9;85,1;58;6,5;1,1;
2015-05-27;0;987,7;21,9;31,6;25,6;23,1;81,8;51;5,2;,8;
2015-05-28;0;987,1;22,3;32,6;26,1;22,6;81,3;50;6,9;,8;
2015-05-29;89,6;987,5;22,7;27,4;24,4;22,7;90,4;70;8,2;1,2;
2015-05-30;14,6;987;22,6;27,4;24,4;22,8;90;73;3,5;,6;
2015-05-31;0;987,9;22,7;28,2;24,9;22,5;88,3;70;6,4;,7;
2015-06-01;0;988,7;22,3;31,3;25;22,4;86,4;56;8,2;,6;
2015-06-02;0;988,3;22,7;31,7;26;23,2;83,6;54;5,6;,8;
2015-06-03;7,8;987,7;23,1;29,1;24,8;23,1;90,5;62;11,2;,9;
2015-06-04;33,8;989,1;22,7;30,5;25,1;22,8;87,3;62;5,4;1,1;
2015-06-05;2,4;989,5;22,8;31,3;25,6;22,4;85,1;58;9;,9;
2015-06-06;10;988;22,4;32;25,7;21,9;83,3;49;5,4;,5;
2015-06-07;0;987,8;22,2;32,4;26;22,4;81,7;49;3,3;,6;
2015-06-08;1,4;988,6;22,5;28,3;24,8;23;87,6;69;9,8;,9;
2015-06-09;0;987,9;22,1;29,6;25,1;22,5;84,3;57;5,5;,8;
2015-06-10;0;987,9;22,4;28,9;24,9;22;87;64;6,4;,7;
2015-06-11;4,2;988,4;22,2;32,2;25,9;22,7;81,6;51;6,3;,5;
2015-06-12;0;988,9;22,7;30,7;25,2;22,5;86,7;54;6,5;,6;
2015-06-13;1,2;987,7;22,3;31,4;25,4;22,7;84,5;53;9,6;,8;
2015-06-14;0;986,6;22,2;30,9;25,9;22,8;82;56;6,1;1,1;
2015-06-15;0;987,4;22,7;31,3;26,2;22,1;82,2;56;5,6;,7;
2015-06-16;0;988,3;22,9;31;25,8;23,4;85,3;55;4,9;,9;
2015-06-17;,8;988,6;23,1;29,1;25;23,3;89,9;64;5,3;,8;
2015-06-18;1,8;988,8;22,4;31,4;26,1;22,8;82;50;4,7;1;
2015-06-19;0;990,8;21,2;28,4;24,5;22,5;82,6;63;10,7;2,3;
2015-06-20;0;992,3;17,7;28,4;22,2;17,5;77,4;53;7,2;1,5;
2015-06-21;0;991,9;19,3;29,5;23,4;18,2;79,8;52;5,8;,8;
2015-06-22;0;991,6;19,3;31,6;24,1;18,6;77,5;46;5,3;,7;
2015-06-23;0;992;20;29,9;24,2;18,9;79,5;52;5,3;,8;
2015-06-24;0;992,4;21,9;28,6;24,7;20,8;84,9;63;9,1;,6;
2015-06-25;4,8;991,8;21,2;29,4;24,3;21,3;84,4;57;9,2;,9;
2015-06-26;4,4;991,8;21,9;30,3;24,8;21,4;84,9;55;7,7;,7;
2015-06-27;0;992,1;21,3;32;26;21,1;77,9;48;5,1;1;
2015-06-28;0;990,3;21;32,1;25,8;20,8;77,3;43;4,8;,6;
2015-06-29;0;989;21,6;32,1;26,2;21,7;77,7;48;6,5;,9;
2015-06-30;9,8;988,5;22;32,8;26,4;22,3;78,3;49;6,3;,9;
2015-07-01;17;989,6;22,9;29,9;25,2;23,3;87,5;63;8,5;1;
2015-07-02;,6;988,6;22,4;30,1;25,1;22,1;86;59;5,6;,8;
2015-07-03;3,8;987;22,5;32;26,1;22,1;81,9;54;6,7;,8;
2015-07-04;,4;987,4;22,6;30,7;25,8;21,5;83,6;59;6,5;,5;
2015-07-05;9;990,1;21,5;26,8;23,3;22,2;89,6;81;6,3;1,6;
2015-07-06;1,6;990,2;20,3;27,8;22,8;20,5;86,4;63;5,6;,9;
2015-07-07;,2;988,8;20,8;31,4;24,9;20,1;80;49;4,9;,6;
2015-07-08;0;988,3;22;31,3;25,5;21,1;82,2;53;4,9;,5;
2015-07-09;0;988,2;22,6;32,7;25,5;22,3;85,3;49;11,5;,7;
2015-07-10;12,4;988,7;22,4;29,7;24,2;22,2;90,5;63;8,8;,7;
2015-07-11;27;989,2;22,1;32,1;25,7;22,1;82,4;50;5,5;,6;
2015-07-12;0;989,6;22,3;31;25,5;22,3;83,7;58;7,9;,8;
2015-07-13;0;988,3;21,4;31,6;25,6;21,8;80;51;6,5;1,1;
2015-07-14;0;987,6;21,4;32,6;26,5;21,6;75,6;46;5,8;,9;
2015-07-15;0;988,5;22,6;31,1;26,2;23,1;81,8;57;7,2;,8;
2015-07-16;,2;989,6;21,7;32,6;25,8;21,9;80,6;47;13,3;,4;
2015-07-17;0;990;22,3;29,2;25,7;22,7;82,3;66;9,5;1,3;
2015-07-18;0;990,5;21,1;31,3;25,2;21,3;79,7;51;5,8;1,4;
2015-07-19;0;989,7;20,6;31,6;25,2;20,5;78;47;4,3;,6;
2015-07-20;0;988,9;20,8;32,6;25,6;20,5;77,5;46;4;,3;
2015-07-21;0;988,8;21,4;31,5;25,6;21,5;79,4;52;5,8;1,1;
2015-07-22;0;990,2;21,4;28,8;24,7;22,2;83;63;6;1,1;
2015-07-23;0;990,7;20,7;30,7;24,9;20,2;79,4;51;4,6;,9;
2015-07-24;0;990,8;21,1;31,6;25,6;21;78,5;48;5,3;,7;
2015-07-25;,2;990;22,5;31,4;26,3;22,4;81;54;5,9;,7;
