Nome: URUCARA
Codigo Estacao: A124
Latitude: -2.53472221
Longitude: -57.75805555
Altitude: 18.49
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-16;null;null;null;null;null;null;null;null;null;null;
2008-04-17;null;null;null;null;null;null;80,1;63;9;null;
2008-04-18;48,4;1008,8;23,3;30,5;25,2;22,7;89,5;66;12,5;1;
2008-04-19;26,4;1008,3;23,3;28,1;25,2;22,7;89,7;76;5,4;,8;
2008-04-20;1,6;1007,7;23,9;30,2;25,9;23,6;88,6;70;9;1,1;
2008-04-21;3,2;1008;23,4;32;26,2;22,6;85,3;59;7,1;1,2;
2008-04-22;0;1006,9;24;32,8;27,6;24,2;81,6;62;8,6;1,5;
2008-04-23;0;1007,5;23,6;26,2;24,8;23,8;93,1;85;5;,6;
2008-04-24;36,2;1007,4;23,7;30,9;25,8;23,5;88,8;67;6,7;1;
2008-04-25;0;1006,6;23,2;32,2;26,3;22,8;84,5;58;6,9;1,1;
2008-04-26;22,4;1006,8;23,8;31,2;26,5;23,2;86;63;7,4;1,2;
2008-04-27;0;1006,3;24,1;30,2;25,8;23,4;90,7;74;6,1;,7;
2008-04-28;17,6;1006,6;23,9;32,2;26,3;24,3;87,6;61;7,4;1;
2008-04-29;81,4;1007,6;23,6;31,5;25,7;22,3;88,9;64;9,1;1,2;
2008-04-30;2,4;1006,6;24;30,5;26,3;24;87,8;70;5,5;,9;
2008-05-01;3,6;1006;24;31,9;26,5;23,7;86,7;62;6,1;,9;
2008-05-02;3,6;1007;23,5;29,6;26,3;23,9;85,4;67;6,3;1,3;
2008-05-03;11,4;1008,7;23,6;26,8;25;23,6;92,3;80;7;1,1;
2008-05-04;27,4;1009;23,1;30,2;26,1;23;85;62;4,6;,8;
2008-05-05;19,2;1009,2;23,8;27,7;25,4;24,2;90,9;80;6,9;1,1;
2008-05-06;19;1008,9;23,8;30,1;25,8;23,3;89,3;66;3,8;,6;
2008-05-07;13,2;1008,7;23,5;30,5;25,7;23,2;88,6;63;4,6;,8;
