Nome: RIO URUBU
Codigo Estacao: A125
Latitude: -2.6336111
Longitude: -59.60055555
Altitude: 112.84
Situacao: Operante
Data Inicial: 2008-06-25
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-25;null;null;null;null;null;null;null;null;null;null;
2008-06-26;null;null;null;null;null;null;null;null;null;null;
2008-06-27;null;null;null;null;null;null;null;74;2,1;null;
2008-06-28;null;null;null;null;null;null;76,3;53;6,4;null;
2008-06-29;0;1008;22,2;32,8;26,3;21,9;80,7;48;7,4;,7;
2008-06-30;,2;1007,3;21,7;32,6;24,9;20,6;84,5;47;7,8;,5;
2008-07-01;2;1006,9;22,3;32,8;25,8;21,3;83,2;50;7,3;,5;
2008-07-02;,2;1007,3;22,2;32,8;24,9;20,9;86,4;51;6,5;,5;
2008-07-03;,8;1007,2;22,9;32;25,3;21,3;87,8;52;9,9;,3;
2008-07-04;11;1007,9;22,9;26,8;24,1;22,9;93,3;79;7,3;,7;
2008-07-05;null;null;null;31,6;null;21,5;78,1;55;6,4;null;
2008-07-06;,2;1006,8;22;32,1;25,3;20,8;84,1;52;6,8;,7;
2008-07-07;0;1006,9;22,5;32,7;25,6;21,8;84,7;52;10,6;,6;
2008-07-08;,2;1006,2;22,1;33,1;26;21,5;81,2;49;7,6;1;
2008-07-09;0;1005,9;22,1;32,6;25,1;20,6;84,8;52;10,7;,8;
2008-07-10;1;1007,2;22,6;27,6;23,9;21,4;92,6;76;9,9;,2;
2008-07-11;20,6;1008,7;22,4;28,4;24;22,1;91;74;12;,7;
2008-07-12;null;1007,9;22,6;32,3;null;20,8;85;53;7,4;,5;
2008-07-13;0;1006;22,2;33,1;25,9;21;82,7;47;5,6;,6;
2008-07-14;,2;1005,8;21;33,1;25,7;20,8;79;43;8,1;1;
2008-07-15;,2;1006,8;19,8;32,8;24,5;18,4;78,9;38;5,4;,6;
2008-07-16;0;1007,4;20,5;32,8;25,1;19,8;79;44;6,5;,7;
2008-07-17;0;1007,1;21,5;30,9;23,9;20,2;87,6;56;6,4;,5;
2008-07-18;1,2;1007,1;22,1;31,8;24,7;21,5;86,8;54;4,8;,4;
2008-07-19;,2;1007,4;22,1;32,4;25,6;21,7;83,1;49;8,4;1;
2008-07-20;2,4;1007,3;22,3;32,3;24,9;21,4;86,8;51;9,1;,9;
2008-07-21;2;1006,6;21,9;33,4;25,7;21;82,2;47;11,4;,9;
2008-07-22;1,8;1006,7;22,3;33,5;25,5;20,9;85,1;46;9,4;,6;
2008-07-23;2,4;1006,4;21,9;33,6;25,7;20,7;82,1;45;12;,8;
2008-07-24;0;1006,5;22,1;33,7;26,2;21;80,4;47;5,8;,9;
2008-07-25;0;1007,1;22,6;31,6;24,1;22,6;91,7;63;18,4;,5;
2008-07-26;26,2;1006,8;22;29,4;23,6;20,9;91,3;70;8;,6;
2008-07-27;2,4;1006,5;22,1;32,6;25,1;21,1;85;51;5,6;,6;
2008-07-28;0;1007,3;22,3;31,8;25,3;21,4;85,1;55;6,9;,7;
2008-07-29;,4;1006,8;22,7;33,2;25,1;22,5;88,1;50;13,5;,7;
2008-07-30;3;1006,4;22,2;32;25,4;21,4;84,8;51;6,1;,7;
2008-07-31;,4;1005,3;21,9;33,1;25,7;20,5;81,9;48;6,9;,6;
2008-08-01;,2;1005;21,3;34,1;26,3;20,7;78;38;6;,6;
2008-08-02;0;1004,8;21,4;34,7;26,3;20,3;78,1;42;8,7;,8;
2008-08-03;0;1004,4;22;34;26,6;20,8;78,8;44;10,3;1,1;
2008-08-04;3,4;1004,4;22,5;34,1;27;22,3;79,3;44;7;,9;
2008-08-05;0;1004,7;22;33,8;26,6;21,3;78,8;46;8,2;,8;
2008-08-06;0;1004,4;21,3;34,4;26,4;20,5;77,2;43;8,5;1;
2008-08-07;0;1004,8;21,5;34,4;26,8;20,9;76,3;41;7,8;,9;
2008-08-08;0;1005;22,3;34,7;26;21,1;82,8;43;9,3;,6;
2008-08-09;2;1005,6;21,8;34,7;26,8;21,1;77,6;40;7,3;,7;
2008-08-10;,2;1005,6;22;34,4;25,9;20,9;81,2;46;8;,6;
2008-08-11;0;1004,8;22,4;34,4;26;21,7;82,8;49;9,8;,5;
2008-08-12;0;1005,4;22,9;32,5;26,3;23,1;83,7;53;3,7;,3;
2008-08-13;,2;1006,3;22,6;34,4;26,4;22;82,2;48;8,8;,4;
2008-08-14;0;1005,9;20,7;35,4;26,9;20,6;74,5;33;6,8;,9;
2008-08-15;,2;1005,9;21,4;35,6;25,9;20,4;79,9;40;14;,5;
2008-08-16;,6;1005,1;22,8;32,5;24,4;22,3;91,9;59;14;,6;
2008-08-17;30,6;1005;22,9;31,9;25,1;22,2;89;60;6,3;,6;
2008-08-18;22,2;1005;22,5;34;26,2;21,6;82,7;48;7,4;,6;
2008-08-19;0;1004,9;22,6;33,6;25,1;21,9;87,4;54;11,6;,2;
2008-08-20;2,2;1004,1;22,2;33,7;26,1;21,1;81,7;48;6,2;,5;
2008-08-21;0;1004,6;22,5;33,6;26,3;21,6;81,9;44;4,8;,5;
2008-08-22;,2;1004,5;22,2;33,8;26,4;21,3;80,8;41;5,6;,5;
2008-08-23;0;1004,7;22,2;34,4;25,6;21,3;83,9;45;8,9;,5;
2008-08-24;1,2;1005,1;22,5;33;25,6;22;84,4;53;11,1;,9;
2008-08-25;1,6;1006;22,7;31,1;24,7;21,6;89,2;61;6,7;,7;
2008-08-26;9,6;1006,2;22,4;32,4;25,2;22,5;86;56;10,5;,8;
2008-08-27;8;1004,4;21,9;33,7;25,8;21,2;82;45;5,9;,4;
2008-08-28;11,8;1004,6;22,4;31,4;24,1;22,1;91,2;59;15,2;,7;
2008-08-29;49,8;1003,9;22;33,2;25,7;21,6;82,7;47;6,9;,9;
2008-08-30;0;1003;21,7;34,6;26,8;20,8;77,2;40;6,4;,8;
2008-08-31;0;1003,3;22,6;33,7;26,2;21,6;82,7;50;9,3;,9;
2008-09-01;3,8;1004;23,2;33,1;25,7;22,9;87;54;10;,6;
2008-09-02;3,2;1003,5;22,7;32,5;25,2;21,8;86,8;57;9,7;,7;
2008-09-03;5,6;1004,3;22,7;29;24,2;22;91,5;74;8,8;,3;
2008-09-04;4,8;1004,6;22,4;33,7;26,4;21,6;81;47;7;,9;
2008-09-05;3,6;1004,5;22;34,2;27,1;21,8;77,8;38;7,2;1;
2008-09-06;0;1005,4;21,8;34,6;25,4;21,1;83,3;43;18,9;,8;
2008-09-07;32,6;1005,9;22,2;32,9;25,5;20,9;83,8;52;14,3;,8;
2008-09-08;4,4;1005,8;22,4;33,6;26,2;21,3;81,8;47;6,4;,9;
2008-09-09;,2;1006,3;23,2;33,1;26,9;23,3;82,6;51;7,4;,8;
2008-09-10;1,4;1006,9;23;33,6;26,9;22,2;81,8;45;5,1;,5;
2008-09-11;0;1006,6;22,5;34,9;26,2;22,2;82,4;45;14,3;,5;
2008-09-12;5;1007,2;22;25;23,2;21,6;93,2;84;7,6;,6;
2008-09-13;4;1006,3;21,6;31,3;24,7;21,6;84,6;54;6,7;,8;
2008-09-14;0;1005,5;21,8;33,4;25,7;20,3;81,3;48;7,7;,7;
2008-09-15;,2;1005,3;22,9;34,4;27,1;22,2;80,3;44;8,2;,9;
2008-09-16;34,8;1006,7;23,3;30,5;25,2;21,3;89,8;68;15,3;,7;
2008-09-17;0;1006,7;23,1;31,4;25,7;22;86,3;57;5,9;,3;
2008-09-18;,2;1005,3;22,8;33,1;26;21,6;84,3;53;6,3;,6;
2008-09-19;0;1005;22,9;34,1;26;22,4;84,8;50;9,9;,6;
2008-09-20;0;1005,6;22,3;33,7;26;21,3;82,6;47;6,3;,7;
2008-09-21;0;1005,8;22,2;34;26,9;21,8;78,7;43;8,1;1;
2008-09-22;0;1007,1;22,8;31,7;25,6;21,9;85,7;60;4,1;,6;
2008-09-23;,8;1005,6;23,3;32,1;26,5;23,3;83,9;55;6;,8;
2008-09-24;,6;1004,5;22,9;32,3;25,4;22,1;87;56;8,5;,4;
2008-09-25;13,4;1006,4;22,3;31;25,6;22,9;83,4;58;7,3;1,2;
2008-09-26;,2;1005,7;21,9;33,2;25,8;21;81,6;48;7;,9;
2008-09-27;0;1004,4;21,9;34,8;27,1;21,3;76,7;40;5,6;,7;
2008-09-28;0;1004,4;22,5;33,8;25,6;21,7;84,5;51;10,1;,7;
2008-09-29;3,8;1005,6;22,3;32,9;25,7;21,4;83,1;54;9,5;1;
2008-09-30;0;1005,6;22,8;34,8;27,2;22;79,9;44;6;,8;
2008-10-01;0;1004,2;22,8;35,3;27,6;22,2;78,1;44;8,6;,7;
2008-10-02;1,2;1004;22,6;34;27;22,9;79,3;44;7,2;,9;
2008-10-03;4;1005,1;22,5;28,5;24,6;22,1;88,3;69;8,6;,6;
2008-10-04;0;1004,5;22,5;33,4;26,5;22,8;80,7;49;6,2;,8;
2008-10-05;0;1003,6;22,6;35,6;26,9;21,8;80,1;40;7,4;,7;
2008-10-06;0;1003,7;22,8;35,2;27,4;22;79;44;6,3;,8;
2008-10-07;2,6;1006,2;23,1;32,4;25,7;22,5;86,6;59;7,9;,5;
2008-10-08;47;1007,1;22,8;28,3;24,8;22,1;89,4;70;7,3;,7;
2008-10-09;,2;1006,1;22,8;31,8;24,9;22,2;89;57;7,5;,8;
2008-10-10;26;1004,3;22,3;33,6;25,6;22,2;84,3;45;9,8;,9;
2008-10-11;6;1002,7;22,5;33,6;25,8;21,4;83,3;52;8,2;,6;
2008-10-12;0;1004;22,7;31,5;25,7;21,8;84,5;60;7,4;1;
2008-10-13;0;1003;23;33,3;27;22,9;81,3;50;7;1,1;
2008-10-14;2,6;1002,8;22,5;34,2;26;21,8;83,1;48;11,1;,7;
2008-10-15;0;1004,1;22,7;34,1;26,1;21,5;83,3;49;6,9;,8;
2008-10-16;14,6;1006,6;23;32,3;25,8;22,3;85,7;57;10,1;,7;
2008-10-17;11,2;1006,7;23,3;31,6;25,7;21,7;87,5;62;10,7;,7;
2008-10-18;0;1005,9;23,5;32,7;25,6;23;88,5;66;5,1;,5;
2008-10-19;null;1006,1;22,3;30,4;null;22;81,8;55;11,6;1,1;
2008-10-20;,2;1005,6;22,4;33,4;26,1;21;82,2;50;9,9;1;
2008-10-21;,4;1004,9;23;34,1;27,6;23,3;78,7;48;8;1,1;
2008-10-22;1,2;1004,6;23;34,1;26,8;22,5;81,9;47;6,2;,7;
2008-10-23;9,2;1004,5;23,1;32;25,9;22;85,1;60;12,6;,9;
2008-10-24;0;1004,7;23,6;32,6;26,8;23,3;83,4;59;6,5;,7;
2008-10-25;,6;1005,4;23,2;28,6;25;22,7;90,1;82;7,1;,6;
2008-10-26;null;null;null;31,8;null;23;89,7;73;5,9;null;
2008-10-27;null;null;null;null;null;null;75,8;51;6,4;null;
2008-10-28;0;1003,8;22,5;35,1;27,2;21,5;78,4;44;7,4;,5;
2008-10-29;,4;1003,4;23,2;27,3;null;23,5;91,8;85;5,6;,4;
2008-10-30;null;null;null;null;null;null;84,1;65;9,3;null;
2008-10-31;,8;1004,8;23,4;31,3;25,6;22,2;88;75;9;1;
2008-11-01;0;1004,1;22,5;32,2;24,5;21,3;89;73;10,1;,2;
2008-11-02;null;null;null;31,6;null;22,6;84;68;6,1;null;
2008-11-03;0;1005,1;23,6;34,5;27,5;22,6;80,7;50;6,5;,8;
2008-11-04;,2;1004,2;22,6;34,8;27,2;21,7;78;46;6,2;,7;
2008-11-05;0;1004,9;22,1;25,8;null;22,6;91,4;79;5,8;,4;
2008-11-06;null;null;null;null;null;null;84,7;72;4,3;null;
2008-11-07;null;null;null;29,3;null;23,2;91,3;85;11,2;null;
2008-11-08;null;null;null;null;null;null;86,5;70;11,7;null;
2008-11-09;null;1003,8;23,2;35,1;null;22,2;81,5;49;13,6;1,1;
2008-11-10;36,6;1003,9;23,3;32,9;25,7;22,3;87,6;65;11,2;,7;
2008-11-11;null;1003,2;24,1;33,8;null;23,2;82,8;56;6,6;,9;
2008-11-12;0;1002,2;23,7;32,4;25,5;23,6;89,6;76;9,1;,6;
2008-11-13;null;null;null;null;null;null;88;76;10,2;null;
2008-11-14;null;1000,8;24,3;32,5;null;23,1;84,1;66;6,1;,7;
2008-11-15;0;1001,6;23,8;31,4;25,9;23,2;88,1;78;8;,6;
2008-11-16;null;null;null;32;null;22,7;85,4;73;5,5;null;
2008-11-17;null;1003,9;23,1;27,7;null;23,3;90,3;85;7,3;,8;
2008-11-18;null;null;null;null;null;null;82,2;65;5,8;null;
2008-11-19;,2;1002,5;22,8;33,9;26,2;21,6;82,8;54;12,5;,5;
2008-11-20;1,4;1002,3;23,8;33,9;26,9;22,7;84;55;4,1;,4;
2008-11-21;125,6;1004;22,8;27,7;null;22,8;91,4;81;7,3;,6;
2008-11-22;null;null;null;null;null;null;86,1;74;4,8;null;
2008-11-23;null;1002,7;24,2;34,6;null;23,7;79,2;53;5,6;,7;
2008-11-24;null;1002,2;24,4;32,6;null;23,7;87,9;76;6,6;,5;
2008-11-25;null;null;null;null;null;null;84,7;74;9,8;null;
2008-11-26;null;null;null;null;null;24,6;null;87;2,5;null;
2008-11-27;null;null;null;null;null;null;87,9;78;3,9;null;
2008-11-28;null;1004,2;23,8;33,4;null;23,4;88,4;70;7,9;,6;
2008-11-29;null;null;null;33;null;22,4;82,9;63;11;null;
2008-11-30;5;1003,3;23,3;33,5;26;22,5;85,8;67;7,5;,7;
2008-12-01;null;1005,1;24;33,4;null;22,4;82,4;56;5,1;,8;
2008-12-02;0;1005,6;23,4;32,5;26,8;23,1;82,2;61;6,3;,8;
2008-12-03;null;1004,4;23,6;29,7;null;23,6;89,3;83;9,3;,6;
2008-12-04;null;null;null;null;null;null;90,4;85;3,6;null;
2008-12-05;null;null;null;32,8;null;null;81,3;62;6,7;null;
