Nome: NOVO AIRAO
Codigo Estacao: A127
Latitude: -2.628982
Longitude: -60.941108
Altitude: 37.59
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2008-10-29
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-10;null;null;null;null;null;null;null;null;null;null;
2008-04-11;null;null;null;null;null;null;null;null;null;null;
2008-04-12;null;null;null;null;null;null;null;null;null;null;
2008-04-13;null;null;null;null;null;null;null;65;5;null;
2008-04-14;null;1005,1;22,7;27,3;24,9;23,1;87,5;73;7,6;,9;
2008-04-15;,8;1004,5;23,1;31,1;25,4;22,2;88,3;58;11,8;,9;
2008-04-16;2,2;1005,2;23,9;30,5;26,4;24,3;86,5;63;5,3;,9;
2008-04-17;1,2;1006,2;23,5;30;25,5;23,4;89,3;68;5,9;1,1;
2008-04-18;15,4;1006,1;23,6;27,7;25,3;23,4;90,2;77;8,9;1;
2008-04-19;1,2;1005,3;22,9;32,4;26,3;22,1;83,1;52;3,9;,8;
2008-04-20;74,8;1005;23,5;28,6;25,2;23;90,2;76;6;,9;
2008-04-21;,6;1004,8;23,6;31,3;27,1;24,5;81,9;63;6;1,4;
2008-04-22;0;1004,2;23,7;32,1;26,7;24;84,6;59;6,8;1;
2008-04-23;11,6;1004,7;23,8;29,2;26,2;23,2;86,8;70;4,5;,8;
2008-04-24;2,2;1004,6;23,8;31,4;26,7;23,5;85;59;6;,9;
2008-04-25;1,8;1003,7;23,8;32,3;27,2;24;83,3;53;7,2;1;
2008-04-26;9,2;1003,9;23,8;31,2;26,2;24;87,5;63;6,2;1,2;
2008-04-27;2,2;1003,5;24,3;32,3;26,4;24,1;89;61;9,5;,9;
2008-04-28;5;1003,9;24,3;28,5;25,8;24,2;91,6;75;7,4;1;
2008-04-29;50,6;1005,2;23,6;27,8;25,2;23,6;90,9;79;8,1;,9;
