Nome: MANICORE
Codigo Estacao: A133
Latitude: -5.7886111
Longitude: -61.28833333
Altitude: 40.64
Situacao: Operante
Data Inicial: 2011-12-11
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-12-11;null;null;null;null;null;null;null;null;null;null;
2011-12-12;null;null;null;null;null;null;null;null;null;null;
2011-12-13;null;null;null;null;null;null;null;null;null;null;
2011-12-14;null;null;null;null;null;null;null;null;null;null;
2011-12-15;null;null;null;34,3;null;null;74,9;51;null;null;
2011-12-16;6,6;1002,8;23,7;30,5;25,8;24,2;88,3;68;null;null;
2011-12-17;11,4;1003,9;23;33,6;26,3;23,1;83;51;null;null;
2011-12-18;0;1004,9;22,6;27;24,1;24,2;91,8;81;null;null;
2011-12-19;151,6;1003,9;22;33,4;25,7;21,4;81,7;50;null;null;
2011-12-20;5,2;1004,5;23,4;31,2;25,9;24,1;86,5;67;null;null;
2011-12-21;10,4;1003,9;23,2;33,2;27,2;23,6;80,8;53;null;null;
2011-12-22;0;1002,5;23,2;35,1;28,4;23,6;75,5;46;null;null;
2011-12-23;,2;1003,1;23,3;32,5;26,7;23,9;82,6;60;null;null;
2011-12-24;,8;1004,7;22,7;32,4;25,9;22,2;83,4;60;null;null;
2011-12-25;12,6;1005,4;23,1;30,6;25,2;23,7;89;66;null;null;
2011-12-26;33;1006,3;23,2;30;25,6;23,5;87,1;68;null;null;
2011-12-27;1;1007,4;23;31,9;25,8;23,2;85,3;59;null;null;
2011-12-28;6,6;1006,7;23,2;33,7;26,9;23,5;81,7;52;null;null;
2011-12-29;0;1005,6;23;33,6;27,3;24,1;79,2;55;null;null;
2011-12-30;0;1005,3;23,3;33,4;26,6;24;82,5;55;null;null;
2011-12-31;,2;1004,8;23,6;34;27,5;23,8;80,8;53;null;null;
2012-01-01;2,8;1004,6;23,9;33,1;27,2;25,1;82,9;52;null;null;
2012-01-02;20,4;1005;23,1;27,2;25,1;23,4;88,9;76;null;null;
2012-01-03;1,2;1005,7;22,6;33,7;26;22,6;82,2;53;null;null;
2012-01-04;87;1006,8;23;30,5;25,9;23;84,9;65;null;null;
2012-01-05;0;1005,2;22,8;33,3;26,6;23;80,5;51;null;null;
2012-01-06;43,4;1005,7;22,9;27;24,7;22,5;90,3;78;null;null;
2012-01-07;21,2;1005,7;22,6;32;26,2;22,9;81,7;51;null;null;
2012-01-08;,4;1005,8;23,1;31,1;26,3;23,8;83;62;null;null;
2012-01-09;9,4;1005;23;33,2;26,2;22,8;83,3;54;null;null;
2012-01-10;7,6;1004,4;23,2;31,6;25,6;24;87,3;58;null;null;
2012-01-11;13;1004,1;22,5;31,4;25,6;22,3;83,5;60;null;null;
2012-01-12;,2;1003,7;23,4;33,4;27,6;23,7;79;51;null;null;
2012-01-13;0;1004;23,9;32,8;27,3;24,6;83;58;null;null;
2012-01-14;18,6;1006,2;22,8;28,7;25;22,8;88;72;null;null;
2012-01-15;3;1007,5;22,7;31,5;25,2;23,4;87;60;null;null;
2012-01-16;1,4;1007,8;22,4;29,6;24,8;22,5;86,8;64;null;null;
2012-01-17;,2;1005,9;22,7;30,9;26,1;23,3;82,4;60;null;null;
2012-01-18;54,8;1005,2;22,4;30,4;25;22,4;86,3;62;null;null;
2012-01-19;5;1004,5;22,1;31,4;25,4;22,2;82,9;59;null;null;
2012-01-20;26,2;1004,7;22,8;30,5;25;22,6;87,7;63;null;null;
2012-01-21;,6;1004,6;22,8;31,5;25,4;22;86,4;61;null;null;
2012-01-22;15,4;1004,5;22,3;32,1;26;22,7;81,5;53;null;null;
2012-01-23;,4;1004,5;22,5;31,5;25;23,3;86,5;61;null;null;
2012-01-24;27,8;1004,1;22,6;31,2;25,1;22,5;86,4;60;null;null;
2012-01-25;,2;1004,1;23,1;31,4;26;23,5;84,6;61;null;null;
2012-01-26;38;1005,1;22,6;27,1;24,5;22,9;89,3;74;null;null;
2012-01-27;2;1004,7;22,6;32,3;25,6;23,2;84,7;50;null;null;
2012-01-28;2,4;1005,1;23,4;31,7;25,9;23,8;86,6;63;null;null;
2012-01-29;7,2;1004,3;23,2;33,2;26,4;23,1;84,2;55;null;null;
2012-01-30;8,2;1004;23,2;30,2;25,4;23,8;88,5;68;null;null;
2012-01-31;10,8;1003,8;22,8;31,9;25,6;23,1;85;61;null;null;
2012-02-01;3,6;1003,2;23,2;33,2;26,8;23,2;81,4;52;null;null;
2012-02-02;0;1002,3;23,8;33;26,4;24,2;86,4;58;null;null;
2012-02-03;6;1003;23,4;30,6;26,1;24,2;85,3;64;null;null;
2012-02-04;1;1003,7;22,4;30;25,2;22,2;85;64;null;null;
2012-02-05;7,6;1004,3;22,3;31,4;25,8;22,6;82,1;53;null;null;
2012-02-06;,2;1004,5;23,3;33,2;27;23,8;81,6;53;null;null;
2012-02-07;16,4;1004,3;23;32,3;26,1;22,4;83,7;60;null;null;
2012-02-08;29,6;1004,4;22,6;28,5;24,9;21,7;87,3;71;null;null;
2012-02-09;3;1004,3;23,3;33,5;26,5;22;83,5;53;null;null;
2012-02-10;49,2;1005,7;22,8;29,5;24,9;22,5;88,8;71;null;null;
2012-02-11;,8;1005,6;22;31,9;25,7;22;81,5;53;null;null;
2012-02-12;3,2;1004,5;23,2;31;26,1;23,7;84,8;61;null;null;
2012-02-13;40,6;1004,5;22,2;27,5;24;23,1;89,7;69;null;null;
2012-02-14;19;1004,7;22,2;30,4;25,3;21,4;83,8;63;null;null;
2012-02-15;2,8;1006,6;22,1;28,7;24,7;22,7;86,2;68;null;null;
2012-02-16;2,2;1007;21,6;27,9;24,8;22,4;83,5;66;null;null;
2012-02-17;,8;1006;21,7;27;23,8;22,4;88,5;70;null;null;
2012-02-18;,4;1005,5;21,1;31,7;24,8;21,2;81,3;53;null;null;
2012-02-19;0;1004,9;21,5;33,3;26,3;21,4;77,1;46;null;null;
2012-02-20;0;1004,8;22,5;34;26,8;22,2;79;48;null;null;
2012-02-21;1;1005,6;22,7;32,8;26,2;23,3;82;53;null;null;
