Nome: EPITACIOLANDIA
Codigo Estacao: A140
Latitude: -11.02388888
Longitude: -68.73527777
Altitude: 224.5
Situacao: Operante
Data Inicial: 2009-09-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-09-24;null;null;null;null;null;null;null;null;null;null;
2009-09-25;null;null;null;null;null;null;null;null;null;null;
2009-09-26;null;null;null;null;null;null;null;null;null;null;
2009-09-27;null;null;null;null;null;null;null;null;null;null;
2009-09-28;null;null;null;null;null;null;null;null;null;null;
2009-09-29;null;null;null;null;null;null;null;null;null;null;
2009-09-30;null;null;null;null;null;null;null;null;null;null;
2009-10-01;null;null;null;null;null;null;null;null;null;null;
2009-10-02;null;null;null;null;null;null;57;39;null;null;
2009-10-03;0;985,7;21;33,9;26,7;20,9;74,1;43;null;null;
2009-10-04;0;985,4;21,4;34,1;26,7;21,9;75;45;null;null;
2009-10-05;0;983,7;20,7;33,9;25,6;19,4;76,8;44;null;null;
2009-10-06;2,4;983,9;20,5;35;27,3;20,9;70,1;33;null;null;
2009-10-07;null;null;null;35,8;null;21,5;68,6;33;null;null;
2009-10-08;26,6;989,1;19,9;29,2;23,8;20,2;80,4;57;null;null;
2009-10-09;0;986,7;20,3;32,6;25,7;19,6;75,3;44;null;null;
2009-10-10;0;983,3;21,8;34,1;27,1;21,5;75,9;43;null;null;
2009-10-11;null;null;null;null;null;null;null;41;null;null;
2009-10-12;0;980,4;21,7;35,7;28;21,6;72;37;null;null;
2009-10-13;42,2;983,5;20,4;28,5;22,6;21,5;88,3;66;null;null;
2009-10-14;42,2;983,4;20,1;28,6;22,3;19;88,7;65;null;null;
2009-10-15;0;982,1;21,5;33,4;26;19,9;78,7;47;null;null;
2009-10-16;0;983,5;21,9;32,6;26,2;20,7;78,6;49;null;null;
2009-10-17;1;984,5;22,5;30,5;24,8;21,4;87,5;62;null;null;
2009-10-18;,6;984,6;22,1;30,3;24,7;21,4;86,8;62;null;null;
2009-10-19;0;982,3;21,8;33;25,9;21,3;80,6;49;null;null;
2009-10-20;0;981,1;22,6;34,5;27,8;22;76,4;42;null;null;
2009-10-21;7;982,8;22;29;25,2;22,5;82,8;65;null;null;
2009-10-22;0;983,1;21,9;31,7;25,4;20,5;83,1;56;null;null;
2009-10-23;,4;983,2;22,8;32,7;26,2;23,2;83,1;50;null;null;
2009-10-24;,4;982,3;22,5;33,7;27;22,1;78,8;48;null;null;
2009-10-25;0;982,4;21,4;34,5;27,7;22;72,1;39;null;null;
2009-10-26;0;982,3;21,9;34,2;27,4;21,4;74,5;44;null;null;
2009-10-27;0;982,8;22,8;30,5;25,4;23,2;86,3;62;null;null;
2009-10-28;4,2;984,1;21,7;29,5;24,7;21,6;84,2;59;null;null;
2009-10-29;0;983,3;21,7;34,3;26,7;21,8;77,5;42;null;null;
2009-10-30;0;981,2;22,8;34,4;27,5;23,4;77,9;48;null;null;
2009-10-31;0;980;21,6;35,2;27;21,3;75,6;38;null;null;
2009-11-01;0;979,8;22,2;34,9;27,4;21,9;76;44;4,9;null;
2009-11-02;0;981,3;22,4;32,5;26,3;23,2;80,3;54;7,8;1,3;
2009-11-03;0;981,9;22,3;29,4;23,8;22,2;91,7;68;7,2;,9;
2009-11-04;28;982,4;22,6;30,3;24,3;21,5;90,7;66;10;,9;
2009-11-05;35,2;982,3;22,1;31,3;25,4;21,3;83,9;58;12,1;1,3;
2009-11-06;1,2;982,2;21,3;26,6;23,1;21,8;90;72;10,1;1,1;
2009-11-07;,8;981,3;21,8;32,2;25,3;21,8;83;55;15,6;1,6;
2009-11-08;18,6;981,8;22,5;30,2;24,2;21;91;69;6,8;,9;
2009-11-09;2,2;982,5;22,4;31;24,8;21,1;87,7;59;8,8;1,2;
2009-11-10;7,2;982,4;22,7;32,8;26,5;22;81,9;50;7;1,1;
2009-11-11;0;981,5;22,6;34,4;27,3;21,6;78,1;43;5,5;,9;
2009-11-12;0;981,1;23,1;33,8;27,1;23;80,1;49;7;1,2;
2009-11-13;48,6;981,9;22,7;32,8;26,4;22,2;82,2;49;6,3;,9;
2009-11-14;0;981,4;22,5;34;27,1;21,8;78,8;46;9,1;,8;
2009-11-15;0;982;23,2;32,5;27,5;23,9;79;57;8,5;1,4;
2009-11-16;0;983,5;22,5;30,9;25,1;22,4;86,5;59;7;1;
2009-11-17;4;983,2;23,1;31,9;26,2;23,3;84,5;52;5,2;,9;
2009-11-18;0;982,6;22,7;33,1;26,5;21,6;81,5;49;7,1;1;
2009-11-19;1;982,5;22,7;33,2;25,7;21,6;84,8;53;8;,8;
2009-11-20;,6;981,9;23;34,4;27;22,1;81;46;5,4;1;
2009-11-21;0;982;23,1;34;26,9;22,7;81,5;46;7,9;1,1;
2009-11-22;0;983,6;23,3;31,9;25,8;23,2;86,8;56;6;,8;
2009-11-23;2,8;983,2;23,3;31,9;26;23,4;86;60;7,8;1;
2009-11-24;0;981,8;22,7;31,6;26,2;22,5;82,6;57;8,4;1,2;
2009-11-25;0;981,5;22,2;33;26,6;21,5;79,3;48;8,7;1;
2009-11-26;0;982,3;23,2;31,8;25,5;23,1;88,2;59;8,6;,9;
2009-11-27;111,8;983,2;23,2;31,1;25,3;22,9;88,9;61;6,2;1,1;
2009-11-28;1,8;981,9;22,9;32,2;26,5;22,8;82,1;52;7,6;1;
2009-11-29;0;983,3;22,9;30;26;23,7;84;63;4,6;1;
2009-11-30;0;982,2;22,6;31,5;26,2;22,3;82,4;57;8;,9;
2009-12-01;0;982,2;23,1;29,5;24,8;23;90,9;71;8,3;1;
2009-12-02;3,6;981,9;22,9;29,7;24,2;21,9;92,8;71;9,6;,8;
2009-12-03;32,2;982,5;22,9;31,5;24,9;22,5;89,4;62;8;,9;
2009-12-04;13,2;982,6;22,9;28,2;24,4;22,5;91,6;73;8,3;1,1;
2009-12-05;null;981,8;23,1;30;null;22,5;86,8;67;8,4;1,3;
2009-12-06;2,8;982,4;23;26,3;null;22,7;92;82;8,2;1,1;
2009-12-07;null;null;null;null;null;null;87,2;72;11,6;null;
2009-12-08;null;null;null;null;null;null;88,3;76;4,7;null;
2009-12-09;null;null;null;null;null;null;83,1;60;6,4;null;
2009-12-10;null;984,3;23,1;30,4;null;23,2;86,6;66;6,2;1,2;
2009-12-11;4,6;984,1;22,7;30;24,4;21,6;90,9;68;8;1,1;
2009-12-12;null;null;null;null;null;null;84,5;62;9,5;null;
2009-12-13;null;985,7;21,7;24,7;null;23,2;93,6;89;5,6;1;
2009-12-14;null;null;null;null;null;null;81,4;61;5,3;null;
2009-12-15;null;983,7;23;29,9;null;22,8;90,7;67;6,1;,8;
2009-12-16;null;null;null;null;null;null;86,2;68;5,1;null;
2009-12-17;null;null;null;null;null;null;82;64;6,1;null;
2009-12-18;null;983,8;22,3;31,6;null;22,4;84,9;58;7,1;1,4;
2009-12-19;null;985,8;22,2;30,3;null;21,8;88,7;63;6;1,2;
2009-12-20;null;986,2;22,4;32,3;null;22,4;83,7;53;10,4;1,3;
2009-12-21;0;986,8;21,8;30,1;24,7;21,7;84,7;61;4,8;1;
2009-12-22;null;986,8;22,9;30,3;null;22,3;88;60;5;,9;
2009-12-23;null;null;null;25,7;null;23;92,6;83;3,5;null;
2009-12-24;null;null;null;null;null;null;85,4;62;8,7;null;
2009-12-25;null;null;null;30,8;null;22,9;85,7;60;9;null;
2009-12-26;null;984,2;22,4;30,5;null;22,4;91,2;65;15;1,2;
2009-12-27;null;null;null;null;null;null;71,9;51;7,4;null;
2009-12-28;0;982,9;22,1;32,7;25,5;21,4;83,4;53;9,9;1,3;
