Nome: CASTANHAL
Codigo Estacao: A202
Latitude: -1.30083333
Longitude: -47.94805555
Altitude: 47.13
Situacao: Operante
Data Inicial: 2003-01-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-01-23;null;null;null;null;null;null;null;null;null;null;
2003-01-24;null;null;null;null;null;null;null;64;12,5;null;
2003-01-25;null;null;null;null;null;null;null;50;11,7;null;
2003-01-26;null;null;null;null;null;null;null;57;10,7;null;
2003-01-27;null;null;null;null;null;null;null;76;7;null;
2003-01-28;null;null;null;null;null;null;null;82;3,2;null;
2003-01-29;null;null;null;null;null;null;null;72;8,6;null;
2003-01-30;null;null;null;null;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;null;null;null;null;
2003-02-01;null;null;null;null;null;null;null;null;null;null;
2003-02-02;null;null;null;null;null;null;null;null;null;null;
2003-02-03;null;null;null;null;null;null;null;null;null;null;
2003-02-04;null;null;null;null;null;null;null;null;null;null;
2003-02-05;null;null;null;null;null;null;null;null;null;null;
2003-02-06;null;null;null;null;null;null;null;null;null;null;
2003-02-07;null;null;null;null;null;null;null;null;null;null;
2003-02-08;null;null;null;null;null;null;null;null;null;null;
2003-02-09;null;null;null;null;null;null;null;null;null;null;
2003-02-10;null;null;null;null;null;null;null;null;null;null;
2003-02-11;null;null;null;null;null;null;null;null;null;null;
2003-02-12;null;null;null;null;null;null;null;69;10,2;null;
2003-02-13;7,6;1005,8;23,1;28,9;24,7;23,4;91,3;73;9,7;2,3;
2003-02-14;3,4;1005,4;23;30,2;24,8;23,5;89,8;66;13,4;2,5;
2003-02-15;5,8;1004,1;23,5;31,2;25,6;22,8;88,7;62;8,4;2;
2003-02-16;12,6;1004,5;23,5;32;25,4;23,7;89,8;58;14,7;2,5;
2003-02-17;25,2;1005,6;23,1;31,7;24,9;22;90,5;60;10,4;2,2;
2003-02-18;40,4;1006;23,3;29;24,9;22,9;91,2;72;9,7;2,3;
2003-02-19;11,8;1005,8;23,7;30,7;25;23,8;92,6;65;8,7;1,7;
2003-02-20;26,2;1006;23,3;30,3;24,7;23,5;92,3;69;13,4;2,1;
2003-02-21;22,4;1005,2;22,6;31,7;25,8;22,4;84;58;8,7;2,1;
2003-02-22;0;1005,8;23;29,2;25,9;22,7;84,4;67;9,5;2,8;
2003-02-23;,4;1007,2;23;30,6;24,8;23,2;90,5;66;12;2,3;
2003-02-24;25,4;1008;22,6;29,4;24,6;22,6;88,9;65;8;1,8;
2003-02-25;2,6;1006,1;22,9;31,5;25;22,7;89;54;12,6;2;
2003-02-26;0;1005,2;23,1;30;25,4;23,4;87,6;65;8,4;2,7;
2003-02-27;8,8;1005,6;23,1;31,7;25;23,2;90,2;58;12,2;1,8;
2003-02-28;17,6;1005,7;23,5;30,7;25,1;23,3;91,1;69;8,2;2;
2003-03-01;61,6;1005,7;23,1;30,5;24,9;23,1;90,6;65;11,9;1,6;
2003-03-02;29;1004,5;23,3;31,5;24,9;22,7;91,1;64;10,6;1,8;
2003-03-03;2;1004,3;23,3;32;26,2;22,7;85,1;54;12,3;2,4;
2003-03-04;0;1005,9;23,2;27,6;24,9;23,4;90,6;77;9,7;1,5;
2003-03-05;22,4;1005,6;22,7;28,4;24,1;22,6;92;74;12,8;1,8;
2003-03-06;28,4;1005;22,9;31,1;24,6;22,4;91,3;62;10,9;1,7;
2003-03-07;8,2;1005,7;22,8;28,9;24,9;22,7;89;71;8,8;2,4;
2003-03-08;6,8;1005,8;22,7;31;25,1;22,7;87,4;62;8,5;2,2;
2003-03-09;12,4;1005,4;23,3;30,7;25,2;23,1;90,2;66;11,3;2,4;
2003-03-10;13,8;1005,1;22,6;30,9;26;23,1;82,5;61;11,9;3,2;
2003-03-11;,8;1005,2;22,5;31,1;25,8;22,2;82,9;59;10,3;3,2;
2003-03-12;,2;1005,1;22,8;30,6;25,8;23,7;84;62;11,1;3,1;
2003-03-13;12,8;1005,3;22,8;28,7;24,6;22,8;89,8;74;8,4;2,2;
2003-03-14;3,8;1005,4;23,1;27,6;24,8;23,3;90,5;79;10,6;2;
2003-03-15;15,4;1006,4;22;30,2;25,3;22,1;83,1;54;9,9;2,7;
2003-03-16;,8;1007;22,7;28,7;24,9;23,4;87,6;67;7,2;1,4;
2003-03-17;8;1006,3;22,6;27,9;24,6;23,6;89,1;69;8,1;2,1;
2003-03-18;18,2;1005,6;22,9;29,6;24,5;22,5;91,4;66;8,2;1,5;
2003-03-19;87,4;1007;22,9;28,6;24,5;23;91,2;70;7,1;2;
2003-03-20;,2;1007,2;23;31;25,2;22,9;88,7;59;9;1,6;
2003-03-21;7;1005,9;23,3;31,6;25,7;23,3;87,6;54;11,8;1,9;
2003-03-22;0;1005,6;22,9;29,9;24,9;23,6;89,1;68;14,2;2,1;
2003-03-23;54,8;1006,2;21,8;30,5;24,9;21,5;84,1;59;6;2;
2003-03-24;0;1005,7;22,6;32,9;26,3;22,7;81,6;50;8,2;2,5;
2003-03-25;6,8;1005,3;23,2;31,8;25,9;23,3;86,3;56;12,7;2,9;
2003-03-26;8,4;1005,3;23,2;29;25,2;23,4;89,2;70;9,2;2,2;
