Nome: SAO LUIS
Codigo Estacao: A203
Latitude: -2.52666666
Longitude: -44.21361111
Altitude: 54.8
Situacao: Operante
Data Inicial: 2003-01-28
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-01-28;null;null;null;null;null;null;null;null;null;null;
2003-01-29;null;null;null;null;null;null;null;null;null;null;
2003-01-30;null;null;null;null;null;null;null;71;9,6;null;
2003-01-31;null;1003,9;23,5;29,5;25,6;23,3;88,3;69;8,8;1,7;
2003-02-01;10,8;1005;23,2;30,1;25,7;23,5;87;62;11;2,1;
2003-02-02;8,4;1005,1;23,7;30,3;25,2;23,8;91,9;67;9,3;1,6;
2003-02-03;56;1006,6;23,6;30,5;25,5;22,5;89,6;69;9;1,8;
2003-02-04;2,8;1005,2;23,7;31,6;26,9;23,8;83,5;62;8,8;2,5;
2003-02-05;2;1004,4;23,8;30,1;26,6;24,1;85,2;68;9,8;2,6;
2003-02-06;13,4;1005,8;23,4;30,3;25,6;23,1;88,3;66;12,5;1,8;
2003-02-07;5,4;1005,1;23,6;29,7;26,2;23,3;86,1;68;10,2;2,2;
2003-02-08;7,8;1004,8;23,4;30,8;25,3;22,8;89,7;68;10,6;1,6;
2003-02-09;8,8;1005,8;24;30,8;26,8;22,8;85,1;65;11,3;2,5;
2003-02-10;39;1005,1;22,9;28,5;24,9;21,7;88,8;77;9,5;1,7;
2003-02-11;31,2;1005,3;23,5;29,5;25,6;23,2;88,2;73;8,2;2,2;
2003-02-12;27;1006,2;23;30,4;26,1;22,5;83,9;62;8,1;2,3;
