Nome: FLORESTA DO ARAGUAIA
Codigo Estacao: A208
Latitude: -7.56176
Longitude: -49.69884
Altitude: 188.09
Situacao: Desativada
Data Inicial: 2008-04-10
Data Final: 2009-05-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-10;null;null;null;null;null;null;null;null;null;null;
2008-04-11;null;null;null;null;null;null;null;62;6,7;null;
2008-04-12;null;987,3;22,9;30,3;25,6;22,7;85,7;63;8,9;1,3;
2008-04-13;0;988,4;21,4;32,1;25,3;21;81,3;50;7,4;1,1;
2008-04-14;0;988,9;22,3;33,4;26,5;22,5;79,9;46;12,3;,7;
2008-04-15;20,4;989,4;22,1;27,6;24;22,9;89;71;6,2;1,4;
2008-04-16;,6;990;21,8;31,1;25,1;21,5;83,3;53;5,8;1,2;
2008-04-17;46,4;990,6;22,5;30,1;25,3;21,6;85;62;6,3;1,3;
2008-04-18;8,2;989,6;22;31,3;25,2;21,7;83,5;58;9,1;1,1;
2008-04-19;,4;989,2;22;28,9;24,8;21,2;85,5;61;11;,9;
2008-04-20;5,8;988,8;22,4;32,3;26,1;22,2;81,6;47;6,2;,8;
2008-04-21;0;989,1;22,7;32,3;26,2;21,7;82,6;53;7;1;
2008-04-22;0;989,1;22,7;32,1;25,3;22,6;86,7;56;7,2;1;
2008-04-23;0;988,3;22,6;32,7;26,2;22,1;82,1;52;6,6;,9;
2008-04-24;0;989,1;22,1;29,8;24,9;22,2;85,1;63;7,6;1;
2008-04-25;0;988,3;22,2;32,3;25,9;21,7;81,7;52;6;1,1;
2008-04-26;0;988,5;22,7;29,5;25,6;22,6;84,6;65;4;,9;
2008-04-27;0;988;22,8;32,9;26,1;21,8;83,3;52;3,6;,4;
2008-04-28;0;987,7;23;33,1;26,5;22,4;82,6;50;7,1;1;
2008-04-29;,2;988,2;22,4;33,9;27,5;22,3;76,1;46;4;,6;
2008-04-30;11,8;988,3;22,3;30,5;25;21,5;85,7;62;9,1;1,6;
2008-05-01;3,2;987,5;21,8;32,7;25,7;21,5;80,9;50;7,7;,9;
2008-05-02;39,8;988,2;22,6;28,5;24,8;22,2;88,2;69;5,1;1,2;
2008-05-03;8,6;989,3;22,1;30,4;24,4;22,1;87,4;62;10,4;1,3;
2008-05-04;5;990,5;22,3;28,7;24,6;22,2;87,7;69;6,4;1,4;
2008-05-05;32,4;991,6;22;24,2;23,1;21,5;94;89;8,9;1,3;
2008-05-06;20;990,6;21,4;30,8;24,6;20,5;84,1;56;6,3;,6;
2008-05-07;0;989,7;21,9;33,1;26,3;20,7;79,3;47;4,9;,4;
2008-05-08;0;989,2;22,4;32,3;25,7;22,6;83,3;56;9,4;1,3;
2008-05-09;10,6;989,2;22,4;26,9;23,8;21,7;92,3;76;5,3;1;
2008-05-10;1,4;990,4;22,6;29,7;24,4;22,3;90,1;66;8,6;1,3;
2008-05-11;17,2;991,3;22,3;30,1;25,1;22,4;85,4;61;6,7;1;
2008-05-12;38,2;991,8;22,3;30,5;24,8;21,5;87,5;57;13,7;1,3;
2008-05-13;15,4;991,4;22;31;25,9;22;80,9;53;7;1,3;
2008-05-14;,4;991,8;21,5;31,8;26,1;22,4;78;46;6,1;1,1;
2008-05-15;0;991,5;21,3;32,4;26,1;20,9;77,5;46;7,1;1;
2008-05-16;0;991,1;21,7;32,7;26,4;21,1;78,1;45;6,1;,7;
2008-05-17;0;990,9;21,8;31,5;25,7;22,2;80,6;51;7,1;,8;
2008-05-18;0;990,8;20,9;31,6;25,7;20,6;77,3;43;8,1;1,2;
2008-05-19;0;990,8;21;32,9;26,2;20,4;75,6;46;8,7;1,2;
2008-05-20;0;990,3;21,7;33;26,6;21,6;76,9;45;7;1,2;
2008-05-21;0;989,6;21,5;32,1;25,5;20,5;80,6;51;6;,8;
2008-05-22;0;990,3;21,9;30,3;25,2;21,2;83,4;61;5,5;,9;
2008-05-23;0;990;20,7;32;25,6;20,3;77;47;6,4;1,1;
2008-05-24;0;990,2;21,6;29,9;23,8;21,2;88,4;61;7,3;,7;
2008-05-25;16,8;989,3;21,4;31,6;25;21,7;81,8;47;7,6;1,2;
2008-05-26;0;989,8;21,4;31,8;24,8;20,9;82,9;52;9,5;,5;
2008-05-27;0;989,6;21,5;31,5;25;21,5;82,8;52;15,2;1;
2008-05-28;0;989,2;21;32,1;25,4;19,9;78,7;47;7,7;1,2;
2008-05-29;0;989,4;20,4;31,8;25,5;20,2;76,2;43;6,8;1;
2008-05-30;0;991;19,4;32,3;25,4;19,1;73,3;41;8,7;1,3;
2008-05-31;0;991,4;19,7;33,4;26;20,2;72;38;9,8;1,5;
2008-06-01;0;991,9;19,3;32,4;25,3;19,1;73;39;8;1;
2008-06-02;0;991,8;18,9;32;24,5;18,6;74,5;40;7,7;1,1;
2008-06-03;1;992,2;18,1;31,4;25;18,8;69,5;33;8,5;1,1;
2008-06-04;0;991,8;17,3;32,4;24,2;16,9;70,2;33;6,4;,7;
2008-06-05;0;992;18,6;32,5;24,8;17,7;72,2;41;7,7;1,1;
2008-06-06;0;991,7;18,8;33,4;25,7;18,5;69,5;36;8,3;1,2;
2008-06-07;0;990,9;19,6;33,1;26,2;20,4;70,7;38;8,1;1,3;
2008-06-08;0;990,7;19;32,6;25,8;19,8;70,2;38;8,5;1,3;
2008-06-09;0;991,1;18,3;32,6;25;18,5;70,5;36;8,3;1,3;
2008-06-10;0;991,1;19;32,4;25,7;20,3;69,6;38;8,2;1,4;
2008-06-11;0;990,3;19,1;33,8;27,1;22,3;65,9;32;7,8;1,3;
