Nome: MEDICILANDIA
Codigo Estacao: A209
Latitude: -3.51083333
Longitude: -52.96333333
Altitude: 251.68
Situacao: Pane
Data Inicial: 2008-02-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-16;null;null;null;null;null;null;null;null;null;null;
2008-02-17;null;null;null;null;null;null;null;null;null;null;
2008-02-18;null;null;null;null;null;null;null;null;null;null;
2008-02-19;null;null;null;null;null;null;null;null;null;null;
2008-02-20;null;null;null;null;null;null;null;null;null;null;
2008-02-21;null;983,1;21;25,9;null;null;92;77;9;1;
2008-02-22;null;983,5;20,5;29,7;24,3;20,6;80,8;56;6,7;1,1;
2008-02-23;,6;984;21,9;29,7;24,8;21,5;84,7;63;9,4;,7;
2008-02-24;3,8;982,9;22,2;30,5;25,5;22,4;82,8;59;7;1,1;
2008-02-25;10,6;982,2;22,7;26,4;24,2;23,1;91,3;77;5,9;1;
2008-02-26;3,4;981,8;22,1;31,2;25,2;22,5;83,9;53;7,9;1,1;
2008-02-27;11,4;981,9;22,2;29,6;24,4;22,2;88,1;66;5,7;1;
2008-02-28;5,8;981,5;22,3;30,1;24,6;22,5;87,7;60;8,6;1,2;
2008-02-29;12,4;981,2;22,1;28,3;23,9;21,8;90;71;10,1;1,1;
2008-03-01;29;981,5;21,3;28,2;22,5;21,2;93,3;72;9,5;1,2;
2008-03-02;21,8;981,6;21,4;29;23,6;21,4;87,9;64;7,7;1;
2008-03-03;0;982,1;21,4;28,6;24,5;21,7;83,7;63;5,1;,9;
2008-03-04;1;981,8;22,2;27,5;23,9;21,7;90,3;72;6,9;,6;
2008-03-05;5,4;981,1;22,4;28,7;24,1;21,5;90,6;69;6,1;,6;
2008-03-06;12,8;980,9;21,9;27,1;23,2;21,4;92,6;76;7,8;1;
2008-03-07;107;null;null;28,8;null;20,3;90,8;60;8,1;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;79,9;64;4,8;null;
2008-03-11;5,6;981,4;22;28,8;23,8;21,3;89,8;66;4,2;,7;
2008-03-12;8,4;983,2;21,9;25,8;23;21,4;93,8;78;4,6;,5;
2008-03-13;27,6;983,2;22;28,3;23,4;21,1;92,2;69;5,6;,6;
2008-03-14;11,8;982,2;22;28,1;23,2;21,5;93,5;69;8,6;,7;
2008-03-15;27,4;983;21,8;26;23,1;20,9;92,9;78;5,1;1,2;
2008-03-16;3,8;983,5;21,7;28,1;24;20,9;87,6;63;6,7;1,5;
2008-03-17;,2;982,8;21,7;29;23,9;21,6;87,8;62;6,1;,8;
2008-03-18;4,8;982,9;21,9;26,5;23;22;93,7;77;9,5;,9;
2008-03-19;17,4;982,2;21,4;30,1;23,9;20,7;87,1;57;7,4;,9;
2008-03-20;8,2;982,2;21,9;30,3;24,1;22;87,8;58;9,6;1;
2008-03-21;30,4;982,1;21,8;29,8;23,9;21,3;89,1;60;5,8;1;
2008-03-22;2,2;981,7;22,2;28,5;24,5;21,9;87,3;66;5,6;,8;
2008-03-23;,2;981,9;22,2;28,5;23,9;22,1;91;68;6,1;,7;
2008-03-24;84,6;982,9;22,2;26,7;23,6;21;92;74;4,3;,5;
2008-03-25;4,2;983;21,7;28,9;24,3;20,7;86,3;61;5,1;,8;
2008-03-26;1;982;22,1;29,6;25,2;22,2;84,3;61;6,8;1,2;
2008-03-27;2,4;980,7;22,2;29,9;23,9;22,4;90,6;62;7,6;1,1;
2008-03-28;16,4;980,4;22;29,2;24,4;22,1;87,5;60;8,2;1,2;
2008-03-29;6,8;980,9;22,1;25,9;22,9;22,2;95,4;81;7,3;1,3;
2008-03-30;37,2;980,7;21,9;29,4;23,9;21,7;89,2;63;9,7;1,1;
2008-03-31;,4;980,6;21,9;29,6;23,6;22,6;90,7;66;15,1;1,5;
2008-04-01;16;981,3;21,3;23,1;21,9;21,1;96,4;94;4,8;,9;
2008-04-02;8,4;980,3;21,5;29,9;24,3;21;85,5;58;5,7;,9;
2008-04-03;,4;981;21,8;29,1;24,4;21,3;85,8;70;7,9;,7;
2008-04-04;2,4;981,9;21,4;25,5;23,1;20,6;90,4;81;4,8;,9;
2008-04-05;0;982,8;21,8;29,1;23,6;21,6;90,4;64;9,6;1;
2008-04-06;16,6;982;21,3;29,3;23,3;20,8;89,2;61;7,9;1;
2008-04-07;1,4;981,1;22;30,1;24,3;21,9;88;60;6,7;,8;
2008-04-08;5,4;981,3;22;26,5;23,2;22;93,5;78;5,8;,6;
2008-04-09;8,2;980,9;22,4;30,4;24,8;22;87,3;59;4,7;,7;
2008-04-10;11;979,6;22,5;30,4;24,7;22;87,9;58;6,3;,8;
2008-04-11;7,8;979,3;22,6;28,7;24;21,4;92,5;69;7,3;,8;
2008-04-12;12,6;980;22,3;29,5;24,5;21,2;88,3;64;6,3;,6;
2008-04-13;,6;981,1;22,3;29;24,3;22,3;89,5;65;10,3;,8;
