Nome: PACAJA
Codigo Estacao: A210
Latitude: -3.8436111
Longitude: -50.63805555
Altitude: 89.02
Situacao: Operante
Data Inicial: 2008-02-26
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-26;null;null;null;null;null;null;null;null;null;null;
2008-02-27;null;null;null;null;null;null;null;null;null;null;
2008-02-28;null;null;null;null;null;null;69,8;55;8,9;null;
2008-02-29;0;1000,1;21,9;30,5;25,6;23,1;81,4;60;8,8;1,6;
2008-03-01;23,4;999,6;22,4;30,7;24,8;22,2;87,4;59;8,7;1,3;
2008-03-02;97,8;1000,4;21,9;29,1;24,3;21,9;87,3;63;5,3;1;
2008-03-03;7;1000,8;21,7;31,1;25,4;21,6;81,3;55;9,2;1;
2008-03-04;0;1000,2;22,9;32;26,4;22,5;82,6;52;5,3;,8;
2008-03-05;0;null;null;27,6;null;21,9;87,1;70;8,2;null;
2008-03-06;null;null;null;null;null;null;null;null;null;null;
2008-03-07;null;null;null;null;null;null;null;null;null;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;null;null;null;null;
2008-03-11;null;null;null;null;null;null;null;null;null;null;
2008-03-12;null;null;null;null;null;null;null;null;null;null;
2008-03-13;null;null;null;null;null;null;null;null;null;null;
2008-03-14;null;null;null;null;null;null;null;null;null;null;
2008-03-15;null;null;null;null;null;null;null;null;null;null;
2008-03-16;null;null;null;null;null;null;null;null;null;null;
2008-03-17;null;null;null;null;null;null;null;null;null;null;
2008-03-18;null;null;null;null;null;null;null;null;null;null;
2008-03-19;null;null;null;null;null;null;null;null;null;null;
2008-03-20;null;null;null;null;null;null;null;null;null;null;
2008-03-21;null;null;null;null;null;null;null;null;null;null;
2008-03-22;null;null;null;null;null;null;null;null;null;null;
2008-03-23;null;null;null;null;null;null;null;null;null;null;
2008-03-24;null;null;null;null;null;null;null;null;null;null;
2008-03-25;null;null;null;null;null;null;null;null;null;null;
2008-03-26;null;null;null;null;null;null;null;null;null;null;
2008-03-27;null;null;null;null;null;null;null;null;null;null;
2008-03-28;null;null;null;null;null;null;null;null;null;null;
2008-03-29;null;null;null;null;null;null;null;null;null;null;
2008-03-30;null;null;null;null;null;null;null;null;null;null;
2008-03-31;null;null;null;null;null;null;null;null;null;null;
2008-04-01;null;null;null;null;null;null;null;null;null;null;
2008-04-02;null;null;null;null;null;null;null;null;null;null;
2008-04-03;null;null;null;null;null;null;null;null;null;null;
2008-04-04;null;null;null;null;null;null;null;null;null;null;
2008-04-05;null;null;null;null;null;null;null;null;null;null;
2008-04-06;null;null;null;null;null;null;null;null;null;null;
2008-04-07;null;null;null;null;null;null;null;null;null;null;
2008-04-08;null;null;null;null;null;null;null;61;5;null;
2008-04-09;null;999,6;23;31,1;26,2;23,6;83,9;54;6,8;,8;
2008-04-10;,2;998,2;23,3;30,4;25,6;22,9;87,5;63;6,8;,9;
2008-04-11;17,4;997,6;23,1;29,8;25,9;23;85,5;65;10;1;
2008-04-12;3,6;998,6;22,8;29,9;25,6;23,1;85,5;62;11,4;,6;
2008-04-13;,2;999,6;22,3;31,4;25,5;23;83,3;53;10,4;1,3;
2008-04-14;2;1000;22,2;32,3;26,4;22,7;79,5;51;4,2;,7;
2008-04-15;12,6;999,9;23,2;28,5;25;23,2;90;68;6,3;,7;
2008-04-16;9,6;1000,5;22,6;30,6;25,6;22,7;84,4;59;5,6;,9;
2008-04-17;1,6;1000,9;23;31,9;25,6;22,7;86,7;58;9,4;,7;
2008-04-18;2,4;1000,6;22,9;31,4;25,8;23;85;56;6,1;,8;
2008-04-19;1,4;1000,2;22,5;31,6;26;22,9;81,9;55;5,7;,8;
2008-04-20;,4;999,7;22,9;31,5;26,1;22,8;83,5;57;8;,9;
2008-04-21;1,2;1000,1;22,6;31,9;26,5;23;80,5;55;5,1;,9;
2008-04-22;3,6;999,6;23,3;31,7;25,9;22,8;86;58;6,9;1,1;
2008-04-23;1;999,3;23;31,8;26,4;22,8;82,9;54;6,2;1,2;
2008-04-24;1;999,4;23;32,1;26,4;23,1;82,7;57;7;,8;
2008-04-25;34,2;999;23,8;29,5;26;23,5;88,2;69;5,8;1,1;
2008-04-26;10,4;999,6;22,7;31,1;25,1;22,5;87,1;59;9,3;,9;
2008-04-27;15,8;998,6;23,5;31,6;25,5;22,6;89,3;60;8,4;,8;
2008-04-28;10,8;999;22,8;30,7;24,4;22,1;90,7;65;8,6;,9;
2008-04-29;18,4;999,4;23,1;30,8;25,9;23,5;85,5;63;4;,8;
2008-04-30;8,6;999,5;23,4;29,1;25,7;23,2;87,5;69;4,8;,7;
2008-05-01;,2;998;23,4;31,4;25,8;23,3;87,6;61;7,7;,6;
2008-05-02;33,4;998,6;23;30;25;22,2;89,3;67;13,4;,9;
2008-05-03;21,4;1000,3;23,1;27,1;24,5;23,1;92;78;7,8;,9;
2008-05-04;11,4;1001,4;23;29,2;24,8;22,8;90;68;9,7;,7;
2008-05-05;19,2;1001,6;22,9;31,7;26,3;23,3;82,8;54;7,8;,9;
2008-05-06;15,2;1001,1;23,3;30,6;24,8;23,5;91,5;62;8,3;,6;
2008-05-07;20,4;1000,7;23,1;31,5;25,8;22,9;85,9;60;8,7;1,1;
2008-05-08;31,2;1000,5;22,5;30,3;24,9;22;87,4;64;8,4;1;
2008-05-09;32,6;1000,5;22,1;29,3;24,2;21,8;88,5;67;10,6;1,3;
2008-05-10;29,4;1001,2;21,9;29,3;24,1;21,4;87,9;66;5,2;1,2;
2008-05-11;,8;1001,8;22,7;29,6;25,1;22,9;87,5;65;5,2;,7;
2008-05-12;11,2;1002,1;23;31,2;26,3;23,3;83,4;58;7;1,2;
2008-05-13;11,4;1001,9;22,4;31,1;26,1;22,8;81,3;56;7,4;1,5;
2008-05-14;7,2;1002,2;22,2;31,4;25,5;21,9;83,3;55;12,3;,7;
2008-05-15;0;1001,7;22,4;31,8;26,6;22,5;79,7;53;7,2;1;
2008-05-16;,8;1001,8;23;32,1;26,7;23,2;81,1;56;6,4;,9;
2008-05-17;1,2;1001,1;23,1;31,8;26,8;23,2;81,2;57;6,8;1,3;
2008-05-18;,2;1001,1;22,6;31,9;26,9;23,2;79,1;55;11,8;1,4;
2008-05-19;0;1000,9;23;32,5;26,9;22,7;80,7;53;6,5;1;
2008-05-20;,6;1000,5;22,7;32,8;27;22,4;79,4;50;7,8;1;
2008-05-21;12,6;1000,1;23,1;31,2;25,8;22,5;86;61;8,7;,9;
2008-05-22;0;1000,5;23,2;31,1;25,6;23;87,4;58;15,6;,8;
