Nome: RONDON DO PARA
Codigo Estacao: A214
Latitude: -4.82749999
Longitude: -48.1736111
Altitude: 203
Situacao: Operante
Data Inicial: 2008-04-16
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-16;null;null;null;null;null;null;null;null;null;null;
2008-04-17;null;null;null;null;null;null;null;76;7,4;null;
2008-04-18;null;984,8;21,7;31,7;26;21,7;78,8;52;6,7;1,4;
2008-04-19;0;984,3;21,6;31,7;25,2;21,9;81,8;55;10,7;1,5;
2008-04-20;0;984,1;21,9;33,1;26,1;22,4;79,3;47;8,5;1,3;
2008-04-21;1,6;984,4;22,3;32,5;26,5;22,9;78,8;51;7,4;1,5;
2008-04-22;0;984,2;22,1;32,4;26,2;22,4;79,8;52;8,3;1,8;
2008-04-23;13,2;983,7;22,5;32;25,4;21,8;85,1;59;11,8;2;
2008-04-24;11,8;983,7;22;32,2;25,9;21,8;80,3;53;7,5;1;
2008-04-25;5,4;983,5;22,9;31,2;25,8;23,2;84,8;59;8,2;1,1;
2008-04-26;5,6;983,8;22,7;31,7;26,3;23,1;81,6;56;6,2;1,5;
2008-04-27;0;983,2;22,7;31,9;26;22,9;83;55;9,9;1,2;
2008-04-28;4,2;983;22,8;32,6;26,1;22,1;83,3;54;8,5;1,1;
2008-04-29;,2;983,6;22,8;31,8;26,3;23,5;82,1;56;8,7;1,7;
2008-04-30;17,6;984;22,4;30,6;24,8;22,8;87,1;61;10;1,3;
2008-05-01;33,2;982,5;22,6;31;25,2;22;86,3;59;7,7;1,2;
2008-05-02;0;982,9;22,4;31,3;25,7;23,3;82,5;59;10,6;1,5;
2008-05-03;,6;984;22,6;32,1;25,5;23,1;85,2;57;7,1;1;
2008-05-04;1,6;985,4;22,6;30,5;25,1;22,5;86,3;59;6,6;1,5;
2008-05-05;24,6;986,3;22,2;31,5;24,9;22,4;86;57;7,9;1,4;
2008-05-06;1,4;985,3;21,7;32,8;26,1;21,3;79;48;5,8;1,1;
2008-05-07;23,2;985,1;22,8;31,6;25,1;22,1;88;57;10,6;1,1;
2008-05-08;4,8;984,5;23;31,5;25,1;22,9;88,9;59;7,9;1;
2008-05-09;14,4;984,4;22,7;29;24,9;22,6;88,3;69;6,3;1,5;
2008-05-10;48,8;985,3;21,7;28,8;23,3;20,8;91,4;68;15,7;1;
2008-05-11;4;986,1;22,2;30,5;24,3;21,9;88,9;62;9,6;1,2;
2008-05-12;6,8;986,5;22,3;31,4;25,1;21,9;85,8;59;7,6;1,1;
2008-05-13;1,6;986,3;21,7;31,5;26,4;22;77,2;52;9,5;1,9;
2008-05-14;0;986,4;20,6;32,3;26,2;20,9;73,4;46;9,4;1,7;
2008-05-15;1;986,3;20,9;33,3;26,6;20,7;73,1;42;7,1;1,5;
2008-05-16;,2;986;21,7;33,2;27,4;22,5;72,8;47;8;1,2;
2008-05-17;0;985,8;22;32;25,7;21,7;80,7;56;10,4;,9;
2008-05-18;,8;985,7;21,5;32,7;26,7;22,4;75,3;49;9,5;2;
2008-05-19;0;985,6;21,7;32,1;26;21,6;78,2;54;8,9;1,6;
2008-05-20;1,2;984,9;21,3;34,1;26,3;20,2;76;45;7,3;1,2;
2008-05-21;,2;984,6;21,1;32,8;26,7;21,9;74;45;8,2;1,7;
2008-05-22;0;984,9;21,7;32,3;24,9;21,4;83,5;49;10,8;1,6;
2008-05-23;11,2;985;21,9;31,1;25,4;22,2;81,8;59;6,2;1,1;
2008-05-24;0;985,3;21,9;30,7;24,8;22,2;84,8;57;10,7;1,4;
2008-05-25;23,4;984,4;21,5;31,3;25,3;21,6;81,3;54;6;1,3;
2008-05-26;6,4;984,7;21,3;31,9;25,3;21,7;79,4;52;10,1;1,5;
2008-05-27;,2;984,6;21,5;32,2;25,6;21,8;80;51;9,8;1,7;
2008-05-28;,4;984,4;21,9;30,7;25,6;21,5;80,7;60;8,1;1,4;
2008-05-29;0;984,2;20,6;32,8;26,3;21,4;73,8;41;9,4;1,6;
2008-05-30;0;985,5;19,7;33;26,3;20,4;69,6;41;7,3;1,4;
2008-05-31;,2;985,9;21,1;33,2;27;22,7;72,5;43;8,4;1,7;
2008-06-01;0;986,6;20,8;32,7;26,1;21,5;75,1;47;7,8;1,1;
2008-06-02;5;986,8;20,9;32;25,3;21,8;78,4;45;8;1,1;
2008-06-03;0;987,2;19,8;31,6;24,9;19,9;75,8;43;6,3;1,1;
2008-06-04;0;986,6;19,8;31,9;26,3;22,2;69,3;40;5,4;1,1;
2008-06-05;0;986,9;19,9;32,4;25,9;20,2;71,5;44;9,2;1,7;
2008-06-06;0;986,5;19,7;32,6;25,8;19,6;71,7;46;10,5;1,6;
2008-06-07;0;985,8;19,9;32,9;26,1;20,5;70,9;45;9,3;1,5;
2008-06-08;0;985,4;18,7;32,8;26;20,2;66,1;41;12,3;2;
2008-06-09;0;985,5;18,6;33,5;26;19,8;66,9;38;8,9;1,7;
2008-06-10;0;985,9;20,3;32,5;26,3;22,5;70,7;46;9,3;1,3;
2008-06-11;0;985,2;20,7;33,5;27,3;22,2;69,3;39;10,3;1,7;
2008-06-12;0;986;20,8;34;27,3;22,2;69,8;40;6,9;1,3;
2008-06-13;0;986,2;21;32,8;26,2;21,9;74,7;48;7,1;1;
2008-06-14;0;984,9;21,2;33,4;26,7;22,6;73,5;43;4,8;,9;
2008-06-15;0;985,5;20;33,9;27,1;22,2;67,4;40;7,5;1,6;
2008-06-16;0;986,3;19,2;34,7;27;21,3;65,3;35;8,1;1,7;
2008-06-17;0;985,1;20,9;34,8;26,5;20,6;73,4;40;7,5;1,2;
2008-06-18;,6;985;21,6;32,9;27,1;23,6;74,1;47;9,6;1,5;
2008-06-19;0;985,2;19,6;33;26;21,2;71,9;37;8,8;1,4;
2008-06-20;0;985,2;18,4;33,7;26,4;21,2;64,7;33;8,2;1,5;
2008-06-21;0;985,1;17,7;34,1;25,9;19;64,6;31;8;1,7;
2008-06-22;0;985;17;34;25,4;18,2;63,6;31;7,3;1,6;
2008-06-23;0;986;16,2;33,4;26,1;19,1;58,8;29;8,2;1,9;
2008-06-24;0;986,9;17,9;34,3;25,6;18,9;64,9;35;8,7;1,3;
2008-06-25;0;986,3;19;33,8;26,4;20,6;66,5;38;7,6;1,2;
2008-06-26;0;985,6;18,1;33,7;26,5;20,2;64,3;32;10,8;1,9;
2008-06-27;0;986,9;17,3;33,8;26;19;62,5;33;10,6;2;
2008-06-28;0;988,3;16,8;34,5;26,3;18,9;59,9;31;9,4;1,9;
2008-06-29;0;988,1;16,9;34,3;26,2;19,6;60,1;31;9,4;2;
2008-06-30;0;987,6;16,9;33,9;25,9;19,3;61,6;30;9,9;1,6;
2008-07-01;0;987,1;16,7;34,5;26,3;19,9;59,5;29;14,8;1,7;
2008-07-02;0;987,3;19,2;32,9;25,6;20;69,4;44;13,2;1,7;
2008-07-03;2;987;18,6;33,9;26,2;20,6;67,6;31;10,2;1,6;
2008-07-04;0;986,7;16,8;34,8;25,9;18,2;61,6;30;7,8;1,5;
2008-07-05;0;986,2;16,5;35,4;26,6;18,8;58,8;27;8,5;1,6;
2008-07-06;0;986,7;16,9;33,9;26;18,4;59,6;36;10,9;2;
2008-07-07;0;987,2;18,4;33,5;26,4;19,6;63,9;39;10,4;2;
2008-07-08;0;986,8;17,8;34;26,8;20,3;61,1;34;9,7;2,1;
2008-07-09;0;986,2;17,1;34;26,7;20;59,3;31;10,7;2;
2008-07-10;0;987,2;15,9;33,4;26,1;19;57,2;31;11;2;
2008-07-11;0;987,7;15,2;34,5;26;17,8;55,9;28;10;1,9;
2008-07-12;0;987,3;16;35;26,2;18,6;57,9;29;10,4;1,9;
2008-07-13;0;986,1;16,3;34,5;26,3;18,8;57,6;29;9,4;1,9;
2008-07-14;0;986,2;15,5;34,8;26,3;19,6;56,3;26;8,2;1,8;
2008-07-15;0;987,2;14,7;33,9;25,6;17,8;55,3;27;10,4;2;
2008-07-16;0;987,6;15;33,8;25,5;17,7;56,9;27;9,5;1,7;
2008-07-17;0;986,8;15,9;33,3;25,6;18,3;58,9;32;10,5;1,8;
2008-07-18;0;986,6;18,2;34,3;27,6;22,9;58,4;36;9,1;1,7;
2008-07-19;0;987,1;19;34,6;27,2;20,8;63,4;34;10;1,6;
2008-07-20;0;986,7;19,1;35;26,6;20,8;66,7;33;11,2;1,7;
2008-07-21;,2;986,5;16,9;35,3;26,8;19,8;59;25;10,3;1,8;
2008-07-22;0;986,7;16,9;35,1;26,5;18,9;58;32;10,9;1,7;
2008-07-23;0;986,4;17,3;34,7;27,1;19,8;58,5;31;9,7;1,8;
2008-07-24;0;986;17,4;35,1;28;21,1;55,6;28;10,3;1,6;
2008-07-25;0;986,4;17,2;36,5;27,4;19,9;57,5;27;12,5;1,2;
2008-07-26;0;986,3;17,6;34,7;26,8;20;60,8;30;8,7;1,7;
2008-07-27;0;986,6;17,9;34,4;27,4;21,5;58;34;10,4;2,4;
2008-07-28;0;987,2;16,5;35;27,2;20,4;56;28;11;2;
2008-07-29;0;986,6;13,9;34,9;27;19,2;48,5;23;11,5;2;
2008-07-30;0;985,6;14,9;35,8;27,1;20;50,3;26;9,4;1,5;
2008-07-31;0;984,8;16,4;36,6;27,2;19,2;56,1;26;8,2;1,4;
