Nome: SAO FELIX DO XINGU
Codigo Estacao: A216
Latitude: -6.63972221
Longitude: -51.95694444
Altitude: 211
Situacao: Pane
Data Inicial: 2016-11-14
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-14;null;null;null;null;null;null;null;null;null;null;
2016-11-15;null;null;null;null;null;null;null;null;null;null;
2016-11-16;null;null;null;null;null;null;null;null;null;null;
2016-11-17;null;null;null;null;null;null;null;57;14,2;null;
2016-11-18;null;985,5;21,8;30,9;25,6;21,9;81,5;51;6;1,6;
2016-11-19;0;984,3;23;33,9;26,3;22,4;83,7;50;10,4;1,4;
2016-11-20;,8;984,8;23,3;30,3;26;22,6;85,7;65;13,1;2;
2016-11-21;1,2;985,9;23,7;33,2;27;23,9;83,5;53;7,5;2,1;
2016-11-22;22,4;986;22,9;32,5;26,5;23,2;82,3;54;8,9;1,5;
2016-11-23;,2;985,6;23,7;32;26,3;23;86,3;60;7,9;1,4;
2016-11-24;6,6;986,3;23,6;31,7;26,7;23,6;84;61;10,8;1,2;
2016-11-25;4,2;986,3;23,6;33,7;27,5;23,5;80,7;52;8,4;1,4;
2016-11-26;0;986;23;32,4;26;22,3;84,3;57;8,6;1,5;
2016-11-27;3;986,7;23,1;34,1;27;22;81,2;49;4,6;1;
2016-11-28;0;986,6;23;34,9;28,3;22,6;76,3;43;6,1;1,3;
