Nome: PREGUICAS
Codigo Estacao: A218
Latitude: -2.59222221
Longitude: -42.7075
Altitude: 4.62
Situacao: Operante
Data Inicial: 2008-11-21
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-11-21;null;null;null;null;null;null;null;null;null;null;
2008-11-22;null;null;null;null;null;null;null;null;null;null;
2008-11-23;null;null;null;null;null;null;null;null;null;null;
2008-11-24;null;null;null;null;null;null;67,1;58;13,5;null;
2008-11-25;0;1008,7;23,2;31,9;28,4;26,9;73,8;62;13,8;5;
2008-11-26;0;1008,2;23,2;31,7;28,6;27,1;73,2;60;13,8;5,1;
2008-11-27;0;1008,7;22,8;32;28,5;27;71,7;56;14,9;5,4;
2008-11-28;0;1009;23;31;28,1;26,8;74,1;65;11,4;3,8;
2008-11-29;0;1009,7;23,3;32,4;28,3;26,4;74,6;59;8,6;3,4;
2008-11-30;0;1010;23,7;32,3;28,7;27;74,5;60;9,7;3,7;
2008-12-01;0;1010,2;23,5;32,4;28,6;26,9;74,3;60;10;3,7;
2008-12-02;0;1009,7;23,2;31,7;28,5;27,1;73,3;61;10,3;3,8;
2008-12-03;0;1009,4;22,7;30,9;28,1;27;72,6;62;9,7;3,7;
2008-12-04;0;1009,3;22,7;32,1;28,5;26,9;71,5;55;10,9;3,3;
2008-12-05;0;1009,8;23,2;32,3;28,6;26,8;72,8;58;9,2;3,7;
2008-12-06;0;1010,5;23,5;32,2;28,5;27,1;74,7;58;10,4;3,6;
2008-12-07;0;1010,5;22,4;31,7;28,5;25,9;70;55;13,3;4,3;
2008-12-08;0;1010,7;22,6;32,3;28,6;27;70,6;57;11;3,9;
2008-12-09;0;1011;22,6;32,5;28,6;26,8;70,7;56;9,7;3,5;
2008-12-10;0;1009,2;23,1;32,2;28,7;26,9;72,5;59;9,1;3,7;
2008-12-11;0;1008,4;23,2;32,2;28,6;27,1;73;60;10,2;3,7;
2008-12-12;0;1008,6;22,7;32,1;28,7;27,3;70,6;57;14,2;5,2;
2008-12-13;0;1009;22,8;32,1;28,8;27,3;70,3;58;12,4;4,9;
2008-12-14;0;1008,7;22,6;32,1;28,8;27,3;69,8;56;12,6;4,6;
2008-12-15;0;1008;22,7;31,8;28,4;26,9;71,7;58;9,7;3,8;
