Nome: COLINAS
Codigo Estacao: A222
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.37
Situacao: Operante
Data Inicial: 2008-06-02
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-02;null;null;null;null;null;null;null;null;null;null;
2008-06-03;null;null;null;null;null;null;null;38;6,7;null;
2008-06-04;null;992,5;18,1;32,5;24,3;16,6;71,8;38;8,3;1,2;
2008-06-05;0;992,9;18,7;32,8;25,2;18,8;71;42;8,5;1,2;
2008-06-06;0;992,5;19,8;33,7;26,4;21,5;70,2;39;10,3;1,7;
2008-06-07;0;992,1;18,6;32,2;25,4;19,5;69,2;38;9,7;1,9;
2008-06-08;0;991,6;16,9;31,8;24,4;17,7;67,1;37;11,9;2,1;
2008-06-09;0;991,4;17,7;32,8;25,3;19,1;66,5;35;11,2;1,4;
2008-06-10;0;991,7;19,4;32,2;25,9;20,6;70,1;43;8,3;1,2;
2008-06-11;0;991,4;19,7;33,2;26,1;20,9;70,3;43;8,6;1,6;
2008-06-12;0;991,9;18,8;33,2;25,6;18,8;70;38;11;1,3;
2008-06-13;0;991,7;18,7;33,2;26,2;21,9;66,8;38;8,4;1,2;
2008-06-14;0;990,8;18,3;32,8;25,6;20,2;67,1;39;9,4;1,4;
2008-06-15;0;991,9;18,5;31,9;24,8;17,7;71;44;8,5;1,4;
2008-06-16;0;992,1;18,9;34,5;25,8;18,7;69,5;36;8;1,2;
2008-06-17;0;990,9;20,8;33,9;27,2;22,7;70,7;41;8,3;1,4;
2008-06-18;0;991,1;18,1;32,2;25,9;20,9;65,8;35;10,9;1,6;
2008-06-19;0;991,4;15,8;32,7;24;16,5;65;32;8,8;1,4;
