Nome: ESTREITO
Codigo Estacao: A224
Latitude: -6.65333333
Longitude: -47.41833332
Altitude: 182.96
Situacao: Operante
Data Inicial: 2008-02-26
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-26;null;null;null;null;null;null;null;null;null;null;
2008-02-27;null;null;null;null;null;null;null;null;null;null;
2008-02-28;null;null;null;null;null;null;73,2;45;7,4;null;
2008-02-29;82,4;990;21,5;27,3;23;20,5;91,6;74;7,6;1,2;
2008-03-01;2,4;989,1;22;30,8;24,6;20,8;86,6;59;10,9;1,2;
2008-03-02;20,4;989,5;22,2;28,5;24,1;21,6;89,6;60;8,4;1,1;
2008-03-03;1,6;990;21,8;31,4;25,2;20,5;83;50;5,4;1,3;
2008-03-04;0;989,8;22,6;32,5;26,1;21,1;82,8;53;3,4;,7;
2008-03-05;1,4;988,7;22,4;33,4;25,9;22,2;83;49;12,6;1;
2008-03-06;0;987,9;22,6;33,5;25,9;22,5;83,7;49;8,3;1;
2008-03-07;,4;null;null;30,4;null;22;86,1;60;6,8;null;
2008-03-08;null;null;null;null;null;null;null;89;2,9;null;
2008-03-09;null;null;null;null;null;null;null;64;3,9;null;
2008-03-10;null;null;null;null;null;null;76,3;51;12,9;null;
2008-03-11;2,2;989;22,9;31,6;25,5;21,5;86,7;59;6,3;1,3;
2008-03-12;3,4;990,4;22,8;28,4;24,8;22,2;89,1;67;6,9;1,5;
2008-03-13;1,4;991,1;22,6;31,3;24,4;21,7;90,5;58;7,9;,9;
2008-03-14;33,4;989,8;22,5;32,6;25,2;21,9;86,6;51;9,1;1,2;
2008-03-15;,4;990,8;21,9;29,6;25;21,8;84,4;60;5;1,4;
2008-03-16;25,2;991,5;22,5;29,3;24,7;21,6;88,2;64;6,5;1,2;
2008-03-17;7;990,9;21,8;29;24,2;20,9;87,3;65;7,4;1,2;
2008-03-18;,4;990,6;22,2;30,2;24,8;21,7;86,3;59;9,5;1,5;
2008-03-19;32,6;990,8;22;31,1;24,8;21,5;86;55;7,9;1,5;
2008-03-20;,4;990,9;21,9;32,1;24,6;22;86,7;50;12,1;1,3;
2008-03-21;18,6;990,1;22,3;28,8;23,6;21,1;92,5;68;6,3;,4;
2008-03-22;1,8;989,7;22,6;30,6;24,8;21,8;88,8;58;7,3;1,1;
2008-03-23;,8;989,3;23;31,4;25,7;22,5;86,2;60;10,8;1,2;
2008-03-24;10,6;990,6;22,8;29,7;25;22,4;88,4;66;7,3;1,2;
2008-03-25;7,6;990,8;23,1;31,3;25,5;22,1;87,6;58;8,7;,8;
2008-03-26;9,2;990;23,2;29,1;24,8;21,8;91,4;69;11,6;1;
2008-03-27;132,4;988,6;22,9;30,8;25,3;22,1;87,9;58;8,6;1,3;
2008-03-28;41,4;988,5;22,5;28,4;24,4;21,8;89,7;70;8;1,1;
2008-03-29;0;988,5;22,3;31,1;25;21,4;86,3;58;7,8;1,1;
2008-03-30;12,8;988,9;22,6;29,5;24,3;22;90,5;68;9,5;1,3;
2008-03-31;16;988,2;23,1;27,7;24,5;22,7;92,1;76;5,3;,9;
2008-04-01;26,4;988,7;22,4;25,8;23,4;22,2;94,4;82;8,5;1,9;
2008-04-02;4,8;988,9;21,8;30,2;24,7;21,1;85,7;59;6;,9;
2008-04-03;0;989,4;22,2;29,8;23,3;22,3;94,2;66;13,5;,9;
2008-04-04;36,2;989,1;22,4;30,6;24,9;21,7;87,1;59;7,2;1,3;
2008-04-05;0;989,9;22,9;26,6;24,2;22,8;92,3;78;6,1;1,1;
2008-04-06;5;990;22,1;29,4;23,7;21,4;91,1;66;7;,9;
2008-04-07;,6;989;22,6;30,8;25,4;22,2;85,9;58;7,2;,7;
2008-04-08;7;989,6;23,1;31,4;24,9;22,1;90,2;61;8,2;1,3;
2008-04-09;,8;989,5;22,5;32,4;25,5;22,2;85,6;52;9,8;1,2;
2008-04-10;,2;987,8;22,8;32,9;25,7;21,4;85,3;54;8,7;,6;
2008-04-11;0;986,7;23;32,6;25,6;21,7;87,1;53;10,7;,8;
2008-04-12;3;987,8;22,7;31,2;24,9;22;88,5;56;4,6;,6;
2008-04-13;21,8;989;22,4;29,6;24,7;21,4;87,5;62;8,9;1,4;
2008-04-14;0;989,5;22,8;32;25;22;88,9;54;12,5;,7;
2008-04-15;10,6;989,4;22,6;31,3;24,7;21,5;89,1;57;12,1;1;
2008-04-16;7,2;990,2;22,7;30,9;24,3;21,6;91,5;61;10,5;1;
2008-04-17;9;990,4;22,9;32;24,5;21,1;91,9;59;12,4;,5;
2008-04-18;17,6;989,8;22,6;31,4;25,7;22,3;84,7;55;6,4;1,2;
2008-04-19;0;989,3;22,4;31,6;25,1;20,6;86,5;57;8,2;,7;
2008-04-20;0;989,1;22,6;32,9;26,1;21;83,2;50;4,9;,8;
2008-04-21;0;989,4;22,9;33,3;26,6;21,6;82,6;48;8,1;1;
2008-04-22;0;989,2;23,3;31,7;25,4;21,6;89;59;10,1;,6;
2008-04-23;3,8;988,7;23,2;32,7;26,3;22,4;84,7;51;9,5;1,2;
2008-04-24;9;988,9;23,2;31,8;25,8;22,8;86,6;60;10,3;1,4;
2008-04-25;20,2;988,8;22,6;31,4;25,3;21,9;85,8;60;7,6;1;
2008-04-26;3,2;988,8;23,1;29,6;25,3;22,6;88,6;67;5,4;,9;
2008-04-27;0;988,3;23,2;32,9;26,2;22,5;84,9;52;5,7;1;
2008-04-28;0;988;22,6;32,5;26,2;21,3;82,8;48;6,8;,8;
2008-04-29;0;988,5;23,2;31,4;25,7;22,2;87,2;59;7,1;1;
2008-04-30;1,8;988,9;22,7;30,4;24,5;21,8;90,5;66;10,3;1;
2008-05-01;7;987,7;23,4;31,7;25;22,7;91,4;58;13,1;,8;
2008-05-02;42,6;988,2;22,9;30,3;24,3;22;92,4;65;13,3;1,1;
2008-05-03;7,2;989,1;22,9;31,8;25,3;21,6;88;54;10,5;,8;
2008-05-04;2,2;990,3;23,2;32,2;25,4;21,6;88,5;58;9,9;,9;
2008-05-05;38,6;991,6;22,6;30;24,8;21,6;88,5;63;11,4;1,2;
2008-05-06;0;990,6;22,8;32,4;25,7;22,7;85,4;51;3,9;,8;
2008-05-07;0;990;22,9;33,2;26;21,3;84,7;51;5,9;,7;
2008-05-08;0;989,7;22,8;31,4;24,5;21,5;90,8;59;14,3;1,1;
2008-05-09;5,6;989,5;23,1;29,5;24,6;22,5;91,5;72;8,1;1,2;
2008-05-10;1,6;990,5;22,8;27;24,1;22,2;92,9;77;5,8;,5;
2008-05-11;,8;991,3;22,8;31,2;25,4;22,2;87,1;58;9,1;1,3;
