Nome: SOURE
Codigo Estacao: A227
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.54
Situacao: Operante
Data Inicial: 2008-04-26
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-26;null;null;null;null;null;null;null;null;null;null;
2008-04-27;null;null;null;null;null;null;null;null;null;null;
2008-04-28;null;null;null;null;null;null;82,5;75;8,5;null;
2008-04-29;5,4;1008,2;24,2;30,2;26,6;24,6;87,2;65;6,1;1,2;
2008-04-30;87;1008,5;23,8;31,3;26,1;23,3;88;60;6,1;,9;
2008-05-01;4,6;1007,2;24,5;29;26,2;23,5;90,5;77;7,1;1;
2008-05-02;20,4;1007,7;24,1;30,5;26,3;24,2;88,1;65;7,2;,8;
2008-05-03;5,6;1008,8;23,9;30,8;26,7;23,7;85,4;65;7,4;1,3;
2008-05-04;7,4;1010,5;23,9;29,7;25,7;23,7;89,8;69;7,5;1,3;
2008-05-05;1;1010,6;24,1;30,2;26,9;23,9;85,2;69;6,9;1,4;
2008-05-06;0;1010;24;29,4;26,9;25,4;84,3;73;7;1,6;
2008-05-07;6,8;1009,7;24,2;30,2;26,8;24,1;86,2;71;7,8;1,2;
2008-05-08;9;1009,2;23,9;30,4;27,2;24,9;82,8;68;8,1;1,6;
2008-05-09;15;1009;23,9;30,6;26,6;24;86;67;10,4;1,5;
2008-05-10;19,4;1009,8;23,8;29,6;26;24;88,4;68;5,4;1,2;
2008-05-11;0;1010,6;23,6;29,4;25,3;23,4;90,8;69;4,9;,8;
2008-05-12;26;1011;23,7;30,5;25,5;23,4;90,2;61;10,5;1,3;
2008-05-13;5,8;1010,9;24;30,5;27,1;24,8;83,3;68;8,4;2,1;
2008-05-14;8,6;1011;23,7;30,4;26,6;23,9;85,1;65;7;1,3;
2008-05-15;,2;1011,3;24,1;29,7;26,4;24,9;87,4;74;9,9;1,7;
2008-05-16;23,4;1011;23,6;30,9;27,7;23,1;79,2;63;7,4;1,8;
2008-05-17;0;1010,3;24,5;30,7;27,7;26,3;83;70;8,9;2,1;
2008-05-18;1,8;1010,4;24,6;29,7;26,9;25,5;87,6;73;6,4;1,8;
2008-05-19;9,6;1009,9;24,7;30,7;27,7;25,5;83,8;68;9,6;2,2;
2008-05-20;1,2;1009,4;24,7;31,7;27,9;25,2;83,5;60;6,1;1,3;
2008-05-21;42;1009,8;23,2;28,2;25,1;20,6;89,4;72;14,7;1,9;
2008-05-22;,2;1009,4;24,1;30,5;27;24,2;84,9;63;6,6;1,2;
2008-05-23;0;1010,1;23,6;27,6;26,3;25,6;85;75;8,1;1,8;
2008-05-24;0;1009,8;23,3;30;25,9;23,5;86;66;6,9;1,3;
2008-05-25;36,6;1009,4;23,5;29,8;26,1;23,2;86,3;70;8,6;1,7;
2008-05-26;1;1009,5;23,5;30,6;26,4;23,8;85,3;61;8,4;1,2;
2008-05-27;,2;1009,1;24,1;30,5;27,8;24,6;80,9;68;8,3;2,5;
2008-05-28;0;1008,7;24;30,2;27,9;26,7;79,6;71;8,5;2,4;
2008-05-29;10,6;1008,9;24,2;29,7;26,8;25;85,5;74;8,4;2,2;
2008-05-30;1,4;1010,1;23,6;31,2;27,1;25,5;81,5;62;9,2;2,2;
2008-05-31;8;1010,6;24;30,7;26,4;24;87,1;64;6,3;1,4;
2008-06-01;47,8;1012;23;29;24,9;22,1;89,7;70;13,3;,9;
2008-06-02;16,6;1012,4;22,4;26,2;23,7;22,8;92,8;78;8;1,1;
2008-06-03;22,6;1011,9;23,3;30,1;26;22,3;85,8;65;6,6;1,2;
2008-06-04;1,8;1011,4;23,2;30;26,2;23,2;84;65;7,2;1,2;
2008-06-05;3;1011,5;23,4;30,4;27,4;24,9;79,3;67;7,2;1,9;
2008-06-06;0;1011,3;23,8;30,6;27;25,1;83,2;68;12,2;2,4;
2008-06-07;6,8;1010,6;23,9;30,6;26,5;23,3;86,2;69;14,7;1,4;
2008-06-08;11,4;1009,6;24;30,7;27,1;23,3;83,4;65;9,4;1,7;
2008-06-09;22,6;1009,9;23,7;30,2;26,7;23,7;84,3;62;9,3;,9;
2008-06-10;5;1010,7;23,9;26,7;25,5;24,7;90,7;85;8,1;1,4;
2008-06-11;1,2;1010,3;23,9;29,2;26,6;24,4;85,1;74;6,3;1,7;
2008-06-12;1,4;1010,9;24,3;30,4;26,7;25,3;86,8;73;10,5;1,4;
2008-06-13;10,2;1011,1;23,6;30,8;26,6;24,4;84,8;61;6,3;1,4;
2008-06-14;7,4;1010;23,6;30,3;26;23,7;87,4;65;5,5;,9;
2008-06-15;4,4;1009,9;24,4;29,9;26,5;25;88,1;72;9,3;1,3;
2008-06-16;17,2;1011;23,8;31,5;27,4;23,7;81,3;65;12,4;2,2;
2008-06-17;8,6;1010;23,6;30,8;28;23;77,6;68;8,9;2,8;
