Nome: BREVES
Codigo Estacao: A228
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 11
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-10-19;null;null;null;null;null;null;null;null;null;null;
2017-10-20;null;null;null;null;null;null;null;51;5,3;null;
2017-10-21;null;1009,6;22;34;27,4;22,3;74;48;9,9;1,4;
2017-10-22;0;1009,8;21,7;33,9;27,3;22;73,5;47;7,7;1,2;
2017-10-23;0;1008,8;22,2;34;27,8;22,7;73,4;45;6,9;1,3;
2017-10-24;0;1008,4;22,7;34,2;27,8;22,7;75;47;5,7;1;
2017-10-25;0;1009;22,8;33;26,6;23,3;80,8;52;7;1;
2017-10-26;,4;1009,3;22,9;31,6;26,1;23,2;83,1;59;8,6;1,1;
2017-10-27;12,2;1008,8;22,6;32,6;26;22,5;82,8;56;7,1;1;
2017-10-28;17,8;1008,7;22,6;33,4;25,8;22,3;83,6;53;6,7;,9;
2017-10-29;1;1008,3;22,8;33,3;26,7;22,2;81;50;7,1;1;
2017-10-30;5;1007,7;22,3;33,1;27;22,5;77,1;49;7;1,2;
2017-10-31;3,2;1008,7;22,5;32,3;26,7;22,9;79,1;55;5,7;,9;
2017-11-01;0;1009,4;22,1;33,5;26,6;22,6;77,7;52;5,9;,8;
2017-11-02;0;1009,1;22,5;34,4;27;23,5;77,7;48;7,1;1;
2017-11-03;5,8;1008,8;22,9;32,9;27,1;23,6;79;54;7,1;1;
2017-11-04;0;1008,8;22,8;32,8;27;23,2;79,3;53;8,1;1,1;
2017-11-05;,8;1008,8;22,2;33,2;27,3;22,2;75,5;50;8,1;1,2;
2017-11-06;0;1009,1;22;33,6;27,5;22,7;73,9;44;6;,9;
2017-11-07;0;1007,9;22,6;33,9;27,7;23,5;75,1;50;5,2;1;
2017-11-08;0;1007,5;22;33,8;27,5;22,4;74;45;8,4;1,2;
2017-11-09;0;1007,4;22,3;34,1;27,9;23,1;72,9;44;6,4;1,2;
2017-11-10;0;1006,6;22,1;33,4;27,8;23,5;72,5;48;7,6;1,5;
2017-11-11;0;1006,8;22;33,3;27,6;22,7;73,3;49;8,2;1,2;
2017-11-12;0;1007,5;21,9;33,6;27,4;23,1;73,5;49;6,8;1,2;
2017-11-13;0;1007,6;21;35,6;27,7;20,5;70;38;6,5;1,2;
2017-11-14;0;1007,2;21,6;34,7;27,6;22,5;72,3;39;8,6;1,4;
2017-11-15;14,4;1007,8;22,3;33,3;27,3;22,6;76,2;48;7,5;1,3;
2017-11-16;0;1009,2;22,2;33,1;27,2;23,3;75,3;51;6,7;1,1;
2017-11-17;0;1008,3;21,4;33,6;27,3;22;72,5;47;7,5;1,1;
2017-11-18;0;1007,4;21,1;33,6;27;21,3;72,4;44;7,3;1,1;
2017-11-19;,4;1007,8;21,7;33,1;26,8;21,6;75,7;46;5,9;1;
2017-11-20;,2;1007,9;21,4;34;27,5;22,7;71,3;43;7,2;1,1;
2017-11-21;0;1008,2;21,1;33,9;27,3;21,5;71,2;45;6,5;1,3;
2017-11-22;0;1008,4;21,8;34,2;27,5;22,2;72,8;48;9;1,2;
2017-11-23;0;1009,1;22,2;33,5;27,3;23,6;75,3;46;9,5;1,2;
2017-11-24;0;1009,3;21,9;33,8;27,3;22,9;74,3;43;10;1,4;
2017-11-25;14,2;1009,7;22,4;33,9;26,5;22,9;80,2;46;12,9;1,1;
2017-11-26;14,4;1009,7;21,6;34;27,1;22;74,3;46;6,8;1,1;
2017-11-27;0;1009,7;22,6;32,5;26,7;22,8;79,3;53;7,1;1,1;
2017-11-28;2,2;1009,4;22,5;33,6;27;22,5;78,1;46;7;1,1;
2017-11-29;1,8;1008,7;22,2;33,5;27,3;22,9;75,5;47;8;1,2;
2017-11-30;10,4;1007,4;22,6;32,9;27,2;22,6;77,6;51;5,8;1;
2017-12-01;0;1007,5;22;33,4;26,8;22,3;77;47;10,8;1,3;
2017-12-02;7,6;1007,7;22,1;33,9;27,2;22,7;75,8;48;8,2;1;
2017-12-03;0;1007,6;22,2;33,2;26,9;21,7;76,7;50;6,6;,9;
2017-12-04;0;1007,8;21,8;34,9;28,2;22,4;70,1;43;7,7;1,4;
2017-12-05;0;1008,4;22,7;34;28;23,1;74,5;49;8,1;1,3;
2017-12-06;0;1008,4;22,5;33,9;27,5;23,2;75,5;46;8,6;1,2;
2017-12-07;0;1008,3;22,6;34;26,7;23,5;79,8;50;8,9;1,2;
2017-12-08;29,8;1008,6;22,5;34,4;26,7;22,9;79,4;47;6,5;1;
