Nome: SANTANA DO ARAGUAIA
Codigo Estacao: A233
Latitude: -9.34055555
Longitude: -50.35027777
Altitude: 154
Situacao: Operante
Data Inicial: 2008-05-29
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-29;null;null;null;null;null;null;null;null;null;null;
2008-05-30;null;null;null;null;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;null;null;null;null;
2008-06-01;null;null;null;null;null;null;null;null;null;null;
2008-06-02;null;null;null;null;null;null;55,5;38;7,2;null;
2008-06-03;0;993,4;17,2;33,8;25,1;18,7;67,3;27;10,1;1,6;
2008-06-04;0;993,1;15,9;33,3;24,9;18,1;63;26;7,8;1,2;
2008-06-05;0;993,3;17,2;33,9;25,2;17,7;65,5;33;8,5;1,5;
2008-06-06;0;993,1;18;35,2;26,7;19,2;63,8;29;8,6;1,3;
2008-06-07;0;992,2;17,9;34,7;25,8;18,2;66,5;33;13,3;1,6;
2008-06-08;0;992,1;18,6;34,2;26,1;19,7;67,8;33;10,2;1,5;
2008-06-09;0;992,6;18,4;34,6;25,7;19,2;68,5;31;8,1;1,4;
2008-06-10;0;992,4;18,7;34,4;26,2;20,3;67,4;35;7,1;1,2;
2008-06-11;0;991,7;17,9;34,8;26,1;19;66,2;29;7,3;1,2;
2008-06-12;0;992,6;17,8;34,2;26;19;65,2;32;6,9;1;
2008-06-13;0;992,5;17,1;34,9;26;19,2;63,4;23;8,9;1,2;
2008-06-14;0;991;16,9;33,7;25,4;17,8;64,2;31;7,7;1,1;
2008-06-15;0;992,1;17,6;34,1;26,1;19,9;63,8;29;6,7;1,2;
2008-06-16;0;993,1;17,3;34,2;25,5;19,5;65,2;30;7,2;1,3;
2008-06-17;0;991,7;17,1;34,5;25,5;17,7;64,6;29;6,7;1,2;
2008-06-18;0;991,1;18;34,6;26,7;19,7;62,3;34;7;1,6;
2008-06-19;0;991,4;17,6;34,3;26;18,7;65,4;30;7,8;1,4;
2008-06-20;0;991,9;17,2;34,1;25,4;17,9;65,5;31;7,3;1;
2008-06-21;0;991,5;17;33,6;25,3;18,2;65,3;29;5,8;1,1;
2008-06-22;0;991,1;16,9;34,1;25,4;17,8;64,3;29;7,4;1;
2008-06-23;0;992,4;16,3;33,9;25,4;18,9;62,3;27;8,8;1,2;
2008-06-24;0;993,6;16,1;34,4;25,1;17,3;62,5;29;6,8;1,2;
2008-06-25;0;992,9;17;34;25,3;17,3;63,9;31;7,9;1,3;
2008-06-26;0;992,1;15,7;34,6;26,2;18,9;58;24;9,1;1,7;
2008-06-27;0;993,8;15,9;34,2;25,8;18,4;59;27;10;1,6;
2008-06-28;0;995,3;16,5;34,4;25,2;17,1;63,3;29;7,5;1,2;
2008-06-29;0;994,8;16,6;34,4;25,2;17,6;63,7;28;8,7;1,4;
2008-06-30;0;994,2;16,3;33,8;25,3;18,2;62;29;8,7;1,6;
2008-07-01;0;994;15,3;34,3;24,8;16,6;61,5;26;7,9;1,2;
2008-07-02;0;993,9;16,1;34,9;25,5;17,7;60,5;29;8,5;1,3;
2008-07-03;0;993,5;17,3;34,7;26,3;19,6;61,8;29;7,8;1,3;
2008-07-04;0;993,1;16;34,5;25,6;18;61,2;26;7,7;1,1;
2008-07-05;0;992,6;15,7;35,4;25,7;17;59,4;25;7,5;1,1;
2008-07-06;0;993;16,1;35,1;25,9;17,8;59,5;29;8,9;1,6;
2008-07-07;0;993,8;17,1;34,7;25,8;18,9;62,8;29;8,4;1,4;
2008-07-08;0;993,5;16,4;33,9;25,3;17,1;62,7;30;8,5;1,7;
2008-07-09;0;993;15,7;34,3;25,4;17,4;60,3;26;7,6;1,3;
2008-07-10;0;993,9;14,9;34,9;25,3;17,2;56,9;26;6,6;1,4;
2008-07-11;0;994,8;15,3;34,3;25,2;17,1;59,8;25;8,3;1,5;
2008-07-12;0;994,5;15,7;34,1;25,2;17,3;59,8;30;9,7;1,7;
2008-07-13;0;993,1;14,9;34;24,6;16,4;60,3;25;10,4;1,4;
2008-07-14;0;993,6;12,2;32,5;25,1;17,8;49,3;22;9,9;2;
2008-07-15;0;994,6;12,6;33,1;23,2;13,3;57;24;10;1,8;
2008-07-16;0;994,9;13,2;33,5;23,5;14,7;58,4;23;8,9;1,5;
2008-07-17;0;993,7;13,7;33,8;23,9;15,4;57,9;24;7,4;1,3;
2008-07-18;0;993,5;15;34,4;24,7;16,6;59,5;28;7,1;1,3;
2008-07-19;0;993,4;16,2;35,1;26;17,9;59;29;8,1;1,2;
2008-07-20;0;992,7;16,4;36,8;26,6;18,6;59,3;25;7,5;1,1;
2008-07-21;0;992,5;15;35,7;26,6;18,1;55,3;22;10,2;1,7;
2008-07-22;0;993,3;11,7;35,4;24,9;15,3;51,8;14;7,5;1,2;
2008-07-23;0;992,9;15,1;35,2;25,1;16,6;57,1;29;6,3;1,4;
2008-07-24;0;992,5;16,1;35,6;26,1;18;59,9;27;7,4;1,1;
2008-07-25;0;992,5;14,5;37;26,9;19,5;52,5;19;9,1;1,1;
2008-07-26;0;992,1;13,2;37,3;26,7;18,9;48,5;19;7,2;1,2;
2008-07-27;0;992,8;12,9;35,6;25,8;16,1;52;19;9,4;1,7;
2008-07-28;0;993,9;13,4;34,9;25;15,8;54,2;24;9,4;1,7;
2008-07-29;0;993,4;12,7;35;24,9;15,3;53,9;19;8,6;1,4;
2008-07-30;0;992;13,2;35,2;25,1;15,5;52,9;23;8,4;1,1;
2008-07-31;0;991;15,1;36,4;26,3;17,3;55,5;25;6,8;,9;
2008-08-01;0;990,5;15,8;37,2;27,1;20,8;55;22;5,8;,9;
2008-08-02;0;990,4;14,9;37,6;28,2;20,3;50,4;19;8,9;1,6;
2008-08-03;0;990,6;14,1;36,4;27,4;18,4;49,3;20;6,4;,9;
2008-08-04;0;990,2;14,1;37,9;27,1;17,5;51,5;19;7,2;1,1;
2008-08-05;0;990,2;15,1;37,7;27,4;18,5;52,3;22;7,9;1;
2008-08-06;0;989,9;16,5;36,8;28,1;19,8;53,4;26;11,5;1,8;
2008-08-07;0;991,1;13;35,8;26,4;16,7;51,3;17;9,4;1,8;
2008-08-08;0;991,4;12,7;36,8;25,9;15,8;49,8;21;7,1;1;
2008-08-09;0;991,4;15,1;37,8;28,2;20,8;49,3;22;7,3;1,3;
2008-08-10;0;990,8;16,2;37;27,8;19,1;54,2;23;9,4;1,3;
2008-08-11;0;990,5;13,3;37,3;27,8;18,6;49,1;16;10,3;1,6;
2008-08-12;0;991,4;12,1;36,2;26;15,4;48,4;18;10,3;1,6;
2008-08-13;0;992,2;12,8;37;27;19,1;46,8;18;11,6;1,5;
