Nome: NOVO REPARTIMENTO
Codigo Estacao: A235
Latitude: -4.24388888
Longitude: -49.93944444
Altitude: 100.76
Situacao: Operante
Data Inicial: 2008-07-22
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-07-22;null;null;null;null;null;null;null;null;null;null;
2008-07-23;null;null;null;null;null;null;null;43;7,2;null;
2008-07-24;null;999,2;20,7;33,9;27,3;21,5;69,8;40;7,8;1,4;
2008-07-25;0;999,6;21,1;34;26,9;21,3;73,4;39;5,9;1,2;
2008-07-26;0;999,3;21,1;33,6;27,2;21,9;71,9;42;6,9;1,6;
2008-07-27;0;999,6;21,3;33,1;27;23;73;46;7,5;1,8;
2008-07-28;0;1000,2;21;33,4;27,1;22;72,3;42;8,6;1,8;
2008-07-29;0;999,6;17,9;34,1;26,9;20,2;63,5;28;9,6;1,6;
2008-07-30;0;998,7;17,5;34;26,2;19,6;62,6;30;6,4;1,2;
2008-07-31;0;998;19,3;34,8;27,2;19,6;65,6;32;7,1;1,6;
2008-08-01;0;998,1;20,5;34;26,7;20;70,8;38;7;1,6;
2008-08-02;0;998,5;20,7;33,6;26,6;21,1;73;36;7,9;1,6;
2008-08-03;0;998,3;20,4;34,2;27;21,4;70,3;34;7,8;1,8;
2008-08-04;0;997,9;20,9;33,5;27,3;22,6;69,8;42;8;1,7;
2008-08-05;0;998,2;21,2;34;27,2;22;72,2;41;8,9;1,6;
2008-08-06;,2;997,8;21,5;31,3;25,8;21,2;78,9;53;7,8;1,5;
2008-08-07;0;998,2;20,2;33,2;26,6;20,3;71,9;34;8,9;1,7;
2008-08-08;0;998,3;19,1;34,3;26,7;19,4;66,8;33;7,9;1,5;
2008-08-09;0;999;21,4;33,6;27,3;22,4;71,9;46;7,4;1,9;
2008-08-10;0;998,8;21,3;32,9;27,2;21,7;72,5;46;7,9;1,6;
2008-08-11;0;997,9;20,2;34,3;27,6;22,5;67,9;31;7,9;1,9;
2008-08-12;0;998,1;18,2;35,3;27,7;20,8;61;26;8,7;1,6;
2008-08-13;0;998,7;17,9;35,8;27,5;19,3;60,6;27;7,2;1,4;
2008-08-14;0;999,1;19,7;35,2;28,5;22,1;61,6;34;8,4;1,8;
2008-08-15;0;999,1;20,1;34,4;28,4;22,3;63,5;35;8,5;1,7;
2008-08-16;0;997,9;19,9;34,7;27,4;21,2;66,8;35;9,2;1,7;
2008-08-17;0;997,4;20,3;34,5;28,1;22,5;65,1;34;8,6;1,7;
2008-08-18;0;997,5;20,4;34,6;28,4;22,5;65;36;8,1;1,7;
2008-08-19;0;997,5;19,7;34,2;27,7;21,8;65,4;29;9;1,6;
2008-08-20;0;997;16,7;34,5;26,9;18,9;59,7;25;8,2;1,5;
2008-08-21;0;997;16,6;35;26,8;18,3;58,6;28;9;1,4;
2008-08-22;0;997,2;19,9;35,4;27,3;21,2;65,9;34;8,7;1,5;
2008-08-23;0;997,9;21,9;34,5;27,4;22,5;74,2;43;8,6;1,9;
2008-08-24;0;998,2;21,3;34,1;27,6;23;70,6;43;8,4;2,2;
2008-08-25;0;998,3;21,4;33,6;27,7;22,4;70,7;46;9,6;2,2;
2008-08-26;0;998,1;21,3;33,9;27,2;21,4;72,1;43;8,4;1,8;
2008-08-27;0;997,1;20,9;34;27,2;21,3;71;41;8;1,5;
2008-08-28;0;996,6;19,9;35,3;27,5;21,1;67;30;7,6;1,7;
2008-08-29;0;997,2;20,6;34,3;27,7;22,8;67,3;36;7,9;2;
2008-08-30;0;996,6;21,1;33,3;27,6;22,8;69,1;48;9,3;2,4;
2008-08-31;0;996,9;21,9;31,5;26,8;22,8;75,2;57;8;2,2;
2008-09-01;27,2;997,4;22,3;32,1;26,1;21,9;81,1;54;9,7;2,6;
2008-09-02;10,8;996,9;21,7;31,5;25,9;21,7;79,3;53;16,5;1,6;
2008-09-03;0;997,2;21,8;31,3;26,3;22,1;78,2;52;9,3;1,8;
2008-09-04;0;997,9;21,8;32,9;26,9;22,6;75,6;49;8,7;1,7;
2008-09-05;0;997,8;22,1;32,9;26,8;22,8;77,3;52;9,8;2;
2008-09-06;0;998,8;21,5;33;26,9;22,1;74,7;48;8;1,7;
2008-09-07;0;999,6;21,4;32,1;26,6;21,5;75,1;47;8,8;1,8;
2008-09-08;0;999,2;21,9;32,4;26,7;21,7;76,2;52;7,6;1,7;
2008-09-09;12,2;999,7;21,9;32,4;26,7;21,2;76,9;50;10;1,9;
2008-09-10;0;999,8;21,8;32,8;27,3;22,6;73,8;46;6,7;1,3;
2008-09-11;0;999,3;22;32,2;26,5;21,7;77,9;53;8,5;1,7;
2008-09-12;0;998,9;21,8;33;27;22,9;74,6;50;7,3;1,7;
2008-09-13;4;998,6;21,8;33,8;27,6;22,6;72,5;44;9,5;1,9;
2008-09-14;0;998;21,6;34,9;28,3;23,4;69,8;39;8,4;1,9;
2008-09-15;0;998,5;21,7;34;28,1;23,9;70,2;42;8,5;2;
2008-09-16;0;999,1;21,8;33;27,4;23,9;72,6;47;9,3;2,4;
2008-09-17;0;998,5;21,2;33,9;27,7;22,7;69,9;40;7,2;1,6;
2008-09-18;0;997,6;21,9;33,6;27,5;22,4;72,8;47;7,5;1,8;
2008-09-19;0;998,1;22,1;33,3;27,3;23,3;75,1;48;11,3;2,3;
2008-09-20;0;998,9;21,7;33,7;27,7;23,9;71,5;47;11,9;2,9;
2008-09-21;0;999,3;21,2;33,8;27,6;23,8;70,5;40;7,3;1,7;
2008-09-22;7,4;998,7;22,1;34,6;28,4;23,4;70,5;43;6,9;1,7;
2008-09-23;1,8;997,6;22,7;31,2;26,9;22,1;78,5;60;9,6;2;
2008-09-24;0;997,1;22,5;33,3;27,4;23,6;76,8;45;8,6;2;
2008-09-25;0;998,9;21,2;32,8;27,4;22,5;71;45;9,9;2,3;
2008-09-26;0;998,5;21,2;34;27,4;21,7;71,5;42;6,9;1,4;
2008-09-27;0;996,9;21,6;34,4;28,2;23,6;69,1;43;6,7;1,6;
2008-09-28;0;997,2;21,1;34,8;28,2;23,5;67,6;42;8;1,9;
2008-09-29;0;998,7;21,5;33,9;28,2;23,6;68,5;45;7,3;1,6;
2008-09-30;0;998,9;21,1;35,6;28,3;22,9;67,8;38;9,2;1,9;
2008-10-01;0;997;21,5;34,8;28,1;22,7;69,3;42;9,1;1,7;
2008-10-02;43,6;997,4;22;31,3;25,2;20,7;83,5;58;14,2;2,1;
2008-10-03;0;997,2;21,7;32,6;26,8;22,4;76,4;46;9,9;1,7;
2008-10-04;0;996,9;22;34;27,9;22,3;72,4;45;6,1;1,3;
2008-10-05;0;997;22;33,1;27,1;22,6;75,3;51;9;2,2;
2008-10-06;2,2;997,8;21,5;32,5;26,5;21,8;75,6;51;13;1,9;
2008-10-07;4,2;998,6;22;32,5;27,1;22,6;74,9;52;7,5;1,9;
2008-10-08;0;998,2;22,4;33,2;27,2;22,7;76,7;47;7,5;1,8;
2008-10-09;3;998;22,3;32,5;26,7;22,3;78,3;53;7,4;1,7;
2008-10-10;,2;996,8;21,8;33,3;27;22,4;75,3;47;6,3;1,5;
2008-10-11;0;995,8;22,3;32,1;27,4;24,4;75,2;52;8,9;2,2;
2008-10-12;0;996,7;22,4;32,7;27,1;23,4;77,1;48;8,1;1,9;
2008-10-13;0;996,4;22;33,4;27,3;22,2;75,3;49;8,6;1,7;
2008-10-14;0;995,5;21,9;33,9;28,3;23,4;70,3;44;7,5;1,7;
2008-10-15;0;997;21,9;33,7;28,3;24,2;69,6;45;9,7;2,1;
2008-10-16;0;999;21,6;33;27,5;23,6;71,3;49;9,3;2,1;
2008-10-17;0;998,8;21,7;32,5;27,7;23,4;71,1;49;9,5;2,2;
2008-10-18;0;998,2;21,9;33,1;27,7;23,2;72,6;47;6,2;1,8;
2008-10-19;0;999,3;22,4;31,2;27;24,3;77;58;5,5;1,4;
2008-10-20;1,2;998,9;21,8;33,6;27,8;23,5;72,3;44;8,8;1,8;
2008-10-21;0;997,9;21,3;34,1;27,6;23,4;70,9;42;9,4;2;
2008-10-22;1,2;997,8;22;33,3;27,5;23,3;73,9;47;7,4;1,6;
2008-10-23;0;997,3;21,9;32,2;25,1;22,8;83,1;54;8,5;1,6;
2008-10-24;0;997,8;21,2;32,5;26,9;22,3;72,8;49;9,6;2,4;
2008-10-25;0;997,9;19,8;34,4;28;23,3;64,2;34;11;2,5;
2008-10-26;0;997,6;19,2;35,5;28,1;21,2;61,9;31;7;1,2;
2008-10-27;0;998,1;21,3;32,7;27,8;22,6;69,1;50;7,2;2;
2008-10-28;0;997,5;21,6;33,3;27,8;23,8;70,6;46;8;2,1;
2008-10-29;0;996,9;21,4;32,8;27,2;23;72,3;46;9,9;2,1;
2008-10-30;0;997,4;20,5;34,5;27,9;23,5;66,7;39;9,1;1,7;
2008-10-31;0;996,9;21,5;34,4;28,4;23,9;68,1;41;8;1,6;
2008-11-01;0;997;21,5;32,2;27,4;23,5;71,8;50;9,6;2,5;
2008-11-02;0;997,5;20,9;34,8;28,2;22,7;67,4;39;8,8;2;
2008-11-03;0;998,5;21,3;32,6;27,4;23;70,7;48;8,1;1,9;
2008-11-04;0;997,7;21,2;33,3;27,5;22,4;70,4;47;9,5;2;
2008-11-05;0;997,3;21,5;33,5;27,2;22;72,6;46;9,3;2,4;
2008-11-06;0;997,3;21,6;32,5;27;22,7;73,5;51;9,2;1,7;
2008-11-07;0;997,3;21;33,7;26,9;21,7;72;46;8,1;1,5;
2008-11-08;0;996,6;21,6;33,6;26;22,3;78,1;48;9;1,1;
2008-11-09;13,8;997;22,1;33,6;27,5;23,1;74,5;47;8,3;1,9;
2008-11-10;6;998;22;30,9;25,1;21,6;84;58;14,2;1,7;
2008-11-11;0;996,1;22,2;34;27;22,6;77,6;43;6,1;1,1;
2008-11-12;0;994,8;22,2;33,6;27,9;23,6;73,2;49;8,4;1,8;
2008-11-13;0;994,3;22,2;32,8;27,9;24,4;72,3;50;9,4;2,4;
2008-11-14;60,4;994,4;23,1;30,1;25,5;22,4;86,7;71;11,8;1,4;
2008-11-15;14,2;994,3;23,3;30;25,6;23,4;87,5;66;7,5;1,3;
2008-11-16;16;995;23,2;29,6;26;23,1;85;66;7,4;1,9;
2008-11-17;65,4;995,9;21,9;31,4;26,1;22;79,8;50;9,9;1,5;
2008-11-18;0;996;22,4;31,4;26,5;22,4;79,8;56;5,1;1,1;
2008-11-19;0;995,2;23;33,1;27,3;22,6;79;51;6,3;1,5;
2008-11-20;0;995,5;22,9;30,9;27,2;24,6;78,4;57;9,9;2,4;
2008-11-21;65,4;997;22,3;32,2;27,2;22,8;76,8;50;9,5;1,8;
2008-11-22;0;997,1;22,4;32,6;27,5;23,6;75,5;51;6,9;1,4;
2008-11-23;0;995,9;23,1;32,2;27;23,5;80,5;54;6,4;1,4;
