Nome: MONTE ALEGRE
Codigo Estacao: A239
Latitude: -2
Longitude: -54.07638888
Altitude: 100.53
Situacao: Operante
Data Inicial: 2012-07-05
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-07-05;null;null;null;null;null;null;null;null;null;null;
2012-07-06;null;null;null;null;null;null;null;null;null;null;
2012-07-07;null;null;null;null;null;null;null;null;null;null;
2012-07-08;null;null;null;null;null;null;null;null;null;null;
2012-07-09;null;null;null;null;null;null;null;null;null;null;
2012-07-10;null;null;null;null;null;null;null;61;5,1;null;
2012-07-11;null;998,2;21,8;27,8;25,4;23,1;80,8;67;9,6;2,7;
2012-07-12;1,2;998,5;22,2;29,1;25,6;22,9;82,5;60;7,8;2,2;
2012-07-13;2,2;999,7;22,2;30,9;26,7;23,4;77,3;56;7,4;2,7;
2012-07-14;0;1000,2;22,6;30;27,3;24,3;75,7;63;7,1;2,3;
2012-07-15;12,8;1000,6;22,7;30,7;26,4;22,3;80,5;59;10,6;2,6;
2012-07-16;11,8;1000,6;22;29,7;25,6;21,9;81,5;63;9,5;1,9;
2012-07-17;2;1001,1;22;31,3;27,1;22,6;74,2;51;5,3;1,6;
2012-07-18;0;1001,6;21,8;31,6;27,8;24,7;70,5;49;8,7;1,8;
2012-07-19;0;1001,1;21,3;31,1;27,5;24;69,8;53;10,1;3,5;
2012-07-20;2,4;1000,6;21,9;30,9;27,2;23,8;73,6;54;8,9;3,1;
2012-07-21;,2;1000,6;21,8;31,1;26,9;23,6;74,6;55;10,8;3,4;
2012-07-22;6,2;1001,7;21,9;30,8;26,8;22,6;75,7;54;15,5;3,1;
2012-07-23;0;1001,5;22,2;31;27,5;24;73,8;55;7,9;2,7;
2012-07-24;0;1000,8;22;31,5;27,8;24,3;72;50;9,2;3,2;
2012-07-25;32,8;1001,3;22;28,2;25,1;21,8;83,5;67;13,6;3;
2012-07-26;7,8;1001,1;21,8;30,7;26,7;22,8;75,7;53;8,4;3;
2012-07-27;0;1000,9;21,9;31,1;27,2;23,9;73,5;56;8,9;3,1;
2012-07-28;0;1000,1;21,4;31,5;27,7;24,2;69,4;53;8,7;3,3;
2012-07-29;0;998,8;21,6;31,1;27,6;24,5;70,5;52;8;3,3;
2012-07-30;0;999,8;22;31,7;27,9;24;71,4;54;8,8;3,1;
2012-07-31;2,8;1000,3;22,2;31,3;27,4;22,6;74,1;56;10,3;2,9;
2012-08-01;0;1000,6;21,3;32,2;28;23,9;68,3;45;7,8;2,5;
2012-08-02;0;1000,5;21,9;31,9;28;24,2;70;50;7,5;2,4;
2012-08-03;0;999,9;20,5;32,5;28,4;24,9;63,3;36;6,5;2,2;
