Nome: MARABA
Codigo Estacao: A240
Latitude: -5.36638888
Longitude: -49.05111111
Altitude: 116.58
Situacao: Pane
Data Inicial: 2009-06-24
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2009-06-24;null;null;null;null;null;null;null;null;null;null;
2009-06-25;null;null;null;null;null;null;null;null;null;null;
2009-06-26;null;null;null;null;null;null;null;null;null;null;
2009-06-27;null;null;null;null;null;null;null;null;null;null;
2009-06-28;null;null;null;null;null;null;null;null;null;null;
2009-06-29;null;null;null;null;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;null;45;7,3;null;
2009-07-01;0;998,2;20,8;33;25,6;20,1;77,7;45;6,1;,9;
2009-07-02;0;998,5;20;33,3;25,7;19,8;74,8;35;7,7;1,1;
2009-07-03;0;998,9;20,8;32,7;25,6;19,7;77,6;47;6,1;1;
2009-07-04;0;998,4;21;32,7;25,8;20,6;77,8;45;8;1,1;
2009-07-05;0;999,1;20,6;32,9;26,2;20,9;74;42;7,4;1,1;
2009-07-06;0;999,6;20,5;33,1;25,8;20,5;75,5;44;8,5;1,2;
2009-07-07;0;999,5;20,3;33,1;25,9;21;74,3;42;6,8;1,1;
2009-07-08;0;999,3;20,7;32,7;26;21,3;74,8;44;7,3;1,1;
2009-07-09;0;999;20,3;33,1;26,4;21,9;72,5;39;8,7;1,3;
2009-07-10;0;998,7;19,2;33,3;25,6;19,4;71,4;38;7,4;1,1;
2009-07-11;0;999,1;19,3;34,1;25,6;19,8;72,1;31;5,3;1;
2009-07-12;0;999,1;19,4;33,6;25,5;19;72,4;38;6,3;,9;
2009-07-13;0;999,5;21,5;33,6;26,4;20,8;76,9;46;5,6;,9;
2009-07-14;13,2;1001;21,8;32,9;26,4;22,2;78;48;8,4;1,2;
2009-07-15;,2;999,4;21,8;32,8;26,1;21,4;79,3;48;6,4;1;
