Nome: CONCEICAO DO ARAGUAIA
Codigo Estacao: A241
Latitude: -8.30361111
Longitude: -49.28277777
Altitude: 175.74
Situacao: Operante
Data Inicial: 2008-09-03
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-03;null;null;null;null;null;null;null;null;null;null;
2008-09-04;null;null;null;null;null;null;null;null;null;null;
2008-09-05;null;null;null;null;null;null;36,2;23;8,6;null;
2008-09-06;0;990,5;18,1;37,5;30,1;23,3;52;27;8;2;
2008-09-07;0;991,3;17,3;38,3;29,4;21,4;53,6;19;9;1,5;
2008-09-08;0;991;17,2;36,9;29,2;21,3;51,7;28;9,3;1,8;
2008-09-09;0;991,6;18,8;37,4;29,6;22,8;55,7;28;9,6;1,8;
2008-09-10;0;991,9;16;38,2;29,6;22,7;48,7;16;8,3;1,7;
2008-09-11;0;991,6;13,7;38,2;29,6;20,2;42;19;9,2;1,5;
2008-09-12;0;991,1;14,9;37,6;30,5;23,4;40,4;24;8,5;1,7;
2008-09-13;0;990,5;15,8;37,3;29,8;23;46;24;10,6;1,7;
2008-09-14;0;990,3;15,9;38,3;29,6;22,3;47,3;19;9;1,7;
2008-09-15;0;990,4;17,4;37,1;29,5;22,3;50,4;28;8,7;1,4;
2008-09-16;0;990,9;18,8;35,6;28,9;22;56,8;33;10,6;1,7;
2008-09-17;0;990,6;18,5;37,2;29,8;22,3;54,3;26;6,9;1,3;
2008-09-18;0;989,6;18,1;37,8;29,6;22,1;53,3;27;7,4;1,4;
2008-09-19;0;989,7;19,2;36,1;28,9;21,5;58,9;31;9,6;1,7;
2008-09-20;0;990,9;19,3;35,2;29;23,3;58,1;34;10,4;1,7;
2008-09-21;0;992,4;20,6;35,4;27;22,5;69;35;9,8;2,2;
2008-09-22;2,8;991,2;18,6;38,3;30,2;24,1;54,5;27;9,5;2,2;
2008-09-23;0;989,1;17,7;38,6;31;24,4;47,8;27;7;1,4;
2008-09-24;0;989;20,6;37,7;29,1;25,4;63,6;30;16;2,2;
2008-09-25;17,4;992,2;21;27,6;23,5;22,4;86,7;59;11,2;1,5;
2008-09-26;27,4;991,3;21;35;26,7;21,4;74,8;37;4,7;1,1;
2008-09-27;0;989;20,9;36,3;28,5;22,7;66,6;31;12,9;1,5;
2008-09-28;0;990;20,3;38,3;28,9;23,6;62,8;31;7,9;1,4;
2008-09-29;15,4;992;21,6;30,6;26,1;22,5;77,3;55;8,5;1,4;
2008-09-30;,4;991,5;21,8;35,8;28,5;22,7;70,7;38;6,5;,9;
2008-10-01;0;989,2;20,9;36,5;28,7;23,3;65,9;34;15,4;1,4;
2008-10-02;4,4;990;21,7;28,3;25,1;21,2;81,5;71;13,5;1,3;
2008-10-03;0;990,4;20,8;32,6;24,3;20,4;82,4;47;11,7;1,4;
2008-10-04;2,8;990,3;20,8;34,3;26,3;21,1;74,8;39;7,3;1,2;
2008-10-05;,4;989,1;21,7;34,6;27,7;22,9;72,6;42;6;1,3;
2008-10-06;0;990,2;22,1;34,5;28,1;23,4;71,5;43;7;1,5;
2008-10-07;0;991,2;20,6;37,2;28,6;22,6;66,3;31;6,8;1,6;
2008-10-08;0;990,2;18,1;36,6;29,2;22,4;57,2;25;7,9;1,4;
2008-10-09;0;990,1;17,8;36,9;28,9;21,9;55,9;24;9,6;1,8;
2008-10-10;0;989;19,4;35,8;28,7;22;59,3;35;7,5;1,4;
2008-10-11;0;988,2;17,9;36,7;29,6;23,2;55;26;10,8;1,8;
2008-10-12;0;989;16,3;37,3;29,4;21,8;51;22;10,3;1,6;
2008-10-13;0;988,8;16,2;37,9;29,8;22,5;48,8;22;10,4;1,7;
2008-10-14;0;987,8;15,3;38,7;29,9;21,7;45,8;17;7,9;1,2;
2008-10-15;0;988,9;16;37,8;29,9;21,9;47,3;23;9,8;1,6;
2008-10-16;0;990,7;20,1;36,3;29,6;23,1;58,8;33;7,3;1,5;
2008-10-17;0;990,5;20,9;34,5;29,2;23,3;62,6;42;7,2;1,7;
2008-10-18;0;990,2;21;34,5;28,6;25;65,4;42;11,4;2,2;
2008-10-19;17,6;992,9;21,1;31,6;25,5;21,7;78,2;53;9,2;1,6;
2008-10-20;0;991,6;22,3;33,4;26,9;23,4;77,2;47;9,6;1,3;
2008-10-21;8;990,3;23,1;33,1;27,3;23,7;78,7;50;6;1,1;
2008-10-22;0;990,9;21,7;35,4;27,4;23;72,3;41;8,4;2,2;
2008-10-23;0;989,7;20,4;36,3;28,7;24,3;65,6;29;8;1,8;
2008-10-24;0;990;21,4;31,6;26,5;25,3;73,8;56;10,8;1,4;
2008-10-25;3,4;990,4;21,1;34;27,1;21,3;72,7;41;6,7;1,3;
2008-10-26;0;990;20,8;35,9;28,8;21,8;65,9;34;6,8;1,1;
2008-10-27;0;989,6;21,3;37,7;29,3;22,8;64,5;32;9;1,2;
2008-10-28;0;989,4;21,4;33,5;27,7;23,8;70;51;15,9;2,4;
2008-10-29;3,2;989,4;21,4;33,4;25;22;82,3;49;12,4;1,6;
2008-10-30;12,2;991;21,8;31,5;25,3;22,3;81,6;59;10;1,8;
2008-10-31;0;989,6;20,3;36,2;27,6;20,8;67,8;36;6,5;1,5;
2008-11-01;0;988,9;21,9;32,8;27,7;23,4;71,8;48;11,3;1,6;
2008-11-02;0;990,5;21,4;34,9;28,3;22,9;68,8;41;4,5;1;
2008-11-03;0;990,4;21,6;37,5;29;22,8;67,2;35;10,3;1,2;
2008-11-04;0;989,8;21,2;35,2;28,5;22,2;67;36;5,8;1,2;
2008-11-05;0;989,6;21,9;32,2;26,8;24,7;75,4;47;14,2;1,6;
2008-11-06;13,2;989,8;21,7;32,8;26,3;21,7;77,8;51;4,9;1,2;
2008-11-07;0;990,2;22;34,3;26,7;24;77;48;13,4;2,3;
2008-11-08;3,4;989,1;21,1;35;27,6;21,5;71,2;33;4,6;1,1;
2008-11-09;0;989,8;21,6;32,4;27,3;24,4;72,2;49;11,2;1,7;
2008-11-10;0;990,6;21,2;32,9;27,1;22,3;72,4;46;7,8;1,8;
2008-11-11;0;988,9;21,3;35,7;28,5;23;67,7;38;4,8;1,1;
2008-11-12;0;987,2;21,1;35;28,2;23,6;67,2;42;10,6;2,1;
2008-11-13;0;987,4;22,1;28,4;24,8;24;85,3;71;9,5;1,5;
2008-11-14;3;987,6;21;34,3;26,9;21,3;73,3;38;5,8;1,1;
2008-11-15;0;986,4;22,3;36,4;28,6;23,6;70,9;40;12;1,3;
2008-11-16;,2;987,4;22,4;36;28;24,5;73,5;42;11,3;1,7;
2008-11-17;2,6;988,6;22,4;33,3;26,5;23,4;80;53;11;1,3;
2008-11-18;0;988,9;22,5;33,2;26,5;24,3;79,3;53;8,8;1,4;
2008-11-19;2,8;988;22,9;35,9;27,8;23,7;76,4;41;6,4;1,1;
2008-11-20;12,6;988,5;22,9;31;25,3;22,6;86,9;68;11,4;1,6;
2008-11-21;20,2;990,3;22,7;30,9;25,3;22,7;86,6;62;10,1;1,3;
2008-11-22;2;990,6;23,1;33,4;25,9;23,7;85,8;53;8,7;1,3;
2008-11-23;46,2;989,5;23,4;32;25,7;23;87,6;61;6,6;1,8;
2008-11-24;1;988,7;22,6;33;26,6;23,7;80;51;8,3;1,3;
2008-11-25;27,4;989,9;22,7;28,5;24,9;23,1;88,2;67;6,5;1,2;
2008-11-26;5,2;989,4;22,9;32,5;25,8;23,3;85;56;7,8;1;
2008-11-27;,6;990,2;22,7;31,4;26;23,2;82,9;62;9,1;2,3;
2008-11-28;16,6;990;21,9;30,7;24,6;21,8;85,8;64;7,2;1,1;
2008-11-29;3;990,3;22,8;29,8;25,5;23;85,8;66;5,9;1;
2008-11-30;3,2;990,6;22,8;30;24,5;23,8;90,5;69;8,8;1,5;
2008-12-01;44,2;990,6;22,4;31,8;25,8;21,8;83;58;4,1;,9;
2008-12-02;1,4;990,9;22,6;27,5;24,3;22,9;90,3;79;12;1,3;
2008-12-03;25,2;989,6;21,9;27,8;24;22;88,5;72;7,4;1,7;
2008-12-04;0;989,3;22,2;30,8;25,4;23,1;83,2;58;8,9;1,6;
2008-12-05;,8;990,9;22,5;31,6;25,6;22,9;83,8;59;8,8;1,3;
2008-12-06;6,2;990,7;22,1;34,2;26,8;22,3;77,8;47;5,4;1,3;
2008-12-07;,2;991,4;22,6;32,9;26,3;22,7;81,4;53;11,1;1,4;
2008-12-08;14,8;991,2;22,5;34,8;26,8;23,3;78,8;46;10,5;1,6;
2008-12-09;0;990,8;21,9;34,9;27,1;22,7;75;44;6,9;1,3;
2008-12-10;,4;989;22,3;31,1;24,6;23;87;63;8,9;1,1;
2008-12-11;2;988,8;22,8;31,2;25,3;22,9;86,5;60;8,4;1,1;
2008-12-12;4,2;989,1;22,9;34;26,1;22,8;83,7;48;12,9;1,7;
2008-12-13;3,4;989,5;22,7;31,7;26,5;22,4;81,1;54;7;1,3;
2008-12-14;0;989,6;23;33,4;26;24;84,9;54;13,4;1,5;
2008-12-15;24,2;988,6;22,6;31,1;25,6;22;84,6;60;11;1,3;
2008-12-16;1,6;988,7;22,3;31,6;24,7;23,3;87,1;58;19,4;1,4;
2008-12-17;33,6;988,9;22,1;31,7;25,2;21,5;83,8;48;3,8;1,1;
2008-12-18;0;989,2;21,7;32,2;25,4;22,1;81;57;10,3;1,5;
2008-12-19;,2;988,2;22,1;32,1;25;22;85,1;61;10,4;1,4;
2008-12-20;8,2;988,9;21,9;29,8;24,4;21,9;86,5;63;8,1;1,5;
2008-12-21;2;989,3;21,6;31,6;25,7;22,3;80,1;46;5,7;1,3;
2008-12-22;39,4;989,9;22,3;26,3;23,9;22,5;91,3;79;7,8;1,2;
2008-12-23;16,8;990,8;22,4;32,4;25,6;22,5;84;53;7,4;1,4;
2008-12-24;23,8;990,2;22,6;29,9;25,4;22,9;85;64;6,4;1,3;
2008-12-25;2,4;988,2;22,1;33,3;26,4;22,4;79,8;44;3,8;1;
2008-12-26;40,6;988,3;22,6;30,8;25,2;22,4;85,9;63;12,2;2,2;
2008-12-27;2,8;988,8;22,5;32,2;25,7;22,8;83,3;55;7,4;,9;
2008-12-28;1,6;988,3;21,8;34,6;27,5;22,2;74,2;41;5,4;1;
2008-12-29;0;988,5;22,9;33,2;27,9;24,3;75,8;53;7,6;1,7;
2008-12-30;0;987,9;22,6;35,8;28;23,9;74,4;41;8;1,3;
2008-12-31;,6;989,1;22,5;35,9;28,1;23;74,1;44;9,5;1,6;
2009-01-01;0;989,6;21,9;34,4;27,8;22,8;72,1;48;5,8;1,3;
2009-01-02;2;989,2;23,1;31,9;27,5;24,3;77,8;57;7,3;1,8;
2009-01-03;,2;988,7;22,2;33,6;26,1;22,7;80,3;49;18,6;1,6;
2009-01-04;4,8;988,7;22,7;32,8;26,6;23,1;80,8;50;8,4;1,3;
2009-01-05;0;989,6;21,8;33,8;27,4;22,8;74,2;46;6,5;1,5;
2009-01-06;0;989,4;22,2;30,2;25,2;23;84,1;66;8,3;1,7;
2009-01-07;18,2;990,1;21,8;31,1;25,4;22,1;81,5;56;8,6;1,4;
2009-01-08;0;990;21,7;33,2;26,6;22,7;76,4;42;7,5;1,4;
2009-01-09;0;990,6;22,3;34,9;27,9;22,5;73,7;45;7,4;1,2;
2009-01-10;0;991;22;34,4;27,6;23,5;73,3;46;9,7;1,4;
2009-01-11;1,6;990,4;21,8;35;27,6;22,6;73;39;12,7;1,5;
2009-01-12;,2;990,2;22;34;27,9;22,8;71,6;46;5,6;1,4;
2009-01-13;0;989,7;22;35,2;28,4;22,4;71;42;6,4;1,2;
2009-01-14;0;989,4;22;35,3;28,9;24,2;68,5;41;9,6;1,6;
2009-01-15;1,4;989,8;22,3;32,5;27,1;23,4;76,5;51;9,5;1,9;
2009-01-16;6,6;991,1;21,8;30,6;26,3;22,1;77,1;59;11,7;1,6;
2009-01-17;0;991,7;22;33;24,7;22,7;85,8;52;13;1,4;
2009-01-18;4,2;991,9;21,5;33,6;25,7;21,1;80;48;5,2;1,2;
2009-01-19;4,4;991,2;22,1;33,2;26,9;22,7;77,1;46;8,4;1,4;
2009-01-20;,4;991;22,8;30,1;25,4;24,4;86,3;64;9,4;1,9;
2009-01-21;34,2;992,1;22,1;27,4;23,8;22,4;90,4;75;12;1,5;
2009-01-22;15,6;992,1;22,1;30,8;25,1;22;84,6;57;6;1,6;
2009-01-23;6,6;991,9;22,3;29,6;25,2;23;84,7;63;4,8;1;
2009-01-24;0;989,7;21;33,2;26,7;21,7;74;39;5,6;1,3;
2009-01-25;,6;989,5;21,6;32;26,4;22,2;76,8;48;7,5;1,4;
2009-01-26;8,2;990,7;22,6;30,2;25,3;22,7;85,5;64;8,2;1,4;
2009-01-27;7,4;990,6;22,5;33;26,9;22,9;78,7;49;6;1,2;
2009-01-28;0;989,8;23;34;26,8;24;80,7;51;6,2;1,1;
2009-01-29;,8;990,4;22,7;34;26,9;23,2;79,7;50;7,8;1,4;
2009-01-30;1;990,7;22,6;34,2;26,8;23,2;79,2;47;7,4;1,5;
2009-01-31;,4;990,4;22,6;32;26,9;23,9;78,2;58;7;1,5;
2009-02-01;0;990,4;21,8;33,6;26,7;22,5;75,6;48;7,8;1,1;
2009-02-02;0;990,2;22,2;32,7;26,8;22,8;77,3;51;7,9;1,6;
2009-02-03;1;991,3;21,7;32,9;26,2;22,8;78;49;9,8;1,5;
2009-02-04;6,8;991,8;22,6;30,1;25,4;23,7;85,1;65;10,1;1,5;
2009-02-05;9,8;991,1;21,6;34,3;27,2;21,8;73,8;45;7,8;1,1;
2009-02-06;6,8;991,3;22,6;34;26,5;22,4;79,7;54;7,9;1,4;
2009-02-07;0;990,9;22,1;32,9;26,8;22,2;77;51;7,6;1,3;
2009-02-08;3,4;990,3;23,2;32;26,7;24,1;81,7;58;11,2;1;
2009-02-09;,8;989,9;22,3;34,8;27,2;23,2;76,4;44;9,2;1,2;
2009-02-10;2,8;990,4;22,6;32,7;26,3;24,1;81,1;56;7,4;1,4;
2009-02-11;2,8;991,4;21,9;32,6;26,4;22,5;78;52;4,9;1,4;
2009-02-12;6;989,5;21,9;33,9;27,2;23;75,1;45;7,7;1,2;
2009-02-13;,2;987,7;22,7;30;26;23,9;82,5;63;8,6;1,5;
2009-02-14;43,8;988,5;22,3;31,1;25,6;22,4;83,1;55;7,3;1,3;
2009-02-15;8;989,5;22,1;29,8;25,2;22,1;83,7;62;10,2;1,6;
2009-02-16;11,6;989,8;21,8;30,8;24,8;22;84,3;58;7,5;1,2;
2009-02-17;65,4;990,7;22;32,5;25,5;22,5;82,6;50;7,9;1,5;
2009-02-18;0;989,7;22;32,1;26,2;23,5;78,8;50;10;1,4;
2009-02-19;51,2;991,1;21;28,3;23,3;21,1;87,8;66;9,4;1,3;
2009-02-20;2,2;988,9;21,5;32,4;25,6;21,2;79,7;50;7,9;1,4;
2009-02-21;,8;988,7;22,5;31,6;25,9;23,6;82,4;53;9,4;1,5;
2009-02-22;17,4;990,8;22,2;28,1;24,6;22,4;86,8;69;8;1,5;
2009-02-23;,2;990,3;22,3;32,7;25,7;23,3;83,1;50;10,7;1,3;
2009-02-24;2,2;989,4;22,1;27,7;24,8;22,5;86,2;67;10,5;1,4;
2009-02-25;10,6;989,6;22;30,8;25,7;22;81,1;57;6,5;1,2;
2009-02-26;13,6;989,5;22,3;30,4;25,7;21,7;82,5;57;9,4;1,3;
2009-02-27;0;990,3;22;30,6;24,6;22,1;86,1;59;10;1,1;
2009-02-28;3,6;990;22;33,5;26,5;22,1;78,9;45;7,2;1,3;
2009-03-01;0;990,4;22,4;33,1;26,3;22,7;81,1;49;13,4;1,5;
2009-03-02;28,2;990,7;23,1;30,4;25,5;22,3;86,7;65;9;1,2;
2009-03-03;6,8;990,7;22,9;33,8;27,1;23;79,7;52;4,9;1,3;
2009-03-04;20,4;990;23,3;30,9;25,9;21,1;86,1;63;4,4;1,3;
2009-03-05;73;990,6;22,6;31,5;25,7;22;84,3;59;7,5;1,4;
2009-03-06;13,2;991,4;21,8;31,4;24,7;21,6;84,9;58;11,5;1,6;
2009-03-07;38,2;991,3;22,3;31,5;25,7;22;82,9;56;5,9;1,4;
2009-03-08;0;990,4;22,9;29,3;26,2;24;82,7;66;6,5;1,3;
2009-03-09;0;989,9;22,5;32,5;25,8;22,5;83,5;56;10,3;1,2;
2009-03-10;6,6;990,1;22,3;32,1;26,2;23;80,8;51;5,6;1,3;
2009-03-11;11,4;989,2;23,2;33,4;27;22,9;81;49;7,2;1,1;
2009-03-12;0;989,4;22,9;31,6;26,6;23,2;80,8;59;6,8;1,2;
2009-03-13;0;988,8;22,6;33,8;27,9;23,1;75,5;46;5,9;1,3;
2009-03-14;0;990;22,9;33,7;27,7;23,5;76,4;50;11,3;1,2;
2009-03-15;0;991,2;23,3;30,9;26,1;23,9;85,2;61;7,4;1,3;
2009-03-16;5,4;991;22,5;26;23,8;22,1;92,5;86;9,2;1,4;
2009-03-17;28,8;992,1;21,7;27,3;23,9;21,2;88;73;8,1;1,4;
2009-03-18;0;990,9;21,7;31,8;25,9;21,4;78,8;51;5,5;1,2;
2009-03-19;0;989,2;22,2;33,5;27,3;22,8;76;47;4,8;1;
2009-03-20;0;989,1;22,7;33,2;27,2;23,4;77,8;47;12,2;1,2;
2009-03-21;4,8;988,5;23,5;34,3;27,4;24,3;80,6;45;7,7;1;
2009-03-22;0;988;23,2;33,8;27,2;23,6;80;51;8,6;1,1;
2009-03-23;2,6;988,3;23;28,3;25,3;23,6;87,3;73;9,1;1,3;
2009-03-24;32,6;989,3;22,6;30,2;25,5;21,7;84,9;63;13,4;1,4;
2009-03-25;22,4;989;22,5;30,1;25,3;21,3;85,4;55;9,3;1,3;
2009-03-26;1,6;989,4;22,5;28,5;24,9;21,8;86,7;69;9,9;1,2;
2009-03-27;1,2;991;21,8;29,8;25,2;21,5;82,4;58;9,1;1,6;
2009-03-28;0;989,5;22,2;33,2;26,8;22,5;77,6;50;4,5;1,1;
