Nome: OIAPOQUE
Codigo Estacao: A242
Latitude: 3.81361111
Longitude: -51.8625
Altitude: 15.14
Situacao: Operante
Data Inicial: 2008-09-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-10;null;null;null;null;null;null;null;null;null;null;
2008-09-11;null;null;null;null;null;null;null;null;null;null;
2008-09-12;null;null;null;null;null;null;null;53;6,1;null;
2008-09-13;6,6;1010,9;22,9;32,8;26,2;22,5;83,4;53;6,9;1;
2008-09-14;1;1010,5;22,6;34;26,7;22,6;80,8;46;6,6;1,1;
2008-09-15;0;1010,9;23,1;31,5;25,3;22,7;88,5;60;6,6;,9;
2008-09-16;16,6;1011,2;22,9;33,6;26,5;22,5;83,1;47;5,5;,9;
2008-09-17;0;1010,4;22,1;34,1;26,6;22;79;43;4,9;,9;
2008-09-18;0;1009,7;22,1;33,1;26,1;21,9;81,1;48;5,4;,9;
2008-09-19;0;1010,4;22,1;33;26,4;21,9;80,1;48;6,6;1;
2008-09-20;0;1011,2;22,1;33,4;26,3;21,4;80,2;46;6,8;1,1;
2008-09-21;0;1011,3;23,2;31,9;26,2;22,4;84,8;57;7,6;1;
2008-09-22;0;1010,8;22,7;33,9;25,3;21,6;86,9;51;8,5;1;
2008-09-23;2,6;1009,2;23;33,9;26;22,2;85;50;5,6;1;
2008-09-24;,6;1009,2;22,7;33,6;26,8;22;80,6;50;6,9;1,2;
2008-09-25;0;1010,6;22,8;34,1;26,4;22;82,6;49;6,5;1;
2008-09-26;0;1010,2;22,1;35;27,1;22,2;77,7;37;6,2;1;
2008-09-27;0;1009;22,1;35;26,9;21,5;78,1;41;5,2;1;
2008-09-28;0;1009,6;22,2;34,5;27,1;22,2;77,8;43;5,8;1,1;
2008-09-29;0;1010,3;22;34,7;26,6;21,3;79,1;44;6,3;1;
2008-09-30;0;1010,9;22;35,4;26,9;21,3;77,4;40;5,6;1,1;
2008-10-01;0;1009,7;23,1;34,3;26,5;22,8;83,3;46;9,4;1;
2008-10-02;,2;1008,9;23,2;33,8;26,2;22,6;85,3;50;6,5;,7;
2008-10-03;3,4;1008,3;22,7;34,3;27;22,8;80,2;43;7;1,1;
2008-10-04;0;1008,8;22,8;33,5;26;21,8;84,3;52;6,4;,9;
2008-10-05;1,8;1009,3;22,7;34;26,8;22;81;48;6,8;1,3;
2008-10-06;0;1008,9;22,6;35,3;27,3;22,5;78,3;41;7,1;1,2;
2008-10-07;0;1010;22,5;36;27,9;22,8;75,9;38;5,8;,9;
2008-10-08;0;1010,4;21,9;35,2;27,2;21,9;76,3;40;5,7;1,1;
2008-10-09;0;1009,8;21,7;34,4;26,9;21,8;76,6;42;6,5;1;
2008-10-10;0;1008,6;22;34,5;26,6;21,5;78,8;39;7,1;,9;
2008-10-11;0;1007,7;21,3;35,2;27;21,5;75;41;7,1;1,3;
2008-10-12;0;1008,8;22,2;35;27,1;21,6;77,3;44;10;1,3;
2008-10-13;0;1008,3;22;34,7;27,1;22,2;76,4;39;7,4;1,1;
2008-10-14;0;1007,8;21,4;34,8;27;21,5;75,3;41;8;1,2;
2008-10-15;0;1009,8;21,8;34,7;26,9;21,8;76,8;40;9;1,4;
2008-10-16;0;1011,4;22,1;34,5;26,8;22,6;78;42;7,2;1,2;
2008-10-17;0;1011;21,4;35,4;26,9;21,6;75,8;37;5;1;
2008-10-18;0;1010;22,6;35,1;27,7;23,3;76,3;41;6,5;1,3;
2008-10-19;0;1010,4;22,4;34,4;27,5;22,4;76,5;44;6,3;1,1;
2008-10-20;0;1011;21,3;34,5;26,7;21,1;75,8;41;7,7;1,3;
2008-10-21;0;1010,7;20,8;34,7;26,6;20,7;74,4;40;8;1,3;
2008-10-22;0;1009,5;21;34,9;27;21,8;73,7;36;7;1,2;
2008-10-23;0;1009,8;21,1;34,5;26,7;21,2;74,8;38;8,4;1,2;
2008-10-24;0;1010,3;20,7;34,5;26,7;21,1;73,8;39;8;1,2;
2008-10-25;0;1009,9;20,9;34,5;26,6;20,9;74,5;40;7,1;1,3;
2008-10-26;0;1009,9;21,4;35,6;27;21,1;75;35;5,8;1,1;
2008-10-27;,2;1010,4;22;35,5;26,9;21,2;77,3;38;7,4;1,3;
2008-10-28;0;1009,4;22;35,7;27,7;22,1;74,7;39;7,2;1,4;
2008-10-29;0;1008,7;22,1;35,3;27,3;22,3;76;42;8,4;1,3;
2008-10-30;0;1008,8;21,1;35,8;27,4;21,5;72,8;32;7,6;1,2;
2008-10-31;0;1009,4;20,8;35;26,9;20,8;73,2;37;6,6;1,2;
2008-11-01;0;1009,1;21,4;35,8;27,1;21,2;74,5;41;7,1;1,3;
2008-11-02;0;1010;21,3;34,8;27;21,5;74,7;39;7,8;1,3;
2008-11-03;0;1011,1;20,9;34,5;26,7;20,9;74;40;6,6;1,2;
2008-11-04;0;1010,1;20,3;35,1;26,2;20,4;74;35;7;1,4;
2008-11-05;0;1009,2;21,1;35,7;26,4;20,3;76;38;7,3;1,4;
2008-11-06;0;1009,3;21,9;35,5;26,7;20,8;77,9;37;7,1;1,3;
2008-11-07;0;1008,4;22,3;35,4;26,7;22,1;79,7;36;7,7;1,1;
2008-11-08;2;1007,8;22,6;35,2;26,6;22;81,6;42;11,4;,9;
2008-11-09;7,8;1009;23;34;26,9;22,1;81,4;49;8;1,2;
2008-11-10;,6;1008,7;22,4;35,2;27;22;78,7;42;8,2;1,2;
2008-11-11;,2;1008;22,6;35,2;26,8;22,1;80,4;43;8,6;1,3;
2008-11-12;2;1006,9;23,1;34,5;26,3;21,5;84,2;45;8,1;1,1;
2008-11-13;2,2;1005,8;21,9;34,8;27,2;21,9;76,6;40;6,4;1,1;
2008-11-14;0;1005,5;21,8;34,6;26,7;21,6;77,1;43;8,3;1,2;
2008-11-15;0;1006,3;21,5;35;27;21,3;75,3;40;6,6;1,2;
2008-11-16;0;1007,2;22,1;34,2;26,8;21,8;78;43;5,8;1,1;
2008-11-17;0;1007,2;22,1;34;26,8;21,4;78;43;5,4;1,2;
2008-11-18;0;1007;21,9;35,6;26,8;21,7;77,5;34;5,3;1;
2008-11-19;0;1007,3;22;34,6;27,1;21,8;76,4;43;7;1,1;
2008-11-20;0;1007,9;21,5;34,2;26,6;21,4;76,3;45;9,3;1,3;
2008-11-21;0;1008,7;22,4;33,3;26,1;21,3;81,8;52;9,6;1,2;
2008-11-22;2,4;1009,1;22,9;33,9;26,6;22,4;81,9;52;8,9;1,1;
2008-11-23;,2;1007,8;22,3;35,3;27,6;22,3;76,3;40;5,6;1;
2008-11-24;,2;1007,9;21,8;34,5;26,9;22;76,4;42;7,6;1,2;
2008-11-25;0;1008;21,4;34,5;26,7;21,5;76;41;7,1;1,1;
2008-11-26;0;1008,2;20,9;34,7;26,7;20,8;74,5;39;8,2;1,3;
2008-11-27;0;1009,2;21;35,4;26,7;21,1;74,6;36;6,4;1,3;
2008-11-28;0;1008,8;21,3;34,8;26,6;20,8;76;41;5,8;1,2;
2008-11-29;0;1009;20,8;34,8;26,7;21,1;74,4;38;6,7;1,2;
2008-11-30;0;1010;22,3;32,6;24,8;20,6;86,9;57;9,6;1,1;
2008-12-01;2,8;1009,8;23;33,9;25,4;22,3;87,6;51;12,1;1,2;
2008-12-02;16,2;1009,7;23;32,1;24,7;22,5;90,7;58;6,7;,8;
2008-12-03;5,4;1008,7;23;32,1;24,9;21,9;90,1;59;8;,8;
2008-12-04;4,4;1008,5;22,6;32,3;24,6;21,9;89,5;58;8,5;,9;
2008-12-05;1,8;1009,3;22,6;34;26,9;22,7;79,8;46;6,3;1,1;
2008-12-06;0;1010;23,2;31,9;25,6;22,3;87,7;57;11,7;,9;
2008-12-07;2,6;1010;23,1;33,4;26,4;22,8;84;52;7,7;,8;
2008-12-08;0;1010,4;23,3;32,4;25,2;22,9;90,2;55;8,9;,7;
2008-12-09;20,4;1010,2;23,1;32,3;25;22,3;90;59;10,6;,8;
2008-12-10;10;1008,2;23,2;32;25,2;22,5;89,3;60;7;1,2;
2008-12-11;7,2;1007,2;22,7;33,2;26,2;22,6;83,2;50;8,9;,9;
2008-12-12;0;1007,8;22;33,7;26,4;21,7;79,7;46;9,1;1,2;
2008-12-13;0;1008,4;22;33,1;26,2;21,4;79,8;49;8,9;1,2;
2008-12-14;,6;1009;22,7;31,2;24,6;22,4;89,6;62;7,4;1;
2008-12-15;12,8;1008,2;23;32,5;26,2;22,4;83,9;53;6,3;1,2;
2008-12-16;,2;1007,1;22,8;32,3;26;22,6;84;54;6,9;1,1;
2008-12-17;0;1007;22,9;33,3;25,6;21,8;86,3;51;8,1;,9;
2008-12-18;1,4;1007,8;23,2;31,9;25,5;22,9;88,8;58;8;,9;
2008-12-19;22;1007;23,1;32,5;25,2;22,4;89,5;54;7,7;,8;
2008-12-20;,8;1007,3;23,1;32,3;25,6;22,8;87;55;8,4;1,1;
2008-12-21;0;1007,5;22,9;32,4;25;22,6;89,4;56;6,6;,8;
2008-12-22;31;1008,7;23,3;30,1;24,5;22,5;93,3;72;8,7;,9;
2008-12-23;44,6;1009,7;23,2;30,2;24,8;22,5;91,2;68;8;,9;
2008-12-24;8,8;1008,2;23,1;30,4;24,8;22,7;90,7;67;8,8;,8;
2008-12-25;18;1007,9;23;27,6;24,3;22,8;92,4;77;5,5;,9;
2008-12-26;1,2;1007,9;22,6;30,2;24,2;22,2;91,3;67;11,4;,9;
2008-12-27;27;1007,7;22,6;30,2;24,1;22;92,2;68;6;,7;
2008-12-28;18,4;1007,8;22,8;28,2;24,4;22,6;90,7;73;6,4;1;
2008-12-29;11,2;1008,2;23,3;30,8;25;23,2;91;65;6,9;1;
2008-12-30;6;1007,9;24,2;30;25,5;23,9;92,7;72;9;,8;
2008-12-31;11,2;1008,6;23,9;30,6;25,9;23,8;89,7;63;6,4;,7;
2009-01-01;,2;1009,6;23;31;24,5;22,1;91,5;66;9,8;1;
2009-01-02;3,6;1009,3;23;31,8;25;22,2;89,4;60;7;,8;
2009-01-03;3,2;1008,3;23,2;31,2;25,2;22;89,3;63;9;1,2;
2009-01-04;8,4;1007,8;23,7;28,8;25,2;22,9;91,5;76;10,7;1,1;
2009-01-05;73,8;1009,2;23;28,3;24;22,3;93,8;77;11;1;
2009-01-06;5,8;1008,5;23;31,4;25,2;21,9;88,4;63;9,3;1,3;
2009-01-07;56,4;1009;23,3;28,2;24,7;22,6;92,2;77;6,2;,8;
2009-01-08;2,8;1008,8;23,4;29,7;25;22,4;91,3;71;6,5;1;
2009-01-09;46,8;1010,6;22,7;25;23,6;22,9;94,6;87;5,8;,9;
2009-01-10;30,4;1010,8;22,7;29,6;24,9;21,9;88,5;66;8,3;1;
2009-01-11;4,6;1010,4;22,8;29;24,1;22,6;92,8;74;9,4;,8;
2009-01-12;8;1010,2;22,9;28,7;24,1;22,6;93;73;9,4;,9;
2009-01-13;18;1009,9;23,1;28,7;24,6;22,2;91,8;76;6,2;,8;
2009-01-14;18,8;1010,5;23;27,7;24,2;23;93,5;79;8,9;1;
2009-01-15;47,2;1010,8;22,9;29,2;24,9;22,6;89,5;67;9,6;1,1;
2009-01-16;4;1010,4;22,6;31,8;25,3;22,1;86,5;57;7,6;1,1;
2009-01-17;17;1010,2;23,7;30,2;25,7;23,5;88,8;69;8,7;1,3;
2009-01-18;2;1010,6;23,6;28,7;24,9;23,1;92,4;78;10,5;1;
2009-01-19;21,2;1011,3;22,8;25,4;23,7;23,5;94,7;88;8,6;,8;
2009-01-20;28,8;1011,5;22,1;25,2;23;22,2;94,7;85;6,6;,8;
2009-01-21;22,8;1011,8;23;27,7;24,2;22,5;93;79;8,3;,8;
2009-01-22;18;1011,1;23,1;30,8;25,1;22,5;88,8;65;7,8;1,3;
2009-01-23;3,6;1010,8;22,8;28,3;24,2;22,7;91,8;75;6,1;1;
2009-01-24;41,2;1010,1;22,7;26,2;23,8;22,5;93,6;83;5;1,1;
2009-01-25;4,2;1008,9;22,6;31,3;24,8;22,1;88,3;60;6,8;,9;
2009-01-26;4;1009,6;22,9;25;23,7;22,8;95,4;93;5,9;1;
2009-01-27;58,6;1010,5;22,9;25,5;23,7;22,9;95,3;90;6;,7;
2009-01-28;5,8;1009,8;22,7;27,7;23,5;22,6;95,4;81;10;,6;
2009-01-29;73,8;1010,3;22,5;24,2;23,2;22,6;96;92;7,4;,6;
2009-01-30;37,6;1010,4;22,7;31,3;25,4;22,2;86,2;55;9,2;1,4;
2009-01-31;,2;1010,4;22,7;31,1;24,6;21,7;90;60;9,5;1,2;
2009-02-01;13;1009,9;23;31,1;25,1;21,5;88,7;65;7,8;1,1;
2009-02-02;4;1009,9;22,6;30,4;24,8;21,8;88,6;61;8,5;1,1;
2009-02-03;4,4;1009,9;22,6;30,7;24,9;21,2;87,9;64;8,1;1,2;
2009-02-04;32,2;1011;23,3;28,3;24,4;22,6;94;79;11,2;,9;
2009-02-05;23,6;1010,3;23,8;29,6;25,4;23;90,8;72;10,2;1,3;
2009-02-06;18,6;1011;23,1;27,5;24,1;23,7;94,4;82;10,7;,9;
2009-02-07;49,2;1010,6;23,4;29,4;24,6;22,5;93;74;8;,9;
2009-02-08;14,4;1009,5;23,7;28,4;24,9;23,1;93;79;8,3;,9;
2009-02-09;16,2;1009,8;23,1;31;25,6;22,9;87,2;61;8,7;1,2;
2009-02-10;,6;1010;22,9;31,9;25,8;22,3;85;56;7,5;1,2;
2009-02-11;2,2;1010,5;23,3;31,2;25,5;22,7;88,5;62;10,6;1,4;
2009-02-12;5;1009,9;23,1;26,7;24,1;22,8;94,5;84;8,2;,8;
2009-02-13;25,4;1007,9;22,7;29,2;24,8;21,4;88,3;68;7,8;1,3;
2009-02-14;4,2;1007,3;23,2;29,1;24,3;23,4;94,1;77;10,2;,8;
2009-02-15;47,4;1008,1;23,2;26,3;23,9;22,8;95,7;89;7,6;,8;
2009-02-16;23,8;1008,4;23,4;29,9;25,3;22,3;89,8;68;8,6;1;
2009-02-17;1,4;1008,5;23,2;29,2;24,9;22,5;90,8;69;8,6;1;
2009-02-18;9;1009,3;23,1;27,9;24,5;22,6;92;76;9,3;1,2;
2009-02-19;16;1009;23;29,9;24,6;22,1;91,2;69;7,3;,8;
2009-02-20;20,2;1008,2;22,6;29,1;25,1;22,8;86,9;65;9;1,4;
2009-02-21;,6;1008,8;21,8;31,5;25,6;22,3;81,5;53;8,9;1,6;
2009-02-22;,2;1010,1;22;29,2;23,2;20,8;93,4;73;11,3;1,2;
2009-02-23;81,8;1010,1;22,5;27,1;23,4;22,5;94,3;83;8;1,2;
2009-02-24;53;1008,4;22,8;27,2;23,7;22,5;94,7;86;9;1;
2009-02-25;39;1008,5;23;29,1;24,4;22,6;92,1;73;9,2;1,4;
2009-02-26;38;1010;21,9;23,8;22,6;22;96;92;5,4;,8;
2009-02-27;42,4;1009,8;22,2;27,2;23,8;21,9;91,4;77;6,3;1;
2009-02-28;,6;1009,3;22,9;30,3;25,2;22,5;87,7;65;7,9;1,2;
2009-03-01;5,4;1009,9;22,9;30,7;25,4;23;86,7;65;8,3;1,3;
2009-03-02;1,4;1010,2;22,6;30,6;25,3;21,9;86,4;61;8,4;1,2;
2009-03-03;,6;1010,2;23;30;25,1;22,3;88,9;66;10,4;1,3;
2009-03-04;3,4;1009,8;23;31,8;26;22,2;84,7;58;8,6;1,4;
2009-03-05;1,8;1009,9;23,6;28,8;24,8;23,1;93;75;7,8;,7;
2009-03-06;16,2;1010;22,9;31,9;25,8;22,8;85,2;59;7,4;1,2;
2009-03-07;0;1010,1;23;29;24,2;21,9;93,3;73;6,7;,7;
2009-03-08;16,2;1009,4;23,1;28,4;24,3;22,7;92,9;74;7,4;,8;
2009-03-09;13,6;1009,5;23,2;30,3;25,2;22,8;89,6;64;4,9;,8;
2009-03-10;2,4;1009;23,5;29,6;24,9;23,5;92,2;73;7,9;,9;
2009-03-11;5,4;1008,3;23,5;30,9;25,3;22,6;90,3;68;6,4;,7;
2009-03-12;3;1008,3;23,3;31,6;26,1;22,9;85,8;58;8,6;1,1;
2009-03-13;,4;1008,5;22,6;31,7;26,1;23,1;83;51;8,6;1,3;
