Nome: TARTARUGALZINHO
Codigo Estacao: A243
Latitude: 1.49666666
Longitude: -50.91666666
Altitude: 21
Situacao: Desativada
Data Inicial: 2008-09-06
Data Final: 2018-06-23
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-09-06;null;null;null;null;null;null;null;null;null;null;
2008-09-07;null;null;null;null;null;null;null;null;null;null;
2008-09-08;null;null;null;null;null;null;64,1;47;9,5;null;
2008-09-09;0;1010,5;22,2;33,1;26,7;22,1;78,6;52;10,8;2,5;
2008-09-10;0;1010,5;22,2;33;26,6;22,1;79,2;41;7,4;1,5;
2008-09-11;0;1010,4;22,5;34,2;26,3;21,8;81,5;48;10,2;2,1;
2008-09-12;,6;1009,8;22,7;33,9;27,3;22,5;78,3;46;12,6;2,7;
2008-09-13;0;1009,9;22,5;34,1;27,2;22,5;78,3;44;8,8;2,3;
2008-09-14;,2;1009,5;22,2;33,8;27,2;21,6;76,9;48;8,3;2,4;
2008-09-15;0;1009,7;22,2;34,8;27,4;22,2;75,9;39;9;2,4;
2008-09-16;0;1010,1;22,1;34,3;27,3;22,2;75,6;45;8,7;2,4;
2008-09-17;0;1009,4;21,6;34,1;27,2;21,6;74;40;7,7;2,1;
2008-09-18;0;1008,7;22,2;33,9;26,7;21,9;78,2;47;11,3;2,4;
2008-09-19;1,4;1009,4;22,3;33,4;27;21,9;78;47;9,6;2,7;
2008-09-20;1,4;1010,1;22,3;33,3;27,3;22,2;76,5;48;9,8;3;
2008-09-21;0;1010,2;21,9;33,7;27,2;21,9;75,7;49;8,5;2,2;
2008-09-22;0;1009,7;21,9;34,2;27,2;22,5;75,8;43;7,1;1,7;
2008-09-23;0;1008,3;22,2;34,7;26,5;22,1;79,3;47;13;1,9;
2008-09-24;4,8;1008,2;22,8;33,4;26,6;21,2;81,4;51;10,1;2,3;
2008-09-25;0;1009,7;22;34;27,2;21,6;76,3;41;10,3;2,4;
2008-09-26;0;1009,3;21,8;34;27,4;21,5;74,5;45;8,3;2,4;
2008-09-27;0;1008,1;21,9;33,6;27,2;21,9;75,6;47;8,1;2,2;
2008-09-28;0;1008,6;22,1;34,1;27,3;21,6;75,4;46;9,9;2,6;
2008-09-29;0;1009,4;21,7;34,7;27,5;21,6;73,8;37;9,1;2,5;
2008-09-30;0;1009,9;21,5;34,2;27,5;21,8;73;41;9;2,6;
2008-10-01;0;1008,4;22,1;35;27,7;22;74,3;42;9,1;2,5;
2008-10-02;,4;1007,8;22,8;34,1;27,7;23;76,4;48;9,8;2,7;
