Nome: XINGUARA
Codigo Estacao: A247
Latitude: -7.11055555
Longitude: -49.9261111
Altitude: 245
Situacao: Operante
Data Inicial: 2016-09-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-09-10;null;null;null;null;null;null;null;null;null;null;
2016-09-11;null;null;null;null;null;null;null;null;null;null;
2016-09-12;null;null;null;null;null;null;null;null;null;null;
2016-09-13;null;null;null;null;null;null;null;39;8,9;null;
2016-09-14;0;983,8;20,7;35,2;28,6;22,9;64,4;37;7,8;1,3;
2016-09-15;0;983,4;21,1;34,4;28,6;22,9;65,6;43;10,1;2,2;
2016-09-16;0;983,7;21,1;34,6;28,8;24;65;43;7,4;1,8;
2016-09-17;0;984,5;20,6;29,5;24,4;23,4;79,9;59;15,4;1,6;
2016-09-18;36,8;984,5;21,4;32,4;25,9;20,7;77,8;48;8,3;1,4;
2016-09-19;3,6;984,1;21,1;33,9;27,3;22,1;71,6;41;6,2;1,1;
2016-09-20;0;983,6;20,8;34,2;27,6;21,7;69;41;6,5;1,2;
2016-09-21;0;983,1;20,8;35,7;27,5;22,5;69,6;38;12,6;1,5;
2016-09-22;0;983,4;21,4;33,9;27,2;23;72,4;46;6,9;1,5;
2016-09-23;1;986,6;21,7;28,2;24,9;22,6;82,5;66;10,9;1,7;
2016-09-24;0;985,8;21;33,3;26,8;21,6;73,3;45;5,1;1,3;
2016-09-25;0;984,3;21,4;31,6;25;22,9;81,5;55;11;1,9;
2016-09-26;62;984,3;21,5;27,7;23,3;21,2;89,9;67;6,6;1,4;
2016-09-27;12,2;984,2;22,1;32,4;25,7;22,1;82;51;5,8;1,3;
2016-09-28;0;984,3;22,2;33;25,3;22,2;84,6;50;16,6;1,4;
2016-09-29;19;983;21,9;32,1;25,7;21,9;81;54;12,5;1,7;
2016-09-30;0;983,2;21,5;28,6;23,6;22;88,3;69;13,8;1,9;
2016-10-01;2;984;21,5;30,7;25,1;21,6;81,7;54;8,1;1,5;
2016-10-02;,2;982,5;22;33,7;26,9;21,6;77,2;47;6,4;1,1;
2016-10-03;0;981,6;22,6;33,3;27,6;22,7;76,2;48;6,1;1,3;
2016-10-04;0;981,8;22,7;32,7;26,3;22,9;81,7;54;14,7;1,6;
2016-10-05;10,2;983,6;22;28,8;25,5;22,5;81,2;65;6,6;1,9;
2016-10-06;0;981,8;21,5;32,6;24,5;21,3;84,9;52;18,3;1,5;
2016-10-07;22,4;981,1;21,9;32,7;26,6;21,3;77,6;46;5;1,2;
2016-10-08;,4;981,6;22,9;33,1;25,4;22,8;87,1;54;12,3;1,1;
2016-10-09;,4;983,5;22,8;29;24,5;22,6;90,6;71;8,8;1,4;
2016-10-10;1;983,1;22,7;33,2;26,5;22,3;82,2;52;5,4;1;
2016-10-11;,2;981,8;22,6;33,7;27,8;22,8;75,8;46;10,1;1,7;
2016-10-12;0;982,4;21,9;33,3;27,1;21,8;75,4;44;7;1,4;
2016-10-13;0;982,7;21,6;33,1;27,1;21,4;73,6;45;9,1;1,8;
2016-10-14;0;984;22;33,3;27,8;21,7;72,6;49;8,1;1,2;
2016-10-15;0;983,4;21,7;34,1;28,1;22,1;70,5;42;7,4;1,5;
2016-10-16;0;981,8;21,3;34,3;28;21,5;69;43;6,9;1,3;
2016-10-17;0;982,1;22;33,1;28,1;22,6;71,1;48;8,7;1,8;
2016-10-18;0;983,2;21,5;34;27,6;22,2;71,1;47;7,2;1,8;
2016-10-19;0;982,2;21,5;34,2;28;22,4;69,3;46;6,7;1,3;
2016-10-20;0;981,4;21,5;33,7;27,5;22,9;71;49;8,5;1,5;
2016-10-21;0;982;20,6;33,5;25,4;20,6;76,3;47;12,1;1,6;
2016-10-22;0;982,3;20,7;34,7;27;20,7;71,5;40;8,2;1,5;
2016-10-23;0;982,5;21,5;34,7;26,6;21,6;75,3;45;11,3;1,3;
2016-10-24;0;983,4;22,1;29,4;25,2;22,6;83,4;65;7,6;1,5;
2016-10-25;,2;982;21,9;33,2;26,5;21,9;77,9;48;6,6;1,3;
2016-10-26;0;980,7;21,6;34,6;26,8;21,8;75,3;45;11,3;1,5;
2016-10-27;0;980,1;21,8;34,6;26,1;22;78,9;43;15,7;1,6;
2016-10-28;7;982,6;22,7;31,9;25,9;22,5;83,3;62;6,5;1,4;
2016-10-29;12,6;984,2;21,8;32,5;25,2;22,2;82,6;53;14,6;1,9;
2016-10-30;2,6;983,7;21,1;33,5;25,8;20,4;78;46;10,3;1,3;
2016-10-31;0;982,4;22,3;32,6;25,7;21,8;82,8;55;12;1,5;
2016-11-01;0;981,6;22,2;32,7;26,6;21,5;78,7;52;8;1,4;
2016-11-02;0;981,8;22,8;31,9;26,6;21,8;80,4;56;6,9;1,3;
2016-11-03;0;982,7;22,9;32;27;23,1;79,7;56;7,4;1,3;
2016-11-04;0;984;22,6;34,3;28,2;23;74,3;44;7,6;1,5;
2016-11-05;0;982,8;22,2;35,1;28,6;22,5;70,9;45;14,1;1,7;
2016-11-06;0;982,3;22,8;32,7;26,3;23,2;82,1;58;17;1,4;
2016-11-07;4;982,3;22,5;32,6;25,8;23,3;83,3;54;17,4;1,4;
2016-11-08;11,8;982,6;22,2;29,8;24,3;22,4;88,5;61;6;1,2;
2016-11-09;1,2;983,3;22,2;30,7;25,2;22,2;84,5;65;10,8;2;
2016-11-10;0;983,4;21,6;32,9;26,4;21;77,1;50;9,9;1,3;
2016-11-11;0;981,6;23,1;31,1;25,1;23,4;89,6;63;12,8;1,4;
2016-11-12;21,6;980,6;23;30,7;25,6;22,7;86,4;65;8,9;2;
2016-11-13;0;981,2;23,4;29,4;25,9;23,5;86,4;69;4,2;1,2;
2016-11-14;0;979,8;23,1;33,8;27,3;22,8;80;48;5,2;,8;
2016-11-15;,4;980,1;22,2;27,7;24,2;22,7;89,4;74;11,2;2,1;
2016-11-16;5,8;980,8;22,5;28,2;23,9;21,9;92;73;7,9;1;
2016-11-17;3,6;980,5;22,4;31,6;25,9;21,9;82,4;57;7,8;1,6;
2016-11-18;,2;980,9;22,3;30,6;25,8;22,3;81,2;63;6,8;1,7;
2016-11-19;0;980,2;22,8;33,2;25,3;22,8;86,8;54;13;1,2;
2016-11-20;0;980,8;22,9;26,9;24,5;22,2;90,6;79;9,4;1,3;
2016-11-21;4,2;982;22,5;32,1;27,1;23,5;77,5;53;7,7;1,9;
2016-11-22;,2;981,6;21,1;32,8;25,8;20,7;77,2;49;10,2;1,5;
2016-11-23;0;981,1;22,2;34,4;26,9;21,6;77,7;47;5,9;1,3;
2016-11-24;0;981,7;22;33,9;26,5;20,7;77,8;50;9,6;1,3;
2016-11-25;0;982,1;22,7;33;26,5;21,9;80,6;57;6,6;1,3;
2016-11-26;0;981,6;22,5;32,6;25,5;21,2;84,4;55;11,3;1,3;
2016-11-27;0;982,2;22,1;33,7;26,8;20,4;77,3;50;6,5;1,5;
2016-11-28;0;982,1;21,6;35,4;28;21;71,3;42;9,1;1,5;
2016-11-29;0;981,4;21,8;34,2;27,3;21,9;73,2;49;7,4;1,4;
2016-11-30;0;981,5;null;34,3;26,2;21,2;85,3;61;10,6;1,6;
2016-12-01;0;982,8;null;33,2;27;21;null;null;8,5;1,8;
2016-12-02;0;984,1;null;34,1;26;21,7;null;null;12,2;1,5;
2016-12-03;62,4;982,4;null;32,4;26,1;21,2;null;53;6,6;1,4;
2016-12-04;,2;982,4;22,8;31;26,5;23,2;81;59;8,5;1,7;
2016-12-05;0;983,3;23,1;32,1;26,1;23,1;84,3;58;7,1;1,5;
2016-12-06;0;983,5;22,2;34,5;27,3;21,6;76,1;46;4,8;1,1;
2016-12-07;0;983;22,8;29,6;25;23,1;88,3;70;6,7;1,1;
2016-12-08;1,2;983,3;21,9;28,1;24,2;22,4;87,9;64;12,5;1,4;
2016-12-09;,4;982,1;22;32,7;26,4;21,4;79;52;6,6;1,3;
2016-12-10;0;982,3;22,7;32,9;27,1;22,7;78,7;54;10,3;1,5;
2016-12-11;0;982,7;22,2;31,5;25,3;22,1;84;60;9,3;1,4;
2016-12-12;0;981,9;23;30,6;25,7;22,5;85,6;62;6,7;1,4;
2016-12-13;9;981,8;22,9;33,8;26,3;22,3;83,4;50;9,2;1,6;
2016-12-14;18;983,4;22,3;29,4;24,1;22,6;89,8;67;7,4;1,7;
2016-12-15;1,2;983,5;21,7;29,1;24,6;21,7;84,7;61;10,3;1,9;
2016-12-16;,2;983,5;22,1;31,2;25,9;22,4;81;56;8,6;1,5;
2016-12-17;33,2;984;21,6;26,9;23,7;21,1;88,2;72;8,6;1,8;
2016-12-18;1;983,1;21,5;29,7;24,2;21,7;85,7;63;10;1,2;
2016-12-19;13,2;983,4;21,3;28,4;24,3;21,4;84,5;64;8,9;1,4;
2016-12-20;0;981,7;21,6;31,3;25,7;22,2;79,2;54;7,4;1,7;
2016-12-21;0;980,4;22,1;31,7;26,3;22,2;79,3;55;9;1,5;
2016-12-22;0;981,4;22,9;32,6;26,9;23;80,6;55;9,1;1,6;
2016-12-23;0;981,7;23,7;31,4;27;23,6;83,3;64;6,4;1,4;
2016-12-24;0;981,2;23,3;33,9;26;22,9;86,1;54;11,3;1,2;
2016-12-25;12;981,3;22,7;31,4;25,8;21,3;84;63;5,4;1,2;
2016-12-26;0;981,6;22,4;33,1;27,3;22;76,8;50;7,1;1,6;
2016-12-27;0;982,2;23,1;32,6;27,3;22,4;78,8;58;5,8;1,5;
2016-12-28;2;982,8;21,3;28,8;23,7;21,2;87,1;65;14,2;1,7;
2016-12-29;,6;983,1;21,6;26,8;23;21,4;92,2;79;17,9;1,1;
2016-12-30;4,2;983;22,2;30,8;25,1;21;85,4;62;5,9;1,1;
2016-12-31;0;982,8;23,2;32,2;27;23,2;81;56;6,4;1,2;
2017-01-01;0;983,3;22,5;31,6;25,6;22,8;83,5;60;5,7;1,3;
2017-01-02;,2;983,1;22,1;32,7;25,1;22,3;84,8;57;15,7;1,5;
2017-01-03;13,4;982,8;21,9;30,8;24,9;20,7;84,3;61;6,2;1,5;
2017-01-04;0;982,9;21,4;31,6;25,1;20,5;81,2;56;10,1;1,5;
2017-01-05;0;983,5;21,8;26,6;23;21,3;93,2;79;10,8;,9;
2017-01-06;42;982,8;22,6;31,9;25,7;20,7;84,5;57;6,7;1,3;
2017-01-07;0;983,2;22,6;32,7;26,9;22,3;78,8;52;6,2;1,4;
