Nome: CAPITAO POCO
Codigo Estacao: A248
Latitude: -1.73472221
Longitude: -47.0575
Altitude: 79.1
Situacao: Pane
Data Inicial: 2011-04-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-04-17;null;null;null;null;null;null;null;null;null;null;
2011-04-18;null;null;null;null;null;null;null;94;4,2;null;
2011-04-19;null;1002,9;22,5;31;24,6;21,9;88,5;61;12;1,8;
2011-04-20;19,2;1002,5;22,7;30,1;24,6;22,2;89,6;60;9,1;1,4;
2011-04-21;18,2;1001;22,6;31,6;26,1;22,7;83;55;6;1,5;
2011-04-22;3,2;1000,7;23,3;31,7;25,4;22,2;88,8;58;7,7;1,9;
2011-04-23;16;1001,7;23,1;29,8;24,6;22,6;91,9;67;12,5;1,2;
2011-04-24;28,4;1002,5;22,6;30;24,2;22,7;91,6;66;11,1;2,3;
2011-04-25;24,6;1002,3;22,2;30,8;24,6;21,7;87,5;58;9;1,4;
2011-04-26;9;1002,2;22,7;31,2;25,4;22,9;86,5;57;6,6;1,5;
2011-04-27;1;1002,1;22,8;31,8;25,4;22,9;86,8;54;7,2;1,5;
2011-04-28;76,2;1003,2;22,5;29,6;25;22,2;87,5;63;7,1;1,7;
2011-04-29;,4;1001,6;22,7;32;25,8;22,8;84,5;51;7,7;1,5;
2011-04-30;,6;1001,5;23;32;25,2;23,1;88,5;55;7;1,6;
2011-05-01;4;1000,6;22,9;32,7;26,1;22,1;84,3;52;7,9;1,4;
2011-05-02;,2;1001;23,3;30,8;25,1;22,3;90,4;66;9,2;1,4;
2011-05-03;3,6;1001,4;23,1;32,7;25,3;21,8;88,7;55;8,6;1,4;
2011-05-04;11,4;1001,7;23,2;31,3;26;23,4;86,2;57;10,6;1,8;
2011-05-05;19,4;1001,7;23,5;31,3;25,6;23,5;88,9;59;9,8;1,9;
2011-05-06;21,2;1002,8;23,8;28,1;25,3;23,7;91,8;78;4,9;1,3;
2011-05-07;1;1003;23,5;28,9;25,4;23,5;89,5;71;5,8;1,2;
2011-05-08;,6;1001,5;23,3;32,7;25,8;23,3;87,2;53;10,9;2;
2011-05-09;17,6;1001;22,7;31,1;24,5;22,8;90,2;63;16,2;1,7;
2011-05-10;17,2;999,9;22,6;31,6;24,9;21,4;88;60;12,2;1,5;
2011-05-11;54,6;1001;23,4;28,5;25;23,3;91,4;74;7,3;1,6;
2011-05-12;6,4;1000,5;23,2;30,7;25,4;23,1;88,4;63;17,1;1,8;
2011-05-13;3,2;1000,3;23,4;30,3;25,6;23,5;88,8;63;5,1;1,3;
2011-05-14;2,2;1000,7;22,9;31,4;25,8;22,7;85;58;7,7;1,9;
2011-05-15;0;1000,4;22,8;32;26,3;23;82,9;54;6,8;1,6;
2011-05-16;0;1001,2;23,5;31,6;26;23,8;86,9;59;9,6;1,5;
2011-05-17;,6;1001,4;23,5;30;25;23,3;91,4;71;6,7;1,1;
2011-05-18;2,2;1001,5;23,3;31,6;25,1;22,9;90,7;59;8,3;1,2;
2011-05-19;25,2;1002,6;22,5;30,1;25,2;21,8;86,2;65;6,3;1,6;
2011-05-20;0;1002,4;23,1;31,2;25,3;22,1;88,3;62;9,3;1,6;
2011-05-21;1,8;1003;23;30,6;24,7;22,8;90,7;66;13,5;1,9;
2011-05-22;28;1002,5;23,1;30,3;26;22,1;84,8;63;9,8;1,9;
2011-05-23;0;1002,7;22,5;31,8;26,6;23;80,1;51;6,7;1,6;
2011-05-24;0;1002,3;23,2;29,9;25,5;22,7;87,5;69;8,6;1,7;
2011-05-25;4,2;1002,8;23,1;31,3;25,3;22,1;88,1;61;9,8;2;
2011-05-26;8,2;1003,5;23,7;31;26,3;23;86,5;64;6,9;1,6;
