Nome: SANTAREM
Codigo Estacao: A250
Latitude: -2.5025
Longitude: -54.72027777
Altitude: 137
Situacao: Operante
Data Inicial: 2015-09-01
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2015-09-01;null;null;null;null;null;null;null;null;null;null;
2015-09-02;null;null;null;null;null;null;null;null;null;null;
2015-09-03;null;null;null;null;null;null;65,8;50;6,2;null;
2015-09-04;3,2;995,5;23,1;31,7;26,4;23;83,3;59;6,5;1;
2015-09-05;3,4;995,7;23,2;32;27,1;23,9;80,6;56;7,1;1,3;
2015-09-06;0;995,1;22,7;31,7;27,6;24,7;75,6;54;8,3;1,7;
2015-09-07;0;994,4;21,6;31,5;27,7;24,8;69,9;52;9,4;1,9;
2015-09-08;0;994;22,1;31,7;26,5;23,1;77,5;55;8,2;1,3;
2015-09-09;0;993,4;22,2;31,8;26,5;23,3;79,3;52;6,7;1,2;
2015-09-10;0;994;22,1;31,5;26,6;23,5;77,4;56;7,9;1,3;
2015-09-11;0;994,8;21,7;32,8;27;23,1;74,9;44;6;1,1;
2015-09-12;0;995,2;22,4;32,9;27,1;23,5;77,3;48;6;1;
2015-09-13;0;995,4;23,1;33,1;27,8;24,4;77,3;46;6,6;1,1;
2015-09-14;0;995,6;22,8;32,4;27,4;23,6;76,8;50;7,1;1,4;
2015-09-15;0;995,4;21,9;33,2;27,9;24,3;72,2;36;7,2;1,3;
2015-09-16;0;994,8;23;32,8;27,5;24;77,8;53;7,2;1,3;
2015-09-17;0;994;23,4;31,7;27,5;24,2;79,1;59;7,6;1,4;
