Nome: REDENCAO
Codigo Estacao: A254
Latitude: -8.04333333
Longitude: -50.00694444
Altitude: 199
Situacao: Operante
Data Inicial: 2019-07-10
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-07-10;null;null;null;null;null;null;null;null;null;null;
2019-07-11;null;null;null;null;null;null;null;36;8,9;null;
2019-07-12;null;988,9;18,2;34,9;27,8;21,1;58,4;35;8,1;1,4;
2019-07-13;0;989,2;18,1;34,6;27,9;21,4;58,2;33;7,6;1,5;
2019-07-14;0;988,7;17,6;34,7;27,4;20,5;58;34;9,5;1,2;
2019-07-15;0;988,4;17,7;35,1;27,7;19,9;57,4;33;5,4;1,1;
2019-07-16;0;989,1;17,1;35,8;28,2;20,7;54,8;27;7,6;1,3;
2019-07-17;0;989,8;16,6;36,2;28,2;19,6;52,9;27;6,6;1,2;
2019-07-18;0;990,3;18,3;35,6;28,2;21,1;57,5;32;9,3;1,5;
2019-07-19;0;991,3;17,4;34;27;20,2;59,6;32;9;1,5;
2019-07-20;0;990,7;15,1;33,6;27,6;22,7;47,7;30;10;2,2;
2019-07-21;0;990,1;14,6;34,7;28;22,1;46,2;24;10,8;1,7;
2019-07-22;0;990;15,7;34,5;28;20,3;49;30;11,5;1,6;
2019-07-23;0;990,3;14;34,1;28,6;21,3;42,5;27;11,1;2;
2019-07-24;0;990,1;15,2;34,5;27;19,3;51;31;6,8;1,4;
2019-07-25;0;989,7;14,9;35,6;28,2;19,7;48,6;25;8,9;2;
2019-07-26;0;990,4;14,2;35,5;27,8;18,9;47;24;10,2;1,8;
2019-07-27;0;991,3;13,3;34,3;28;23,6;41,9;26;8,1;1,8;
2019-07-28;0;990,4;14,1;35,5;28,3;21;44,1;25;6,9;1,7;
2019-07-29;0;989,7;15,3;35,9;29,2;22,4;45,1;27;7,1;1,4;
2019-07-30;0;989,8;14,3;37,1;28,7;20,8;46,9;18;11,1;1,1;
2019-07-31;0;989;13,6;36,3;29,4;22;40,7;22;7;1,4;
2019-08-01;0;987,9;14,4;36,3;28,3;19;45,8;24;7,5;1,2;
2019-08-02;0;988,6;16,5;37,3;29;20,4;49,8;27;7,9;1,4;
2019-08-03;0;989,2;16,2;38,8;29,5;20,7;49,3;19;9;1,4;
2019-08-04;0;989,7;15,8;36,2;29,3;22,1;46;27;11,7;2,1;
2019-08-05;0;991,3;16,4;34,1;28,3;22,5;50,1;34;7,2;1,7;
2019-08-06;0;992,5;15,7;34,9;28,5;22,2;48,2;29;10,8;2;
2019-08-07;0;993,4;13,2;34,4;27,9;21;41,9;25;11,6;2,2;
2019-08-08;0;992,8;13,4;35,2;28,7;22,8;40,7;25;9,3;1,9;
2019-08-09;0;991,8;12,2;35,7;28,6;19,2;39;23;9;1,7;
2019-08-10;0;991,8;11,4;36,1;28,1;18,7;39,8;18;8,3;1,8;
2019-08-11;0;991;12,6;36,1;null;19,6;41,5;22;9,2;1,6;
2019-08-12;null;null;null;null;null;null;37,3;24;7,5;null;
2019-08-13;0;988,9;14,8;37,6;29,5;21,1;45;22;9,8;1,6;
2019-08-14;0;989,2;13,9;37,3;30,1;21,3;39;23;10,1;1,9;
2019-08-15;0;989,8;16,4;36,2;29,2;21;48,2;27;10;1,8;
2019-08-16;0;990,4;13,5;35,7;29;22,4;40,3;23;11,4;2,3;
2019-08-17;0;990,2;14;35,4;28,8;22,5;42,4;26;12;1,7;
2019-08-18;0;990;15;35,7;28,8;21;44,9;28;7,3;1,6;
2019-08-19;0;989,4;14,7;37,9;29,4;20,2;45,5;20;8,5;1,4;
2019-08-20;0;989,5;14,6;38;29,8;21,2;42,9;20;7;1,3;
2019-08-21;0;989,7;16,8;38,8;30,6;23,7;46,6;18;11,5;1,8;
2019-08-22;0;989,7;19;37,6;29,8;24,2;55,7;25;11,9;1,8;
2019-08-23;0;990,2;18,9;35,9;30,2;24,3;52,6;31;8,2;1,9;
2019-08-24;0;990;17,8;36,2;29,3;23,1;52,6;28;9,2;1,8;
2019-08-25;0;990;16,3;36,4;28,7;20,9;51;25;9,3;1,6;
2019-08-26;0;989,6;13,9;36,7;28,8;20,6;43,6;20;10,2;1,5;
2019-08-27;0;990,1;14;36,9;29;21;42,8;22;7,8;1,5;
2019-08-28;0;989,5;13,3;36,8;29,3;20,7;40,1;22;9;1,5;
2019-08-29;0;988,4;14,2;37,2;29,4;21,5;43,3;21;8,9;1,5;
2019-08-30;0;988,7;15,4;36,8;29,3;21,5;45,1;27;9,2;1,6;
2019-08-31;0;988,5;16,7;37,5;29,5;21,4;49,3;26;8;1,4;
2019-09-01;0;987,2;16,1;38,7;30,4;21,6;45,8;19;7,1;1,6;
2019-09-02;0;986,2;16,2;38,9;31,2;24,8;43,8;19;8,4;1,6;
2019-09-03;0;986,8;17,5;38,7;31,1;25,1;46;25;7,8;1,6;
2019-09-04;0;988,2;19,3;38,3;30,1;23,8;54,5;28;13,6;1,9;
2019-09-05;,6;988,9;20,1;37,5;29,8;23;58,7;32;7,8;1,9;
2019-09-06;0;989,4;20,3;35,2;28;25;63,8;40;12,7;2;
2019-09-07;0;990,5;17;36,4;28,5;21,6;56,5;22;10,4;1,7;
2019-09-08;0;990,9;12,8;37,3;29,2;20;40,4;20;10,8;1,6;
2019-09-09;0;989,8;15,2;37,1;29,3;21;44,8;27;9,6;1,5;
2019-09-10;0;988,6;16,6;37,7;29,8;22,1;47,8;24;10,5;1,7;
2019-09-11;0;987;16,2;38,6;30,2;22,1;46,7;22;9,4;1,3;
2019-09-12;0;987;17,6;37,7;30,2;22,3;48,8;29;10;1,6;
2019-09-13;0;986,9;17,5;38,8;31,2;23,6;46,7;22;7,9;1,5;
2019-09-14;0;986,5;19,1;39,2;31,9;25,5;49,6;24;7,3;2;
2019-09-15;0;986,6;19,6;38,2;31,7;26,5;50,6;29;8,5;2,2;
2019-09-16;0;986,6;19,5;36,8;30,9;25;52,6;33;8,9;1,9;
2019-09-17;0;986,1;18,9;37,5;31,3;24,4;49,6;31;8,7;1,7;
2019-09-18;0;985,1;18,9;38,7;31,5;24,2;49,3;26;8,5;1,9;
2019-09-19;0;985;18,6;38,4;31,7;23,7;48;29;8,2;2,1;
2019-09-20;0;986;18,6;38,6;32;25,3;46,6;25;9,6;1,9;
2019-09-21;0;986,3;19,2;38;31,8;24,5;49,2;29;8,6;2;
2019-09-22;0;986,5;19,8;37,3;31,1;26,6;52,4;33;7,9;2,2;
2019-09-23;0;988;20,3;37,3;28,5;25,1;62,1;35;13,6;2;
2019-09-24;13,6;989,2;21,2;35,8;28,3;23;68,3;37;7,1;1,7;
2019-09-25;0;988,2;19,6;36,9;30,3;23,6;56,2;29;8;1,5;
2019-09-26;0;988,5;19,9;36,3;28,8;27;60;35;13,1;2,3;
2019-09-27;14;988,2;20,9;36;27,9;22,5;69,5;37;6;1,3;
2019-09-28;0;987,5;21,4;37,6;29,4;24,4;65,5;33;10,4;1,4;
2019-09-29;5,4;989,6;21,5;27,1;23,8;22;87,3;72;10,8;1,7;
2019-09-30;30,2;987,2;21,3;32,9;25,7;20,8;79,6;48;5,4;1,3;
2019-10-01;0;986,3;22;28,9;25;23,3;83,8;64;12;1,6;
2019-10-02;30,8;987,6;22;27,7;23,1;21,4;93,6;72;14,1;1,3;
2019-10-03;69;988,3;21,6;32,9;25,6;20,4;81,1;50;6,6;1,3;
2019-10-04;0;987;21,6;34,1;28,6;22,8;67,5;46;8,6;2;
2019-10-05;0;987,2;21,8;33,4;26,9;22,5;75,9;47;13,6;2;
