Nome: ZE DOCA
Codigo Estacao: A255
Latitude: -3.26916666
Longitude: -45.65111111
Altitude: 45.5
Situacao: Operante
Data Inicial: 2019-09-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-09-17;null;null;null;null;null;null;null;null;null;null;
2019-09-18;null;null;null;null;null;null;null;40;9;null;
2019-09-19;null;1004,6;21,3;35,9;28,4;22,5;68,1;38;9,5;2,8;
2019-09-20;0;1005,7;21,7;34,6;28,1;23,3;70,4;45;8,7;2,3;
2019-09-21;0;1005,7;21,6;35,9;28,8;23,2;67,8;40;9,5;2,6;
2019-09-22;0;1006;21,9;34,6;28,2;23,2;70,9;44;9,3;2,5;
2019-09-23;0;1007,1;22,4;33,2;27,4;23,1;75,7;53;8,5;2,2;
2019-09-24;0;1008,1;21,8;34,8;27,5;22,9;73,5;44;8,5;2,3;
2019-09-25;20;1007,5;22,7;33,4;27;21,8;79,2;51;12,2;2;
2019-09-26;0;1007;22,1;34,4;27,8;23,1;73,3;41;9,5;2,1;
2019-09-27;0;1007,1;22,2;35,1;28,3;23;71,6;45;9,9;2,9;
2019-09-28;0;1006,8;21,7;34,1;28;23;71,1;46;10,8;3;
2019-09-29;0;1006,3;21,1;34,5;27,9;22,7;70;41;10,5;2,6;
2019-09-30;0;1005,3;21,5;33,6;27,5;22,1;71,8;49;8;2,1;
2019-10-01;0;1003,9;22;34,7;28,1;23,1;72,2;43;10,3;2,8;
2019-10-02;0;1005,2;21,8;33,2;27,5;22,6;73;48;9,7;2,5;
2019-10-03;0;1006,2;21,5;35;28,2;22,5;69,6;42;9,9;2,5;
2019-10-04;0;1006;21,9;35,1;27,8;22,8;71,8;42;10,2;2,3;
2019-10-05;1,8;1005,6;22,1;33,1;26,6;22,4;78,4;48;11,6;2;
2019-10-06;,6;1005,5;22,7;33,5;26,8;22,6;79,5;50;9;2;
2019-10-07;0;1005,7;22,1;34,1;27,6;22,6;73,9;47;8,7;2,5;
2019-10-08;0;1004,6;21,9;33,6;27,5;22,7;73,2;48;8,5;2,6;
2019-10-09;0;1005,1;21,2;34,2;28;23,3;69;42;11,3;2,9;
2019-10-10;0;1004,4;20,6;35,2;28,2;21,7;66,8;38;11;3;
2019-10-11;0;1005,2;21,7;35;28;23,1;71,1;42;10;2,9;
2019-10-12;0;1005,1;21,7;35,7;28,6;23,5;68,6;41;11,9;2,1;
2019-10-13;0;1004,4;21,8;35,2;28,6;23,3;69,1;41;8,4;2,5;
2019-10-14;0;1004,8;22;34,9;28,3;23;70,9;44;9,4;2,7;
2019-10-15;0;1006;21,6;34,6;28,2;23,4;69,8;44;11,8;3,1;
2019-10-16;0;1006,1;21,9;33,7;28,3;23,6;69,5;49;9,2;2,7;
2019-10-17;0;1006,4;22,1;34,1;28;23,5;72,1;45;8,8;2,3;
2019-10-18;0;1006,4;22,1;34,1;27,1;22,9;75,5;49;12;2,7;
2019-10-19;0;1005,4;22,4;35,1;27,9;23,1;74,6;45;12,1;2,6;
2019-10-20;1,4;1005,1;22,2;35;27;23,5;76,8;44;9,5;2;
2019-10-21;0;1004,6;22,2;35,2;28,4;23,1;72;43;6,2;1,7;
2019-10-22;0;1005,2;22,5;34,6;27,7;23,7;75,3;46;7,1;2;
2019-10-23;2,8;1004,9;21,7;34,9;28,4;22,8;70,4;41;7,3;1,6;
2019-10-24;0;1004,4;21,7;36,6;29,1;23,8;66,8;39;9,5;1,8;
2019-10-25;0;1004,8;22;35,4;28,7;23,4;68,9;45;7,8;1,9;
2019-10-26;0;1005,8;22,1;35,1;28,7;23,8;69,6;43;9;2,6;
2019-10-27;0;1005,9;21,5;35,7;28,8;23,2;67,2;39;10,4;2,6;
2019-10-28;0;1004,6;21,3;35,4;28,7;23,1;67,5;39;11,2;2,6;
2019-10-29;0;1003,7;21;35,9;28,7;22,9;65,9;38;9,9;2,4;
2019-10-30;0;1004,1;21,1;35;28,6;22,9;66,3;41;10,1;2,5;
2019-10-31;0;1005,4;21,1;35,4;28,7;22,6;66,9;38;10;2,7;
2019-11-01;0;1005,7;20,6;35;28,3;22,7;66,1;40;8,7;2,2;
2019-11-02;0;1003,9;20,8;35,2;28,4;21,8;65,4;43;7,8;2,5;
2019-11-03;0;1004;22,6;33,6;27,9;23,6;74,3;50;8,6;2,1;
2019-11-04;0;1004,7;22,6;33,4;27,6;23,9;75;54;10,5;2,5;
2019-11-05;0;1004,8;21,3;35,7;28,6;22,2;67,2;41;10,4;2,5;
2019-11-06;0;1004,3;22,2;35,2;28,8;23,7;69,7;44;8,1;2,8;
2019-11-07;0;1003;21,5;36;29,1;23;66,4;40;8;2;
2019-11-08;0;1002,7;22,1;35;28,8;24;68,8;46;7,4;2,2;
2019-11-09;0;1003,9;21,8;34,9;28,7;24,2;67,8;43;11,5;2,6;
2019-11-10;0;1003,9;21,9;35,3;29,1;23,8;68;39;10,1;2,8;
2019-11-11;0;1003,1;21,7;35,6;29;23,5;67,6;39;9,1;2,5;
2019-11-12;0;1003;22,6;34,4;28,3;23,5;72,7;49;8,8;2;
2019-11-13;,8;1003,8;21,7;34,9;28,6;23,2;68,7;43;9,3;2,5;
2019-11-14;0;1004,2;22,2;35,2;28,7;23,5;70,1;44;9,2;2,4;
2019-11-15;0;1003,8;21,9;35,8;28,9;23,4;68,8;40;8,8;2,5;
