Nome: FLORIANO
Codigo Estacao: A311
Latitude: -6.76138888
Longitude: -43.00333333
Altitude: 126.39
Situacao: Pane
Data Inicial: 2004-11-17
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2004-11-17;null;null;null;null;null;null;null;null;null;null;
2004-11-18;null;null;null;null;null;null;null;20;4,3;null;
2004-11-19;13,6;994,6;16,5;39,1;32,6;26,5;39,9;25;6,6;1;
2004-11-20;0;995,5;19,4;36,6;30,3;27,6;53,5;34;11;1,6;
2004-11-21;15,4;997,3;22;28,5;25,7;23,3;80,3;65;7,1;1,2;
2004-11-22;1,2;996,4;20,7;35;28,2;23,4;66,6;36;5,4;1,1;
2004-11-23;24,6;997;21;33,2;27;21,8;71,5;46;11,4;1,4;
2004-11-24;0;995,9;20,6;36,1;28,8;23,5;64,1;34;8,9;1,4;
2004-11-25;0;994,8;20,3;36,1;29,6;25,2;59,8;34;8,9;1,6;
2004-11-26;,4;995,2;20,9;32,4;26,6;25,8;71,7;47;11;1,8;
2004-11-27;4,2;996;21,6;32;25,6;23,2;79,7;51;10,3;1;
2004-11-28;2;994,8;21,8;35,3;28,1;23,7;71,6;39;5,2;,7;
2004-11-29;0;993,9;20,9;36,2;null;24,6;64;34;5,7;1;
2004-11-30;0;993,7;21,3;36,6;29,9;24,8;62,5;34;4,9;,7;
2004-12-01;null;null;null;35,5;null;26;59,2;40;6,3;null;
2004-12-02;0;994,1;21,4;35,1;29,4;25,3;63,9;34;6,4;,9;
2004-12-03;0;994,6;20,9;36,6;30;25,6;60,3;34;9;1,1;
2004-12-04;0;996;19,7;37,5;null;24,2;60,6;26;7,7;1,1;
2004-12-05;null;995,5;15,3;37,9;31,2;23,7;40,5;23;8;1,8;
2004-12-06;0;994,5;17,1;37,6;30;24,2;48,8;26;7,2;1,2;
2004-12-07;null;994,9;20,7;36,2;28,7;25;63;37;10,5;1,2;
2004-12-08;null;995,5;21,3;35,6;null;25,2;64,7;39;7,2;1,2;
2004-12-09;null;995,1;21,4;33,1;27,9;24,5;68,8;48;5,4;1;
2004-12-10;0;993,7;21;36,1;29,1;23,2;64,6;37;6,1;1,1;
2004-12-11;null;994,8;21,6;32,9;null;25,1;73;50;10,9;1,2;
2004-12-12;null;995,3;21,2;35,9;29,1;23,6;65,8;34;5,3;,8;
2004-12-13;null;null;null;33,6;null;25,2;69,4;49;5,5;null;
2004-12-14;null;996;21;35,1;null;23,8;69,5;41;11,9;1,2;
2004-12-15;null;995,3;21,7;32,2;null;24,8;71,6;52;5,4;1;
2004-12-16;null;994,4;22;31,7;null;25,2;73,2;54;5,5;1;
2004-12-17;null;994,7;21,9;30,7;26;23,7;78,6;57;12,4;1,1;
2004-12-18;0;996,1;21,7;26;23,9;24,3;87,4;75;5,9;,8;
2004-12-19;null;997,1;20,2;33,7;null;20,8;73,9;42;9,8;,8;
2004-12-20;null;995,7;21,4;35,6;null;23,1;70,1;36;6;,7;
2004-12-21;0;994,5;20,8;36;29,5;24,5;61,2;35;7,2;1;
2004-12-22;null;994,1;22,1;30,8;null;25,8;74,1;58;4,5;1,1;
2004-12-23;null;993,6;22;33,7;null;23,1;73,2;47;4,2;,9;
2004-12-24;null;993,1;22;34,2;28,5;24,7;69,3;42;6,5;1,4;
2004-12-25;0;994,9;21,5;34,4;28,3;23,8;69;42;5,1;1,1;
2004-12-26;0;994,7;20,9;35,3;null;23,7;65,7;38;6,5;,7;
2004-12-27;null;993,8;21,7;36,3;29,8;24,7;63,5;38;5,4;,9;
2004-12-28;0;995,7;21,9;30;null;25,9;82,6;63;7,9;1,3;
2004-12-29;null;998,6;20,8;31,4;null;20,7;80;53;5,3;,9;
