Nome: TERESINA
Codigo Estacao: A312
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.23
Situacao: Operante
Data Inicial: 2004-11-23
Data Final: 2024-07-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2004-11-23;null;null;null;null;null;null;null;null;null;null;
2004-11-24;null;null;null;null;null;null;null;null;null;null;
2004-11-25;null;null;null;null;null;null;null;null;null;null;
2004-11-26;null;null;null;null;null;null;null;null;null;null;
2004-11-27;null;null;null;null;null;null;null;null;null;null;
2004-11-28;null;null;null;null;null;null;null;null;null;null;
2004-11-29;null;null;null;null;null;null;null;null;null;null;
2004-11-30;null;null;null;null;null;null;null;null;null;null;
2004-12-01;null;null;null;null;null;null;null;null;null;null;
2004-12-02;null;null;null;null;null;null;null;null;null;null;
2004-12-03;null;null;null;null;null;null;null;null;null;null;
2004-12-04;null;null;null;null;null;null;null;null;null;null;
2004-12-05;null;null;null;null;null;null;null;null;null;null;
2004-12-06;null;null;null;null;null;null;null;null;null;null;
2004-12-07;null;null;null;null;null;null;null;null;null;null;
2004-12-08;null;null;null;null;null;null;null;null;null;null;
2004-12-09;null;null;null;null;null;null;null;null;null;null;
2004-12-10;null;null;null;null;null;null;null;null;null;null;
2004-12-11;null;null;null;null;null;null;null;null;null;null;
2004-12-12;null;null;null;null;null;null;null;null;null;null;
2004-12-13;null;null;null;null;null;null;null;null;null;null;
2004-12-14;null;null;null;null;null;null;null;null;null;null;
2004-12-15;null;null;null;null;null;null;null;null;null;null;
2004-12-16;null;null;null;null;null;null;null;null;null;null;
2004-12-17;null;null;null;null;null;null;null;null;null;null;
2004-12-18;null;null;null;null;null;null;null;null;null;null;
2004-12-19;null;null;null;null;null;null;null;null;null;null;
2004-12-20;null;null;null;null;null;null;null;null;null;null;
2004-12-21;null;null;null;null;null;null;null;null;null;null;
2004-12-22;null;null;null;null;null;null;null;null;null;null;
2004-12-23;null;null;null;null;null;null;null;null;null;null;
2004-12-24;null;null;null;null;null;null;null;null;null;null;
2004-12-25;null;null;null;null;null;null;null;null;null;null;
2004-12-26;null;null;null;null;null;null;null;null;null;null;
2004-12-27;null;null;null;null;null;null;null;null;null;null;
2004-12-28;null;null;null;null;null;null;null;null;null;null;
2004-12-29;null;null;null;null;null;null;null;null;null;null;
2004-12-30;null;null;null;null;null;null;null;null;null;null;
2004-12-31;null;null;null;null;null;null;null;null;null;null;
2005-01-01;null;null;null;null;null;null;null;null;null;null;
2005-01-02;null;null;null;null;null;null;null;null;null;null;
2005-01-03;null;null;null;null;null;null;null;null;null;null;
2005-01-04;null;null;null;null;null;null;null;null;null;null;
2005-01-05;null;null;null;null;null;null;null;null;null;null;
2005-01-06;null;null;null;null;null;null;null;null;null;null;
2005-01-07;null;null;null;null;null;null;null;null;null;null;
2005-01-08;null;null;null;null;null;null;null;null;null;null;
2005-01-09;null;null;null;null;null;null;null;null;null;null;
2005-01-10;null;null;null;null;null;null;null;null;null;null;
2005-01-11;null;null;null;null;null;null;null;null;null;null;
2005-01-12;null;null;null;null;null;null;null;null;null;null;
2005-01-13;null;null;null;null;null;null;null;null;null;null;
2005-01-14;null;null;null;null;null;null;null;null;null;null;
2005-01-15;null;null;null;null;null;null;null;null;null;null;
2005-01-16;null;null;null;null;null;null;null;null;null;null;
2005-01-17;null;null;null;null;null;null;null;null;null;null;
2005-01-18;null;null;null;null;null;null;null;null;null;null;
2005-01-19;null;null;null;null;null;null;null;null;null;null;
2005-01-20;null;null;null;null;null;null;null;null;null;null;
2005-01-21;null;null;null;null;null;null;null;null;null;null;
2005-01-22;null;null;null;null;null;null;null;null;null;null;
2005-01-23;null;null;null;null;null;null;null;null;null;null;
2005-01-24;null;null;null;null;null;null;null;null;null;null;
2005-01-25;null;null;null;null;null;null;null;null;null;null;
2005-01-26;null;null;null;null;null;null;null;null;null;null;
2005-01-27;null;null;null;null;null;null;null;null;null;null;
2005-01-28;null;null;null;null;null;null;null;null;null;null;
2005-01-29;null;null;null;null;null;null;null;null;null;null;
2005-01-30;null;null;null;null;null;null;null;null;null;null;
